# power spectrum of phi_prime/H (dimensionless)
# redshift z=-0.006086
# k              Pk             sigma(k)       sigma(Pk)      count
  9.713012e-03   5.950290e-11   2.406229e-03   5.692128e-12   146
  2.072432e-02   3.751087e-11   3.528511e-03   1.178409e-12   1042
  3.284725e-02   1.853036e-11   3.519819e-03   3.972183e-13   2698
  4.516399e-02   9.995455e-12   3.571852e-03   1.415739e-13   5206
  5.773095e-02   6.609975e-12   3.674394e-03   7.402515e-14   8752
  7.053126e-02   4.862737e-12   3.718866e-03   4.279219e-14   13258
  8.325183e-02   3.528797e-12   3.633038e-03   2.676106e-14   18070
  9.586244e-02   2.505940e-12   3.646001e-03   1.629642e-14   24050
  1.086731e-01   1.921806e-12   3.743375e-03   1.076607e-14   31720
  1.214673e-01   1.657012e-12   3.655693e-03   8.410137e-15   38722
  1.341503e-01   1.427504e-12   3.664149e-03   6.583249e-15   47398
  1.468737e-01   1.200826e-12   3.676840e-03   5.047181e-15   56986
  1.596345e-01   1.018764e-12   3.691904e-03   3.943638e-15   67552
  1.723758e-01   9.106730e-13   3.670421e-03   3.253115e-15   78310
  1.850973e-01   8.405129e-13   3.676755e-03   2.813115e-15   90514
  1.978078e-01   7.855518e-13   3.661019e-03   2.462914e-15   102938
  2.105352e-01   7.128302e-13   3.688328e-03   2.077553e-15   117412
  2.233038e-01   6.654388e-13   3.687633e-03   1.836254e-15   132106
  2.360543e-01   6.278891e-13   3.674616e-03   1.634536e-15   147154
  2.487863e-01   6.027177e-13   3.675727e-03   1.489993e-15   163522
  2.615607e-01   5.820641e-13   3.698362e-03   1.372862e-15   181804
  2.742948e-01   5.579206e-13   3.657995e-03   1.260233e-15   197722
  2.870326e-01   5.376913e-13   3.695982e-03   1.153204e-15   218866
  2.998036e-01   5.253660e-13   3.677083e-03   1.074177e-15   237542
  3.125403e-01   5.105257e-13   3.676719e-03   1.003262e-15   258136
  3.252883e-01   5.008676e-13   3.682574e-03   9.474052e-16   280066
  3.380302e-01   4.960214e-13   3.674707e-03   9.020554e-16   301774
  3.507809e-01   4.825074e-13   3.685866e-03   8.487245e-16   326050
  3.635453e-01   4.776043e-13   3.682723e-03   8.077634e-16   349792
  3.763059e-01   4.729924e-13   3.686387e-03   7.734789e-16   375154
  3.890549e-01   4.682948e-13   3.673994e-03   7.411695e-16   399742
  4.017814e-01   4.637121e-13   3.673301e-03   7.126735e-16   426266
  4.145262e-01   4.613489e-13   3.683104e-03   6.837471e-16   454960
  4.272780e-01   4.573728e-13   3.679614e-03   6.572101e-16   482734
  4.400302e-01   4.545295e-13   3.684412e-03   6.358596e-16   512746
  4.527916e-01   4.541821e-13   3.682552e-03   6.150390e-16   542746
  4.655520e-01   4.525535e-13   3.684426e-03   5.983519e-16   573952
  4.783045e-01   4.521896e-13   3.678870e-03   5.813087e-16   604918
  4.910489e-01   4.507496e-13   3.679488e-03   5.644574e-16   637666
  5.038054e-01   4.491803e-13   3.685840e-03   5.481702e-16   672482
  5.165640e-01   4.495607e-13   3.679909e-03   5.339643e-16   705748
  5.293052e-01   4.497377e-13   3.678052e-03   5.237399e-16   740482
  5.420630e-01   4.502805e-13   3.688653e-03   5.113771e-16   779026
  5.548129e-01   4.496142e-13   3.672495e-03   4.993041e-16   812614
  5.675646e-01   4.497485e-13   3.688923e-03   4.872971e-16   854200
  5.803275e-01   4.489586e-13   3.679836e-03   4.759389e-16   890746
  5.930743e-01   4.500401e-13   3.680017e-03   4.660840e-16   930394
  6.058234e-01   4.509489e-13   3.680076e-03   4.589884e-16   970982
  6.185756e-01   4.504841e-13   3.681715e-03   4.473468e-16   1012600
  6.313355e-01   4.520994e-13   3.685773e-03   4.402938e-16   1055890
  6.440885e-01   4.522812e-13   3.677546e-03   4.324028e-16   1096630
  6.568331e-01   4.538577e-13   3.679931e-03   4.247984e-16   1141378
  6.695858e-01   4.535139e-13   3.681602e-03   4.168568e-16   1186552
  6.823378e-01   4.557748e-13   3.681238e-03   4.115332e-16   1231798
  6.950926e-01   4.558246e-13   3.683520e-03   4.032202e-16   1279234
  7.078494e-01   4.553412e-13   3.681308e-03   3.952921e-16   1325906
  7.206034e-01   4.561493e-13   3.681998e-03   3.890045e-16   1374352
  7.333523e-01   4.569059e-13   3.678754e-03   3.830617e-16   1421950
  7.460986e-01   4.573116e-13   3.681438e-03   3.774202e-16   1472962
