# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
      0   5.623646e-01   9.900990e-03   5.696668e+00   0.000000e+00   3.120460e-01
      1   5.636802e-01   9.940633e-03   5.684972e+00   5.291534e-11   3.120460e-01
      2   5.768638e-01   1.034212e-02   5.570429e+00   6.099241e-10   3.120460e-01
      3   5.903184e-01   1.075983e-02   5.458308e+00   1.126637e-09   3.120460e-01
      4   6.040494e-01   1.119441e-02   5.348552e+00   1.607611e-09   3.120460e-01
      5   6.180622e-01   1.164655e-02   5.241104e+00   2.056933e-09   3.120460e-01
      6   6.323623e-01   1.211696e-02   5.135911e+00   2.478292e-09   3.120460e-01
      7   6.469552e-01   1.260637e-02   5.032919e+00   2.875033e-09   3.120460e-01
      8   6.618468e-01   1.311555e-02   4.932079e+00   3.250191e-09   3.120460e-01
      9   6.770429e-01   1.364530e-02   4.833340e+00   3.606533e-09   3.120460e-01
     10   6.925494e-01   1.419646e-02   4.736654e+00   3.946582e-09   3.120460e-01
     11   7.083724e-01   1.476988e-02   4.641975e+00   4.272644e-09   3.120460e-01
     12   7.245181e-01   1.536647e-02   4.549256e+00   4.586829e-09   3.120460e-01
     13   7.409929e-01   1.598716e-02   4.458453e+00   4.891077e-09   3.120460e-01
     14   7.578033e-01   1.663293e-02   4.369524e+00   5.187170e-09   3.120460e-01
     15   7.749557e-01   1.730478e-02   4.282426e+00   5.476750e-09   3.120459e-01
     16   7.924570e-01   1.800378e-02   4.197119e+00   5.761337e-09   3.120459e-01
     17   8.103141e-01   1.873102e-02   4.113562e+00   6.042338e-09   3.120459e-01
     18   8.285338e-01   1.948764e-02   4.031718e+00   6.321064e-09   3.120459e-01
     19   8.471235e-01   2.027482e-02   3.951547e+00   6.598736e-09   3.120459e-01
     20   8.660902e-01   2.109381e-02   3.873015e+00   6.876498e-09   3.120459e-01
     21   8.854416e-01   2.194589e-02   3.796085e+00   7.155426e-09   3.120459e-01
     22   9.051851e-01   2.283239e-02   3.720722e+00   7.436537e-09   3.120459e-01
     23   9.253286e-01   2.375470e-02   3.646892e+00   7.720791e-09   3.120459e-01
     24   9.458798e-01   2.471428e-02   3.574563e+00   8.009108e-09   3.120459e-01
     25   9.668469e-01   2.571262e-02   3.503702e+00   8.302364e-09   3.120459e-01
     26   9.882380e-01   2.675130e-02   3.434277e+00   8.601404e-09   3.120459e-01
     27   1.010062e+00   2.783194e-02   3.366259e+00   8.907043e-09   3.120459e-01
     28   1.032326e+00   2.895623e-02   3.299617e+00   9.220073e-09   3.120459e-01
     29   1.055040e+00   3.012596e-02   3.234322e+00   9.541267e-09   3.120459e-01
     30   1.078213e+00   3.134293e-02   3.170345e+00   9.871384e-09   3.120458e-01
     31   1.101853e+00   3.260908e-02   3.107660e+00   1.021117e-08   3.120458e-01
     32   1.125971e+00   3.392638e-02   3.046239e+00   1.056136e-08   3.120458e-01
     33   1.150574e+00   3.529689e-02   2.986055e+00   1.092270e-08   3.120458e-01
     34   1.175574e+00   3.671708e-02   2.927312e+00   1.129380e-08   3.120458e-01
     35   1.200574e+00   3.816508e-02   2.870858e+00   1.166673e-08   3.120458e-01
     36   1.225574e+00   3.964088e-02   2.816559e+00   1.204202e-08   3.120458e-01
     37   1.250574e+00   4.114450e-02   2.764296e+00   1.242015e-08   3.120458e-01
     38   1.275574e+00   4.267593e-02   2.713955e+00   1.280151e-08   3.120458e-01
     39   1.300574e+00   4.423518e-02   2.665432e+00   1.318646e-08   3.120458e-01
     40   1.325574e+00   4.582226e-02   2.618630e+00   1.357527e-08   3.120457e-01
     41   1.350574e+00   4.743718e-02   2.573459e+00   1.396822e-08   3.120457e-01
     42   1.375574e+00   4.907992e-02   2.529835e+00   1.436552e-08   3.120457e-01
     43   1.400574e+00   5.075051e-02   2.487680e+00   1.476735e-08   3.120457e-01
     44   1.425574e+00   5.244895e-02   2.446922e+00   1.517389e-08   3.120457e-01
     45   1.450574e+00   5.417524e-02   2.407491e+00   1.558529e-08   3.120457e-01
     46   1.475574e+00   5.592940e-02   2.369325e+00   1.600166e-08   3.120457e-01
     47   1.500574e+00   5.771142e-02   2.332364e+00   1.642312e-08   3.120457e-01
     48   1.525574e+00   5.952133e-02   2.296551e+00   1.684977e-08   3.120456e-01
     49   1.550574e+00   6.135912e-02   2.261836e+00   1.728169e-08   3.120456e-01
     50   1.575574e+00   6.322481e-02   2.228167e+00   1.771897e-08   3.120456e-01
     51   1.600574e+00   6.511840e-02   2.195499e+00   1.816167e-08   3.120456e-01
     52   1.625574e+00   6.703991e-02   2.163789e+00   1.860985e-08   3.120456e-01
     53   1.650574e+00   6.898935e-02   2.132995e+00   1.906357e-08   3.120456e-01
     54   1.675574e+00   7.096674e-02   2.103078e+00   1.952287e-08   3.120456e-01
     55   1.700574e+00   7.297208e-02   2.074003e+00   1.998780e-08   3.120455e-01
     56   1.725574e+00   7.500538e-02   2.045734e+00   2.045840e-08   3.120455e-01
     57   1.750574e+00   7.706668e-02   2.018239e+00   2.093470e-08   3.120455e-01
     58   1.775574e+00   7.915597e-02   1.991487e+00   2.141674e-08   3.120455e-01
     59   1.800574e+00   8.127328e-02   1.965450e+00   2.190454e-08   3.120455e-01
     60   1.825574e+00   8.341862e-02   1.940099e+00   2.239814e-08   3.120455e-01
     61   1.850574e+00   8.559201e-02   1.915408e+00   2.289756e-08   3.120455e-01
     62   1.875574e+00   8.779348e-02   1.891352e+00   2.340281e-08   3.120454e-01
     63   1.900574e+00   9.002304e-02   1.867908e+00   2.391393e-08   3.120454e-01
     64   1.925574e+00   9.228072e-02   1.845054e+00   2.443092e-08   3.120454e-01
     65   1.950574e+00   9.456654e-02   1.822768e+00   2.495382e-08   3.120454e-01
     66   1.975574e+00   9.688052e-02   1.801030e+00   2.548263e-08   3.120454e-01
     67   2.000574e+00   9.922269e-02   1.779821e+00   2.601737e-08   3.120454e-01
     68   2.025574e+00   1.015931e-01   1.759122e+00   2.655806e-08   3.120453e-01
     69   2.050574e+00   1.039917e-01   1.738916e+00   2.710470e-08   3.120453e-01
     70   2.075574e+00   1.064186e-01   1.719186e+00   2.765733e-08   3.120453e-01
     71   2.100574e+00   1.088739e-01   1.699917e+00   2.821594e-08   3.120453e-01
     72   2.125574e+00   1.113574e-01   1.681093e+00   2.878056e-08   3.120453e-01
     73   2.150574e+00   1.138694e-01   1.662700e+00   2.935119e-08   3.120452e-01
     74   2.175574e+00   1.164098e-01   1.644724e+00   2.992785e-08   3.120452e-01
     75   2.200574e+00   1.189786e-01   1.627152e+00   3.051055e-08   3.120452e-01
     76   2.225574e+00   1.215759e-01   1.609972e+00   3.109931e-08   3.120452e-01
     77   2.250574e+00   1.242018e-01   1.593171e+00   3.169413e-08   3.120452e-01
     78   2.275574e+00   1.268563e-01   1.576738e+00   3.229503e-08   3.120452e-01
     79   2.300574e+00   1.295393e-01   1.560661e+00   3.290203e-08   3.120451e-01
     80   2.325574e+00   1.322511e-01   1.544931e+00   3.351514e-08   3.120451e-01
     81   2.350574e+00   1.349916e-01   1.529537e+00   3.413436e-08   3.120451e-01
     82   2.375574e+00   1.377609e-01   1.514469e+00   3.475972e-08   3.120451e-01
     83   2.400574e+00   1.405591e-01   1.499719e+00   3.539123e-08   3.120451e-01
     84   2.425574e+00   1.433862e-01   1.485277e+00   3.602891e-08   3.120450e-01
     85   2.450574e+00   1.462422e-01   1.471135e+00   3.667278e-08   3.120450e-01
     86   2.475574e+00   1.491273e-01   1.457284e+00   3.732284e-08   3.120450e-01
     87   2.500574e+00   1.520415e-01   1.443717e+00   3.797912e-08   3.120450e-01
