# power spectrum of phi_prime/H (dimensionless)
# redshift z=9.836500
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   5.735783e-15   7.667927e-04   1.274950e-15   18
  1.037418e-02   9.347441e-15   1.725047e-03   9.609125e-16   128
  1.616528e-02   1.048374e-14   1.646572e-03   5.504425e-16   314
  2.269071e-02   1.264867e-14   1.954354e-03   5.077771e-16   728
  2.897169e-02   1.941606e-14   1.717946e-03   6.257582e-16   1016
  3.518826e-02   2.482480e-14   1.880676e-03   6.626090e-16   1682
  4.169479e-02   3.007452e-14   1.831736e-03   6.412580e-16   2300
  4.790974e-02   3.315550e-14   1.770731e-03   6.216584e-16   2906
  5.429022e-02   3.880254e-14   1.892687e-03   6.014563e-16   4040
  6.068098e-02   3.831560e-14   1.775551e-03   5.618136e-16   4712
  6.698900e-02   4.473914e-14   1.857705e-03   5.525600e-16   6002
  7.346135e-02   4.511165e-14   1.857594e-03   5.458137e-16   7256
  7.977379e-02   4.829442e-14   1.772571e-03   5.451296e-16   8120
  8.609019e-02   5.062481e-14   1.864951e-03   5.072063e-16   9950
  9.253636e-02   5.141123e-14   1.853578e-03   4.860403e-16   11384
  9.885187e-02   5.170654e-14   1.809244e-03   4.586087e-16   12666
  1.052712e-01   5.186853e-14   1.889168e-03   4.313315e-16   15104
  1.117654e-01   5.183450e-14   1.850532e-03   4.020549e-16   16616
  1.180754e-01   5.316448e-14   1.799489e-03   3.930307e-16   18026
  1.244216e-01   5.221017e-14   1.853405e-03   3.600212e-16   20696
  1.308065e-01   5.101020e-14   1.827918e-03   3.391800e-16   22436
  1.371558e-01   5.195367e-14   1.845873e-03   3.305541e-16   24962
  1.435394e-01   5.116596e-14   1.831283e-03   3.116550e-16   27176
  1.499133e-01   5.042635e-14   1.847268e-03   2.938656e-16   29810
  1.562775e-01   5.055793e-14   1.828450e-03   2.826735e-16   32120
  1.626776e-01   4.933964e-14   1.865216e-03   2.625998e-16   35432
  1.690383e-01   4.977690e-14   1.814577e-03   2.615111e-16   37238
  1.754019e-01   4.839588e-14   1.856016e-03   2.379974e-16   41072
  1.817869e-01   4.762954e-14   1.834293e-03   2.285937e-16   43472
  1.881565e-01   4.670020e-14   1.848176e-03   2.145514e-16   47042
  1.945298e-01   4.652645e-14   1.829223e-03   2.098130e-16   49712
  2.008693e-01   4.572032e-14   1.840592e-03   1.992205e-16   53226
  2.072637e-01   4.526465e-14   1.853753e-03   1.885238e-16   57320
  2.136558e-01   4.456265e-14   1.831629e-03   1.818086e-16   60092
  2.200056e-01   4.333933e-14   1.839426e-03   1.709108e-16   63914
  2.263950e-01   4.247076e-14   1.849752e-03   1.631639e-16   68192
  2.327751e-01   4.198156e-14   1.833934e-03   1.553618e-16   71336
  2.391397e-01   4.109986e-14   1.845607e-03   1.501052e-16   75818
  2.455297e-01   4.042323e-14   1.844019e-03   1.427452e-16   79880
  2.518964e-01   4.016208e-14   1.834462e-03   1.382868e-16   83642
  2.582661e-01   3.935517e-14   1.840779e-03   1.344210e-16   88316
  2.646730e-01   3.845599e-14   1.859422e-03   1.268222e-16   93488
  2.710484e-01   3.819174e-14   1.827184e-03   1.238051e-16   96458
  2.773871e-01   3.742646e-14   1.829038e-03   1.169526e-16   101264
  2.837816e-01   3.681517e-14   1.862873e-03   1.121618e-16   107696
  2.901819e-01   3.599288e-14   1.837217e-03   1.075712e-16   111170
  2.965233e-01   3.580964e-14   1.822285e-03   1.049938e-16   115232
  3.028941e-01   3.466556e-14   1.855375e-03   9.922108e-17   122310
  3.093019e-01   3.429311e-14   1.843350e-03   9.564549e-17   126944
  3.156739e-01   3.391656e-14   1.828600e-03   9.376652e-17   131192
  3.220432e-01   3.331859e-14   1.844535e-03   8.986977e-17   137618
  3.284234e-01   3.243511e-14   1.836674e-03   8.599187e-17   142448
  3.347979e-01   3.230389e-14   1.844704e-03   8.389324e-17   148520
  3.411627e-01   3.186908e-14   1.831436e-03   8.133204e-17   153254
  3.475446e-01   3.125812e-14   1.852010e-03   7.743134e-17   160760
  3.539284e-01   3.053644e-14   1.835751e-03   7.529638e-17   165290
  3.603019e-01   3.032786e-14   1.840148e-03   7.340354e-17   171992
  3.666828e-01   2.980323e-14   1.840217e-03   7.059410e-17   177800
  3.730569e-01   2.945907e-14   1.843032e-03   6.897466e-17   184322
  3.794439e-01   2.905843e-14   1.841595e-03   6.682519e-17   190832
  3.858239e-01   2.864938e-14   1.839260e-03   6.453462e-17   196772
  3.921872e-01   2.826456e-14   1.836453e-03   6.286332e-17   202970
  3.985536e-01   2.781890e-14   1.839266e-03   6.070475e-17   210056
  4.049173e-01   2.734502e-14   1.832832e-03   5.879647e-17   216210
  4.112896e-01   2.694889e-14   1.841640e-03   5.727502e-17   224168
  4.176700e-01   2.658400e-14   1.840761e-03   5.538709e-17   230792
  4.240565e-01   2.627699e-14   1.846256e-03   5.355528e-17   238778
  4.304312e-01   2.595072e-14   1.831772e-03   5.275146e-17   243956
  4.367939e-01   2.552608e-14   1.845141e-03   5.110948e-17   252680
  4.431746e-01   2.523003e-14   1.842020e-03   4.968359e-17   260066
  4.495713e-01   2.495060e-14   1.849294e-03   4.836178e-17   268712
  4.559494e-01   2.466686e-14   1.834336e-03   4.724914e-17   274034
  4.623270e-01   2.426624e-14   1.847366e-03   4.583376e-17   283904
  4.687088e-01   2.396846e-14   1.837425e-03   4.463208e-17   290048
  4.750707e-01   2.348505e-14   1.836659e-03   4.330619e-17   297950
  4.814434e-01   2.343805e-14   1.842026e-03   4.249685e-17   306968
  4.878269e-01   2.316921e-14   1.843240e-03   4.135007e-17   315320
  4.942006e-01   2.273073e-14   1.835899e-03   4.031913e-17   322346
  5.005701e-01   2.249460e-14   1.842589e-03   3.919761e-17   331664
  5.069538e-01   2.234405e-14   1.844896e-03   3.843023e-17   340818
  5.133346e-01   2.207692e-14   1.837322e-03   3.748315e-17   348164
  5.197083e-01   2.176773e-14   1.843548e-03   3.654811e-17   357584
  5.260929e-01   2.149833e-14   1.846059e-03   3.550351e-17   367106
  5.324635e-01   2.130760e-14   1.832285e-03   3.508313e-17   373376
  5.388350e-01   2.105165e-14   1.848023e-03   3.406957e-17   385376
  5.452233e-01   2.083841e-14   1.842356e-03   3.342739e-17   393650
  5.516038e-01   2.072976e-14   1.840588e-03   3.275928e-17   402704
  5.579656e-01   2.035672e-14   1.830970e-03   3.190553e-17   409910
  5.643320e-01   2.015721e-14   1.843407e-03   3.111793e-17   422024
  5.707212e-01   1.991763e-14   1.846526e-03   3.048455e-17   432176
  5.771022e-01   1.977368e-14   1.837404e-03   2.992075e-17   440066
  5.834769e-01   1.957930e-14   1.841263e-03   2.938748e-17   450680
  5.898365e-01   1.934777e-14   1.831084e-03   2.879034e-17   457856
  5.962115e-01   1.915155e-14   1.848347e-03   2.808725e-17   472538
  6.026013e-01   1.895818e-14   1.839689e-03   2.759514e-17   480140
  6.089752e-01   1.878296e-14   1.841279e-03   2.707600e-17   490842
  6.153517e-01   1.862709e-14   1.838382e-03   2.653695e-17   500744
  6.217295e-01   1.843938e-14   1.842392e-03   2.601397e-17   511856
  6.281145e-01   1.823219e-14   1.844734e-03   2.547620e-17   523202
  6.344991e-01   1.808736e-14   1.840396e-03   2.496568e-17   532688
  6.408638e-01   1.791092e-14   1.834541e-03   2.464740e-17   541520
  6.472341e-01   1.775946e-14   1.842653e-03   2.411013e-17   555110
  6.536136e-01   1.758779e-14   1.839126e-03   2.369195e-17   564944
  6.599884e-01   1.740474e-14   1.839832e-03   2.320999e-17   576434
  6.663740e-01   1.728430e-14   1.844405e-03   2.282932e-17   588848
  6.727501e-01   1.712229e-14   1.838623e-03   2.245294e-17   597704
  6.791236e-01   1.694873e-14   1.842386e-03   2.202688e-17   610946
  6.855006e-01   1.685732e-14   1.837794e-03   2.168957e-17   620852
  6.918722e-01   1.667869e-14   1.841901e-03   2.129306e-17   633530
