# power spectrum of pi_k * H (dimensionless)
# redshift z=5.974173
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   1.426843e-10   7.667927e-04   3.143954e-11   18
  1.037418e-02   2.090564e-10   1.725047e-03   2.136250e-11   128
  1.616528e-02   1.708762e-10   1.646572e-03   9.078992e-12   314
  2.269071e-02   1.062513e-10   1.954354e-03   3.874647e-12   728
  2.897169e-02   7.870419e-11   1.717946e-03   2.710682e-12   1016
  3.518826e-02   5.045834e-11   1.880676e-03   1.255949e-12   1682
  4.169479e-02   3.782734e-11   1.831736e-03   7.793889e-13   2300
  4.790974e-02   2.762318e-11   1.770731e-03   5.185444e-13   2906
  5.429022e-02   2.254012e-11   1.892687e-03   3.702774e-13   4040
  6.068098e-02   1.866153e-11   1.775551e-03   2.811644e-13   4712
  6.698900e-02   1.599564e-11   1.857705e-03   2.068126e-13   6002
  7.346135e-02   1.308609e-11   1.857594e-03   1.569267e-13   7256
  7.977379e-02   1.109567e-11   1.772571e-03   1.253175e-13   8120
  8.609019e-02   8.944085e-12   1.864951e-03   9.022205e-14   9950
  9.253636e-02   7.353832e-12   1.853578e-03   6.797507e-14   11384
  9.885187e-02   6.003887e-12   1.809244e-03   5.438481e-14   12666
  1.052712e-01   5.125207e-12   1.889168e-03   4.103641e-14   15104
  1.117654e-01   4.441609e-12   1.850532e-03   3.487827e-14   16616
  1.180754e-01   4.047761e-12   1.799489e-03   3.041398e-14   18026
  1.244216e-01   3.588323e-12   1.853405e-03   2.455738e-14   20696
  1.308065e-01   3.186954e-12   1.827918e-03   2.150843e-14   22436
  1.371558e-01   2.885608e-12   1.845873e-03   1.845561e-14   24962
  1.435394e-01   2.515547e-12   1.831283e-03   1.512715e-14   27176
  1.499133e-01   2.173362e-12   1.847268e-03   1.266334e-14   29810
  1.562775e-01   1.909148e-12   1.828450e-03   1.076314e-14   32120
  1.626776e-01   1.681405e-12   1.865216e-03   8.962806e-15   35432
  1.690383e-01   1.528909e-12   1.814577e-03   7.908218e-15   37238
  1.754019e-01   1.392409e-12   1.856016e-03   6.874036e-15   41072
  1.817869e-01   1.266860e-12   1.834293e-03   6.138525e-15   43472
  1.881565e-01   1.179634e-12   1.848176e-03   5.459044e-15   47042
  1.945298e-01   1.096168e-12   1.829223e-03   4.985291e-15   49712
  2.008693e-01   9.993634e-13   1.840592e-03   4.368078e-15   53226
  2.072637e-01   8.887019e-13   1.853753e-03   3.707081e-15   57320
  2.136558e-01   8.127530e-13   1.831629e-03   3.333369e-15   60092
  2.200056e-01   7.419563e-13   1.839426e-03   2.946610e-15   63914
  2.263950e-01   6.739134e-13   1.849752e-03   2.572387e-15   68192
  2.327751e-01   6.212137e-13   1.833934e-03   2.327911e-15   71336
  2.391397e-01   5.738114e-13   1.845607e-03   2.084777e-15   75818
  2.455297e-01   5.344226e-13   1.844019e-03   1.899661e-15   79880
  2.518964e-01   5.002271e-13   1.834462e-03   1.727069e-15   83642
  2.582661e-01   4.699685e-13   1.840779e-03   1.581692e-15   88316
  2.646730e-01   4.349167e-13   1.859422e-03   1.427828e-15   93488
  2.710484e-01   4.024255e-13   1.827184e-03   1.299070e-15   96458
  2.773871e-01   3.730040e-13   1.829038e-03   1.186121e-15   101264
  2.837816e-01   3.445674e-13   1.862873e-03   1.048787e-15   107696
  2.901819e-01   3.190093e-13   1.837217e-03   9.596679e-16   111170
  2.965233e-01   3.014508e-13   1.822285e-03   8.896128e-16   115232
  3.028941e-01   2.816275e-13   1.855375e-03   8.055475e-16   122310
  3.093019e-01   2.634464e-13   1.843350e-03   7.405952e-16   126944
  3.156739e-01   2.489480e-13   1.828600e-03   6.882191e-16   131192
  3.220432e-01   2.340021e-13   1.844535e-03   6.345497e-16   137618
  3.284234e-01   2.204732e-13   1.836674e-03   5.833228e-16   142448
  3.347979e-01   2.056423e-13   1.844704e-03   5.329316e-16   148520
  3.411627e-01   1.932485e-13   1.831436e-03   4.974446e-16   153254
  3.475446e-01   1.822703e-13   1.852010e-03   4.556215e-16   160760
  3.539284e-01   1.695564e-13   1.835751e-03   4.152287e-16   165290
  3.603019e-01   1.614020e-13   1.840148e-03   3.896639e-16   171992
  3.666828e-01   1.520156e-13   1.840217e-03   3.624901e-16   177800
  3.730569e-01   1.440315e-13   1.843032e-03   3.359766e-16   184322
  3.794439e-01   1.362671e-13   1.841595e-03   3.133350e-16   190832
  3.858239e-01   1.285975e-13   1.839260e-03   2.921497e-16   196772
  3.921872e-01   1.226263e-13   1.836453e-03   2.729445e-16   202970
  3.985536e-01   1.161902e-13   1.839266e-03   2.544511e-16   210056
  4.049173e-01   1.101027e-13   1.832832e-03   2.374612e-16   216210
  4.112896e-01   1.039751e-13   1.841640e-03   2.193127e-16   224168
  4.176700e-01   9.786045e-14   1.840761e-03   2.048288e-16   230792
  4.240565e-01   9.372698e-14   1.846256e-03   1.925480e-16   238778
  4.304312e-01   8.827496e-14   1.831772e-03   1.783979e-16   243956
  4.367939e-01   8.439807e-14   1.845141e-03   1.680082e-16   252680
  4.431746e-01   8.033302e-14   1.842020e-03   1.580156e-16   260066
  4.495713e-01   7.637928e-14   1.849294e-03   1.474611e-16   268712
  4.559494e-01   7.277034e-14   1.834336e-03   1.390376e-16   274034
  4.623270e-01   6.881208e-14   1.847366e-03   1.293697e-16   283904
  4.687088e-01   6.564364e-14   1.837425e-03   1.221117e-16   290048
  4.750707e-01   6.235905e-14   1.836659e-03   1.148301e-16   297950
  4.814434e-01   5.961821e-14   1.842026e-03   1.083126e-16   306968
  4.878269e-01   5.727783e-14   1.843240e-03   1.023437e-16   315320
  4.942006e-01   5.406163e-14   1.835899e-03   9.537188e-17   322346
  5.005701e-01   5.177985e-14   1.842589e-03   8.979517e-17   331664
  5.069538e-01   4.932540e-14   1.844896e-03   8.443158e-17   340818
  5.133346e-01   4.740491e-14   1.837322e-03   8.044606e-17   348164
