# power spectrum of delta_kessence
# redshift z=0.993603
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   1.331415e-08   7.667927e-04   2.587674e-09   18
  1.037418e-02   3.682616e-07   1.725047e-03   4.249161e-08   128
  1.616528e-02   1.631214e-06   1.646572e-03   9.209867e-08   314
  2.269071e-02   3.907917e-06   1.954354e-03   1.516350e-07   728
  2.897169e-02   7.454268e-06   1.717946e-03   2.503380e-07   1016
  3.518826e-02   1.033674e-05   1.880676e-03   2.556173e-07   1682
  4.169479e-02   1.544420e-05   1.831736e-03   3.236942e-07   2300
  4.790974e-02   1.961961e-05   1.770731e-03   3.682989e-07   2906
  5.429022e-02   2.619378e-05   1.892687e-03   4.301354e-07   4040
  6.068098e-02   3.381084e-05   1.775551e-03   5.087655e-07   4712
  6.698900e-02   4.277271e-05   1.857705e-03   5.530802e-07   6002
  7.346135e-02   5.040589e-05   1.857594e-03   6.009885e-07   7256
  7.977379e-02   5.968566e-05   1.772571e-03   6.766514e-07   8120
  8.609019e-02   6.498161e-05   1.864951e-03   6.519971e-07   9950
  9.253636e-02   7.134784e-05   1.853578e-03   6.601655e-07   11384
  9.885187e-02   7.564004e-05   1.809244e-03   6.819217e-07   12666
  1.052712e-01   8.323377e-05   1.889168e-03   6.693129e-07   15104
  1.117654e-01   9.115591e-05   1.850532e-03   7.158958e-07   16616
  1.180754e-01   1.030391e-04   1.799489e-03   7.719889e-07   18026
  1.244216e-01   1.122901e-04   1.853405e-03   7.705916e-07   20696
  1.308065e-01   1.211987e-04   1.827918e-03   8.154386e-07   22436
  1.371558e-01   1.319406e-04   1.845873e-03   8.374844e-07   24962
  1.435394e-01   1.380477e-04   1.831283e-03   8.275611e-07   27176
  1.499133e-01   1.414745e-04   1.847268e-03   8.219499e-07   29810
  1.562775e-01   1.468586e-04   1.828450e-03   8.268442e-07   32120
  1.626776e-01   1.520606e-04   1.865216e-03   8.114581e-07   35432
  1.690383e-01   1.604499e-04   1.814577e-03   8.262761e-07   37238
  1.754019e-01   1.684966e-04   1.856016e-03   8.337740e-07   41072
  1.817869e-01   1.762079e-04   1.834293e-03   8.529301e-07   43472
  1.881565e-01   1.868715e-04   1.848176e-03   8.666956e-07   47042
  1.945298e-01   1.970522e-04   1.829223e-03   8.967407e-07   49712
  2.008693e-01   2.041862e-04   1.840592e-03   8.880964e-07   53226
  2.072637e-01   2.046393e-04   1.853753e-03   8.539200e-07   57320
  2.136558e-01   2.107430e-04   1.831629e-03   8.630655e-07   60092
  2.200056e-01   2.158282e-04   1.839426e-03   8.565034e-07   63914
  2.263950e-01   2.188478e-04   1.849752e-03   8.363731e-07   68192
  2.327751e-01   2.247120e-04   1.833934e-03   8.373961e-07   71336
  2.391397e-01   2.306400e-04   1.845607e-03   8.374634e-07   75818
  2.455297e-01   2.375433e-04   1.844019e-03   8.438416e-07   79880
  2.518964e-01   2.437348e-04   1.834462e-03   8.408597e-07   83642
  2.582661e-01   2.525107e-04   1.840779e-03   8.518203e-07   88316
  2.646730e-01   2.562532e-04   1.859422e-03   8.427422e-07   93488
  2.710484e-01   2.595138e-04   1.827184e-03   8.403231e-07   96458
  2.773871e-01   2.626261e-04   1.829038e-03   8.317233e-07   101264
  2.837816e-01   2.647258e-04   1.862873e-03   8.071454e-07   107696
  2.901819e-01   2.676718e-04   1.837217e-03   8.074398e-07   111170
  2.965233e-01   2.732453e-04   1.822285e-03   8.092398e-07   115232
  3.028941e-01   2.764793e-04   1.855375e-03   7.888732e-07   122310
  3.093019e-01   2.786745e-04   1.843350e-03   7.821163e-07   126944
  3.156739e-01   2.841845e-04   1.828600e-03   7.861048e-07   131192
  3.220432e-01   2.862469e-04   1.844535e-03   7.774126e-07   137618
  3.284234e-01   2.906104e-04   1.836674e-03   7.707704e-07   142448
  3.347979e-01   2.925059e-04   1.844704e-03   7.573181e-07   148520
  3.411627e-01   2.938212e-04   1.831436e-03   7.514150e-07   153254
  3.475446e-01   2.963853e-04   1.852010e-03   7.427173e-07   160760
  3.539284e-01   2.962966e-04   1.835751e-03   7.293781e-07   165290
  3.603019e-01   3.012469e-04   1.840148e-03   7.250908e-07   171992
  3.666828e-01   3.011482e-04   1.840217e-03   7.158360e-07   177800
  3.730569e-01   3.034139e-04   1.843032e-03   7.087641e-07   184322
  3.794439e-01   3.067357e-04   1.841595e-03   7.062078e-07   190832
  3.858239e-01   3.061179e-04   1.839260e-03   6.918455e-07   196772
  3.921872e-01   3.105160e-04   1.836453e-03   6.895229e-07   202970
  3.985536e-01   3.111559e-04   1.839266e-03   6.820560e-07   210056
  4.049173e-01   3.102931e-04   1.832832e-03   6.691954e-07   216210
  4.112896e-01   3.109716e-04   1.841640e-03   6.569846e-07   224168
  4.176700e-01   3.097496e-04   1.840761e-03   6.466945e-07   230792
  4.240565e-01   3.130586e-04   1.846256e-03   6.433332e-07   238778
  4.304312e-01   3.124317e-04   1.831772e-03   6.289898e-07   243956
  4.367939e-01   3.130265e-04   1.845141e-03   6.219224e-07   252680
  4.431746e-01   3.135300e-04   1.842020e-03   6.153643e-07   260066
  4.495713e-01   3.126475e-04   1.849294e-03   6.042778e-07   268712
  4.559494e-01   3.130044e-04   1.834336e-03   6.002625e-07   274034
  4.623270e-01   3.118955e-04   1.847366e-03   5.857438e-07   283904
  4.687088e-01   3.124268e-04   1.837425e-03   5.810955e-07   290048
  4.750707e-01   3.112566e-04   1.836659e-03   5.712071e-07   297950
  4.814434e-01   3.113935e-04   1.842026e-03   5.632867e-07   306968
  4.878269e-01   3.129395e-04   1.843240e-03   5.589230e-07   315320
  4.942006e-01   3.087054e-04   1.835899e-03   5.449791e-07   322346
  5.005701e-01   3.094395e-04   1.842589e-03   5.358953e-07   331664
  5.069538e-01   3.089757e-04   1.844896e-03   5.297037e-07   340818
  5.133346e-01   3.085382e-04   1.837322e-03   5.238120e-07   348164
  5.197083e-01   3.076488e-04   1.843548e-03   5.151987e-07   357584
