# power spectrum of phi
# redshift z=0.993603
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   2.803804e-10   7.667927e-04   6.176098e-11   18
  1.037418e-02   4.104008e-10   1.725047e-03   4.189312e-11   128
  1.616528e-02   3.352948e-10   1.646572e-03   1.782985e-11   314
  2.269071e-02   2.090395e-10   1.954354e-03   7.641933e-12   728
  2.897169e-02   1.542452e-10   1.717946e-03   5.296610e-12   1016
  3.518826e-02   9.889003e-11   1.880676e-03   2.473094e-12   1682
  4.169479e-02   7.394742e-11   1.831736e-03   1.512796e-12   2300
  4.790974e-02   5.420264e-11   1.770731e-03   1.017023e-12   2906
  5.429022e-02   4.379599e-11   1.892687e-03   7.142048e-13   4040
  6.068098e-02   3.658868e-11   1.775551e-03   5.474303e-13   4712
  6.698900e-02   3.112946e-11   1.857705e-03   4.061997e-13   6002
  7.346135e-02   2.549333e-11   1.857594e-03   3.077132e-13   7256
  7.977379e-02   2.177568e-11   1.772571e-03   2.474109e-13   8120
  8.609019e-02   1.755023e-11   1.864951e-03   1.770785e-13   9950
  9.253636e-02   1.455615e-11   1.853578e-03   1.346319e-13   11384
  9.885187e-02   1.195466e-11   1.809244e-03   1.090080e-13   12666
  1.052712e-01   1.033284e-11   1.889168e-03   8.311191e-14   15104
  1.117654e-01   8.930382e-12   1.850532e-03   6.991504e-14   16616
  1.180754e-01   8.144286e-12   1.799489e-03   6.091487e-14   18026
  1.244216e-01   7.220290e-12   1.853405e-03   4.965141e-14   20696
  1.308065e-01   6.424003e-12   1.827918e-03   4.331069e-14   22436
  1.371558e-01   5.804402e-12   1.845873e-03   3.673801e-14   24962
  1.435394e-01   5.146034e-12   1.831283e-03   3.105771e-14   27176
  1.499133e-01   4.482039e-12   1.847268e-03   2.606557e-14   29810
  1.562775e-01   4.003190e-12   1.828450e-03   2.252611e-14   32120
  1.626776e-01   3.595521e-12   1.865216e-03   1.925860e-14   35432
  1.690383e-01   3.286959e-12   1.814577e-03   1.690199e-14   37238
  1.754019e-01   3.003626e-12   1.856016e-03   1.486398e-14   41072
  1.817869e-01   2.751751e-12   1.834293e-03   1.326909e-14   43472
  1.881565e-01   2.549480e-12   1.848176e-03   1.189528e-14   47042
  1.945298e-01   2.378970e-12   1.829223e-03   1.077082e-14   49712
  2.008693e-01   2.201787e-12   1.840592e-03   9.550237e-15   53226
  2.072637e-01   1.974165e-12   1.853753e-03   8.245424e-15   57320
  2.136558e-01   1.834530e-12   1.831629e-03   7.506676e-15   60092
  2.200056e-01   1.697795e-12   1.839426e-03   6.721880e-15   63914
  2.263950e-01   1.558747e-12   1.849752e-03   5.977475e-15   68192
  2.327751e-01   1.455588e-12   1.833934e-03   5.425093e-15   71336
  2.391397e-01   1.361837e-12   1.845607e-03   4.955755e-15   75818
  2.455297e-01   1.280457e-12   1.844019e-03   4.531177e-15   79880
  2.518964e-01   1.198922e-12   1.834462e-03   4.138109e-15   83642
  2.582661e-01   1.140831e-12   1.840779e-03   3.851614e-15   88316
  2.646730e-01   1.063994e-12   1.859422e-03   3.494518e-15   93488
  2.710484e-01   9.976379e-13   1.827184e-03   3.240186e-15   96458
  2.773871e-01   9.403489e-13   1.829038e-03   2.965686e-15   101264
  2.837816e-01   8.833392e-13   1.862873e-03   2.704608e-15   107696
  2.901819e-01   8.341395e-13   1.837217e-03   2.512360e-15   111170
  2.965233e-01   7.917297e-13   1.822285e-03   2.347328e-15   115232
  3.028941e-01   7.486030e-13   1.855375e-03   2.139796e-15   122310
  3.093019e-01   7.036061e-13   1.843350e-03   1.977413e-15   126944
  3.156739e-01   6.755255e-13   1.828600e-03   1.865152e-15   131192
  3.220432e-01   6.360579e-13   1.844535e-03   1.731615e-15   137618
  3.284234e-01   6.083548e-13   1.836674e-03   1.614231e-15   142448
  3.347979e-01   5.816918e-13   1.844704e-03   1.493236e-15   148520
  3.411627e-01   5.521822e-13   1.831436e-03   1.406420e-15   153254
  3.475446e-01   5.262499e-13   1.852010e-03   1.317366e-15   160760
  3.539284e-01   5.002701e-13   1.835751e-03   1.229523e-15   165290
  3.603019e-01   4.816724e-13   1.840148e-03   1.159640e-15   171992
  3.666828e-01   4.584145e-13   1.840217e-03   1.088234e-15   177800
  3.730569e-01   4.384505e-13   1.843032e-03   1.021173e-15   184322
  3.794439e-01   4.239847e-13   1.841595e-03   9.708230e-16   190832
