# power spectrum of delta
# redshift z=-0.013098
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   4.457763e-05   7.667927e-04   8.724585e-06   18
  1.037418e-02   1.294013e-03   1.725047e-03   1.490842e-04   128
  1.616528e-02   5.772358e-03   1.646572e-03   3.261635e-04   314
  2.269071e-02   1.390378e-02   1.954354e-03   5.419541e-04   728
  2.897169e-02   2.642130e-02   1.717946e-03   8.863190e-04   1016
  3.518826e-02   3.668555e-02   1.880676e-03   9.126131e-04   1682
  4.169479e-02   5.459116e-02   1.831736e-03   1.131716e-03   2300
  4.790974e-02   6.983581e-02   1.770731e-03   1.308441e-03   2906
  5.429022e-02   9.194595e-02   1.892687e-03   1.493678e-03   4040
  6.068098e-02   1.199276e-01   1.775551e-03   1.783052e-03   4712
  6.698900e-02   1.505719e-01   1.857705e-03   1.961022e-03   6002
  7.346135e-02   1.777654e-01   1.857594e-03   2.138325e-03   7256
  7.977379e-02   2.131080e-01   1.772571e-03   2.436215e-03   8120
  8.609019e-02   2.331791e-01   1.864951e-03   2.357508e-03   9950
  9.253636e-02   2.608196e-01   1.853578e-03   2.408592e-03   11384
  9.885187e-02   2.802188e-01   1.809244e-03   2.550663e-03   12666
  1.052712e-01   3.157810e-01   1.889168e-03   2.547478e-03   15104
  1.117654e-01   3.460246e-01   1.850532e-03   2.700786e-03   16616
  1.180754e-01   3.916985e-01   1.799489e-03   2.922139e-03   18026
  1.244216e-01   4.289567e-01   1.853405e-03   2.960777e-03   20696
  1.308065e-01   4.655612e-01   1.827918e-03   3.121423e-03   22436
  1.371558e-01   5.065008e-01   1.845873e-03   3.167681e-03   24962
  1.435394e-01   5.481489e-01   1.831283e-03   3.324384e-03   27176
  1.499133e-01   5.735477e-01   1.847268e-03   3.342724e-03   29810
  1.562775e-01   6.106200e-01   1.828450e-03   3.443716e-03   32120
  1.626776e-01   6.541976e-01   1.865216e-03   3.517574e-03   35432
  1.690383e-01   7.027186e-01   1.814577e-03   3.628363e-03   37238
  1.754019e-01   7.443516e-01   1.856016e-03   3.667045e-03   41072
  1.817869e-01   7.916147e-01   1.834293e-03   3.798745e-03   43472
  1.881565e-01   8.356299e-01   1.848176e-03   3.879177e-03   47042
  1.945298e-01   8.991842e-01   1.829223e-03   4.036433e-03   49712
  2.008693e-01   9.504338e-01   1.840592e-03   4.105376e-03   53226
  2.072637e-01   9.757000e-01   1.853753e-03   4.072583e-03   57320
  2.136558e-01   1.041422e+00   1.831629e-03   4.258929e-03   60092
  2.200056e-01   1.091680e+00   1.839426e-03   4.300575e-03   63914
  2.263950e-01   1.135092e+00   1.849752e-03   4.338896e-03   68192
  2.327751e-01   1.188724e+00   1.833934e-03   4.454367e-03   71336
  2.391397e-01   1.247023e+00   1.845607e-03   4.551236e-03   75818
  2.455297e-01   1.312613e+00   1.844019e-03   4.660996e-03   79880
  2.518964e-01   1.366983e+00   1.834462e-03   4.716279e-03   83642
  2.582661e-01   1.441918e+00   1.840779e-03   4.864838e-03   88316
  2.646730e-01   1.486146e+00   1.859422e-03   4.915319e-03   93488
  2.710484e-01   1.545605e+00   1.827184e-03   4.990289e-03   96458
  2.773871e-01   1.624285e+00   1.829038e-03   5.088648e-03   101264
  2.837816e-01   1.681783e+00   1.862873e-03   5.129835e-03   107696
  2.901819e-01   1.749618e+00   1.837217e-03   5.236744e-03   111170
  2.965233e-01   1.816165e+00   1.822285e-03   5.386378e-03   115232
  3.028941e-01   1.892629e+00   1.855375e-03   5.451266e-03   122310
  3.093019e-01   1.950719e+00   1.843350e-03   5.476976e-03   126944
  3.156739e-01   2.039204e+00   1.828600e-03   5.642490e-03   131192
  3.220432e-01   2.099708e+00   1.844535e-03   5.705208e-03   137618
  3.284234e-01   2.174796e+00   1.836674e-03   5.778049e-03   142448
  3.347979e-01   2.264484e+00   1.844704e-03   5.843422e-03   148520
  3.411627e-01   2.321486e+00   1.831436e-03   5.914742e-03   153254
  3.475446e-01   2.411519e+00   1.852010e-03   6.021317e-03   160760
