# power spectrum of delta
# redshift z=48.519767
# k              Pk             sigma(k)       sigma(Pk)      count
  3.926991e-03   5.346306e-08   3.512237e-11   2.155011e-08   6
  6.468504e-03   2.029128e-07   9.292307e-04   4.427728e-08   26
  1.075752e-02   1.224400e-06   1.401573e-03   1.391251e-07   114
  1.536034e-02   4.044327e-06   1.321130e-03   2.851727e-07   218
  1.986055e-02   7.003792e-06   1.282852e-03   3.695122e-07   374
  2.412735e-02   1.198862e-05   1.070437e-03   5.505757e-07   474
  2.806277e-02   1.870775e-05   1.114764e-03   7.980760e-07   650
  3.226384e-02   2.291501e-05   1.228263e-03   7.583550e-07   938
  3.651078e-02   2.905758e-05   1.191974e-03   8.673183e-07   1158
  4.085013e-02   3.572949e-05   1.255331e-03   8.857827e-07   1538
  4.514216e-02   4.670136e-05   1.197883e-03   1.132499e-06   1752
  4.940297e-02   5.293361e-05   1.270218e-03   1.130558e-06   2210
  5.382476e-02   6.707243e-05   1.313135e-03   1.359485e-06   2690
  5.822499e-02   7.957880e-05   1.260291e-03   1.496354e-06   3054
  6.261788e-02   9.544533e-05   1.278262e-03   1.610308e-06   3602
  6.689321e-02   1.107208e-04   1.192161e-03   1.789240e-06   3842
  7.113570e-02   1.257450e-04   1.241459e-03   1.867981e-06   4554
  7.543827e-02   1.367334e-04   1.223626e-03   1.939600e-06   5030
  7.964244e-02   1.524774e-04   1.192059e-03   2.128620e-06   5474
  8.383361e-02   1.657626e-04   1.204502e-03   2.145713e-06   6162
  8.813706e-02   1.740537e-04   1.244010e-03   2.027421e-06   7016
  9.251506e-02   1.855002e-04   1.282007e-03   2.089646e-06   7818
  9.690760e-02   1.951337e-04   1.275623e-03   2.160921e-06   8582
  1.012249e-01   2.036592e-04   1.222801e-03   2.099061e-06   8954
  1.055230e-01   2.191965e-04   1.275661e-03   2.138972e-06   10170
  1.098886e-01   2.323640e-04   1.242528e-03   2.255607e-06   10826
  1.141614e-01   2.552631e-04   1.215228e-03   2.410213e-06   11438
  1.184437e-01   2.718662e-04   1.241708e-03   2.450582e-06   12594
  1.227045e-01   2.898725e-04   1.208460e-03   2.510861e-06   13130
  1.269880e-01   3.119019e-04   1.247270e-03   2.597484e-06   14586
  1.313025e-01   3.272938e-04   1.229078e-03   2.618015e-06   15242
  1.356256e-01   3.512692e-04   1.268369e-03   2.769076e-06   16772
  1.399394e-01   3.617146e-04   1.224094e-03   2.744754e-06   17178
  1.442192e-01   3.759870e-04   1.256219e-03   2.717321e-06   18722
  1.485429e-01   3.808911e-04   1.247601e-03   2.732472e-06   19706
  1.528259e-01   3.880638e-04   1.235493e-03   2.695800e-06   20694
  1.571269e-01   4.010324e-04   1.247928e-03   2.734639e-06   22154
  1.614322e-01   4.092314e-04   1.238069e-03   2.709026e-06   23210
  1.657530e-01   4.220083e-04   1.247771e-03   2.679340e-06   24762
  1.700419e-01   4.457913e-04   1.219659e-03   2.796241e-06   25418
  1.743047e-01   4.606169e-04   1.232581e-03   2.779003e-06   27030
  1.785948e-01   4.740513e-04   1.236925e-03   2.835765e-06   28400
  1.829249e-01   4.945870e-04   1.260632e-03   2.871332e-06   30314
  1.872537e-01   5.209746e-04   1.245689e-03   2.965467e-06   31242
  1.915471e-01   5.430110e-04   1.243795e-03   3.043269e-06   32726
  1.958851e-01   5.614194e-04   1.262333e-03   3.027278e-06   34802
  2.001902e-01   5.762429e-04   1.225777e-03   3.090536e-06   35298
  2.044527e-01   5.817447e-04   1.231750e-03   3.020330e-06   37106
  2.087345e-01   5.889936e-04   1.233995e-03   2.988173e-06   38750
  2.130597e-01   6.094390e-04   1.253313e-03   3.016936e-06   41082
  2.173474e-01   6.121954e-04   1.213580e-03   3.031193e-06   41330
  2.216268e-01   6.274442e-04   1.248206e-03   2.983228e-06   44226
  2.259811e-01   6.348677e-04   1.262369e-03   2.957221e-06   46256
  2.302954e-01   6.474860e-04   1.236821e-03   2.983584e-06   47006
  2.346000e-01   6.599276e-04   1.253826e-03   2.957925e-06   49506
  2.389041e-01   6.781178e-04   1.236946e-03   3.035416e-06   50618
  2.432051e-01   6.967206e-04   1.252069e-03   2.990393e-06   53114
  2.475055e-01   7.115401e-04   1.235789e-03   3.070392e-06   54366
  2.518059e-01   7.347737e-04   1.244531e-03   3.086748e-06   56834
  2.560686e-01   7.452617e-04   1.213941e-03   3.110646e-06   57258
  2.603901e-01   7.751964e-04   1.274431e-03   3.097189e-06   62378
  2.647358e-01   7.763487e-04   1.225553e-03   3.121892e-06   61850
  2.690012e-01   7.944252e-04   1.236600e-03   3.154437e-06   64284
  2.733015e-01   7.996327e-04   1.248977e-03   3.080865e-06   66938
  2.776367e-01   8.160045e-04   1.258384e-03   3.151117e-06   69602
  2.819415e-01   8.210810e-04   1.232881e-03   3.081279e-06   70242
  2.862215e-01   8.332516e-04   1.244813e-03   3.091083e-06   73166
  2.905544e-01   8.386127e-04   1.257712e-03   3.035165e-06   76370
  2.948557e-01   8.612378e-04   1.224268e-03   3.102964e-06   76578
  2.991694e-01   8.743101e-04   1.260194e-03   3.084961e-06   81362
