# power spectrum of zeta (dimensionless)
# redshift z=48.519767
# k              Pk             sigma(k)       sigma(Pk)      count
  3.926991e-03   1.243630e-18   3.512237e-11   2.732255e-19   6
  6.468504e-03   1.534241e-17   9.292307e-04   3.066951e-18   26
  1.075752e-02   6.281369e-17   1.401573e-03   6.095447e-18   114
  1.536034e-02   1.402708e-16   1.321130e-03   8.574572e-18   218
  1.986055e-02   1.985956e-16   1.282852e-03   9.324075e-18   374
  2.412735e-02   2.515061e-16   1.070437e-03   1.115721e-17   474
  2.806277e-02   2.977955e-16   1.114764e-03   1.104227e-17   650
  3.226384e-02   3.383055e-16   1.228263e-03   1.118590e-17   938
  3.651078e-02   4.196026e-16   1.191974e-03   1.190648e-17   1158
  4.085013e-02   4.725444e-16   1.255331e-03   1.150473e-17   1538
  4.514216e-02   5.075288e-16   1.197883e-03   1.218954e-17   1752
  4.940297e-02   5.632836e-16   1.270218e-03   1.180974e-17   2210
  5.382476e-02   6.134273e-16   1.313135e-03   1.207864e-17   2690
  5.822499e-02   6.479817e-16   1.260291e-03   1.149190e-17   3054
  6.261788e-02   6.691835e-16   1.278262e-03   1.084737e-17   3602
  6.689321e-02   6.958812e-16   1.192161e-03   1.172512e-17   3842
  7.113570e-02   6.814235e-16   1.241459e-03   9.790047e-18   4554
  7.543827e-02   7.340382e-16   1.223626e-03   1.041697e-17   5030
  7.964244e-02   7.189630e-16   1.192059e-03   9.603768e-18   5474
  8.383361e-02   7.656726e-16   1.204502e-03   9.793505e-18   6162
  8.813706e-02   7.822903e-16   1.244010e-03   9.361666e-18   7016
  9.251506e-02   7.919802e-16   1.282007e-03   9.192730e-18   7818
  9.690760e-02   7.870225e-16   1.275623e-03   8.343989e-18   8582
  1.012249e-01   7.925775e-16   1.222801e-03   8.480981e-18   8954
  1.055230e-01   8.056229e-16   1.275661e-03   7.987259e-18   10170
  1.098886e-01   8.315798e-16   1.242528e-03   8.032101e-18   10826
  1.141614e-01   8.035508e-16   1.215228e-03   7.627243e-18   11438
  1.184437e-01   8.198585e-16   1.241708e-03   7.326434e-18   12594
  1.227045e-01   8.242859e-16   1.208460e-03   7.095416e-18   13130
  1.269880e-01   8.168073e-16   1.247270e-03   6.777927e-18   14586
  1.313025e-01   8.033817e-16   1.229078e-03   6.411660e-18   15242
  1.356256e-01   8.185604e-16   1.268369e-03   6.362633e-18   16772
  1.399394e-01   8.101940e-16   1.224094e-03   6.345346e-18   17178
  1.442192e-01   7.913346e-16   1.256219e-03   5.807915e-18   18722
  1.485429e-01   7.898020e-16   1.247601e-03   5.668846e-18   19706
  1.528259e-01   7.977764e-16   1.235493e-03   5.558966e-18   20694
  1.571269e-01   7.865709e-16   1.247928e-03   5.299294e-18   22154
  1.614322e-01   7.798849e-16   1.238069e-03   5.115745e-18   23210
  1.657530e-01   7.812359e-16   1.247771e-03   4.974263e-18   24762
  1.700419e-01   7.838297e-16   1.219659e-03   5.011905e-18   25418
  1.743047e-01   7.756085e-16   1.232581e-03   4.673203e-18   27030
  1.785948e-01   7.622516e-16   1.236925e-03   4.508834e-18   28400
  1.829249e-01   7.514661e-16   1.260632e-03   4.322456e-18   30314
  1.872537e-01   7.516999e-16   1.245689e-03   4.288222e-18   31242
  1.915471e-01   7.464407e-16   1.243795e-03   4.122864e-18   32726
  1.958851e-01   7.449026e-16   1.262333e-03   4.009458e-18   34802
  2.001902e-01   7.442597e-16   1.225777e-03   4.036771e-18   35298
  2.044527e-01   7.357519e-16   1.231750e-03   3.838395e-18   37106
  2.087345e-01   7.330862e-16   1.233995e-03   3.742192e-18   38750
  2.130597e-01   7.274779e-16   1.253313e-03   3.588585e-18   41082
  2.173474e-01   7.170677e-16   1.213580e-03   3.503583e-18   41330
  2.216268e-01   7.040753e-16   1.248206e-03   3.328459e-18   44226
  2.259811e-01   7.002687e-16   1.262369e-03   3.323126e-18   46256
  2.302954e-01   6.883478e-16   1.236821e-03   3.155617e-18   47006
  2.346000e-01   6.891670e-16   1.253826e-03   3.117514e-18   49506
  2.389041e-01   6.774442e-16   1.236946e-03   3.021525e-18   50618
  2.432051e-01   6.726516e-16   1.252069e-03   2.921864e-18   53114
  2.475055e-01   6.744887e-16   1.235789e-03   2.903589e-18   54366
  2.518059e-01   6.702282e-16   1.244531e-03   2.809534e-18   56834
  2.560686e-01   6.612243e-16   1.213941e-03   2.799785e-18   57258
  2.603901e-01   6.543420e-16   1.274431e-03   2.608726e-18   62378
  2.647358e-01   6.424262e-16   1.225553e-03   2.599625e-18   61850
  2.690012e-01   6.445519e-16   1.236600e-03   2.534406e-18   64284
  2.733015e-01   6.349486e-16   1.248977e-03   2.473875e-18   66938
  2.776367e-01   6.299963e-16   1.258384e-03   2.387099e-18   69602
  2.819415e-01   6.255449e-16   1.232881e-03   2.347654e-18   70242
  2.862215e-01   6.192957e-16   1.244813e-03   2.290536e-18   73166
  2.905544e-01   6.118227e-16   1.257712e-03   2.204376e-18   76370
  2.948557e-01   6.105556e-16   1.224268e-03   2.188168e-18   76578
  2.991694e-01   6.001678e-16   1.260194e-03   2.110962e-18   81362
  3.034794e-01   5.919070e-16   1.220452e-03   2.088913e-18   80994
  3.077617e-01   5.934509e-16   1.245850e-03   2.033982e-18   85046
  3.120682e-01   5.873913e-16   1.236732e-03   2.000733e-18   86552
  3.163691e-01   5.824544e-16   1.248599e-03   1.943084e-18   89754
  3.206760e-01   5.827630e-16   1.241846e-03   1.927726e-18   91538
  3.249908e-01   5.744995e-16   1.257274e-03   1.854922e-18   95198
  3.292984e-01   5.666102e-16   1.234300e-03   1.820078e-18   96066
  3.335953e-01   5.640628e-16   1.250578e-03   1.784727e-18   99890
  3.379016e-01   5.617901e-16   1.237173e-03   1.762135e-18   101562
  3.421850e-01   5.555586e-16   1.235122e-03   1.720696e-18   103994
  3.465039e-01   5.530446e-16   1.254469e-03   1.685762e-18   108566
  3.508098e-01   5.435874e-16   1.225687e-03   1.641636e-18   108570
  3.550962e-01   5.395218e-16   1.245765e-03   1.617906e-18   113162
