# power spectrum of pi_k * H (dimensionless)
# redshift z=19.720714
# k              Pk             sigma(k)       sigma(Pk)      count
  3.926991e-03   1.933241e-10   3.512237e-11   7.792768e-11   6
  6.468504e-03   1.528554e-10   9.292307e-04   2.199789e-11   26
  1.075752e-02   2.130078e-10   1.401573e-03   2.369267e-11   114
  1.536034e-02   1.847393e-10   1.321130e-03   1.181440e-11   218
  1.986055e-02   1.233644e-10   1.282852e-03   6.119831e-12   374
  2.412735e-02   9.858840e-11   1.070437e-03   4.412106e-12   474
  2.806277e-02   8.595966e-11   1.114764e-03   3.727489e-12   650
  3.226384e-02   6.090639e-11   1.228263e-03   2.026244e-12   938
  3.651078e-02   4.723753e-11   1.191974e-03   1.397359e-12   1158
  4.085013e-02   3.726605e-11   1.255331e-03   9.233315e-13   1538
  4.514216e-02   3.295460e-11   1.197883e-03   8.130803e-13   1752
  4.940297e-02   2.589211e-11   1.270218e-03   5.551255e-13   2210
  5.382476e-02   2.335217e-11   1.313135e-03   4.759969e-13   2690
  5.822499e-02   2.020464e-11   1.260291e-03   3.770234e-13   3054
  6.261788e-02   1.813264e-11   1.278262e-03   3.065911e-13   3602
  6.689321e-02   1.613095e-11   1.192161e-03   2.609826e-13   3842
  7.113570e-02   1.433657e-11   1.241459e-03   2.128744e-13   4554
  7.543827e-02   1.232682e-11   1.223626e-03   1.755162e-13   5030
  7.964244e-02   1.107593e-11   1.192059e-03   1.545675e-13   5474
  8.383361e-02   9.810791e-12   1.204502e-03   1.270204e-13   6162
  8.813706e-02   8.439382e-12   1.244010e-03   9.869177e-14   7016
  9.251506e-02   7.401668e-12   1.282007e-03   8.327689e-14   7818
  9.690760e-02   6.480798e-12   1.275623e-03   7.182200e-14   8582
  1.012249e-01   5.671228e-12   1.222801e-03   5.847303e-14   8954
  1.055230e-01   5.165246e-12   1.275661e-03   5.029802e-14   10170
  1.098886e-01   4.658471e-12   1.242528e-03   4.532723e-14   10826
  1.141614e-01   4.384216e-12   1.215228e-03   4.123366e-14   11438
  1.184437e-01   4.032183e-12   1.241708e-03   3.632784e-14   12594
  1.227045e-01   3.729783e-12   1.208460e-03   3.228390e-14   13130
  1.269880e-01   3.496799e-12   1.247270e-03   2.900360e-14   14586
  1.313025e-01   3.212174e-12   1.229078e-03   2.572777e-14   15242
  1.356256e-01   3.023557e-12   1.268369e-03   2.387031e-14   16772
  1.399394e-01   2.747949e-12   1.224094e-03   2.086130e-14   17178
  1.442192e-01   2.533337e-12   1.256219e-03   1.835702e-14   18722
  1.485429e-01   2.278112e-12   1.247601e-03   1.633376e-14   19706
  1.528259e-01   2.073030e-12   1.235493e-03   1.440021e-14   20694
  1.571269e-01   1.915584e-12   1.247928e-03   1.305256e-14   22154
  1.614322e-01   1.754751e-12   1.238069e-03   1.160369e-14   23210
  1.657530e-01   1.626601e-12   1.247771e-03   1.033408e-14   24762
  1.700419e-01   1.549176e-12   1.219659e-03   9.700347e-15   25418
  1.743047e-01   1.449368e-12   1.232581e-03   8.743619e-15   27030
  1.785948e-01   1.352840e-12   1.236925e-03   8.102653e-15   28400
  1.829249e-01   1.281423e-12   1.260632e-03   7.442296e-15   30314
  1.872537e-01   1.229288e-12   1.245689e-03   6.993729e-15   31242
  1.915471e-01   1.167643e-12   1.243795e-03   6.546809e-15   32726
  1.958851e-01   1.103679e-12   1.262333e-03   5.956657e-15   34802
  2.001902e-01   1.038904e-12   1.225777e-03   5.568527e-15   35298
  2.044527e-01   9.629409e-13   1.231750e-03   5.003662e-15   37106
  2.087345e-01   8.965520e-13   1.233995e-03   4.552028e-15   38750
  2.130597e-01   8.542481e-13   1.253313e-03   4.230722e-15   41082
  2.173474e-01   7.916114e-13   1.213580e-03   3.914852e-15   41330
  2.216268e-01   7.502616e-13   1.248206e-03   3.570065e-15   44226
  2.259811e-01   7.015144e-13   1.262369e-03   3.267717e-15   46256
  2.302954e-01   6.634761e-13   1.236821e-03   3.053946e-15   47006
  2.346000e-01   6.272552e-13   1.253826e-03   2.811119e-15   49506
  2.389041e-01   5.987200e-13   1.236946e-03   2.679844e-15   50618
  2.432051e-01   5.725805e-13   1.252069e-03   2.459742e-15   53114
  2.475055e-01   5.446431e-13   1.235789e-03   2.351192e-15   54366
  2.518059e-01   5.242018e-13   1.244531e-03   2.202622e-15   56834
  2.560686e-01   4.972348e-13   1.213941e-03   2.075701e-15   57258
  2.603901e-01   4.830879e-13   1.274431e-03   1.930551e-15   62378
  2.647358e-01   4.523317e-13   1.225553e-03   1.819294e-15   61850
  2.690012e-01   4.342174e-13   1.236600e-03   1.725200e-15   64284
  2.733015e-01   4.096611e-13   1.248977e-03   1.580527e-15   66938
  2.776367e-01   3.921760e-13   1.258384e-03   1.514195e-15   69602
  2.819415e-01   3.707790e-13   1.232881e-03   1.392173e-15   70242
  2.862215e-01   3.540285e-13   1.244813e-03   1.314767e-15   73166
  2.905544e-01   3.353904e-13   1.257712e-03   1.214389e-15   76370
  2.948557e-01   3.242988e-13   1.224268e-03   1.169561e-15   76578
  2.991694e-01   3.104994e-13   1.260194e-03   1.096776e-15   81362
  3.034794e-01   2.991799e-13   1.220452e-03   1.042327e-15   80994
  3.077617e-01   2.842770e-13   1.245850e-03   9.764816e-16   85046
  3.120682e-01   2.716617e-13   1.236732e-03   9.257668e-16   86552
  3.163691e-01   2.648844e-13   1.248599e-03   8.850759e-16   89754
  3.206760e-01   2.549077e-13   1.241846e-03   8.465525e-16   91538
  3.249908e-01   2.434208e-13   1.257274e-03   7.889946e-16   95198
  3.292984e-01   2.346727e-13   1.234300e-03   7.585850e-16   96066
  3.335953e-01   2.247636e-13   1.250578e-03   7.059901e-16   99890
  3.379016e-01   2.146113e-13   1.237173e-03   6.797871e-16   101562
  3.421850e-01   2.062595e-13   1.235122e-03   6.440077e-16   103994
  3.465039e-01   1.988343e-13   1.254469e-03   6.058254e-16   108566
  3.508098e-01   1.899280e-13   1.225687e-03   5.776646e-16   108570
  3.550962e-01   1.825014e-13   1.245765e-03   5.374471e-16   113162
  3.594096e-01   1.755716e-13   1.239769e-03   5.184485e-16   115136
  3.637064e-01   1.707191e-13   1.244989e-03   4.986249e-16   118110
  3.680190e-01   1.637002e-13   1.250013e-03   4.717343e-16   121466
  3.723377e-01   1.585287e-13   1.247712e-03   4.501463e-16   124154
  3.766409e-01   1.530831e-13   1.239592e-03   4.344827e-16   126282
  3.809305e-01   1.473907e-13   1.239411e-03   4.111645e-16   129206
  3.852310e-01   1.420560e-13   1.240944e-03   3.937181e-16   132714
  3.895315e-01   1.371205e-13   1.236189e-03   3.743919e-16   135002
  3.938308e-01   1.342304e-13   1.243110e-03   3.606136e-16   138866
  3.981506e-01   1.285525e-13   1.245584e-03   3.421208e-16   142146
  4.024599e-01   1.253556e-13   1.240083e-03   3.297385e-16   144476
  4.067698e-01   1.198108e-13   1.249157e-03   3.118357e-16   148274
  4.110722e-01   1.161134e-13   1.241511e-03   2.983693e-16   150498
  4.153656e-01   1.117886e-13   1.240169e-03   2.869081e-16   153578
  4.196566e-01   1.076513e-13   1.243070e-03   2.731723e-16   156974
  4.239772e-01   1.051745e-13   1.254355e-03   2.617745e-16   162090
  4.282871e-01   1.012311e-13   1.232977e-03   2.516529e-16   162674
  4.325900e-01   9.771551e-14   1.248247e-03   2.378735e-16   168186
  4.368889e-01   9.533777e-14   1.230518e-03   2.319805e-16   168986
  4.411796e-01   9.221784e-14   1.243170e-03   2.215709e-16   174302
  4.454808e-01   8.926240e-14   1.235964e-03   2.126580e-16   176394
  4.497749e-01   8.676174e-14   1.243559e-03   2.044223e-16   180848
  4.540988e-01   8.411401e-14   1.252525e-03   1.953021e-16   185522
  4.584177e-01   8.151696e-14   1.245424e-03   1.885573e-16   187758
  4.627131e-01   7.838702e-14   1.237877e-03   1.799221e-16   190322
  4.670077e-01   7.642006e-14   1.244159e-03   1.733311e-16   194898
