# power spectrum of delta
# redshift z=98.997596
# k              Pk             sigma(k)       sigma(Pk)      count
  3.926991e-03   2.810713e-08   3.512237e-11   1.132950e-08   6
  6.468504e-03   7.305148e-08   9.292307e-04   1.492559e-08   26
  1.075752e-02   3.669992e-07   1.401573e-03   4.103595e-08   114
  1.536034e-02   1.112830e-06   1.321130e-03   7.780285e-08   218
  1.986055e-02   1.859959e-06   1.282852e-03   9.780847e-08   374
  2.412735e-02   3.125233e-06   1.070437e-03   1.433910e-07   474
  2.806277e-02   4.827095e-06   1.114764e-03   2.059246e-07   650
  3.226384e-02   5.869992e-06   1.228263e-03   1.942292e-07   938
  3.651078e-02   7.406703e-06   1.191974e-03   2.210283e-07   1158
  4.085013e-02   9.074498e-06   1.255331e-03   2.249462e-07   1538
  4.514216e-02   1.183011e-05   1.197883e-03   2.869110e-07   1752
  4.940297e-02   1.338266e-05   1.270218e-03   2.858870e-07   2210
  5.382476e-02   1.693081e-05   1.313135e-03   3.431782e-07   2690
  5.822499e-02   2.006007e-05   1.260291e-03   3.771962e-07   3054
  6.261788e-02   2.403524e-05   1.278262e-03   4.054786e-07   3602
  6.689321e-02   2.786470e-05   1.192161e-03   4.502615e-07   3842
  7.113570e-02   3.162686e-05   1.241459e-03   4.698317e-07   4554
  7.543827e-02   3.437385e-05   1.223626e-03   4.876043e-07   5030
  7.964244e-02   3.831504e-05   1.192059e-03   5.349071e-07   5474
  8.383361e-02   4.164889e-05   1.204502e-03   5.390568e-07   6162
  8.813706e-02   4.372172e-05   1.244010e-03   5.092705e-07   7016
  9.251506e-02   4.658975e-05   1.282007e-03   5.247995e-07   7818
  9.690760e-02   4.900113e-05   1.275623e-03   5.424906e-07   8582
  1.012249e-01   5.113890e-05   1.222801e-03   5.270163e-07   8954
  1.055230e-01   5.503004e-05   1.275661e-03   5.368929e-07   10170
  1.098886e-01   5.832954e-05   1.242528e-03   5.662598e-07   10826
  1.141614e-01   6.407307e-05   1.215228e-03   6.049956e-07   11438
  1.184437e-01   6.824332e-05   1.241708e-03   6.151347e-07   12594
  1.227045e-01   7.275866e-05   1.208460e-03   6.302694e-07   13130
  1.269880e-01   7.828282e-05   1.247270e-03   6.519034e-07   14586
  1.313025e-01   8.214963e-05   1.229078e-03   6.571278e-07   15242
  1.356256e-01   8.817188e-05   1.268369e-03   6.951619e-07   16772
  1.399394e-01   9.079956e-05   1.224094e-03   6.890314e-07   17178
  1.442192e-01   9.439842e-05   1.256219e-03   6.823498e-07   18722
  1.485429e-01   9.564798e-05   1.247601e-03   6.862106e-07   19706
  1.528259e-01   9.744799e-05   1.235493e-03   6.770128e-07   20694
  1.571269e-01   1.007319e-04   1.247928e-03   6.869629e-07   22154
  1.614322e-01   1.027871e-04   1.238069e-03   6.804432e-07   23210
  1.657530e-01   1.060103e-04   1.247771e-03   6.729548e-07   24762
  1.700419e-01   1.120044e-04   1.219659e-03   7.027602e-07   25418
  1.743047e-01   1.157330e-04   1.232581e-03   6.983438e-07   27030
  1.785948e-01   1.191190e-04   1.236925e-03   7.126558e-07   28400
  1.829249e-01   1.242939e-04   1.260632e-03   7.215831e-07   30314
  1.872537e-01   1.309089e-04   1.245689e-03   7.450691e-07   31242
  1.915471e-01   1.364990e-04   1.243795e-03   7.649210e-07   32726
  1.958851e-01   1.411355e-04   1.262333e-03   7.608766e-07   34802
  2.001902e-01   1.448723e-04   1.225777e-03   7.770789e-07   35298
  2.044527e-01   1.463073e-04   1.231750e-03   7.595861e-07   37106
  2.087345e-01   1.481632e-04   1.233995e-03   7.516223e-07   38750
  2.130597e-01   1.533373e-04   1.253313e-03   7.591322e-07   41082
  2.173474e-01   1.540642e-04   1.213580e-03   7.629331e-07   41330
  2.216268e-01   1.579557e-04   1.248206e-03   7.508957e-07   44226
  2.259811e-01   1.598287e-04   1.262369e-03   7.445872e-07   46256
  2.302954e-01   1.630444e-04   1.236821e-03   7.514294e-07   47006
  2.346000e-01   1.662210e-04   1.253826e-03   7.451703e-07   49506
  2.389041e-01   1.708067e-04   1.236946e-03   7.645876e-07   50618
  2.432051e-01   1.755277e-04   1.252069e-03   7.532685e-07   53114
  2.475055e-01   1.793140e-04   1.235789e-03   7.738444e-07   54366
  2.518059e-01   1.852051e-04   1.244531e-03   7.780496e-07   56834
  2.560686e-01   1.878904e-04   1.213941e-03   7.840159e-07   57258
  2.603901e-01   1.954770e-04   1.274431e-03   7.811371e-07   62378
  2.647358e-01   1.958126e-04   1.225553e-03   7.873443e-07   61850
  2.690012e-01   2.004323e-04   1.236600e-03   7.957645e-07   64284
  2.733015e-01   2.018202e-04   1.248977e-03   7.774538e-07   66938
  2.776367e-01   2.059968e-04   1.258384e-03   7.956372e-07   69602
  2.819415e-01   2.073464e-04   1.232881e-03   7.780986e-07   70242
  2.862215e-01   2.104631e-04   1.244813e-03   7.807362e-07   73166
  2.905544e-01   2.118567e-04   1.257712e-03   7.666503e-07   76370
  2.948557e-01   2.176803e-04   1.224268e-03   7.840922e-07   76578
  2.991694e-01   2.210165e-04   1.260194e-03   7.795957e-07   81362
  3.034794e-01   2.257628e-04   1.220452e-03   7.871885e-07   80994
  3.077617e-01   2.272582e-04   1.245850e-03   7.799932e-07   85046
  3.120682e-01   2.300391e-04   1.236732e-03   7.833655e-07   86552
  3.163691e-01   2.371165e-04   1.248599e-03   7.918593e-07   89754
  3.206760e-01   2.413711e-04   1.241846e-03   8.019905e-07   91538
  3.249908e-01   2.432279e-04   1.257274e-03   7.881005e-07   95198
