# power spectrum of phi
# redshift z=98.997596
# k              Pk             sigma(k)       sigma(Pk)      count
  3.926991e-03   4.623839e-10   3.512237e-11   1.863789e-10   6
  6.468504e-03   3.563473e-10   9.292307e-04   5.097697e-11   26
  1.075752e-02   4.916277e-10   1.401573e-03   5.468517e-11   114
  1.536034e-02   4.261643e-10   1.321130e-03   2.725472e-11   218
  1.986055e-02   2.844268e-10   1.282852e-03   1.411007e-11   374
  2.412735e-02   2.272548e-10   1.070437e-03   1.016897e-11   474
  2.806277e-02   1.982287e-10   1.114764e-03   8.596719e-12   650
  3.226384e-02   1.404960e-10   1.228263e-03   4.671409e-12   938
  3.651078e-02   1.089265e-10   1.191974e-03   3.221408e-12   1158
  4.085013e-02   8.595963e-11   1.255331e-03   2.130880e-12   1538
  4.514216e-02   7.606833e-11   1.197883e-03   1.876762e-12   1752
  4.940297e-02   5.975264e-11   1.270218e-03   1.281373e-12   2210
  5.382476e-02   5.396778e-11   1.313135e-03   1.100300e-12   2690
  5.822499e-02   4.669375e-11   1.260291e-03   8.720136e-13   3054
  6.261788e-02   4.192010e-11   1.278262e-03   7.088260e-13   3602
  6.689321e-02   3.733250e-11   1.192161e-03   6.034189e-13   3842
  7.113570e-02   3.318372e-11   1.241459e-03   4.926105e-13   4554
  7.543827e-02   2.854531e-11   1.223626e-03   4.062860e-13   5030
  7.964244e-02   2.563161e-11   1.192059e-03   3.576050e-13   5474
  8.383361e-02   2.272417e-11   1.204502e-03   2.941800e-13   6162
  8.813706e-02   1.955234e-11   1.244010e-03   2.285816e-13   7016
  9.251506e-02   1.715286e-11   1.282007e-03   1.930415e-13   7818
  9.690760e-02   1.501827e-11   1.275623e-03   1.663985e-13   8582
  1.012249e-01   1.315383e-11   1.222801e-03   1.356723e-13   8954
  1.055230e-01   1.198366e-11   1.275661e-03   1.166885e-13   10170
  1.098886e-01   1.081862e-11   1.242528e-03   1.052420e-13   10826
  1.141614e-01   1.018098e-11   1.215228e-03   9.570695e-14   11438
  1.184437e-01   9.377177e-12   1.241708e-03   8.450004e-14   12594
  1.227045e-01   8.677852e-12   1.208460e-03   7.509228e-14   13130
  1.269880e-01   8.141883e-12   1.247270e-03   6.754527e-14   14586
  1.313025e-01   7.484671e-12   1.229078e-03   5.994521e-14   15242
  1.356256e-01   7.051884e-12   1.268369e-03   5.568592e-14   16772
  1.399394e-01   6.411684e-12   1.224094e-03   4.866938e-14   17178
  1.442192e-01   5.912330e-12   1.256219e-03   4.288845e-14   18722
  1.485429e-01   5.320238e-12   1.247601e-03   3.815420e-14   19706
  1.528259e-01   4.840295e-12   1.235493e-03   3.362120e-14   20694
  1.571269e-01   4.477656e-12   1.247928e-03   3.052064e-14   22154
  1.614322e-01   4.101316e-12   1.238069e-03   2.713893e-14   23210
