# power spectrum of pi_k * H (dimensionless)
# redshift z=49.748176
# k              Pk             sigma(k)       sigma(Pk)      count
  3.926991e-03   1.960278e-10   3.512237e-11   7.901627e-11   6
  6.468504e-03   1.556780e-10   9.292307e-04   2.242108e-11   26
  1.075752e-02   2.172637e-10   1.401573e-03   2.416548e-11   114
  1.536034e-02   1.885870e-10   1.321130e-03   1.206020e-11   218
  1.986055e-02   1.260218e-10   1.282852e-03   6.251788e-12   374
  2.412735e-02   1.008007e-10   1.070437e-03   4.510667e-12   474
  2.806277e-02   8.798780e-11   1.114764e-03   3.815589e-12   650
  3.226384e-02   6.240525e-11   1.228263e-03   2.075117e-12   938
  3.651078e-02   4.840796e-11   1.191974e-03   1.431676e-12   1158
  4.085013e-02   3.820321e-11   1.255331e-03   9.469497e-13   1538
  4.514216e-02   3.378880e-11   1.197883e-03   8.336962e-13   1752
  4.940297e-02   2.652096e-11   1.270218e-03   5.687518e-13   2210
  5.382476e-02   2.392235e-11   1.313135e-03   4.877412e-13   2690
  5.822499e-02   2.067503e-11   1.260291e-03   3.860599e-13   3054
  6.261788e-02   1.854371e-11   1.278262e-03   3.135612e-13   3602
  6.689321e-02   1.650179e-11   1.192161e-03   2.667706e-13   3842
  7.113570e-02   1.466455e-11   1.241459e-03   2.177012e-13   4554
  7.543827e-02   1.261563e-11   1.223626e-03   1.795687e-13   5030
  7.964244e-02   1.133428e-11   1.192059e-03   1.581371e-13   5474
  8.383361e-02   1.005391e-11   1.204502e-03   1.301502e-13   6162
  8.813706e-02   8.656901e-12   1.244010e-03   1.012066e-13   7016
  9.251506e-02   7.599535e-12   1.282007e-03   8.552132e-14   7818
  9.690760e-02   6.656708e-12   1.275623e-03   7.375332e-14   8582
  1.012249e-01   5.830085e-12   1.222801e-03   6.012899e-14   8954
  1.055230e-01   5.309798e-12   1.275661e-03   5.170066e-14   10170
  1.098886e-01   4.789975e-12   1.242528e-03   4.659899e-14   10826
  1.141614e-01   4.504041e-12   1.215228e-03   4.234278e-14   11438
  1.184437e-01   4.144178e-12   1.241708e-03   3.734326e-14   12594
  1.227045e-01   3.831756e-12   1.208460e-03   3.315958e-14   13130
  1.269880e-01   3.592494e-12   1.247270e-03   2.980195e-14   14586
  1.313025e-01   3.300908e-12   1.229078e-03   2.643737e-14   15242
  1.356256e-01   3.109387e-12   1.268369e-03   2.455324e-14   16772
  1.399394e-01   2.827314e-12   1.224094e-03   2.146165e-14   17178
  1.442192e-01   2.608033e-12   1.256219e-03   1.891622e-14   18722
  1.485429e-01   2.347668e-12   1.247601e-03   1.683585e-14   19706
  1.528259e-01   2.136750e-12   1.235493e-03   1.484248e-14   20694
  1.571269e-01   1.977074e-12   1.247928e-03   1.347541e-14   22154
  1.614322e-01   1.811188e-12   1.238069e-03   1.198378e-14   23210
  1.657530e-01   1.680161e-12   1.247771e-03   1.066669e-14   24762
  1.700419e-01   1.601428e-12   1.219659e-03   1.003851e-14   25418
  1.743047e-01   1.498360e-12   1.232581e-03   9.035537e-15   27030
  1.785948e-01   1.399006e-12   1.236925e-03   8.377465e-15   28400
  1.829249e-01   1.325208e-12   1.260632e-03   7.695608e-15   30314
  1.872537e-01   1.270819e-12   1.245689e-03   7.234681e-15   31242
  1.915471e-01   1.208918e-12   1.243795e-03   6.770088e-15   32726
  1.958851e-01   1.142993e-12   1.262333e-03   6.163806e-15   34802
  2.001902e-01   1.075586e-12   1.225777e-03   5.771256e-15   35298
  2.044527e-01   9.982656e-13   1.231750e-03   5.186865e-15   37106
  2.087345e-01   9.305927e-13   1.233995e-03   4.724380e-15   38750
  2.130597e-01   8.871635e-13   1.253313e-03   4.391850e-15   41082
  2.173474e-01   8.228817e-13   1.213580e-03   4.074573e-15   41330
  2.216268e-01   7.806523e-13   1.248206e-03   3.711909e-15   44226
  2.259811e-01   7.305733e-13   1.262369e-03   3.404256e-15   46256
  2.302954e-01   6.908984e-13   1.236821e-03   3.183183e-15   47006
  2.346000e-01   6.538996e-13   1.253826e-03   2.931439e-15   49506
  2.389041e-01   6.243279e-13   1.236946e-03   2.794612e-15   50618
  2.432051e-01   5.971864e-13   1.252069e-03   2.563212e-15   53114
  2.475055e-01   5.683503e-13   1.235789e-03   2.452902e-15   54366
  2.518059e-01   5.476206e-13   1.244531e-03   2.300615e-15   56834
  2.560686e-01   5.193007e-13   1.213941e-03   2.167025e-15   57258
  2.603901e-01   5.050692e-13   1.274431e-03   2.017273e-15   62378
  2.647358e-01   4.733628e-13   1.225553e-03   1.902879e-15   61850
  2.690012e-01   4.546006e-13   1.236600e-03   1.805538e-15   64284
  2.733015e-01   4.295346e-13   1.248977e-03   1.655199e-15   66938
  2.776367e-01   4.115570e-13   1.258384e-03   1.589800e-15   69602
  2.819415e-01   3.894638e-13   1.232881e-03   1.462054e-15   70242
  2.862215e-01   3.721211e-13   1.244813e-03   1.381087e-15   73166
  2.905544e-01   3.526830e-13   1.257712e-03   1.276965e-15   76370
  2.948557e-01   3.414929e-13   1.224268e-03   1.230164e-15   76578
  2.991694e-01   3.271036e-13   1.260194e-03   1.154319e-15   81362
  3.034794e-01   3.153552e-13   1.220452e-03   1.099567e-15   80994
  3.077617e-01   2.999608e-13   1.245850e-03   1.029761e-15   85046
  3.120682e-01   2.870459e-13   1.236732e-03   9.777296e-16   86552
  3.163691e-01   2.799557e-13   1.248599e-03   9.348865e-16   89754
  3.206760e-01   2.698343e-13   1.241846e-03   8.961280e-16   91538
  3.249908e-01   2.577166e-13   1.257274e-03   8.353409e-16   95198
  3.292984e-01   2.487195e-13   1.234300e-03   8.040632e-16   96066
  3.335953e-01   2.384445e-13   1.250578e-03   7.484629e-16   99890
  3.379016e-01   2.280479e-13   1.237173e-03   7.216314e-16   101562
  3.421850e-01   2.193594e-13   1.235122e-03   6.852091e-16   103994
  3.465039e-01   2.117216e-13   1.254469e-03   6.453626e-16   108566
  3.508098e-01   2.022345e-13   1.225687e-03   6.141077e-16   108570
  3.550962e-01   1.945387e-13   1.245765e-03   5.731782e-16   113162
  3.594096e-01   1.873086e-13   1.239769e-03   5.531513e-16   115136
  3.637064e-01   1.823700e-13   1.244989e-03   5.326911e-16   118110
  3.680190e-01   1.749910e-13   1.250013e-03   5.037668e-16   121466
  3.723377e-01   1.697350e-13   1.247712e-03   4.825434e-16   124154
  3.766409e-01   1.640075e-13   1.239592e-03   4.654667e-16   126282
  3.809305e-01   1.580961e-13   1.239411e-03   4.408812e-16   129206
  3.852310e-01   1.525153e-13   1.240944e-03   4.227835e-16   132714
  3.895315e-01   1.473281e-13   1.236189e-03   4.021273e-16   135002
  3.938308e-01   1.443575e-13   1.243110e-03   3.876940e-16   138866
  3.981506e-01   1.384750e-13   1.245584e-03   3.679634e-16   142146
  4.024599e-01   1.351234e-13   1.240083e-03   3.553943e-16   144476
  4.067698e-01   1.293071e-13   1.249157e-03   3.362238e-16   148274
  4.110722e-01   1.255201e-13   1.241511e-03   3.225504e-16   150498
  4.153656e-01   1.210085e-13   1.240169e-03   3.103636e-16   153578
  4.196566e-01   1.166336e-13   1.243070e-03   2.959515e-16   156974
  4.239772e-01   1.140158e-13   1.254355e-03   2.834719e-16   162090
  4.282871e-01   1.098485e-13   1.232977e-03   2.730874e-16   162674
  4.325900e-01   1.063169e-13   1.248247e-03   2.586430e-16   168186
  4.368889e-01   1.037401e-13   1.230518e-03   2.521417e-16   168986
  4.411796e-01   1.004480e-13   1.243170e-03   2.411480e-16   174302
  4.454808e-01   9.732297e-14   1.235964e-03   2.316295e-16   176394
  4.497749e-01   9.473093e-14   1.243559e-03   2.231341e-16   180848
  4.540988e-01   9.194736e-14   1.252525e-03   2.136766e-16   185522
  4.584177e-01   8.927277e-14   1.245424e-03   2.062038e-16   187758
  4.627131e-01   8.588365e-14   1.237877e-03   1.970771e-16   190322
  4.670077e-01   8.397125e-14   1.244159e-03   1.902159e-16   194898
  4.713189e-01   8.108937e-14   1.244577e-03   1.817241e-16   198914
  4.756220e-01   7.877778e-14   1.237959e-03   1.767617e-16   201386
  4.799286e-01   7.678576e-14   1.245790e-03   1.701069e-16   206694
  4.842396e-01   7.480075e-14   1.237579e-03   1.645311e-16   208970
  4.885355e-01   7.299650e-14   1.239312e-03   1.585757e-16   212858
  4.928323e-01   7.042287e-14   1.239690e-03   1.513862e-16   216432
  4.971331e-01   6.855703e-14   1.245356e-03   1.452595e-16   220910
  5.014504e-01   6.664271e-14   1.251792e-03   1.403410e-16   225818
  5.057482e-01   6.483830e-14   1.234295e-03   1.358803e-16   226578
  5.100535e-01   6.326511e-14   1.253105e-03   1.306921e-16   234314
  5.143672e-01   6.186799e-14   1.238530e-03   1.275477e-16   235338
  5.186759e-01   5.991478e-14   1.249367e-03   1.217413e-16   241886
  5.229717e-01   5.863022e-14   1.226886e-03   1.190391e-16   241514
  5.272665e-01   5.685224e-14   1.249867e-03   1.136619e-16   250122
  5.315791e-01   5.531084e-14   1.236342e-03   1.096033e-16   251450
  5.358794e-01   5.413227e-14   1.243646e-03   1.071472e-16   256940
  5.401773e-01   5.239367e-14   1.237459e-03   1.027820e-16   259314
  5.444679e-01   5.130210e-14   1.243546e-03   9.954176e-17   264602
  5.487766e-01   4.991983e-14   1.245963e-03   9.626254e-17   269602
  5.530817e-01   4.859339e-14   1.241744e-03   9.286205e-17   272710
  5.573981e-01   4.741512e-14   1.251961e-03   8.961364e-17   279650
  5.617030e-01   4.618952e-14   1.232873e-03   8.775151e-17   279618
  5.660045e-01   4.538861e-14   1.249306e-03   8.481887e-17   288074
  5.703137e-01   4.380366e-14   1.235438e-03   8.139646e-17   289010
  5.746156e-01   4.293621e-14   1.247203e-03   7.879432e-17   296310
  5.789244e-01   4.200618e-14   1.237400e-03   7.715650e-17   298346
  5.832246e-01   4.105879e-14   1.245397e-03   7.431661e-17   304256
  5.875350e-01   4.004724e-14   1.246290e-03   7.219810e-17   308826
  5.918408e-01   3.902833e-14   1.243049e-03   6.960748e-17   312590
  5.961529e-01   3.819584e-14   1.248985e-03   6.765536e-17   318762
  6.004593e-01   3.741627e-14   1.240718e-03   6.579858e-17   321074
  6.047547e-01   3.648758e-14   1.240799e-03   6.428275e-17   326378
  6.090549e-01   3.553315e-14   1.240211e-03   6.193603e-17   330738
  6.133630e-01   3.478848e-14   1.246939e-03   5.999184e-17   337382
  6.176694e-01   3.406053e-14   1.237203e-03   5.837170e-17   339626
  6.219644e-01   3.327444e-14   1.240002e-03   5.678403e-17   345162
  6.262616e-01   3.234208e-14   1.239266e-03   5.478993e-17   349400
  6.305613e-01   3.189902e-14   1.244262e-03   5.354375e-17   355382
  6.348730e-01   3.106434e-14   1.246769e-03   5.189147e-17   360954
  6.391819e-01   3.032198e-14   1.243477e-03   5.053811e-17   364778
  6.435002e-01   2.973106e-14   1.250914e-03   4.897600e-17   372426
  6.478087e-01   2.904108e-14   1.236390e-03   4.767066e-17   372794
  6.521037e-01   2.841643e-14   1.244101e-03   4.617986e-17   380486
  6.564090e-01   2.780553e-14   1.239094e-03   4.477723e-17   384066
  6.607107e-01   2.706659e-14   1.242538e-03   4.358780e-17   390434
  6.650234e-01   2.654899e-14   1.243376e-03   4.234159e-17   395762
  6.693144e-01   2.609848e-14   1.232039e-03   4.145899e-17   397062
  6.736189e-01   2.546629e-14   1.251120e-03   3.992531e-17   408176
  6.779316e-01   2.492313e-14   1.240403e-03   3.905843e-17   409362
  6.822349e-01   2.434787e-14   1.245861e-03   3.776886e-17   416666
  6.865353e-01   2.400427e-14   1.238522e-03   3.715371e-17   419186
  6.908366e-01   2.346693e-14   1.246872e-03   3.604065e-17   427638
  6.951419e-01   2.285301e-14   1.239127e-03   3.494708e-17   430274
  6.994439e-01   2.245456e-14   1.244186e-03   3.401661e-17   438050
  7.037510e-01   2.199662e-14   1.238974e-03   3.332011e-17   441426
  7.080449e-01   2.157626e-14   1.239295e-03   3.230746e-17   446942
  7.123499e-01   2.114379e-14   1.242845e-03   3.140300e-17   453890
  7.166480e-01   2.073205e-14   1.237274e-03   3.069911e-17   456816
  7.209534e-01   2.026819e-14   1.248635e-03   2.969499e-17   466370
  7.252656e-01   1.991059e-14   1.242502e-03   2.926158e-17   469518
  7.295732e-01   1.950933e-14   1.245116e-03   2.836861e-17   476330
  7.338725e-01   1.908851e-14   1.238721e-03   2.766894e-17   478994
  7.381744e-01   1.873106e-14   1.246904e-03   2.684390e-17   488394
  7.424884e-01   1.844740e-14   1.242990e-03   2.630883e-17   492698
  7.467973e-01   1.807069e-14   1.243980e-03   2.564414e-17   498974
  7.510935e-01   1.767308e-14   1.234693e-03   2.504224e-17   501090
  7.553919e-01   1.735499e-14   1.244343e-03   2.428588e-17   511082
  7.597004e-01   1.702780e-14   1.240179e-03   2.377169e-17   514784
  7.639967e-01   1.666633e-14   1.240878e-03   2.315960e-17   520350
  7.683091e-01   1.633588e-14   1.249509e-03   2.246361e-17   530138
  7.726120e-01   1.601379e-14   1.236517e-03   2.205206e-17   529794
  7.769160e-01   1.578485e-14   1.251602e-03   2.154788e-17   542762
  7.812225e-01   1.544586e-14   1.235289e-03   2.098498e-17   541634
  7.855259e-01   1.520025e-14   1.250892e-03   2.047133e-17   554670
  7.898355e-01   1.489762e-14   1.237417e-03   2.000367e-17   554834
  7.941302e-01   1.466833e-14   1.241778e-03   1.955124e-17   563306
  7.984446e-01   1.431131e-14   1.246587e-03   1.898357e-17   571794
  8.027475e-01   1.406527e-14   1.236199e-03   1.862850e-17   572894
  8.070387e-01   1.379825e-14   1.240006e-03   1.813618e-17   580776
  8.113339e-01   1.359473e-14   1.240324e-03   1.784924e-17   586418
  8.156437e-01   1.331362e-14   1.249813e-03   1.729635e-17   597386
  8.199632e-01   1.309617e-14   1.245750e-03   1.689897e-17   601362
  8.242739e-01   1.286321e-14   1.245729e-03   1.650876e-17   608078
  8.285755e-01   1.263161e-14   1.238705e-03   1.619560e-17   610898
  8.328766e-01   1.244538e-14   1.245632e-03   1.579180e-17   621330
  8.371838e-01   1.218821e-14   1.238702e-03   1.546220e-17   624722
  8.414815e-01   1.198381e-14   1.240373e-03   1.509205e-17   631958
  8.457801e-01   1.173518e-14   1.238534e-03   1.475255e-17   637602
  8.500779e-01   1.156796e-14   1.240333e-03   1.449130e-17   644840
  8.543927e-01   1.139000e-14   1.249060e-03   1.412738e-17   655578
  8.587058e-01   1.115791e-14   1.242590e-03   1.379270e-17   657818
  8.630031e-01   1.093561e-14   1.240971e-03   1.340301e-17   664022
  8.673080e-01   1.079382e-14   1.245948e-03   1.320394e-17   672954
  8.716138e-01   1.058756e-14   1.242705e-03   1.287632e-17   678338
  8.759180e-01   1.040263e-14   1.242125e-03   1.261927e-17   685130
  8.802218e-01   1.022197e-14   1.242115e-03   1.236253e-17   692166
  8.845144e-01   1.008638e-14   1.234388e-03   1.212440e-17   694682
  8.888163e-01   9.902155e-15   1.247301e-03   1.180691e-17   709146
  8.931296e-01   9.715268e-15   1.239356e-03   1.156362e-17   711506
  8.974273e-01   9.553599e-15   1.240782e-03   1.128254e-17   718148
  9.017357e-01   9.425375e-15   1.247217e-03   1.107260e-17   729042
  9.060468e-01   9.278852e-15   1.242130e-03   1.089357e-17   732410
  9.103467e-01   9.114397e-15   1.242891e-03   1.064546e-17   739946
  9.146534e-01   8.961321e-15   1.244593e-03   1.040869e-17   747906
  9.189582e-01   8.801440e-15   1.242506e-03   1.015489e-17   754214
  9.232643e-01   8.659024e-15   1.242436e-03   9.933331e-18   761618
  9.275643e-01   8.514995e-15   1.239211e-03   9.759604e-18   766986
  9.318660e-01   8.401911e-15   1.241058e-03   9.561039e-18   775922
  9.361725e-01   8.264359e-15   1.241758e-03   9.353798e-18   783198
  9.404756e-01   8.107034e-15   1.240472e-03   9.162649e-18   789080
  9.447763e-01   8.001766e-15   1.242851e-03   9.000847e-18   796850
  9.490869e-01   7.857586e-15   1.247937e-03   8.770431e-18   807522
  9.533924e-01   7.728372e-15   1.239848e-03   8.594069e-18   808994
  9.577007e-01   7.617369e-15   1.250666e-03   8.388913e-18   824078
  9.620112e-01   7.487072e-15   1.238593e-03   8.270129e-18   823554
  9.663007e-01   7.371452e-15   1.239589e-03   8.100306e-18   831818
  9.705964e-01   7.280744e-15   1.239567e-03   7.963461e-18   839906
  9.749005e-01   7.124134e-15   1.243918e-03   7.762518e-18   850518
  9.792141e-01   7.035552e-15   1.243935e-03   7.616084e-18   858194
  9.835154e-01   6.942663e-15   1.237898e-03   7.528840e-18   861138
  9.878201e-01   6.836859e-15   1.246238e-03   7.341163e-18   874328
  9.921277e-01   6.713329e-15   1.242167e-03   7.218962e-18   877754
  9.964333e-01   6.619933e-15   1.246740e-03   7.041830e-18   889110
  1.000736e+00   6.512041e-15   1.239362e-03   6.923791e-18   891266
  1.005045e+00   6.414345e-15   1.250650e-03   6.759766e-18   907490
  1.009351e+00   6.316786e-15   1.236362e-03   6.648337e-18   905442
  1.013648e+00   6.220705e-15   1.243368e-03   6.503403e-18   919094
  1.017959e+00   6.122183e-15   1.242743e-03   6.355968e-18   926706
  1.022255e+00   6.019970e-15   1.235935e-03   6.266293e-18   929066
  1.026557e+00   5.959212e-15   1.244945e-03   6.160190e-18   944210
  1.030871e+00   5.855250e-15   1.244094e-03   6.052639e-18   950280
  1.035172e+00   5.767520e-15   1.240473e-03   5.935040e-18   954830
  1.039482e+00   5.685946e-15   1.249830e-03   5.806619e-18   969770
  1.043793e+00   5.604448e-15   1.241385e-03   5.712511e-18   971370
  1.048084e+00   5.523879e-15   1.238565e-03   5.617596e-18   976970
  1.052389e+00   5.441990e-15   1.248650e-03   5.467900e-18   993998
  1.056701e+00   5.345765e-15   1.239979e-03   5.381499e-18   995850
  1.061001e+00   5.276885e-15   1.241064e-03   5.276884e-18   1004930
  1.065300e+00   5.211004e-15   1.238399e-03   5.209069e-18   1011570
  1.069600e+00   5.120469e-15   1.241097e-03   5.092835e-18   1021550
  1.073904e+00   5.053630e-15   1.241994e-03   5.016586e-18   1030184
  1.078211e+00   4.980755e-15   1.244718e-03   4.902562e-18   1039458
  1.082516e+00   4.899821e-15   1.242818e-03   4.810927e-18   1046378
  1.086817e+00   4.846632e-15   1.241429e-03   4.754993e-18   1053266
  1.091121e+00   4.769728e-15   1.245400e-03   4.635956e-18   1065414
  1.095433e+00   4.711630e-15   1.244145e-03   4.563412e-18   1073258
  1.099737e+00   4.637847e-15   1.239997e-03   4.483528e-18   1078522
  1.104033e+00   4.575316e-15   1.238538e-03   4.415495e-18   1086226
  1.108335e+00   4.504014e-15   1.242384e-03   4.327793e-18   1098374
  1.112647e+00   4.441607e-15   1.244052e-03   4.251420e-18   1108626
  1.116952e+00   4.375949e-15   1.239083e-03   4.186710e-18   1111466
  1.121259e+00   4.327379e-15   1.247025e-03   4.105976e-18   1127384
  1.125557e+00   4.265533e-15   1.234728e-03   4.047722e-18   1123506
  1.129854e+00   4.202748e-15   1.248772e-03   3.946216e-18   1144814
  1.134168e+00   4.147217e-15   1.243865e-03   3.887113e-18   1149074
  1.138474e+00   4.090004e-15   1.244851e-03   3.819682e-18   1159050
  1.142776e+00   4.032080e-15   1.239251e-03   3.769808e-18   1163282
  1.147076e+00   3.978340e-15   1.243109e-03   3.692249e-18   1176462
  1.151386e+00   3.931285e-15   1.242518e-03   3.635513e-18   1185266
  1.155692e+00   3.863210e-15   1.242010e-03   3.559697e-18   1193066
  1.159992e+00   3.814487e-15   1.238572e-03   3.511168e-18   1199058
  1.164291e+00   3.766157e-15   1.242339e-03   3.455082e-18   1210400
  1.168599e+00   3.717291e-15   1.245940e-03   3.388163e-18   1222238
  1.172906e+00   3.661760e-15   1.242668e-03   3.325499e-18   1227642
  1.177204e+00   3.615513e-15   1.241123e-03   3.276226e-18   1235594
  1.181510e+00   3.566707e-15   1.246370e-03   3.216648e-18   1249850
  1.185818e+00   3.520469e-15   1.242248e-03   3.162218e-18   1255470
  1.190121e+00   3.467155e-15   1.240701e-03   3.102796e-18   1264130
  1.194423e+00   3.424458e-15   1.241739e-03   3.051649e-18   1274130
  1.198728e+00   3.381576e-15   1.242253e-03   3.016757e-18   1283978
  1.203038e+00   3.336761e-15   1.244741e-03   2.951457e-18   1295498
  1.207344e+00   3.289084e-15   1.240214e-03   2.910315e-18   1300158
  1.211643e+00   3.247584e-15   1.241677e-03   2.861348e-18   1309064
  1.215945e+00   3.213477e-15   1.245586e-03   2.817675e-18   1322690
  1.220252e+00   3.168953e-15   1.242364e-03   2.768082e-18   1328658
  1.224558e+00   3.123797e-15   1.246335e-03   2.714327e-18   1342238
  1.228869e+00   3.078501e-15   1.243416e-03   2.676188e-18   1349490
  1.233166e+00   3.048037e-15   1.237892e-03   2.646136e-18   1353506
  1.237466e+00   3.003284e-15   1.242952e-03   2.590330e-18   1369106
  1.241772e+00   2.967257e-15   1.242177e-03   2.546361e-18   1377582
  1.246079e+00   2.923630e-15   1.242400e-03   2.504751e-18   1388114
  1.250381e+00   2.887063e-15   1.239627e-03   2.467313e-18   1393274
  1.254678e+00   2.854015e-15   1.241614e-03   2.432496e-18   1404720
  1.258988e+00   2.817988e-15   1.247243e-03   2.391436e-18   1420178
  1.263292e+00   2.780812e-15   1.239631e-03   2.352910e-18   1421174
  1.267590e+00   2.746041e-15   1.243106e-03   2.320233e-18   1434786
  1.271896e+00   2.710810e-15   1.244547e-03   2.276152e-18   1446986
  1.276207e+00   2.674118e-15   1.243658e-03   2.234982e-18   1456698
  1.280513e+00   2.642487e-15   1.241620e-03   2.205446e-18   1464134
  1.284817e+00   2.610840e-15   1.241275e-03   2.171139e-18   1474346
  1.289118e+00   2.582192e-15   1.239915e-03   2.143552e-18   1481874
  1.293420e+00   2.538266e-15   1.242922e-03   2.099976e-18   1495418
  1.297725e+00   2.515988e-15   1.241362e-03   2.073080e-18   1502768
  1.302034e+00   2.481874e-15   1.247057e-03   2.034662e-18   1519446
  1.306335e+00   2.449684e-15   1.237101e-03   2.012365e-18   1516106
  1.310634e+00   2.418950e-15   1.247497e-03   1.973720e-18   1539458
  1.314948e+00   2.390123e-15   1.243906e-03   1.943054e-18   1545762
  1.319254e+00   2.365990e-15   1.242503e-03   1.921790e-18   1554062
  1.323553e+00   2.332502e-15   1.239615e-03   1.892958e-18   1561650
  1.327854e+00   2.308826e-15   1.242329e-03   1.866759e-18   1575458
  1.332163e+00   2.277106e-15   1.243591e-03   1.828809e-18   1587722
  1.336470e+00   2.247827e-15   1.241143e-03   1.803942e-18   1594002
  1.340765e+00   2.222997e-15   1.238235e-03   1.779012e-18   1600814
  1.345068e+00   2.193808e-15   1.245460e-03   1.741974e-18   1619192
  1.349373e+00   2.171547e-15   1.241649e-03   1.724346e-18   1624002
  1.353677e+00   2.142743e-15   1.244635e-03   1.698363e-18   1638602
  1.357986e+00   2.122908e-15   1.244174e-03   1.670632e-18   1648566
  1.362290e+00   2.092626e-15   1.241284e-03   1.649734e-18   1655666
  1.366596e+00   2.064345e-15   1.245214e-03   1.618123e-18   1671698
  1.370906e+00   2.040796e-15   1.242328e-03   1.597885e-18   1679562
  1.375207e+00   2.014847e-15   1.239299e-03   1.575287e-18   1685138
  1.379509e+00   1.991584e-15   1.243826e-03   1.547732e-18   1702454
  1.383816e+00   1.969283e-15   1.241119e-03   1.529165e-18   1708986
  1.388120e+00   1.943855e-15   1.243909e-03   1.504120e-18   1722488
  1.392418e+00   1.925069e-15   1.238529e-03   1.485730e-18   1724810
  1.396721e+00   1.900144e-15   1.248056e-03   1.456506e-18   1749438
  1.401035e+00   1.881371e-15   1.243226e-03   1.446633e-18   1753610
