# power spectrum of zeta (dimensionless)
# redshift z=49.748176
# k              Pk             sigma(k)       sigma(Pk)      count
  3.926991e-03   1.180290e-18   3.512237e-11   2.595375e-19   6
  6.468504e-03   1.456679e-17   9.292307e-04   2.911518e-18   26
  1.075752e-02   5.962817e-17   1.401573e-03   5.786241e-18   114
  1.536034e-02   1.331656e-16   1.321130e-03   8.140429e-18   218
  1.986055e-02   1.885364e-16   1.282852e-03   8.853809e-18   374
  2.412735e-02   2.387903e-16   1.070437e-03   1.059197e-17   474
  2.806277e-02   2.827156e-16   1.114764e-03   1.048356e-17   650
  3.226384e-02   3.211889e-16   1.228263e-03   1.062005e-17   938
  3.651078e-02   3.983516e-16   1.191974e-03   1.130368e-17   1158
  4.085013e-02   4.486122e-16   1.255331e-03   1.092273e-17   1538
  4.514216e-02   4.818276e-16   1.197883e-03   1.157337e-17   1752
  4.940297e-02   5.347834e-16   1.270218e-03   1.121160e-17   2210
  5.382476e-02   5.823846e-16   1.313135e-03   1.146747e-17   2690
  5.822499e-02   6.151953e-16   1.260291e-03   1.091088e-17   3054
  6.261788e-02   6.353160e-16   1.278262e-03   1.029832e-17   3602
  6.689321e-02   6.606669e-16   1.192161e-03   1.113217e-17   3842
  7.113570e-02   6.469498e-16   1.241459e-03   9.295052e-18   4554
  7.543827e-02   6.969225e-16   1.223626e-03   9.890024e-18   5030
  7.964244e-02   6.826061e-16   1.192059e-03   9.118368e-18   5474
  8.383361e-02   7.269505e-16   1.204502e-03   9.297996e-18   6162
  8.813706e-02   7.427307e-16   1.244010e-03   8.887957e-18   7016
  9.251506e-02   7.519255e-16   1.282007e-03   8.727902e-18   7818
  9.690760e-02   7.472525e-16   1.275623e-03   7.922290e-18   8582
  1.012249e-01   7.525199e-16   1.222801e-03   8.052429e-18   8954
  1.055230e-01   7.649056e-16   1.275661e-03   7.583704e-18   10170
  1.098886e-01   7.895653e-16   1.242528e-03   7.626223e-18   10826
  1.141614e-01   7.629621e-16   1.215228e-03   7.242062e-18   11438
  1.184437e-01   7.784531e-16   1.241708e-03   6.956321e-18   12594
  1.227045e-01   7.826642e-16   1.208460e-03   6.737290e-18   13130
  1.269880e-01   7.755529e-16   1.247270e-03   6.435659e-18   14586
  1.313025e-01   7.628130e-16   1.229078e-03   6.088011e-18   15242
  1.356256e-01   7.772212e-16   1.268369e-03   6.041298e-18   16772
  1.399394e-01   7.693053e-16   1.224094e-03   6.025259e-18   17178
  1.442192e-01   7.513916e-16   1.256219e-03   5.514698e-18   18722
  1.485429e-01   7.499533e-16   1.247601e-03   5.382858e-18   19706
  1.528259e-01   7.575529e-16   1.235493e-03   5.278674e-18   20694
  1.571269e-01   7.469118e-16   1.247928e-03   5.032101e-18   22154
  1.614322e-01   7.405643e-16   1.238069e-03   4.857702e-18   23210
  1.657530e-01   7.418569e-16   1.247771e-03   4.723564e-18   24762
  1.700419e-01   7.443242e-16   1.219659e-03   4.759199e-18   25418
  1.743047e-01   7.365224e-16   1.232581e-03   4.437651e-18   27030
  1.785948e-01   7.238407e-16   1.236925e-03   4.281541e-18   28400
  1.829249e-01   7.136128e-16   1.260632e-03   4.104643e-18   30314
  1.872537e-01   7.138336e-16   1.245689e-03   4.072206e-18   31242
  1.915471e-01   7.088585e-16   1.243795e-03   3.915221e-18   32726
  1.958851e-01   7.074044e-16   1.262333e-03   3.807673e-18   34802
  2.001902e-01   7.068055e-16   1.225777e-03   3.833678e-18   35298
  2.044527e-01   6.987323e-16   1.231750e-03   3.645286e-18   37106
  2.087345e-01   6.962159e-16   1.233995e-03   3.554000e-18   38750
  2.130597e-01   6.908958e-16   1.253313e-03   3.408107e-18   41082
  2.173474e-01   6.810259e-16   1.213580e-03   3.327471e-18   41330
  2.216268e-01   6.686798e-16   1.248206e-03   3.161120e-18   44226
  2.259811e-01   6.650799e-16   1.262369e-03   3.156166e-18   46256
  2.302954e-01   6.537654e-16   1.236821e-03   2.997071e-18   47006
  2.346000e-01   6.545612e-16   1.253826e-03   2.961001e-18   49506
  2.389041e-01   6.434375e-16   1.236946e-03   2.869849e-18   50618
  2.432051e-01   6.388938e-16   1.252069e-03   2.775192e-18   53114
  2.475055e-01   6.406435e-16   1.235789e-03   2.757912e-18   54366
  2.518059e-01   6.366004e-16   1.244531e-03   2.668577e-18   56834
  2.560686e-01   6.280702e-16   1.213941e-03   2.659325e-18   57258
  2.603901e-01   6.215393e-16   1.274431e-03   2.477928e-18   62378
  2.647358e-01   6.102311e-16   1.225553e-03   2.469351e-18   61850
  2.690012e-01   6.122611e-16   1.236600e-03   2.407444e-18   64284
  2.733015e-01   6.031522e-16   1.248977e-03   2.349955e-18   66938
  2.776367e-01   5.984433e-16   1.258384e-03   2.267589e-18   69602
  2.819415e-01   5.942306e-16   1.232881e-03   2.230140e-18   70242
