# power spectrum of phi
# redshift z=48.519767
# k              Pk             sigma(k)       sigma(Pk)      count
  3.926991e-03   4.374601e-10   3.512237e-11   1.763323e-10   6
  6.468504e-03   3.453998e-10   9.292307e-04   4.972347e-11   26
  1.075752e-02   4.816833e-10   1.401573e-03   5.357629e-11   114
  1.536034e-02   4.179053e-10   1.321130e-03   2.672908e-11   218
  1.986055e-02   2.790125e-10   1.282852e-03   1.384129e-11   374
  2.412735e-02   2.229197e-10   1.070437e-03   9.974891e-12   474
  2.806277e-02   1.944026e-10   1.114764e-03   8.429792e-12   650
  3.226384e-02   1.377585e-10   1.228263e-03   4.580713e-12   938
  3.651078e-02   1.067814e-10   1.191974e-03   3.158130e-12   1158
  4.085013e-02   8.426512e-11   1.255331e-03   2.088884e-12   1538
  4.514216e-02   7.456266e-11   1.197883e-03   1.839429e-12   1752
  4.940297e-02   5.856338e-11   1.270218e-03   1.255529e-12   2210
  5.382476e-02   5.289039e-11   1.313135e-03   1.078314e-12   2690
  5.822499e-02   4.576663e-11   1.260291e-03   8.546310e-13   3054
  6.261788e-02   4.108789e-11   1.278262e-03   6.947891e-13   3602
  6.689321e-02   3.658356e-11   1.192161e-03   5.913589e-13   3842
  7.113570e-02   3.251613e-11   1.241459e-03   4.826931e-13   4554
  7.543827e-02   2.796927e-11   1.223626e-03   3.980964e-13   5030
  7.964244e-02   2.511405e-11   1.192059e-03   3.503648e-13   5474
  8.383361e-02   2.225858e-11   1.204502e-03   2.881917e-13   6162
  8.813706e-02   1.914987e-11   1.244010e-03   2.238826e-13   7016
  9.251506e-02   1.679699e-11   1.282007e-03   1.890453e-13   7818
  9.690760e-02   1.470534e-11   1.275623e-03   1.629792e-13   8582
  1.012249e-01   1.287739e-11   1.222801e-03   1.328335e-13   8954
  1.055230e-01   1.173182e-11   1.275661e-03   1.142608e-13   10170
  1.098886e-01   1.059047e-11   1.242528e-03   1.030152e-13   10826
  1.141614e-01   9.965394e-12   1.215228e-03   9.367836e-14   11438
  1.184437e-01   9.176877e-12   1.241708e-03   8.269597e-14   12594
  1.227045e-01   8.492002e-12   1.208460e-03   7.347947e-14   13130
  1.269880e-01   7.967130e-12   1.247270e-03   6.609806e-14   14586
  1.313025e-01   7.322947e-12   1.229078e-03   5.864992e-14   15242
  1.356256e-01   6.898488e-12   1.268369e-03   5.446693e-14   16772
  1.399394e-01   6.271253e-12   1.224094e-03   4.760120e-14   17178
  1.442192e-01   5.781398e-12   1.256219e-03   4.193074e-14   18722
  1.485429e-01   5.201039e-12   1.247601e-03   3.729739e-14   19706
  1.528259e-01   4.731621e-12   1.235493e-03   3.286269e-14   20694
  1.571269e-01   4.375669e-12   1.247928e-03   2.982226e-14   22154
  1.614322e-01   4.007861e-12   1.238069e-03   2.651999e-14   23210
  1.657530e-01   3.718083e-12   1.247771e-03   2.360787e-14   24762
  1.700419e-01   3.544843e-12   1.219659e-03   2.221621e-14   25418
  1.743047e-01   3.318430e-12   1.232581e-03   2.000735e-14   27030
  1.785948e-01   3.100333e-12   1.236925e-03   1.856224e-14   28400
  1.829249e-01   2.938457e-12   1.260632e-03   1.706394e-14   30314
  1.872537e-01   2.819875e-12   1.245689e-03   1.605755e-14   31242
  1.915471e-01   2.683323e-12   1.243795e-03   1.502620e-14   32726
  1.958851e-01   2.537776e-12   1.262333e-03   1.368664e-14   34802
  2.001902e-01   2.388221e-12   1.225777e-03   1.281523e-14   35298
  2.044527e-01   2.216131e-12   1.231750e-03   1.151447e-14   37106
  2.087345e-01   2.065615e-12   1.233995e-03   1.048782e-14   38750
  2.130597e-01   1.968675e-12   1.253313e-03   9.744823e-15   41082
  2.173474e-01   1.825580e-12   1.213580e-03   9.039634e-15   41330
  2.216268e-01   1.731336e-12   1.248206e-03   8.233492e-15   44226
  2.259811e-01   1.620569e-12   1.262369e-03   7.551041e-15   46256
  2.302954e-01   1.532492e-12   1.236821e-03   7.060644e-15   47006
  2.346000e-01   1.450828e-12   1.253826e-03   6.503474e-15   49506
  2.389041e-01   1.385933e-12   1.236946e-03   6.203463e-15   50618
  2.432051e-01   1.326134e-12   1.252069e-03   5.692257e-15   53114
  2.475055e-01   1.262476e-12   1.235789e-03   5.447868e-15   54366
  2.518059e-01   1.217006e-12   1.244531e-03   5.112454e-15   56834
  2.560686e-01   1.154298e-12   1.213941e-03   4.818207e-15   57258
  2.603901e-01   1.122990e-12   1.274431e-03   4.484319e-15   62378
  2.647358e-01   1.052633e-12   1.225553e-03   4.231952e-15   61850
  2.690012e-01   1.010812e-12   1.236600e-03   4.015250e-15   64284
  2.733015e-01   9.550665e-13   1.248977e-03   3.680509e-15   66938
  2.776367e-01   9.151303e-13   1.258384e-03   3.534633e-15   69602
  2.819415e-01   8.659343e-13   1.232881e-03   3.250810e-15   70242
  2.862215e-01   8.274710e-13   1.244813e-03   3.071056e-15   73166
  2.905544e-01   7.842988e-13   1.257712e-03   2.840248e-15   76370
  2.948557e-01   7.593973e-13   1.224268e-03   2.736031e-15   76578
  2.991694e-01   7.275790e-13   1.260194e-03   2.568246e-15   81362
  3.034794e-01   7.015612e-13   1.220452e-03   2.446364e-15   80994
  3.077617e-01   6.675678e-13   1.245850e-03   2.292429e-15   85046
  3.120682e-01   6.389961e-13   1.236732e-03   2.176728e-15   86552
  3.163691e-01   6.234540e-13   1.248599e-03   2.082299e-15   89754
  3.206760e-01   6.010699e-13   1.241846e-03   1.995846e-15   91538
  3.249908e-01   5.741631e-13   1.257274e-03   1.860947e-15   95198
  3.292984e-01   5.542412e-13   1.234300e-03   1.792356e-15   96066
  3.335953e-01   5.314571e-13   1.250578e-03   1.668511e-15   99890
  3.379016e-01   5.083406e-13   1.237173e-03   1.608905e-15   101562
  3.421850e-01   4.889438e-13   1.235122e-03   1.527584e-15   103994
  3.465039e-01   4.719683e-13   1.254469e-03   1.438840e-15   108566
  3.508098e-01   4.508775e-13   1.225687e-03   1.369384e-15   108570
  3.550962e-01   4.338153e-13   1.245765e-03   1.278208e-15   113162
  3.594096e-01   4.177561e-13   1.239769e-03   1.233801e-15   115136
  3.637064e-01   4.069180e-13   1.244989e-03   1.188879e-15   118110
  3.680190e-01   3.905065e-13   1.250013e-03   1.124430e-15   121466
  3.723377e-01   3.788964e-13   1.247712e-03   1.077272e-15   124154
  3.766409e-01   3.661415e-13   1.239592e-03   1.039350e-15   126282
  3.809305e-01   3.530184e-13   1.239411e-03   9.845504e-16   129206
  3.852310e-01   3.406855e-13   1.240944e-03   9.443287e-16   132714
  3.895315e-01   3.291658e-13   1.236189e-03   8.986398e-16   135002
  3.938308e-01   3.225533e-13   1.243110e-03   8.664656e-16   138866
  3.981506e-01   3.095073e-13   1.245584e-03   8.225620e-16   142146
  4.024599e-01   3.020532e-13   1.240083e-03   7.946106e-16   144476
  4.067698e-01   2.891490e-13   1.249157e-03   7.521276e-16   148274
  4.110722e-01   2.807140e-13   1.241511e-03   7.215461e-16   150498
  4.153656e-01   2.706886e-13   1.240169e-03   6.943809e-16   153578
  4.196566e-01   2.609611e-13   1.243070e-03   6.624129e-16   156974
  4.239772e-01   2.551346e-13   1.254355e-03   6.345744e-16   162090
  4.282871e-01   2.458575e-13   1.232977e-03   6.113829e-16   162674
  4.325900e-01   2.380322e-13   1.248247e-03   5.792144e-16   168186
  4.368889e-01   2.323256e-13   1.230518e-03   5.649396e-16   168986
  4.411796e-01   2.250004e-13   1.243170e-03   5.403904e-16   174302
  4.454808e-01   2.180495e-13   1.235964e-03   5.191718e-16   176394
  4.497749e-01   2.122939e-13   1.243559e-03   5.004247e-16   180848
  4.540988e-01   2.061323e-13   1.252525e-03   4.792783e-16   185522
  4.584177e-01   2.002044e-13   1.245424e-03   4.626743e-16   187758
  4.627131e-01   1.926069e-13   1.237877e-03   4.421015e-16   190322
  4.670077e-01   1.883654e-13   1.244159e-03   4.268214e-16   194898
  4.713189e-01   1.819562e-13   1.244577e-03   4.078475e-16   198914
  4.756220e-01   1.768008e-13   1.237959e-03   3.969469e-16   201386
  4.799286e-01   1.724042e-13   1.245790e-03   3.822479e-16   206694
  4.842396e-01   1.679524e-13   1.237579e-03   3.696381e-16   208970
  4.885355e-01   1.639408e-13   1.239312e-03   3.563273e-16   212858
  4.928323e-01   1.582249e-13   1.239690e-03   3.403899e-16   216432
  4.971331e-01   1.540879e-13   1.245356e-03   3.266308e-16   220910
  5.014504e-01   1.498192e-13   1.251792e-03   3.156382e-16   225818
  5.057482e-01   1.457907e-13   1.234295e-03   3.056684e-16   226578
  5.100535e-01   1.422919e-13   1.253105e-03   2.941813e-16   234314
  5.143672e-01   1.391940e-13   1.238530e-03   2.871828e-16   235338
  5.186759e-01   1.348478e-13   1.249367e-03   2.742029e-16   241886
  5.229717e-01   1.319759e-13   1.226886e-03   2.681390e-16   241514
  5.272665e-01   1.280068e-13   1.249867e-03   2.561568e-16   250122
  5.315791e-01   1.245863e-13   1.236342e-03   2.470432e-16   251450
  5.358794e-01   1.219931e-13   1.243646e-03   2.417109e-16   256940
  5.401773e-01   1.180903e-13   1.237459e-03   2.317958e-16   259314
  5.444679e-01   1.156520e-13   1.243546e-03   2.245443e-16   264602
  5.487766e-01   1.125808e-13   1.245963e-03   2.173696e-16   269602
  5.530817e-01   1.096031e-13   1.241744e-03   2.096819e-16   272710
  5.573981e-01   1.069810e-13   1.251961e-03   2.023808e-16   279650
  5.617030e-01   1.042385e-13   1.232873e-03   1.982003e-16   279618
  5.660045e-01   1.024731e-13   1.249306e-03   1.916472e-16   288074
  5.703137e-01   9.892504e-14   1.235438e-03   1.840276e-16   289010
  5.746156e-01   9.699127e-14   1.247203e-03   1.781424e-16   296310
  5.789244e-01   9.492277e-14   1.237400e-03   1.745349e-16   298346
  5.832246e-01   9.281978e-14   1.245397e-03   1.681938e-16   304256
  5.875350e-01   9.055160e-14   1.246290e-03   1.634180e-16   308826
  5.918408e-01   8.828360e-14   1.243049e-03   1.576421e-16   312590
  5.961529e-01   8.642692e-14   1.248985e-03   1.532853e-16   318762
  6.004593e-01   8.469382e-14   1.240718e-03   1.491675e-16   321074
  6.047547e-01   8.262431e-14   1.240799e-03   1.457850e-16   326378
  6.090549e-01   8.048280e-14   1.240211e-03   1.404553e-16   330738
  6.133630e-01   7.881625e-14   1.246939e-03   1.361155e-16   337382
  6.176694e-01   7.717760e-14   1.237203e-03   1.324364e-16   339626
  6.219644e-01   7.543238e-14   1.240002e-03   1.289027e-16   345162
  6.262616e-01   7.335305e-14   1.239266e-03   1.244666e-16   349400
  6.305613e-01   7.236963e-14   1.244262e-03   1.216411e-16   355382
  6.348730e-01   7.050299e-14   1.246769e-03   1.179815e-16   360954
  6.391819e-01   6.883807e-14   1.243477e-03   1.149133e-16   364778
  6.435002e-01   6.751266e-14   1.250914e-03   1.113724e-16   372426
  6.478087e-01   6.597091e-14   1.236390e-03   1.084642e-16   372794
  6.521037e-01   6.458099e-14   1.244101e-03   1.051321e-16   380486
  6.564090e-01   6.322124e-14   1.239094e-03   1.020181e-16   384066
  6.607107e-01   6.156218e-14   1.242538e-03   9.935022e-17   390434
  6.650234e-01   6.040438e-14   1.243376e-03   9.649928e-17   395762
  6.693144e-01   5.939900e-14   1.232039e-03   9.455042e-17   397062
  6.736189e-01   5.798000e-14   1.251120e-03   9.105450e-17   408176
  6.779316e-01   5.677004e-14   1.240403e-03   8.914307e-17   409362
  6.822349e-01   5.548083e-14   1.245861e-03   8.624134e-17   416666
  6.865353e-01   5.471232e-14   1.238522e-03   8.489110e-17   419186
  6.908366e-01   5.350650e-14   1.246872e-03   8.233778e-17   427638
  6.951419e-01   5.213016e-14   1.239127e-03   7.986878e-17   430274
  6.994439e-01   5.123139e-14   1.244186e-03   7.777080e-17   438050
  7.037510e-01   5.021520e-14   1.238974e-03   7.627598e-17   441426
  7.080449e-01   4.926870e-14   1.239295e-03   7.394319e-17   446942
  7.123499e-01   4.830075e-14   1.242845e-03   7.191280e-17   453890
  7.166480e-01   4.738102e-14   1.237274e-03   7.033073e-17   456816
  7.209534e-01   4.634360e-14   1.248635e-03   6.807524e-17   466370
  7.252656e-01   4.555182e-14   1.242502e-03   6.714463e-17   469518
  7.295732e-01   4.463671e-14   1.245116e-03   6.507975e-17   476330
  7.338725e-01   4.369740e-14   1.238721e-03   6.352423e-17   478994
  7.381744e-01   4.289126e-14   1.246904e-03   6.163724e-17   488394
  7.424884e-01   4.226226e-14   1.242990e-03   6.043573e-17   492698
  7.467973e-01   4.141312e-14   1.243980e-03   5.894336e-17   498974
  7.510935e-01   4.052703e-14   1.234693e-03   5.760088e-17   501090
  7.553919e-01   3.980858e-14   1.244343e-03   5.588104e-17   511082
  7.597004e-01   3.907340e-14   1.240179e-03   5.470570e-17   514784
  7.639967e-01   3.826159e-14   1.240878e-03   5.333181e-17   520350
  7.683091e-01   3.751690e-14   1.249509e-03   5.176475e-17   530138
  7.726120e-01   3.678910e-14   1.236517e-03   5.083398e-17   529794
  7.769160e-01   3.628235e-14   1.251602e-03   4.969317e-17   542762
  7.812225e-01   3.551369e-14   1.235289e-03   4.842454e-17   541634
  7.855259e-01   3.496220e-14   1.250892e-03   4.725067e-17   554670
  7.898355e-01   3.429034e-14   1.237417e-03   4.621742e-17   554834
  7.941302e-01   3.377428e-14   1.241778e-03   4.519914e-17   563306
  7.984446e-01   3.296348e-14   1.246587e-03   4.390943e-17   571794
  8.027475e-01   3.241221e-14   1.236199e-03   4.310513e-17   572894
  8.070387e-01   3.180928e-14   1.240006e-03   4.195691e-17   580776
  8.113339e-01   3.135989e-14   1.240324e-03   4.136867e-17   586418
  8.156437e-01   3.072075e-14   1.249813e-03   4.006662e-17   597386
  8.199632e-01   3.023307e-14   1.245750e-03   3.917775e-17   601362
  8.242739e-01   2.970927e-14   1.245729e-03   3.829321e-17   608078
  8.285755e-01   2.918412e-14   1.238705e-03   3.759269e-17   610898
  8.328766e-01   2.877128e-14   1.245632e-03   3.666907e-17   621330
  8.371838e-01   2.818422e-14   1.238702e-03   3.591607e-17   624722
  8.414815e-01   2.772773e-14   1.240373e-03   3.508024e-17   631958
  8.457801e-01   2.716307e-14   1.238534e-03   3.431990e-17   637602
  8.500779e-01   2.679380e-14   1.240333e-03   3.374661e-17   644840
  8.543927e-01   2.638884e-14   1.249060e-03   3.288794e-17   655578
  8.587058e-01   2.586733e-14   1.242590e-03   3.213810e-17   657818
  8.630031e-01   2.535971e-14   1.240971e-03   3.124062e-17   664022
  8.673080e-01   2.504373e-14   1.245948e-03   3.079602e-17   672954
  8.716138e-01   2.457381e-14   1.242705e-03   3.003559e-17   678338
  8.759180e-01   2.415620e-14   1.242125e-03   2.945640e-17   685130
  8.802218e-01   2.375384e-14   1.242115e-03   2.890272e-17   692166
  8.845144e-01   2.344153e-14   1.234388e-03   2.832635e-17   694682
  8.888163e-01   2.303145e-14   1.247301e-03   2.763022e-17   709146
  8.931296e-01   2.260175e-14   1.239356e-03   2.705721e-17   711506
  8.974273e-01   2.224720e-14   1.240782e-03   2.644816e-17   718148
  9.017357e-01   2.195092e-14   1.247217e-03   2.594875e-17   729042
  9.060468e-01   2.162321e-14   1.242130e-03   2.554683e-17   732410
  9.103467e-01   2.125559e-14   1.242891e-03   2.499242e-17   739946
  9.146534e-01   2.090842e-14   1.244593e-03   2.446028e-17   747906
  9.189582e-01   2.054039e-14   1.242506e-03   2.385372e-17   754214
  9.232643e-01   2.021720e-14   1.242436e-03   2.334928e-17   761618
  9.275643e-01   1.988860e-14   1.239211e-03   2.294805e-17   766986
  9.318660e-01   1.963875e-14   1.241058e-03   2.251192e-17   775922
  9.361725e-01   1.932628e-14   1.241758e-03   2.203429e-17   783198
  9.404756e-01   1.896409e-14   1.240472e-03   2.157482e-17   789080
  9.447763e-01   1.873260e-14   1.242851e-03   2.123039e-17   796850
  9.490869e-01   1.840308e-14   1.247937e-03   2.069608e-17   807522
  9.533924e-01   1.811313e-14   1.239848e-03   2.029359e-17   808994
  9.577007e-01   1.785887e-14   1.250666e-03   1.982451e-17   824078
  9.620112e-01   1.756261e-14   1.238593e-03   1.955923e-17   823554
  9.663007e-01   1.730215e-14   1.239589e-03   1.916662e-17   831818
  9.705964e-01   1.709873e-14   1.239567e-03   1.885660e-17   839906
  9.749005e-01   1.674116e-14   1.243918e-03   1.839965e-17   850518
  9.792141e-01   1.653961e-14   1.243935e-03   1.806565e-17   858194
  9.835154e-01   1.633324e-14   1.237898e-03   1.787222e-17   861138
  9.878201e-01   1.608962e-14   1.246238e-03   1.743256e-17   874328
  9.921277e-01   1.581177e-14   1.242167e-03   1.716456e-17   877754
  9.964333e-01   1.559825e-14   1.246740e-03   1.674869e-17   889110
  1.000736e+00   1.535225e-14   1.239362e-03   1.648590e-17   891266
  1.005045e+00   1.512774e-14   1.250650e-03   1.609172e-17   907490
  1.009351e+00   1.490939e-14   1.236362e-03   1.584820e-17   905442
  1.013648e+00   1.468763e-14   1.243368e-03   1.550840e-17   919094
  1.017959e+00   1.446250e-14   1.242743e-03   1.516906e-17   926706
  1.022255e+00   1.423067e-14   1.235935e-03   1.496862e-17   929066
  1.026557e+00   1.409494e-14   1.244945e-03   1.472141e-17   944210
  1.030871e+00   1.385657e-14   1.244094e-03   1.447149e-17   950280
  1.035172e+00   1.365779e-14   1.240473e-03   1.420815e-17   954830
  1.039482e+00   1.347197e-14   1.249830e-03   1.390683e-17   969770
  1.043793e+00   1.328712e-14   1.241385e-03   1.369887e-17   971370
  1.048084e+00   1.310405e-14   1.238565e-03   1.348124e-17   976970
  1.052389e+00   1.291647e-14   1.248650e-03   1.312907e-17   993998
  1.056701e+00   1.269487e-14   1.239979e-03   1.292354e-17   995850
  1.061001e+00   1.253837e-14   1.241064e-03   1.268557e-17   1004930
  1.065300e+00   1.238845e-14   1.238399e-03   1.253376e-17   1011570
  1.069600e+00   1.218105e-14   1.241097e-03   1.226569e-17   1021550
  1.073904e+00   1.203096e-14   1.241994e-03   1.209135e-17   1030184
  1.078211e+00   1.186306e-14   1.244718e-03   1.182113e-17   1039458
  1.082516e+00   1.167854e-14   1.242818e-03   1.161478e-17   1046378
  1.086817e+00   1.155936e-14   1.241429e-03   1.149357e-17   1053266
  1.091121e+00   1.138154e-14   1.245400e-03   1.121017e-17   1065414
  1.095433e+00   1.124775e-14   1.244145e-03   1.103870e-17   1073258
  1.099737e+00   1.108023e-14   1.239997e-03   1.086213e-17   1078522
  1.104033e+00   1.093824e-14   1.238538e-03   1.070631e-17   1086226
  1.108335e+00   1.077332e-14   1.242384e-03   1.050088e-17   1098374
  1.112647e+00   1.063052e-14   1.244052e-03   1.032539e-17   1108626
  1.116952e+00   1.047895e-14   1.239083e-03   1.016796e-17   1111466
  1.121259e+00   1.037038e-14   1.247025e-03   9.987100e-18   1127384
  1.125557e+00   1.022886e-14   1.234728e-03   9.851894e-18   1123506
  1.129854e+00   1.008547e-14   1.248772e-03   9.612987e-18   1144814
  1.134168e+00   9.957362e-15   1.243865e-03   9.474166e-18   1149074
  1.138474e+00   9.828145e-15   1.244851e-03   9.323856e-18   1159050
  1.142776e+00   9.692363e-15   1.239251e-03   9.206210e-18   1163282
  1.147076e+00   9.569794e-15   1.243109e-03   9.023758e-18   1176462
  1.151386e+00   9.459716e-15   1.242518e-03   8.887906e-18   1185266
  1.155692e+00   9.303694e-15   1.242010e-03   8.712660e-18   1193066
  1.159992e+00   9.192799e-15   1.238572e-03   8.606377e-18   1199058
  1.164291e+00   9.082413e-15   1.242339e-03   8.478142e-18   1210400
  1.168599e+00   8.969841e-15   1.245940e-03   8.316332e-18   1222238
  1.172906e+00   8.841940e-15   1.242668e-03   8.166868e-18   1227642
  1.177204e+00   8.736350e-15   1.241123e-03   8.057201e-18   1235594
  1.181510e+00   8.625560e-15   1.246370e-03   7.924495e-18   1249850
  1.185818e+00   8.519169e-15   1.242248e-03   7.793403e-18   1255470
  1.190121e+00   8.393296e-15   1.240701e-03   7.650373e-18   1264130
  1.194423e+00   8.296213e-15   1.241739e-03   7.530547e-18   1274130
  1.198728e+00   8.197860e-15   1.242253e-03   7.455138e-18   1283978
  1.203038e+00   8.095348e-15   1.244741e-03   7.300686e-18   1295498
  1.207344e+00   7.984086e-15   1.240214e-03   7.206538e-18   1300158
  1.211643e+00   7.889022e-15   1.241677e-03   7.092222e-18   1309064
  1.215945e+00   7.811271e-15   1.245586e-03   6.987976e-18   1322690
  1.220252e+00   7.710517e-15   1.242364e-03   6.873602e-18   1328658
  1.224558e+00   7.604354e-15   1.246335e-03   6.745567e-18   1342238
  1.228869e+00   7.499022e-15   1.243416e-03   6.655394e-18   1349490
  1.233166e+00   7.431376e-15   1.237892e-03   6.589790e-18   1353506
  1.237466e+00   7.325187e-15   1.242952e-03   6.455345e-18   1369106
  1.241772e+00   7.242401e-15   1.242177e-03   6.353046e-18   1377582
  1.246079e+00   7.139550e-15   1.242400e-03   6.253993e-18   1388114
  1.250381e+00   7.059152e-15   1.239627e-03   6.169920e-18   1393274
  1.254678e+00   6.980743e-15   1.241614e-03   6.086926e-18   1404720
  1.258988e+00   6.898466e-15   1.247243e-03   5.988458e-18   1420178
  1.263292e+00   6.813108e-15   1.239631e-03   5.900100e-18   1421174
  1.267590e+00   6.731792e-15   1.243106e-03   5.825196e-18   1434786
  1.271896e+00   6.650975e-15   1.244547e-03   5.720382e-18   1446986
  1.276207e+00   6.564589e-15   1.243658e-03   5.621720e-18   1456698
  1.280513e+00   6.492531e-15   1.241620e-03   5.555065e-18   1464134
  1.284817e+00   6.418029e-15   1.241275e-03   5.472469e-18   1474346
  1.289118e+00   6.351185e-15   1.239915e-03   5.406759e-18   1481874
  1.293420e+00   6.248117e-15   1.242922e-03   5.302125e-18   1495418
  1.297725e+00   6.198594e-15   1.241362e-03   5.242869e-18   1502768
  1.302034e+00   6.119770e-15   1.247057e-03   5.150855e-18   1519446
  1.306335e+00   6.044770e-15   1.237101e-03   5.100385e-18   1516106
  1.310634e+00   5.972391e-15   1.247497e-03   5.003318e-18   1539458
  1.314948e+00   5.905816e-15   1.243906e-03   4.932537e-18   1545762
  1.319254e+00   5.851382e-15   1.242503e-03   4.888440e-18   1554062
  1.323553e+00   5.771105e-15   1.239615e-03   4.814619e-18   1561650
  1.327854e+00   5.718658e-15   1.242329e-03   4.758258e-18   1575458
  1.332163e+00   5.641823e-15   1.243591e-03   4.661586e-18   1587722
  1.336470e+00   5.574844e-15   1.241143e-03   4.601441e-18   1594002
  1.340765e+00   5.516503e-15   1.238235e-03   4.544906e-18   1600814
  1.345068e+00   5.448809e-15   1.245460e-03   4.454867e-18   1619192
  1.349373e+00   5.398820e-15   1.241649e-03   4.416307e-18   1624002
  1.353677e+00   5.330032e-15   1.244635e-03   4.353849e-18   1638602
  1.357986e+00   5.285378e-15   1.244174e-03   4.289111e-18   1648566
  1.362290e+00   5.214052e-15   1.241284e-03   4.240995e-18   1655666
  1.366596e+00   5.146424e-15   1.245214e-03   4.163018e-18   1671698
  1.370906e+00   5.092131e-15   1.242328e-03   4.116071e-18   1679562
  1.375207e+00   5.031295e-15   1.239299e-03   4.062883e-18   1685138
  1.379509e+00   4.975927e-15   1.243826e-03   3.995122e-18   1702454
  1.383816e+00   4.924808e-15   1.241119e-03   3.950347e-18   1708986
  1.388120e+00   4.865742e-15   1.243909e-03   3.892255e-18   1722488
  1.392418e+00   4.822208e-15   1.238529e-03   3.848281e-18   1724810
  1.396721e+00   4.763914e-15   1.248056e-03   3.776105e-18   1749438
  1.401035e+00   4.721194e-15   1.243226e-03   3.759904e-18   1753610
  1.405335e+00   4.664526e-15   1.240420e-03   3.703030e-18   1760418
  1.409639e+00   4.616607e-15   1.244367e-03   3.649734e-18   1777586
  1.413941e+00   4.568827e-15   1.239207e-03   3.614472e-18   1780934
  1.418241e+00   4.506577e-15   1.242630e-03   3.548868e-18   1797570
  1.422549e+00   4.473594e-15   1.243489e-03   3.506626e-18   1809098
  1.426853e+00   4.415679e-15   1.241116e-03   3.453901e-18   1816970
  1.431155e+00   4.367061e-15   1.241990e-03   3.402504e-18   1828410
  1.435456e+00   4.326791e-15   1.242105e-03   3.367021e-18   1839428
