# power spectrum of phi
# redshift z=48.519767
# k              Pk             sigma(k)       sigma(Pk)      count
  5.562276e-03   2.866810e-10   1.043960e-03   5.205530e-11   26
  1.223212e-02   4.608115e-10   2.109551e-03   3.294028e-11   224
  1.972885e-02   2.875503e-10   2.153060e-03   1.191996e-11   596
  2.702247e-02   2.043986e-10   2.075657e-03   6.553408e-12   1088
  3.462668e-02   1.199540e-10   2.244189e-03   2.805647e-12   1952
  4.230772e-02   8.307613e-11   2.142904e-03   1.576775e-12   2780
  5.004312e-02   5.860634e-11   2.281079e-03   9.416877e-13   4112
  5.765572e-02   4.687300e-11   2.118182e-03   6.743321e-13   5060
  6.520378e-02   3.814010e-11   2.228225e-03   4.715190e-13   6808
  7.290095e-02   3.038490e-11   2.208442e-03   3.356859e-13   8456
  8.055190e-02   2.462162e-11   2.200045e-03   2.485552e-13   10244
  8.816864e-02   1.918629e-11   2.214152e-03   1.722978e-13   12296
  9.576395e-02   1.530073e-11   2.193113e-03   1.301206e-13   14408
  1.033733e-01   1.232822e-11   2.205152e-03   9.306787e-14   16916
  1.110951e-01   1.038758e-11   2.257402e-03   7.409779e-14   19976
  1.187549e-01   9.181533e-12   2.180988e-03   6.231947e-14   22028
  1.263330e-01   8.078485e-12   2.206596e-03   5.065011e-14   25240
  1.340087e-01   7.043539e-12   2.232177e-03   4.194840e-14   28784
  1.416697e-01   6.096263e-12   2.193755e-03   3.424966e-14   31628
  1.492984e-01   5.123569e-12   2.213206e-03   2.716107e-14   35426
  1.569573e-01   4.380849e-12   2.209355e-03   2.231368e-14   39152
  1.645984e-01   3.805077e-12   2.194191e-03   1.850401e-14   42836
  1.722273e-01   3.434236e-12   2.199276e-03   1.581861e-14   46976
  1.798694e-01   3.066323e-12   2.207348e-03   1.365256e-14   51364
  1.875354e-01   2.802204e-12   2.214571e-03   1.191632e-14   56048
  1.952019e-01   2.579058e-12   2.204526e-03   1.060682e-14   60488
  2.028259e-01   2.286260e-12   2.190146e-03   9.034531e-15   64844
  2.104373e-01   2.035682e-12   2.200161e-03   7.692151e-15   70064
  2.180931e-01   1.824174e-12   2.217730e-03   6.663681e-15   75848
  2.257751e-01   1.625275e-12   2.215327e-03   5.694989e-15   81212
  2.333962e-01   1.482105e-12   2.183836e-03   5.092021e-15   85496
  2.410250e-01   1.361826e-12   2.222691e-03   4.461432e-15   92708
  2.487230e-01   1.253187e-12   2.226629e-03   3.995990e-15   98920
  2.564066e-01   1.163691e-12   2.212160e-03   3.588388e-15   104504
  2.640689e-01   1.075106e-12   2.213777e-03   3.243456e-15   110852
  2.716904e-01   9.796230e-13   2.192788e-03   2.878343e-15   116192
  2.793027e-01   9.010151e-13   2.205898e-03   2.583129e-15   123608
  2.869594e-01   8.234364e-13   2.216650e-03   2.281045e-15   131156
  2.946343e-01   7.636918e-13   2.215916e-03   2.055551e-15   138218
  3.022953e-01   7.094771e-13   2.208863e-03   1.861590e-15   145036
  3.099375e-01   6.587857e-13   2.203423e-03   1.692000e-15   152240
  3.175711e-01   6.199571e-13   2.198398e-03   1.550212e-15   159608
  3.252355e-01   5.775711e-13   2.220715e-03   1.411474e-15   168980
  3.329134e-01   5.394019e-13   2.210565e-03   1.283272e-15   176144
  3.405436e-01   5.004947e-13   2.193657e-03   1.179782e-15   182924
  3.481936e-01   4.681548e-13   2.220287e-03   1.067186e-15   193640
  3.558650e-01   4.328076e-13   2.204921e-03   9.614921e-16   200912
  3.635019e-01   4.105769e-13   2.201155e-03   9.011094e-16   209092
  3.711489e-01   3.854113e-13   2.214636e-03   8.241829e-16   219224
  3.788142e-01   3.624576e-13   2.210801e-03   7.639324e-16   228128
  3.864746e-01   3.406770e-13   2.210310e-03   7.048727e-16   237284
  3.941242e-01   3.236270e-13   2.209189e-03   6.524421e-16   246416
  4.017588e-01   3.060536e-13   2.203276e-03   6.058456e-16   255380
  4.094034e-01   2.866932e-13   2.213254e-03   5.550844e-16   266552
  4.170502e-01   2.699300e-13   2.202551e-03   5.170674e-16   275336
  4.246906e-01   2.561227e-13   2.210141e-03   4.802023e-16   286308
  4.323388e-01   2.413910e-13   2.210517e-03   4.432221e-16   296616
  4.399877e-01   2.300306e-13   2.209537e-03   4.147053e-16   307424
  4.476267e-01   2.181454e-13   2.198654e-03   3.879589e-16   316886
  4.552855e-01   2.071385e-13   2.220819e-03   3.598854e-16   330992
  4.629479e-01   1.954789e-13   2.202345e-03   3.357827e-16   339356
  4.706029e-01   1.858681e-13   2.215300e-03   3.129069e-16   352880
  4.782739e-01   1.765446e-13   2.210057e-03   2.953594e-16   363728
  4.859229e-01   1.690541e-13   2.202307e-03   2.775120e-16   374060
  4.935638e-01   1.599224e-13   2.207118e-03   2.571301e-16   386512
  5.012245e-01   1.527573e-13   2.215497e-03   2.407535e-16   400232
  5.088771e-01   1.454867e-13   2.199539e-03   2.271007e-16   409772
  5.165343e-01   1.393723e-13   2.218458e-03   2.137907e-16   425600
  5.241851e-01   1.330976e-13   2.198923e-03   2.018872e-16   434180
  5.318173e-01   1.269315e-13   2.209123e-03   1.888699e-16   448928
  5.394783e-01   1.210793e-13   2.215217e-03   1.777298e-16   463376
  5.471305e-01   1.158773e-13   2.203051e-03   1.681973e-16   473988
  5.547721e-01   1.108542e-13   2.210463e-03   1.582412e-16   488688
  5.624395e-01   1.060737e-13   2.219624e-03   1.500617e-16   504392
  5.701025e-01   1.014874e-13   2.206335e-03   1.411451e-16   515396
  5.777517e-01   9.752175e-14   2.210437e-03   1.342955e-16   530168
  5.853975e-01   9.365436e-14   2.206581e-03   1.269218e-16   543236
  5.930412e-01   8.978857e-14   2.207646e-03   1.200931e-16   558122
  6.006862e-01   8.648531e-14   2.204899e-03   1.142719e-16   572168
  6.083393e-01   8.274314e-14   2.211087e-03   1.081591e-16   588508
  6.159982e-01   7.966082e-14   2.208664e-03   1.026417e-16   602672
  6.236571e-01   7.647281e-14   2.211488e-03   9.744159e-17   618536
  6.313083e-01   7.375955e-14   2.203967e-03   9.282932e-17   631724
  6.389557e-01   7.073078e-14   2.208934e-03   8.837875e-17   648560
  6.466077e-01   6.818731e-14   2.207165e-03   8.401205e-17   663548
  6.542470e-01   6.566672e-14   2.202131e-03   7.966648e-17   677768
  6.618945e-01   6.298016e-14   2.211575e-03   7.577274e-17   696656
  6.695527e-01   6.082369e-14   2.209426e-03   7.212492e-17   711908
  6.772148e-01   5.866581e-14   2.215427e-03   6.884575e-17   730072
  6.848691e-01   5.661730e-14   2.205615e-03   6.572783e-17   743324
  6.925093e-01   5.453874e-14   2.207153e-03   6.264673e-17   760616
  7.001593e-01   5.266861e-14   2.210626e-03   6.003362e-17   778808
  7.078084e-01   5.087767e-14   2.207053e-03   5.709558e-17   794396
  7.154662e-01   4.917023e-14   2.217111e-03   5.448294e-17   815192
  7.231298e-01   4.743718e-14   2.210110e-03   5.217328e-17   830480
  7.307755e-01   4.580067e-14   2.204622e-03   4.995406e-17   846196
  7.384148e-01   4.435720e-14   2.207076e-03   4.774894e-17   864776
  7.460668e-01   4.302965e-14   2.211589e-03   4.580483e-17   884870
  7.537283e-01   4.149338e-14   2.210636e-03   4.372111e-17   903152
  7.613786e-01   4.013941e-14   2.204038e-03   4.195442e-17   918872
  7.690306e-01   3.881369e-14   2.212180e-03   4.007132e-17   940652
  7.766914e-01   3.760650e-14   2.209988e-03   3.848861e-17   958448
  7.843504e-01   3.643672e-14   2.210696e-03   3.690479e-17   978128
  7.920018e-01   3.537445e-14   2.204061e-03   3.543543e-17   994316
  7.996451e-01   3.410648e-14   2.207597e-03   3.389252e-17   1014760
  8.072960e-01   3.311418e-14   2.209566e-03   3.262684e-17   1035164
  8.149584e-01   3.210451e-14   2.213751e-03   3.133390e-17   1057016
  8.226162e-01   3.113962e-14   2.206993e-03   3.004829e-17   1073624
  8.302634e-01   3.025632e-14   2.208117e-03   2.894776e-17   1094012
  8.379088e-01   2.933194e-14   2.207149e-03   2.781307e-17   1113368
  8.455580e-01   2.843182e-14   2.211152e-03   2.672828e-17   1136144
  8.532114e-01   2.767521e-14   2.207317e-03   2.582938e-17   1155132
  8.608573e-01   2.677303e-14   2.207522e-03   2.469310e-17   1175568
  8.684990e-01   2.608620e-14   2.206507e-03   2.391494e-17   1195748
  8.761487e-01   2.522255e-14   2.211794e-03   2.290615e-17   1220096
  8.838106e-01   2.462152e-14   2.212460e-03   2.213292e-17   1242224
  8.914641e-01   2.388184e-14   2.206267e-03   2.131704e-17   1260398
  8.991116e-01   2.321880e-14   2.208948e-03   2.050698e-17   1283432
  9.067628e-01   2.262470e-14   2.209081e-03   1.986551e-17   1305752
  9.144179e-01   2.197638e-14   2.208820e-03   1.909911e-17   1328316
  9.220826e-01   2.136300e-14   2.214394e-03   1.836620e-17   1353720
  9.297322e-01   2.079807e-14   2.201843e-03   1.780857e-17   1368092
  9.373668e-01   2.024596e-14   2.205696e-03   1.717322e-17   1393376
  9.450220e-01   1.971445e-14   2.212594e-03   1.656852e-17   1420832
  9.526841e-01   1.915934e-14   2.210067e-03   1.594028e-17   1442180
  9.603378e-01   1.864736e-14   2.208198e-03   1.540122e-17   1463768
  9.679846e-01   1.819174e-14   2.207671e-03   1.493149e-17   1486664
  9.756309e-01   1.768045e-14   2.206966e-03   1.440496e-17   1510196
  9.832828e-01   1.728314e-14   2.210434e-03   1.398088e-17   1536208
  9.909391e-01   1.681510e-14   2.210766e-03   1.350925e-17   1559924
  9.985927e-01   1.639145e-14   2.209863e-03   1.304681e-17   1583384
  1.006249e+00   1.595557e-14   2.211859e-03   1.258839e-17   1609496
  1.013910e+00   1.556876e-14   2.212038e-03   1.215913e-17   1634444
  1.021555e+00   1.517145e-14   2.202147e-03   1.180483e-17   1651568
  1.029200e+00   1.482446e-14   2.213049e-03   1.146213e-17   1684436
  1.036849e+00   1.444464e-14   2.204630e-03   1.109592e-17   1703480
  1.044498e+00   1.411381e-14   2.211173e-03   1.073835e-17   1734394
  1.052156e+00   1.374466e-14   2.209035e-03   1.037112e-17   1758140
  1.059809e+00   1.341836e-14   2.208877e-03   1.004940e-17   1783544
  1.067457e+00   1.309288e-14   2.205876e-03   9.755456e-18   1807352
  1.075107e+00   1.279890e-14   2.208895e-03   9.478792e-18   1836092
  1.082757e+00   1.247514e-14   2.206400e-03   9.157072e-18   1859960
  1.090410e+00   1.220379e-14   2.210650e-03   8.887505e-18   1889732
  1.098065e+00   1.192688e-14   2.208505e-03   8.619518e-18   1914624
  1.105722e+00   1.164198e-14   2.210791e-03   8.370106e-18   1943448
  1.113380e+00   1.136462e-14   2.209940e-03   8.133149e-18   1969220
  1.121033e+00   1.111647e-14   2.209005e-03   7.900951e-18   1995152
  1.128683e+00   1.086376e-14   2.208263e-03   7.650015e-18   2021984
  1.136333e+00   1.062119e-14   2.208451e-03   7.424236e-18   2049668
  1.143983e+00   1.038782e-14   2.209470e-03   7.230305e-18   2077904
  1.151630e+00   1.015361e-14   2.206622e-03   7.016328e-18   2103068
  1.159278e+00   9.918682e-15   2.210222e-03   6.811608e-18   2134640
  1.166933e+00   9.705922e-15   2.210475e-03   6.623395e-18   2163208
  1.174583e+00   9.487444e-15   2.207028e-03   6.428302e-18   2188292
  1.182227e+00   9.287135e-15   2.207356e-03   6.251317e-18   2217008
  1.189874e+00   9.079124e-15   2.208629e-03   6.062127e-18   2247770
  1.197535e+00   8.884770e-15   2.213172e-03   5.900725e-18   2282276
  1.205192e+00   8.699364e-15   2.206259e-03   5.745986e-18   2303912
  1.212840e+00   8.508537e-15   2.208831e-03   5.579387e-18   2335916
  1.220489e+00   8.339858e-15   2.206180e-03   5.432894e-18   2363176
