# power spectrum of delta_kessence
# redshift z=96.079122
# k              Pk             sigma(k)       sigma(Pk)      count
  5.562276e-03   0.000000e+00   1.043960e-03   0.000000e+00   26
  1.223212e-02   0.000000e+00   2.109551e-03   0.000000e+00   224
  1.972885e-02   0.000000e+00   2.153060e-03   0.000000e+00   596
  2.702247e-02   0.000000e+00   2.075657e-03   0.000000e+00   1088
  3.462668e-02   0.000000e+00   2.244189e-03   0.000000e+00   1952
  4.230772e-02   0.000000e+00   2.142904e-03   0.000000e+00   2780
  5.004312e-02   0.000000e+00   2.281079e-03   0.000000e+00   4112
  5.765572e-02   0.000000e+00   2.118182e-03   0.000000e+00   5060
  6.520378e-02   0.000000e+00   2.228225e-03   0.000000e+00   6808
  7.290095e-02   0.000000e+00   2.208442e-03   0.000000e+00   8456
  8.055190e-02   0.000000e+00   2.200045e-03   0.000000e+00   10244
  8.816864e-02   0.000000e+00   2.214152e-03   0.000000e+00   12296
  9.576395e-02   0.000000e+00   2.193113e-03   0.000000e+00   14408
  1.033733e-01   0.000000e+00   2.205152e-03   0.000000e+00   16916
  1.110951e-01   0.000000e+00   2.257402e-03   0.000000e+00   19976
  1.187549e-01   0.000000e+00   2.180988e-03   0.000000e+00   22028
  1.263330e-01   0.000000e+00   2.206596e-03   0.000000e+00   25240
  1.340087e-01   0.000000e+00   2.232177e-03   0.000000e+00   28784
  1.416697e-01   0.000000e+00   2.193755e-03   0.000000e+00   31628
  1.492984e-01   0.000000e+00   2.213206e-03   0.000000e+00   35426
  1.569573e-01   0.000000e+00   2.209355e-03   0.000000e+00   39152
  1.645984e-01   0.000000e+00   2.194191e-03   0.000000e+00   42836
  1.722273e-01   0.000000e+00   2.199276e-03   0.000000e+00   46976
  1.798694e-01   0.000000e+00   2.207348e-03   0.000000e+00   51364
  1.875354e-01   0.000000e+00   2.214571e-03   0.000000e+00   56048
  1.952019e-01   0.000000e+00   2.204526e-03   0.000000e+00   60488
  2.028259e-01   0.000000e+00   2.190146e-03   0.000000e+00   64844
  2.104373e-01   0.000000e+00   2.200161e-03   0.000000e+00   70064
  2.180931e-01   0.000000e+00   2.217730e-03   0.000000e+00   75848
  2.257751e-01   0.000000e+00   2.215327e-03   0.000000e+00   81212
  2.333962e-01   0.000000e+00   2.183836e-03   0.000000e+00   85496
  2.410250e-01   0.000000e+00   2.222691e-03   0.000000e+00   92708
  2.487230e-01   0.000000e+00   2.226629e-03   0.000000e+00   98920
  2.564066e-01   0.000000e+00   2.212160e-03   0.000000e+00   104504
  2.640689e-01   0.000000e+00   2.213777e-03   0.000000e+00   110852
  2.716904e-01   0.000000e+00   2.192788e-03   0.000000e+00   116192
  2.793027e-01   0.000000e+00   2.205898e-03   0.000000e+00   123608
  2.869594e-01   0.000000e+00   2.216650e-03   0.000000e+00   131156
