# power spectrum of delta for linear fields (CLASS)
# redshift z=96.079122
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   3.220307e-11   7.667927e-04   6.090798e-12   18
  1.037418e-02   2.741856e-10   1.725047e-03   2.973510e-11   128
  1.616528e-02   9.059333e-10   1.646572e-03   5.008119e-11   314
  2.269071e-02   1.916054e-09   1.954354e-03   7.347771e-11   728
  2.897169e-02   3.481533e-09   1.717946e-03   1.167858e-10   1016
  3.518826e-02   4.697287e-09   1.880676e-03   1.157076e-10   1682
  4.169479e-02   6.916628e-09   1.831736e-03   1.456042e-10   2300
  4.790974e-02   8.698627e-09   1.770731e-03   1.634235e-10   2906
  5.429022e-02   1.164259e-08   1.892687e-03   1.919847e-10   4040
  6.068098e-02   1.489790e-08   1.775551e-03   2.250111e-10   4712
  6.698900e-02   1.894288e-08   1.857705e-03   2.435583e-10   6002
  7.346135e-02   2.230202e-08   1.857594e-03   2.649478e-10   7256
  7.977379e-02   2.632937e-08   1.772571e-03   2.971094e-10   8120
  8.609019e-02   2.875269e-08   1.864951e-03   2.884463e-10   9950
  9.253636e-02   3.154888e-08   1.853578e-03   2.916290e-10   11384
  9.885187e-02   3.349675e-08   1.809244e-03   3.009850e-10   12666
  1.052712e-01   3.680530e-08   1.889168e-03   2.950748e-10   15104
  1.117654e-01   4.060237e-08   1.850532e-03   3.186823e-10   16616
  1.180754e-01   4.614025e-08   1.799489e-03   3.464195e-10   18026
  1.244216e-01   5.062943e-08   1.853405e-03   3.469668e-10   20696
  1.308065e-01   5.491799e-08   1.827918e-03   3.694884e-10   22436
  1.371558e-01   6.022861e-08   1.845873e-03   3.847993e-10   24962
  1.435394e-01   6.297354e-08   1.831283e-03   3.778811e-10   27176
  1.499133e-01   6.480683e-08   1.847268e-03   3.771469e-10   29810
  1.562775e-01   6.729746e-08   1.828450e-03   3.801835e-10   32120
  1.626776e-01   6.955955e-08   1.865216e-03   3.705262e-10   35432
  1.690383e-01   7.408143e-08   1.814577e-03   3.845558e-10   37238
  1.754019e-01   7.836206e-08   1.856016e-03   3.867602e-10   41072
  1.817869e-01   8.247124e-08   1.834293e-03   3.996773e-10   43472
  1.881565e-01   8.831257e-08   1.848176e-03   4.083670e-10   47042
  1.945298e-01   9.423906e-08   1.829223e-03   4.268588e-10   49712
  2.008693e-01   9.758561e-08   1.840592e-03   4.271003e-10   53226
