# power spectrum of T00 for cdm
# redshift z=48.519767
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   6.311358e+01   7.667927e-04   1.193031e+01   18
  1.037418e-02   1.425841e+03   1.725047e-03   1.632700e+02   128
  1.616528e-02   6.097538e+03   1.646572e-03   3.433799e+02   314
  2.269071e-02   1.439789e+04   1.954354e-03   5.570970e+02   728
  2.897169e-02   2.739635e+04   1.717946e-03   9.198224e+02   1016
  3.518826e-02   3.792567e+04   1.880676e-03   9.352074e+02   1682
  4.169479e-02   5.676355e+04   1.831736e-03   1.195959e+03   2300
  4.790974e-02   7.202076e+04   1.770731e-03   1.353245e+03   2906
  5.429022e-02   9.694195e+04   1.892687e-03   1.598611e+03   4040
  6.068098e-02   1.245913e+05   1.775551e-03   1.881670e+03   4712
  6.698900e-02   1.588594e+05   1.857705e-03   2.043088e+03   6002
  7.346135e-02   1.875623e+05   1.857594e-03   2.228402e+03   7256
  7.977379e-02   2.219957e+05   1.772571e-03   2.505835e+03   8120
  8.609019e-02   2.429589e+05   1.864951e-03   2.437323e+03   9950
  9.253636e-02   2.670619e+05   1.853578e-03   2.468901e+03   11384
  9.885187e-02   2.839695e+05   1.809244e-03   2.552069e+03   12666
  1.052712e-01   3.123036e+05   1.889168e-03   2.504220e+03   15104
  1.117654e-01   3.446121e+05   1.850532e-03   2.705328e+03   16616
  1.180754e-01   3.916360e+05   1.799489e-03   2.940184e+03   18026
  1.244216e-01   4.298028e+05   1.853405e-03   2.945341e+03   20696
  1.308065e-01   4.663894e+05   1.827918e-03   3.137820e+03   22436
  1.371558e-01   5.117251e+05   1.845873e-03   3.268287e+03   24962
  1.435394e-01   5.355194e+05   1.831283e-03   3.212923e+03   27176
  1.499133e-01   5.515477e+05   1.847268e-03   3.209335e+03   29810
  1.562775e-01   5.732045e+05   1.828450e-03   3.238142e+03   32120
  1.626776e-01   5.928737e+05   1.865216e-03   3.158605e+03   35432
  1.690383e-01   6.313152e+05   1.814577e-03   3.275913e+03   37238
  1.754019e-01   6.677705e+05   1.856016e-03   3.296093e+03   41072
  1.817869e-01   7.026910e+05   1.834293e-03   3.405566e+03   43472
