# power spectrum of delta for cdm
# redshift z=48.519767
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   4.395555e-08   7.667927e-04   8.308882e-09   18
  1.037418e-02   9.930291e-07   1.725047e-03   1.137097e-07   128
  1.616528e-02   4.246641e-06   1.646572e-03   2.391475e-07   314
  2.269071e-02   1.002743e-05   1.954354e-03   3.879911e-07   728
  2.897169e-02   1.908024e-05   1.717946e-03   6.406119e-07   1016
  3.518826e-02   2.641340e-05   1.880676e-03   6.513268e-07   1682
  4.169479e-02   3.953307e-05   1.831736e-03   8.329277e-07   2300
  4.790974e-02   5.015898e-05   1.770731e-03   9.424699e-07   2906
  5.429022e-02   6.751538e-05   1.892687e-03   1.113356e-06   4040
  6.068098e-02   8.677183e-05   1.775551e-03   1.310492e-06   4712
  6.698900e-02   1.106379e-04   1.857705e-03   1.422912e-06   6002
  7.346135e-02   1.306281e-04   1.857594e-03   1.551974e-06   7256
  7.977379e-02   1.546093e-04   1.772571e-03   1.745193e-06   8120
  8.609019e-02   1.692091e-04   1.864951e-03   1.697478e-06   9950
  9.253636e-02   1.859957e-04   1.853578e-03   1.719470e-06   11384
  9.885187e-02   1.977711e-04   1.809244e-03   1.777393e-06   12666
  1.052712e-01   2.175044e-04   1.889168e-03   1.744068e-06   15104
  1.117654e-01   2.400057e-04   1.850532e-03   1.884130e-06   16616
  1.180754e-01   2.727556e-04   1.799489e-03   2.047696e-06   18026
  1.244216e-01   2.993369e-04   1.853405e-03   2.051288e-06   20696
  1.308065e-01   3.248177e-04   1.827918e-03   2.185340e-06   22436
  1.371558e-01   3.563918e-04   1.845873e-03   2.276204e-06   24962
  1.435394e-01   3.729634e-04   1.831283e-03   2.237646e-06   27176
  1.499133e-01   3.841263e-04   1.847268e-03   2.235147e-06   29810
  1.562775e-01   3.992092e-04   1.828450e-03   2.255209e-06   32120
  1.626776e-01   4.129079e-04   1.865216e-03   2.199816e-06   35432
  1.690383e-01   4.396805e-04   1.814577e-03   2.281515e-06   37238
  1.754019e-01   4.650699e-04   1.856016e-03   2.295570e-06   41072
  1.817869e-01   4.893903e-04   1.834293e-03   2.371812e-06   43472
  1.881565e-01   5.241413e-04   1.848176e-03   2.423655e-06   47042
  1.945298e-01   5.592583e-04   1.829223e-03   2.534215e-06   49712
  2.008693e-01   5.794888e-04   1.840592e-03   2.535558e-06   53226
  2.072637e-01   5.865871e-04   1.853753e-03   2.443202e-06   57320
  2.136558e-01   6.072515e-04   1.831629e-03   2.488214e-06   60092
  2.200056e-01   6.246361e-04   1.839426e-03   2.477529e-06   63914
  2.263950e-01   6.379196e-04   1.849752e-03   2.433125e-06   68192
  2.327751e-01   6.594341e-04   1.833934e-03   2.472691e-06   71336
  2.391397e-01   6.804748e-04   1.845607e-03   2.471741e-06   75818
  2.455297e-01   7.059030e-04   1.844019e-03   2.505456e-06   79880
  2.518964e-01   7.360022e-04   1.834462e-03   2.539630e-06   83642
  2.582661e-01   7.654540e-04   1.840779e-03   2.569775e-06   88316
  2.646730e-01   7.844082e-04   1.859422e-03   2.573885e-06   93488
  2.710484e-01   8.011758e-04   1.827184e-03   2.578917e-06   96458
  2.773871e-01   8.181687e-04   1.829038e-03   2.605737e-06   101264
  2.837816e-01   8.314061e-04   1.862873e-03   2.527929e-06   107696
  2.901819e-01   8.423196e-04   1.837217e-03   2.527088e-06   111170
  2.965233e-01   8.729444e-04   1.822285e-03   2.567962e-06   115232
  3.028941e-01   8.904808e-04   1.855375e-03   2.547515e-06   122310
  3.093019e-01   9.104981e-04   1.843350e-03   2.556878e-06   126944
  3.156739e-01   9.384778e-04   1.828600e-03   2.592997e-06   131192
  3.220432e-01   9.603738e-04   1.844535e-03   2.604203e-06   137618
  3.284234e-01   9.808155e-04   1.836674e-03   2.595803e-06   142448
  3.347979e-01   9.926105e-04   1.844704e-03   2.569761e-06   148520
  3.411627e-01   1.012425e-03   1.831436e-03   2.606461e-06   153254
  3.475446e-01   1.032177e-03   1.852010e-03   2.584248e-06   160760
  3.539284e-01   1.035356e-03   1.835751e-03   2.529693e-06   165290
  3.603019e-01   1.061881e-03   1.840148e-03   2.565306e-06   171992
  3.666828e-01   1.080154e-03   1.840217e-03   2.572336e-06   177800
  3.730569e-01   1.102684e-03   1.843032e-03   2.576760e-06   184322
  3.794439e-01   1.120789e-03   1.841595e-03   2.577048e-06   190832
  3.858239e-01   1.137776e-03   1.839260e-03   2.584566e-06   196772
  3.921872e-01   1.161698e-03   1.836453e-03   2.586410e-06   202970
  3.985536e-01   1.181933e-03   1.839266e-03   2.581894e-06   210056
  4.049173e-01   1.199379e-03   1.832832e-03   2.580305e-06   216210
  4.112896e-01   1.214202e-03   1.841640e-03   2.559087e-06   224168
  4.176700e-01   1.222081e-03   1.840761e-03   2.556459e-06   230792
  4.240565e-01   1.247999e-03   1.846256e-03   2.559874e-06   238778
  4.304312e-01   1.254804e-03   1.831772e-03   2.538259e-06   243956
  4.367939e-01   1.280707e-03   1.845141e-03   2.547970e-06   252680
  4.431746e-01   1.296164e-03   1.842020e-03   2.545605e-06   260066
  4.495713e-01   1.314613e-03   1.849294e-03   2.536219e-06   268712
  4.559494e-01   1.336196e-03   1.834336e-03   2.551933e-06   274034
  4.623270e-01   1.340155e-03   1.847366e-03   2.519651e-06   283904
  4.687088e-01   1.359779e-03   1.837425e-03   2.521818e-06   290048
  4.750707e-01   1.371605e-03   1.836659e-03   2.524421e-06   297950
  4.814434e-01   1.391670e-03   1.842026e-03   2.529961e-06   306968
  4.878269e-01   1.417220e-03   1.843240e-03   2.530392e-06   315320
  4.942006e-01   1.418503e-03   1.835899e-03   2.497670e-06   322346
  5.005701e-01   1.438882e-03   1.842589e-03   2.493409e-06   331664
  5.069538e-01   1.451038e-03   1.844896e-03   2.480667e-06   340818
  5.133346e-01   1.477423e-03   1.837322e-03   2.504282e-06   348164
  5.197083e-01   1.488802e-03   1.843548e-03   2.489390e-06   357584
  5.260929e-01   1.503014e-03   1.846059e-03   2.475317e-06   367106
  5.324635e-01   1.517861e-03   1.832285e-03   2.478027e-06   373376
  5.388350e-01   1.529193e-03   1.848023e-03   2.456968e-06   385376
  5.452233e-01   1.547962e-03   1.842356e-03   2.466065e-06   393650
  5.516038e-01   1.557265e-03   1.840588e-03   2.452134e-06   402704
  5.579656e-01   1.571845e-03   1.830970e-03   2.456946e-06   409910
  5.643320e-01   1.591647e-03   1.843407e-03   2.459174e-06   422024
  5.707212e-01   1.599907e-03   1.846526e-03   2.428445e-06   432176
  5.771022e-01   1.618465e-03   1.837404e-03   2.446465e-06   440066
  5.834769e-01   1.635710e-03   1.841263e-03   2.433246e-06   450680
  5.898365e-01   1.646220e-03   1.831084e-03   2.434513e-06   457856
  5.962115e-01   1.666754e-03   1.848347e-03   2.416275e-06   472538
  6.026013e-01   1.683366e-03   1.839689e-03   2.434166e-06   480140
  6.089752e-01   1.690172e-03   1.841279e-03   2.417617e-06   490842
  6.153517e-01   1.708311e-03   1.838382e-03   2.415935e-06   500744
  6.217295e-01   1.719565e-03   1.842392e-03   2.404486e-06   511856
  6.281145e-01   1.734149e-03   1.844734e-03   2.400734e-06   523202
  6.344991e-01   1.747774e-03   1.840396e-03   2.401234e-06   532688
  6.408638e-01   1.762251e-03   1.834541e-03   2.410116e-06   541520
  6.472341e-01   1.774676e-03   1.842653e-03   2.388687e-06   555110
  6.536136e-01   1.789643e-03   1.839126e-03   2.378470e-06   564944
  6.599884e-01   1.794866e-03   1.839832e-03   2.372221e-06   576434
  6.663740e-01   1.810840e-03   1.844405e-03   2.362843e-06   588848
  6.727501e-01   1.826684e-03   1.838623e-03   2.366049e-06   597704
  6.791236e-01   1.837067e-03   1.842386e-03   2.354194e-06   610946
  6.855006e-01   1.854044e-03   1.837794e-03   2.355954e-06   620852
  6.918722e-01   1.863782e-03   1.841901e-03   2.347800e-06   633530
  6.982524e-01   1.874689e-03   1.841844e-03   2.338856e-06   645704
  7.046316e-01   1.888354e-03   1.840565e-03   2.339769e-06   656744
  7.110074e-01   1.904805e-03   1.841941e-03   2.328230e-06   669162
  7.173906e-01   1.918674e-03   1.843286e-03   2.322446e-06   681992
  7.237681e-01   1.926663e-03   1.838959e-03   2.323678e-06   692360
  7.301485e-01   1.938411e-03   1.844364e-03   2.311998e-06   707006
  7.365206e-01   1.950642e-03   1.834135e-03   2.310033e-06   714944
  7.428835e-01   1.970745e-03   1.841775e-03   2.306374e-06   730346
  7.492606e-01   1.979359e-03   1.838962e-03   2.303966e-06   742616
  7.556415e-01   1.992436e-03   1.843530e-03   2.290543e-06   756536
  7.620128e-01   1.999155e-03   1.836595e-03   2.288686e-06   766418
  7.683917e-01   2.010576e-03   1.845753e-03   2.272389e-06   783392
  7.747614e-01   2.024191e-03   1.833632e-03   2.284293e-06   790412
