# power spectrum of T00
# redshift z=5.988045
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   1.807397e-02   7.667927e-04   3.530823e-03   18
  1.037418e-02   5.149437e-01   1.725047e-03   5.953027e-02   128
  1.616528e-02   2.293412e+00   1.646572e-03   1.295341e-01   314
  2.269071e-02   5.505880e+00   1.954354e-03   2.135373e-01   728
  2.897169e-02   1.052915e+01   1.717946e-03   3.536151e-01   1016
  3.518826e-02   1.462579e+01   1.880676e-03   3.613063e-01   1682
  4.169479e-02   2.191099e+01   1.831736e-03   4.602973e-01   2300
  4.790974e-02   2.786355e+01   1.770731e-03   5.233182e-01   2906
  5.429022e-02   3.739036e+01   1.892687e-03   6.151700e-01   4040
  6.068098e-02   4.826568e+01   1.775551e-03   7.275365e-01   4712
  6.698900e-02   6.136219e+01   1.857705e-03   7.918024e-01   6002
  7.346135e-02   7.250901e+01   1.857594e-03   8.631059e-01   7256
  7.977379e-02   8.600387e+01   1.772571e-03   9.731919e-01   8120
  8.609019e-02   9.401823e+01   1.864951e-03   9.431223e-01   9950
  9.253636e-02   1.034645e+02   1.853578e-03   9.571836e-01   11384
  9.885187e-02   1.100457e+02   1.809244e-03   9.904949e-01   12666
  1.052712e-01   1.213077e+02   1.889168e-03   9.741308e-01   15104
  1.117654e-01   1.336410e+02   1.850532e-03   1.049960e+00   16616
  1.180754e-01   1.518353e+02   1.799489e-03   1.138817e+00   18026
  1.244216e-01   1.664156e+02   1.853405e-03   1.140979e+00   20696
  1.308065e-01   1.805629e+02   1.827918e-03   1.214802e+00   22436
  1.371558e-01   1.979004e+02   1.845873e-03   1.259148e+00   24962
  1.435394e-01   2.075966e+02   1.831283e-03   1.244000e+00   27176
  1.499133e-01   2.139100e+02   1.847268e-03   1.244124e+00   29810
  1.562775e-01   2.227716e+02   1.828450e-03   1.256093e+00   32120
  1.626776e-01   2.312853e+02   1.865216e-03   1.233130e+00   35432
  1.690383e-01   2.457573e+02   1.814577e-03   1.269738e+00   37238
  1.754019e-01   2.598585e+02   1.856016e-03   1.284695e+00   41072
  1.817869e-01   2.736043e+02   1.834293e-03   1.325845e+00   43472
  1.881565e-01   2.928898e+02   1.848176e-03   1.355308e+00   47042
  1.945298e-01   3.113648e+02   1.829223e-03   1.415936e+00   49712
  2.008693e-01   3.242795e+02   1.840592e-03   1.413632e+00   53226
  2.072637e-01   3.276825e+02   1.853753e-03   1.366583e+00   57320
  2.136558e-01   3.395135e+02   1.831629e-03   1.390601e+00   60092
  2.200056e-01   3.498920e+02   1.839426e-03   1.388713e+00   63914
  2.263950e-01   3.576842e+02   1.849752e-03   1.364366e+00   68192
  2.327751e-01   3.698019e+02   1.833934e-03   1.382430e+00   71336
  2.391397e-01   3.822510e+02   1.845607e-03   1.388092e+00   75818
  2.455297e-01   3.970991e+02   1.844019e-03   1.412046e+00   79880
  2.518964e-01   4.125353e+02   1.834462e-03   1.423242e+00   83642
  2.582661e-01   4.305129e+02   1.840779e-03   1.450875e+00   88316
  2.646730e-01   4.410066e+02   1.859422e-03   1.448943e+00   93488
  2.710484e-01   4.505478e+02   1.827184e-03   1.455903e+00   96458
  2.773871e-01   4.599644e+02   1.829038e-03   1.460242e+00   101264
  2.837816e-01   4.674608e+02   1.862873e-03   1.423437e+00   107696
  2.901819e-01   4.760831e+02   1.837217e-03   1.433036e+00   111170
  2.965233e-01   4.920287e+02   1.822285e-03   1.454784e+00   115232
  3.028941e-01   5.027834e+02   1.855375e-03   1.436118e+00   122310
  3.093019e-01   5.133156e+02   1.843350e-03   1.442484e+00   126944
  3.156739e-01   5.286893e+02   1.828600e-03   1.462568e+00   131192
  3.220432e-01   5.400600e+02   1.844535e-03   1.464503e+00   137618
  3.284234e-01   5.536298e+02   1.836674e-03   1.465173e+00   142448
  3.347979e-01   5.608129e+02   1.844704e-03   1.453625e+00   148520
  3.411627e-01   5.703447e+02   1.831436e-03   1.464790e+00   153254
  3.475446e-01   5.825340e+02   1.852010e-03   1.456080e+00   160760
  3.539284e-01   5.869900e+02   1.835751e-03   1.440554e+00   165290
  3.603019e-01   6.037863e+02   1.840148e-03   1.455826e+00   171992
  3.666828e-01   6.122073e+02   1.840217e-03   1.459857e+00   177800
  3.730569e-01   6.246501e+02   1.843032e-03   1.456662e+00   184322
  3.794439e-01   6.365509e+02   1.841595e-03   1.463913e+00   190832
  3.858239e-01   6.451411e+02   1.839260e-03   1.463167e+00   196772
  3.921872e-01   6.613377e+02   1.836453e-03   1.471200e+00   202970
  3.985536e-01   6.714789e+02   1.839266e-03   1.472275e+00   210056
  4.049173e-01   6.812144e+02   1.832832e-03   1.469855e+00   216210
  4.112896e-01   6.886175e+02   1.841640e-03   1.453280e+00   224168
  4.176700e-01   6.935310e+02   1.840761e-03   1.451222e+00   230792
  4.240565e-01   7.108930e+02   1.846256e-03   1.461588e+00   238778
  4.304312e-01   7.156691e+02   1.831772e-03   1.443583e+00   243956
  4.367939e-01   7.292420e+02   1.845141e-03   1.450909e+00   252680
  4.431746e-01   7.408286e+02   1.842020e-03   1.456481e+00   260066
  4.495713e-01   7.495732e+02   1.849294e-03   1.446823e+00   268712
  4.559494e-01   7.597268e+02   1.834336e-03   1.452881e+00   274034
  4.623270e-01   7.660968e+02   1.847366e-03   1.439461e+00   283904
  4.687088e-01   7.765523e+02   1.837425e-03   1.445993e+00   290048
  4.750707e-01   7.838635e+02   1.836659e-03   1.443157e+00   297950
  4.814434e-01   7.961116e+02   1.842026e-03   1.443317e+00   306968
  4.878269e-01   8.115715e+02   1.843240e-03   1.448840e+00   315320
  4.942006e-01   8.122568e+02   1.835899e-03   1.433759e+00   322346
  5.005701e-01   8.248899e+02   1.842589e-03   1.430683e+00   331664
  5.069538e-01   8.330466e+02   1.844896e-03   1.426267e+00   340818
  5.133346e-01   8.461354e+02   1.837322e-03   1.436820e+00   348164
  5.197083e-01   8.556209e+02   1.843548e-03   1.435137e+00   357584
  5.260929e-01   8.657035e+02   1.846059e-03   1.427495e+00   367106
  5.324635e-01   8.689786e+02   1.832285e-03   1.418850e+00   373376
  5.388350e-01   8.779566e+02   1.848023e-03   1.411022e+00   385376
  5.452233e-01   8.881915e+02   1.842356e-03   1.410800e+00   393650
  5.516038e-01   8.969604e+02   1.840588e-03   1.413866e+00   402704
  5.579656e-01   9.032439e+02   1.830970e-03   1.407829e+00   409910
  5.643320e-01   9.147933e+02   1.843407e-03   1.406640e+00   422024
  5.707212e-01   9.193424e+02   1.846526e-03   1.401409e+00   432176
  5.771022e-01   9.307120e+02   1.837404e-03   1.402045e+00   440066
  5.834769e-01   9.371051e+02   1.841263e-03   1.398573e+00   450680
  5.898365e-01   9.487369e+02   1.831084e-03   1.401580e+00   457856
  5.962115e-01   9.556909e+02   1.848347e-03   1.392237e+00   472538
  6.026013e-01   9.670571e+02   1.839689e-03   1.393901e+00   480140
  6.089752e-01   9.724202e+02   1.841279e-03   1.390209e+00   490842
  6.153517e-01   9.841542e+02   1.838382e-03   1.392185e+00   500744
  6.217295e-01   9.885997e+02   1.842392e-03   1.383898e+00   511856
  6.281145e-01   9.990827e+02   1.844734e-03   1.380193e+00   523202
  6.344991e-01   1.009334e+03   1.840396e-03   1.388403e+00   532688
  6.408638e-01   1.016158e+03   1.834541e-03   1.380892e+00   541520
  6.472341e-01   1.024209e+03   1.842653e-03   1.379991e+00   555110
  6.536136e-01   1.028277e+03   1.839126e-03   1.362419e+00   564944
  6.599884e-01   1.036867e+03   1.839832e-03   1.370823e+00   576434
  6.663740e-01   1.044922e+03   1.844405e-03   1.365307e+00   588848
  6.727501e-01   1.051552e+03   1.838623e-03   1.362636e+00   597704
  6.791236e-01   1.063048e+03   1.842386e-03   1.367716e+00   610946
  6.855006e-01   1.071066e+03   1.837794e-03   1.359000e+00   620852
  6.918722e-01   1.074561e+03   1.841901e-03   1.357799e+00   633530
  6.982524e-01   1.082708e+03   1.841844e-03   1.349178e+00   645704
  7.046316e-01   1.092424e+03   1.840565e-03   1.344262e+00   656744
  7.110074e-01   1.096911e+03   1.841941e-03   1.346166e+00   669162
  7.173906e-01   1.106288e+03   1.843286e-03   1.335752e+00   681992
  7.237681e-01   1.110819e+03   1.838959e-03   1.340191e+00   692360
  7.301485e-01   1.121618e+03   1.844364e-03   1.334350e+00   707006
  7.365206e-01   1.128294e+03   1.834135e-03   1.332080e+00   714944
  7.428835e-01   1.136925e+03   1.841775e-03   1.329632e+00   730346
  7.492606e-01   1.143922e+03   1.838962e-03   1.329659e+00   742616
  7.556415e-01   1.149759e+03   1.843530e-03   1.325519e+00   756536
  7.620128e-01   1.157814e+03   1.836595e-03   1.319670e+00   766418
  7.683917e-01   1.162748e+03   1.845753e-03   1.313801e+00   783392
  7.747614e-01   1.173536e+03   1.833632e-03   1.320158e+00   790412
  7.811334e-01   1.176494e+03   1.848120e-03   1.306875e+00   810314
  7.875277e-01   1.182946e+03   1.843702e-03   1.306541e+00   821960
  7.938987e-01   1.191560e+03   1.834976e-03   1.309188e+00   831266
  8.002712e-01   1.193484e+03   1.843706e-03   1.299140e+00   848960
  8.066557e-01   1.201898e+03   1.842629e-03   1.296961e+00   861488
  8.130204e-01   1.208934e+03   1.833334e-03   1.301007e+00   871194
  8.193985e-01   1.214527e+03   1.847247e-03   1.286875e+00   891788
  8.257796e-01   1.218550e+03   1.838008e-03   1.285976e+00   900416
  8.321422e-01   1.228272e+03   1.836250e-03   1.286029e+00   914306
  8.385264e-01   1.234356e+03   1.847988e-03   1.280549e+00   933992
  8.449011e-01   1.239820e+03   1.834294e-03   1.282936e+00   940826
  8.512701e-01   1.247641e+03   1.842364e-03   1.275824e+00   960224
  8.576621e-01   1.251816e+03   1.846556e-03   1.273031e+00   976316
  8.640381e-01   1.258743e+03   1.835724e-03   1.269471e+00   985010
  8.704114e-01   1.267547e+03   1.843336e-03   1.269041e+00   1004024
  8.767898e-01   1.271318e+03   1.839706e-03   1.264543e+00   1016288
  8.831639e-01   1.278377e+03   1.840690e-03   1.264267e+00   1032290
  8.895470e-01   1.282479e+03   1.843156e-03   1.255336e+00   1048640
  8.959130e-01   1.287808e+03   1.831919e-03   1.252089e+00   1057250
  9.022937e-01   1.294533e+03   1.849588e-03   1.248237e+00   1083140
  9.086870e-01   1.299935e+03   1.840763e-03   1.247829e+00   1092248
  9.150555e-01   1.304725e+03   1.837510e-03   1.244524e+00   1105914
  9.214310e-01   1.309430e+03   1.841822e-03   1.239747e+00   1124744
  9.278120e-01   1.317463e+03   1.841202e-03   1.235423e+00   1139120
  9.341841e-01   1.320889e+03   1.838536e-03   1.232811e+00   1153490
  9.405650e-01   1.328205e+03   1.844187e-03   1.230529e+00   1172936
  9.469357e-01   1.335692e+03   1.834491e-03   1.235937e+00   1182158
  9.533110e-01   1.339760e+03   1.846126e-03   1.221291e+00   1206392
  9.596894e-01   1.342297e+03   1.835525e-03   1.219387e+00   1215224
  9.660641e-01   1.348191e+03   1.844936e-03   1.214514e+00   1237874
  9.724505e-01   1.353227e+03   1.841050e-03   1.210882e+00   1251800
