# power spectrum of phi
# redshift z=5.988045
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   3.174817e-10   7.667927e-04   6.994913e-11   18
  1.037418e-02   4.650780e-10   1.725047e-03   4.751673e-11   128
  1.616528e-02   3.801873e-10   1.646572e-03   2.020240e-11   314
  2.269071e-02   2.365545e-10   1.954354e-03   8.629469e-12   728
  2.897169e-02   1.751800e-10   1.717946e-03   6.030945e-12   1016
  3.518826e-02   1.123559e-10   1.880676e-03   2.798478e-12   1682
  4.169479e-02   8.423603e-11   1.831736e-03   1.733640e-12   2300
  4.790974e-02   6.157607e-11   1.770731e-03   1.155778e-12   2906
  5.429022e-02   5.020423e-11   1.892687e-03   8.238950e-13   4040
  6.068098e-02   4.166401e-11   1.775551e-03   6.271558e-13   4712
  6.698900e-02   3.569412e-11   1.857705e-03   4.622368e-13   6002
  7.346135e-02   2.923397e-11   1.857594e-03   3.508644e-13   7256
  7.977379e-02   2.483302e-11   1.772571e-03   2.807126e-13   8120
  8.609019e-02   2.002914e-11   1.864951e-03   2.019808e-13   9950
  9.253636e-02   1.649654e-11   1.853578e-03   1.525190e-13   11384
  9.885187e-02   1.348889e-11   1.809244e-03   1.222922e-13   12666
  1.052712e-01   1.154336e-11   1.889168e-03   9.248334e-14   15104
  1.117654e-01   1.001148e-11   1.850532e-03   7.861450e-14   16616
  1.180754e-01   9.137778e-12   1.799489e-03   6.862359e-14   18026
  1.244216e-01   8.109889e-12   1.853405e-03   5.551579e-14   20696
  1.308065e-01   7.215130e-12   1.827918e-03   4.869046e-14   22436
  1.371558e-01   6.541600e-12   1.845873e-03   4.176662e-14   24962
  1.435394e-01   5.720293e-12   1.831283e-03   3.438600e-14   27176
  1.499133e-01   4.953572e-12   1.847268e-03   2.885281e-14   29810
  1.562775e-01   4.366067e-12   1.828450e-03   2.459662e-14   32120
  1.626776e-01   3.860873e-12   1.865216e-03   2.058936e-14   35432
  1.690383e-01   3.516243e-12   1.814577e-03   1.815562e-14   37238
  1.754019e-01   3.209461e-12   1.856016e-03   1.585517e-14   41072
  1.817869e-01   2.928449e-12   1.834293e-03   1.418754e-14   43472
  1.881565e-01   2.732775e-12   1.848176e-03   1.265500e-14   47042
  1.945298e-01   2.542364e-12   1.829223e-03   1.157441e-14   49712
  2.008693e-01   2.329352e-12   1.840592e-03   1.016447e-14   53226
  2.072637e-01   2.076561e-12   1.853753e-03   8.667571e-15   57320
  2.136558e-01   1.905714e-12   1.831629e-03   7.814861e-15   60092
  2.200056e-01   1.746474e-12   1.839426e-03   6.937059e-15   63914
  2.263950e-01   1.592098e-12   1.849752e-03   6.078308e-15   68192
  2.327751e-01   1.472940e-12   1.833934e-03   5.510070e-15   71336
  2.391397e-01   1.366309e-12   1.845607e-03   4.962103e-15   75818
  2.455297e-01   1.277602e-12   1.844019e-03   4.543219e-15   79880
  2.518964e-01   1.198203e-12   1.834462e-03   4.135795e-15   83642
  2.582661e-01   1.131321e-12   1.840779e-03   3.813130e-15   88316
  2.646730e-01   1.050719e-12   1.859422e-03   3.451515e-15   93488
  2.710484e-01   9.762709e-13   1.827184e-03   3.156387e-15   96458
  2.773871e-01   9.084697e-13   1.829038e-03   2.884684e-15   101264
  2.837816e-01   8.428739e-13   1.862873e-03   2.566784e-15   107696
  2.901819e-01   7.853163e-13   1.837217e-03   2.365513e-15   111170
  2.965233e-01   7.443363e-13   1.822285e-03   2.201322e-15   115232
  3.028941e-01   6.986898e-13   1.855375e-03   1.997394e-15   122310
  3.093019e-01   6.560984e-13   1.843350e-03   1.844728e-15   126944
  3.156739e-01   6.225415e-13   1.828600e-03   1.721733e-15   131192
  3.220432e-01   5.873232e-13   1.844535e-03   1.592702e-15   137618
  3.284234e-01   5.566029e-13   1.836674e-03   1.473098e-15   142448
  3.347979e-01   5.221980e-13   1.844704e-03   1.353973e-15   148520
  3.411627e-01   4.925463e-13   1.831436e-03   1.265792e-15   153254
  3.475446e-01   4.670829e-13   1.852010e-03   1.167451e-15   160760
  3.539284e-01   4.376342e-13   1.835751e-03   1.074385e-15   165290
  3.603019e-01   4.191596e-13   1.840148e-03   1.010664e-15   171992
  3.666828e-01   3.962347e-13   1.840217e-03   9.448950e-16   177800
  3.730569e-01   3.773674e-13   1.843032e-03   8.799565e-16   184322
  3.794439e-01   3.593601e-13   1.841595e-03   8.267318e-16   190832
  3.858239e-01   3.407181e-13   1.839260e-03   7.731382e-16   196772
  3.921872e-01   3.271405e-13   1.836453e-03   7.277762e-16   202970
  3.985536e-01   3.114713e-13   1.839266e-03   6.830352e-16   210056
  4.049173e-01   2.966350e-13   1.832832e-03   6.402055e-16   216210
  4.112896e-01   2.816966e-13   1.841640e-03   5.945060e-16   224168
  4.176700e-01   2.667970e-13   1.840761e-03   5.584745e-16   230792
  4.240565e-01   2.573536e-13   1.846256e-03   5.291829e-16   238778
  4.304312e-01   2.441095e-13   1.831772e-03   4.925484e-16   243956
  4.367939e-01   2.345592e-13   1.845141e-03   4.668019e-16   252680
  4.431746e-01   2.248920e-13   1.842020e-03   4.423006e-16   260066
  4.495713e-01   2.148788e-13   1.849294e-03   4.148574e-16   268712
  4.559494e-01   2.058624e-13   1.834336e-03   3.937631e-16   274034
  4.623270e-01   1.963876e-13   1.847366e-03   3.691002e-16   283904
  4.687088e-01   1.884598e-13   1.837425e-03   3.510362e-16   290048
  4.750707e-01   1.802673e-13   1.836659e-03   3.319934e-16   297950
  4.814434e-01   1.735893e-13   1.842026e-03   3.148121e-16   306968
  4.878269e-01   1.678814e-13   1.843240e-03   2.997975e-16   315320
  4.942006e-01   1.595369e-13   1.835899e-03   2.816883e-16   322346
  5.005701e-01   1.539366e-13   1.842589e-03   2.670352e-16   331664
  5.069538e-01   1.477863e-13   1.844896e-03   2.531055e-16   340818
  5.133346e-01   1.427946e-13   1.837322e-03   2.425623e-16   348164
  5.197083e-01   1.374492e-13   1.843548e-03   2.306204e-16   357584
  5.260929e-01   1.324611e-13   1.846059e-03   2.185127e-16   367106
  5.324635e-01   1.267179e-13   1.832285e-03   2.069752e-16   373376
  5.388350e-01   1.220905e-13   1.848023e-03   1.963034e-16   385376
  5.452233e-01   1.178300e-13   1.842356e-03   1.872150e-16   393650
  5.516038e-01   1.135947e-13   1.840588e-03   1.791261e-16   402704
  5.579656e-01   1.092743e-13   1.830970e-03   1.703851e-16   409910
  5.643320e-01   1.057653e-13   1.843407e-03   1.626915e-16   422024
  5.707212e-01   1.016251e-13   1.846526e-03   1.549786e-16   432176
  5.771022e-01   9.841490e-14   1.837404e-03   1.483099e-16   440066
  5.834769e-01   9.483903e-14   1.841263e-03   1.415981e-16   450680
  5.898365e-01   9.194244e-14   1.831084e-03   1.358645e-16   457856
  5.962115e-01   8.873973e-14   1.848347e-03   1.293461e-16   472538
  6.026013e-01   8.604844e-14   1.839689e-03   1.240764e-16   480140
  6.089752e-01   8.296613e-14   1.841279e-03   1.186650e-16   490842
  6.153517e-01   8.054749e-14   1.838382e-03   1.139902e-16   500744
  6.217295e-01   7.764842e-14   1.842392e-03   1.087343e-16   511856
  6.281145e-01   7.533956e-14   1.844734e-03   1.041323e-16   523202
  6.344991e-01   7.310511e-14   1.840396e-03   1.006192e-16   532688
  6.408638e-01   7.072333e-14   1.834541e-03   9.615767e-17   541520
  6.472341e-01   6.852814e-14   1.842653e-03   9.238760e-17   555110
  6.536136e-01   6.615964e-14   1.839126e-03   8.771633e-17   564944
  6.599884e-01   6.417728e-14   1.839832e-03   8.490013e-17   576434
  6.663740e-01   6.224129e-14   1.844405e-03   8.137828e-17   588848
  6.727501e-01   6.029723e-14   1.838623e-03   7.818234e-17   597704
  6.791236e-01   5.870912e-14   1.842386e-03   7.558260e-17   610946
  6.855006e-01   5.698654e-14   1.837794e-03   7.235514e-17   620852
  6.918722e-01   5.509972e-14   1.841901e-03   6.966382e-17   633530
  6.982524e-01   5.352335e-14   1.841844e-03   6.674016e-17   645704
  7.046316e-01   5.208385e-14   1.840565e-03   6.414430e-17   656744
  7.110074e-01   5.045318e-14   1.841941e-03   6.197132e-17   669162
  7.173906e-01   4.910048e-14   1.843286e-03   5.932937e-17   681992
  7.237681e-01   4.759141e-14   1.838959e-03   5.747212e-17   692360
  7.301485e-01   4.640415e-14   1.844364e-03   5.525337e-17   707006
  7.365206e-01   4.508945e-14   1.834135e-03   5.328493e-17   714944
  7.428835e-01   4.390314e-14   1.841775e-03   5.139068e-17   730346
