# power spectrum of delta
# redshift z=0.996041
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   1.695192e-05   7.667927e-04   3.325720e-06   18
  1.037418e-02   4.965269e-04   1.725047e-03   5.734531e-05   128
  1.616528e-02   2.220598e-03   1.646572e-03   1.254790e-04   314
  2.269071e-02   5.349232e-03   1.954354e-03   2.080204e-04   728
  2.897169e-02   1.020456e-02   1.717946e-03   3.426433e-04   1016
  3.518826e-02   1.417883e-02   1.880676e-03   3.516012e-04   1682
  4.169479e-02   2.117783e-02   1.831736e-03   4.417375e-04   2300
  4.790974e-02   2.701367e-02   1.770731e-03   5.066820e-04   2906
  5.429022e-02   3.589925e-02   1.892687e-03   5.868722e-04   4040
  6.068098e-02   4.667055e-02   1.775551e-03   6.990524e-04   4712
  6.698900e-02   5.890890e-02   1.857705e-03   7.649393e-04   6002
  7.346135e-02   6.964106e-02   1.857594e-03   8.336452e-04   7256
  7.977379e-02   8.304453e-02   1.772571e-03   9.455737e-04   8120
  8.609019e-02   9.070676e-02   1.864951e-03   9.119045e-04   9950
  9.253636e-02   1.004728e-01   1.853578e-03   9.295736e-04   11384
  9.885187e-02   1.072905e-01   1.809244e-03   9.715380e-04   12666
  1.052712e-01   1.194453e-01   1.889168e-03   9.629662e-04   15104
  1.117654e-01   1.311282e-01   1.850532e-03   1.027612e-03   16616
  1.180754e-01   1.488256e-01   1.799489e-03   1.112057e-03   18026
  1.244216e-01   1.628603e-01   1.853405e-03   1.121372e-03   20696
  1.308065e-01   1.767074e-01   1.827918e-03   1.187821e-03   22436
  1.371558e-01   1.930408e-01   1.845873e-03   1.218560e-03   24962
  1.435394e-01   2.052370e-01   1.831283e-03   1.235473e-03   27176
  1.499133e-01   2.125806e-01   1.847268e-03   1.233621e-03   29810
  1.562775e-01   2.241940e-01   1.828450e-03   1.260660e-03   32120
  1.626776e-01   2.363031e-01   1.865216e-03   1.264547e-03   35432
  1.690383e-01   2.519662e-01   1.814577e-03   1.295491e-03   37238
  1.754019e-01   2.667319e-01   1.856016e-03   1.319787e-03   41072
  1.817869e-01   2.818680e-01   1.834293e-03   1.359167e-03   43472
  1.881565e-01   2.995200e-01   1.848176e-03   1.395390e-03   47042
  1.945298e-01   3.194957e-01   1.829223e-03   1.446937e-03   49712
  2.008693e-01   3.358831e-01   1.840592e-03   1.456008e-03   53226
  2.072637e-01   3.412562e-01   1.853753e-03   1.424670e-03   57320
  2.136558e-01   3.578944e-01   1.831629e-03   1.462828e-03   60092
  2.200056e-01   3.723987e-01   1.839426e-03   1.474095e-03   63914
  2.263950e-01   3.831456e-01   1.849752e-03   1.469256e-03   68192
  2.327751e-01   3.997777e-01   1.833934e-03   1.489819e-03   71336
