# power spectrum of delta for cdm
# redshift z=-0.011770
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   4.413537e-05   7.667927e-04   8.656393e-06   18
  1.037418e-02   1.296084e-03   1.725047e-03   1.493978e-04   128
  1.616528e-02   5.792671e-03   1.646572e-03   3.273527e-04   314
  2.269071e-02   1.396270e-02   1.954354e-03   5.442762e-04   728
  2.897169e-02   2.654090e-02   1.717946e-03   8.903307e-04   1016
  3.518826e-02   3.685946e-02   1.880676e-03   9.169468e-04   1682
  4.169479e-02   5.484955e-02   1.831736e-03   1.137055e-03   2300
  4.790974e-02   7.016668e-02   1.770731e-03   1.314632e-03   2906
  5.429022e-02   9.237924e-02   1.892687e-03   1.500695e-03   4040
  6.068098e-02   1.204937e-01   1.775551e-03   1.791450e-03   4712
  6.698900e-02   1.512794e-01   1.857705e-03   1.970224e-03   6002
  7.346135e-02   1.785942e-01   1.857594e-03   2.148272e-03   7256
  7.977379e-02   2.140989e-01   1.772571e-03   2.447535e-03   8120
  8.609019e-02   2.342536e-01   1.864951e-03   2.368362e-03   9950
  9.253636e-02   2.620138e-01   1.853578e-03   2.419630e-03   11384
  9.885187e-02   2.814902e-01   1.809244e-03   2.562236e-03   12666
  1.052712e-01   3.172025e-01   1.889168e-03   2.558918e-03   15104
  1.117654e-01   3.475618e-01   1.850532e-03   2.712786e-03   16616
  1.180754e-01   3.934180e-01   1.799489e-03   2.934942e-03   18026
  1.244216e-01   4.308130e-01   1.853405e-03   2.973595e-03   20696
  1.308065e-01   4.675567e-01   1.827918e-03   3.134801e-03   22436
  1.371558e-01   5.086421e-01   1.845873e-03   3.181015e-03   24962
  1.435394e-01   5.504413e-01   1.831283e-03   3.338283e-03   27176
  1.499133e-01   5.759101e-01   1.847268e-03   3.356471e-03   29810
  1.562775e-01   6.130964e-01   1.828450e-03   3.457664e-03   32120
  1.626776e-01   6.568112e-01   1.865216e-03   3.531600e-03   35432
  1.690383e-01   7.054858e-01   1.814577e-03   3.642547e-03   37238
  1.754019e-01   7.472269e-01   1.856016e-03   3.681220e-03   41072
  1.817869e-01   7.946553e-01   1.834293e-03   3.813312e-03   43472
  1.881565e-01   8.387663e-01   1.848176e-03   3.893697e-03   47042
  1.945298e-01   9.025013e-01   1.829223e-03   4.051295e-03   49712
  2.008693e-01   9.538837e-01   1.840592e-03   4.120288e-03   53226
  2.072637e-01   9.791941e-01   1.853753e-03   4.087212e-03   57320
  2.136558e-01   1.045100e+00   1.831629e-03   4.274001e-03   60092
  2.200056e-01   1.095468e+00   1.839426e-03   4.315461e-03   63914
  2.263950e-01   1.138964e+00   1.849752e-03   4.353599e-03   68192
  2.327751e-01   1.192713e+00   1.833934e-03   4.469230e-03   71336
  2.391397e-01   1.251125e+00   1.845607e-03   4.566089e-03   75818
  2.455297e-01   1.316883e+00   1.844019e-03   4.676169e-03   79880
  2.518964e-01   1.371301e+00   1.834462e-03   4.731316e-03   83642
  2.582661e-01   1.446436e+00   1.840779e-03   4.880107e-03   88316
  2.646730e-01   1.490717e+00   1.859422e-03   4.930520e-03   93488
  2.710484e-01   1.550320e+00   1.827184e-03   5.005371e-03   96458
  2.773871e-01   1.629106e+00   1.829038e-03   5.103742e-03   101264
  2.837816e-01   1.686694e+00   1.862873e-03   5.144669e-03   107696
  2.901819e-01   1.754672e+00   1.837217e-03   5.251827e-03   111170
  2.965233e-01   1.821267e+00   1.822285e-03   5.401503e-03   115232
  3.028941e-01   1.897891e+00   1.855375e-03   5.466386e-03   122310
  3.093019e-01   1.956087e+00   1.843350e-03   5.491887e-03   126944
  3.156739e-01   2.044718e+00   1.828600e-03   5.657617e-03   131192
  3.220432e-01   2.105293e+00   1.844535e-03   5.720315e-03   137618
  3.284234e-01   2.180516e+00   1.836674e-03   5.793413e-03   142448
  3.347979e-01   2.270359e+00   1.844704e-03   5.858820e-03   148520
  3.411627e-01   2.327343e+00   1.831436e-03   5.929789e-03   153254
  3.475446e-01   2.417528e+00   1.852010e-03   6.036339e-03   160760
  3.539284e-01   2.489460e+00   1.835751e-03   6.124644e-03   165290
  3.603019e-01   2.584186e+00   1.840148e-03   6.240220e-03   171992
  3.666828e-01   2.658794e+00   1.840217e-03   6.305024e-03   177800
  3.730569e-01   2.739479e+00   1.843032e-03   6.352339e-03   184322
  3.794439e-01   2.841503e+00   1.841595e-03   6.490658e-03   190832
  3.858239e-01   2.918928e+00   1.839260e-03   6.594869e-03   196772
  3.921872e-01   3.004619e+00   1.836453e-03   6.676252e-03   202970
  3.985536e-01   3.113345e+00   1.839266e-03   6.804366e-03   210056
  4.049173e-01   3.196564e+00   1.832832e-03   6.913544e-03   216210
  4.112896e-01   3.301593e+00   1.841640e-03   6.974940e-03   224168
  4.176700e-01   3.388729e+00   1.840761e-03   7.049390e-03   230792
  4.240565e-01   3.500279e+00   1.846256e-03   7.159273e-03   238778
  4.304312e-01   3.576313e+00   1.831772e-03   7.216832e-03   243956
  4.367939e-01   3.677917e+00   1.845141e-03   7.342216e-03   252680
  4.431746e-01   3.777510e+00   1.842020e-03   7.379645e-03   260066
  4.495713e-01   3.912940e+00   1.849294e-03   7.545545e-03   268712
  4.559494e-01   4.005729e+00   1.834336e-03   7.634077e-03   274034
  4.623270e-01   4.119049e+00   1.847366e-03   7.730670e-03   283904
  4.687088e-01   4.209865e+00   1.837425e-03   7.792623e-03   290048
  4.750707e-01   4.320771e+00   1.836659e-03   7.887020e-03   297950
  4.814434e-01   4.442281e+00   1.842026e-03   7.976469e-03   306968
  4.878269e-01   4.541850e+00   1.843240e-03   8.096500e-03   315320
  4.942006e-01   4.650759e+00   1.835899e-03   8.177231e-03   322346
  5.005701e-01   4.783461e+00   1.842589e-03   8.331556e-03   331664
  5.069538e-01   4.885477e+00   1.844896e-03   8.357520e-03   340818
  5.133346e-01   5.001913e+00   1.837322e-03   8.482513e-03   348164
  5.197083e-01   5.144867e+00   1.843548e-03   8.578551e-03   357584
  5.260929e-01   5.246415e+00   1.846059e-03   8.654784e-03   367106
  5.324635e-01   5.389134e+00   1.832285e-03   8.834498e-03   373376
  5.388350e-01   5.519769e+00   1.848023e-03   8.911481e-03   385376
  5.452233e-01   5.629383e+00   1.842356e-03   8.945059e-03   393650
  5.516038e-01   5.738366e+00   1.840588e-03   8.998492e-03   402704
  5.579656e-01   5.874298e+00   1.830970e-03   9.164593e-03   409910
  5.643320e-01   6.017985e+00   1.843407e-03   9.272375e-03   422024
  5.707212e-01   6.156682e+00   1.846526e-03   9.391193e-03   432176
  5.771022e-01   6.252412e+00   1.837404e-03   9.419455e-03   440066
  5.834769e-01   6.393895e+00   1.841263e-03   9.560607e-03   450680
  5.898365e-01   6.538532e+00   1.831084e-03   9.657307e-03   457856
  5.962115e-01   6.690514e+00   1.848347e-03   9.745300e-03   472538
  6.026013e-01   6.838946e+00   1.839689e-03   9.871132e-03   480140
  6.089752e-01   6.947962e+00   1.841279e-03   9.914688e-03   490842
  6.153517e-01   7.080956e+00   1.838382e-03   9.984890e-03   500744
  6.217295e-01   7.240998e+00   1.842392e-03   1.015571e-02   511856
  6.281145e-01   7.395992e+00   1.844734e-03   1.022733e-02   523202
  6.344991e-01   7.530685e+00   1.840396e-03   1.031464e-02   532688
  6.408638e-01   7.660222e+00   1.834541e-03   1.045774e-02   541520
  6.472341e-01   7.810042e+00   1.842653e-03   1.049501e-02   555110
  6.536136e-01   7.939754e+00   1.839126e-03   1.055137e-02   564944
  6.599884e-01   8.118311e+00   1.839832e-03   1.070824e-02   576434
  6.663740e-01   8.286545e+00   1.844405e-03   1.082303e-02   588848
  6.727501e-01   8.443207e+00   1.838623e-03   1.093127e-02   597704
  6.791236e-01   8.559737e+00   1.842386e-03   1.093348e-02   610946
  6.855006e-01   8.721886e+00   1.837794e-03   1.106347e-02   620852
  6.918722e-01   8.856403e+00   1.841901e-03   1.112354e-02   633530
  6.982524e-01   9.051788e+00   1.841844e-03   1.123713e-02   645704
  7.046316e-01   9.190433e+00   1.840565e-03   1.134902e-02   656744
  7.110074e-01   9.339963e+00   1.841941e-03   1.141189e-02   669162
  7.173906e-01   9.515997e+00   1.843286e-03   1.151955e-02   681992
  7.237681e-01   9.661643e+00   1.838959e-03   1.159976e-02   692360
  7.301485e-01   9.832716e+00   1.844364e-03   1.171000e-02   707006
  7.365206e-01   9.979679e+00   1.834135e-03   1.180395e-02   714944
  7.428835e-01   1.014301e+01   1.841775e-03   1.186083e-02   730346
  7.492606e-01   1.032766e+01   1.838962e-03   1.202459e-02   742616
  7.556415e-01   1.048744e+01   1.843530e-03   1.205652e-02   756536
  7.620128e-01   1.064808e+01   1.836595e-03   1.213510e-02   766418
  7.683917e-01   1.080354e+01   1.845753e-03   1.222614e-02   783392
  7.747614e-01   1.097444e+01   1.833632e-03   1.234496e-02   790412
  7.811334e-01   1.113913e+01   1.848120e-03   1.235006e-02   810314
  7.875277e-01   1.132883e+01   1.843702e-03   1.250846e-02   821960
  7.938987e-01   1.151765e+01   1.834976e-03   1.265988e-02   831266
  8.002712e-01   1.166643e+01   1.843706e-03   1.266798e-02   848960
  8.066557e-01   1.180811e+01   1.842629e-03   1.274160e-02   861488
  8.130204e-01   1.200154e+01   1.833334e-03   1.284613e-02   871194
  8.193985e-01   1.216643e+01   1.847247e-03   1.288662e-02   891788
  8.257796e-01   1.235375e+01   1.838008e-03   1.298154e-02   900416
  8.321422e-01   1.254615e+01   1.836250e-03   1.312106e-02   914306
  8.385264e-01   1.272794e+01   1.847988e-03   1.317233e-02   933992
  8.449011e-01   1.285441e+01   1.834294e-03   1.326002e-02   940826
  8.512701e-01   1.306269e+01   1.842364e-03   1.335012e-02   960224
  8.576621e-01   1.323285e+01   1.846556e-03   1.338183e-02   976316
  8.640381e-01   1.343396e+01   1.835724e-03   1.354936e-02   985010
  8.704114e-01   1.357080e+01   1.843336e-03   1.353397e-02   1004024
  8.767898e-01   1.377703e+01   1.839706e-03   1.369535e-02   1016288
  8.831639e-01   1.395677e+01   1.840690e-03   1.373580e-02   1032290
  8.895470e-01   1.412827e+01   1.843156e-03   1.380690e-02   1048640
  8.959130e-01   1.431348e+01   1.831919e-03   1.391011e-02   1057250
  9.022937e-01   1.450471e+01   1.849588e-03   1.391086e-02   1083140
  9.086870e-01   1.470229e+01   1.840763e-03   1.406416e-02   1092248
