# power spectrum of phi
# redshift z=-0.011770
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   1.916804e-10   7.667927e-04   4.246266e-11   18
  1.037418e-02   2.726502e-10   1.725047e-03   2.782852e-11   128
  1.616528e-02   2.203808e-10   1.646572e-03   1.173099e-11   314
  2.269071e-02   1.369735e-10   1.954354e-03   5.017756e-12   728
  2.897169e-02   1.004981e-10   1.717946e-03   3.441407e-12   1016
  3.518826e-02   6.432857e-11   1.880676e-03   1.614626e-12   1682
  4.169479e-02   4.792636e-11   1.831736e-03   9.758633e-13   2300
  4.790974e-02   3.520307e-11   1.770731e-03   6.604635e-13   2906
  5.429022e-02   2.819380e-11   1.892687e-03   4.568739e-13   4040
  6.068098e-02   2.361303e-11   1.775551e-03   3.510393e-13   4712
  6.698900e-02   1.998506e-11   1.857705e-03   2.617957e-13   6002
  7.346135e-02   1.632968e-11   1.857594e-03   1.979898e-13   7256
  7.977379e-02   1.402183e-11   1.772571e-03   1.598228e-13   8120
  8.609019e-02   1.131840e-11   1.864951e-03   1.146706e-13   9950
  9.253636e-02   9.479153e-12   1.853578e-03   8.756332e-14   11384
  9.885187e-02   7.829659e-12   1.809244e-03   7.162137e-14   12666
  1.052712e-01   6.847831e-12   1.889168e-03   5.513350e-14   15104
  1.117654e-01   5.906660e-12   1.850532e-03   4.608324e-14   16616
  1.180754e-01   5.369744e-12   1.799489e-03   4.008165e-14   18026
  1.244216e-01   4.765839e-12   1.853405e-03   3.287296e-14   20696
  1.308065e-01   4.239034e-12   1.827918e-03   2.851054e-14   22436
  1.371558e-01   3.812246e-12   1.845873e-03   2.388980e-14   24962
  1.435394e-01   3.438698e-12   1.831283e-03   2.088211e-14   27176
  1.499133e-01   3.025298e-12   1.847268e-03   1.766885e-14   29810
  1.562775e-01   2.726696e-12   1.828450e-03   1.540938e-14   32120
  1.626776e-01   2.488224e-12   1.865216e-03   1.339137e-14   35432
  1.690383e-01   2.290855e-12   1.814577e-03   1.183117e-14   37238
  1.754019e-01   2.093266e-12   1.856016e-03   1.032112e-14   41072
  1.817869e-01   1.929300e-12   1.834293e-03   9.260273e-15   43472
  1.881565e-01   1.775504e-12   1.848176e-03   8.255382e-15   47042
  1.945298e-01   1.670314e-12   1.829223e-03   7.494631e-15   49712
  2.008693e-01   1.553377e-12   1.840592e-03   6.712271e-15   53226
  2.072637e-01   1.406950e-12   1.853753e-03   5.874872e-15   57320
  2.136558e-01   1.329782e-12   1.831629e-03   5.440408e-15   60092
  2.200056e-01   1.239440e-12   1.839426e-03   4.883297e-15   63914
  2.263950e-01   1.149656e-12   1.849752e-03   4.396101e-15   68192
  2.327751e-01   1.076959e-12   1.833934e-03   4.033743e-15   71336
  2.391397e-01   1.014289e-12   1.845607e-03   3.700358e-15   75818
  2.455297e-01   9.606938e-13   1.844019e-03   3.408052e-15   79880
  2.518964e-01   9.032645e-13   1.834462e-03   3.119062e-15   83642
  2.582661e-01   8.620643e-13   1.840779e-03   2.908713e-15   88316
  2.646730e-01   8.054712e-13   1.859422e-03   2.663206e-15   93488
  2.710484e-01   7.616029e-13   1.827184e-03   2.458617e-15   96458
  2.773871e-01   7.296097e-13   1.829038e-03   2.286097e-15   101264
  2.837816e-01   6.897634e-13   1.862873e-03   2.105112e-15   107696
  2.901819e-01   6.562375e-13   1.837217e-03   1.963280e-15   111170
  2.965233e-01   6.247659e-13   1.822285e-03   1.852168e-15   115232
  3.028941e-01   5.979661e-13   1.855375e-03   1.721938e-15   122310
  3.093019e-01   5.669137e-13   1.843350e-03   1.591848e-15   126944
  3.156739e-01   5.461691e-13   1.828600e-03   1.511229e-15   131192
  3.220432e-01   5.191498e-13   1.844535e-03   1.410033e-15   137618
  3.284234e-01   4.972078e-13   1.836674e-03   1.321427e-15   142448
  3.347979e-01   4.793200e-13   1.844704e-03   1.236565e-15   148520
  3.411627e-01   4.557287e-13   1.831436e-03   1.161163e-15   153254
  3.475446e-01   4.395234e-13   1.852010e-03   1.097300e-15   160760
  3.539284e-01   4.209271e-13   1.835751e-03   1.035679e-15   165290
  3.603019e-01   4.068209e-13   1.840148e-03   9.824016e-16   171992
  3.666828e-01   3.902206e-13   1.840217e-03   9.252329e-16   177800
  3.730569e-01   3.752975e-13   1.843032e-03   8.701603e-16   184322
  3.794439e-01   3.637473e-13   1.841595e-03   8.308793e-16   190832
  3.858239e-01   3.495426e-13   1.839260e-03   7.896722e-16   196772
  3.921872e-01   3.370571e-13   1.836453e-03   7.489475e-16   202970
  3.985536e-01   3.275114e-13   1.839266e-03   7.157947e-16   210056
  4.049173e-01   3.155915e-13   1.832832e-03   6.825071e-16   216210
  4.112896e-01   3.062757e-13   1.841640e-03   6.470505e-16   224168
  4.176700e-01   2.955867e-13   1.840761e-03   6.148311e-16   230792
  4.240565e-01   2.873727e-13   1.846256e-03   5.878480e-16   238778
  4.304312e-01   2.766087e-13   1.831772e-03   5.581719e-16   243956
  4.367939e-01   2.682744e-13   1.845141e-03   5.355646e-16   252680
  4.431746e-01   2.600472e-13   1.842020e-03   5.080801e-16   260066
  4.495713e-01   2.543629e-13   1.849294e-03   4.904977e-16   268712
  4.559494e-01   2.461398e-13   1.834336e-03   4.691492e-16   274034
  4.623270e-01   2.394425e-13   1.847366e-03   4.494579e-16   283904
  4.687088e-01   2.316938e-13   1.837425e-03   4.288997e-16   290048
  4.750707e-01   2.253223e-13   1.836659e-03   4.113112e-16   297950
