# power spectrum of delta
# redshift z=96.079122
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   1.537456e-08   7.667927e-04   2.858085e-09   18
  1.037418e-02   2.833761e-07   1.725047e-03   3.212358e-08   128
  1.616528e-02   1.163321e-06   1.646572e-03   6.532234e-08   314
  2.269071e-02   2.703516e-06   1.954354e-03   1.044732e-07   728
  2.897169e-02   5.112619e-06   1.717946e-03   1.716362e-07   1016
  3.518826e-02   7.053923e-06   1.880676e-03   1.739116e-07   1682
  4.169479e-02   1.053771e-05   1.831736e-03   2.220168e-07   2300
  4.790974e-02   1.335288e-05   1.770731e-03   2.509213e-07   2906
  5.429022e-02   1.795907e-05   1.892687e-03   2.961712e-07   4040
  6.068098e-02   2.306159e-05   1.775551e-03   3.483118e-07   4712
  6.698900e-02   2.939556e-05   1.857705e-03   3.780205e-07   6002
  7.346135e-02   3.469483e-05   1.857594e-03   4.121830e-07   7256
  7.977379e-02   4.105781e-05   1.772571e-03   4.633877e-07   8120
  8.609019e-02   4.493337e-05   1.864951e-03   4.507496e-07   9950
  9.253636e-02   4.939144e-05   1.853578e-03   4.565725e-07   11384
  9.885187e-02   5.251248e-05   1.809244e-03   4.718665e-07   12666
  1.052712e-01   5.774691e-05   1.889168e-03   4.629781e-07   15104
  1.117654e-01   6.371769e-05   1.850532e-03   5.001818e-07   16616
  1.180754e-01   7.241009e-05   1.799489e-03   5.436292e-07   18026
  1.244216e-01   7.945894e-05   1.853405e-03   5.445334e-07   20696
  1.308065e-01   8.621679e-05   1.827918e-03   5.800722e-07   22436
  1.371558e-01   9.461331e-05   1.845873e-03   6.044142e-07   24962
  1.435394e-01   9.902079e-05   1.831283e-03   5.941117e-07   27176
  1.499133e-01   1.020038e-04   1.847268e-03   5.935955e-07   29810
  1.562775e-01   1.060151e-04   1.828450e-03   5.989009e-07   32120
  1.626776e-01   1.096450e-04   1.865216e-03   5.841191e-07   35432
  1.690383e-01   1.167827e-04   1.814577e-03   6.061178e-07   37238
  1.754019e-01   1.235244e-04   1.856016e-03   6.097005e-07   41072
  1.817869e-01   1.299851e-04   1.834293e-03   6.299429e-07   43472
  1.881565e-01   1.391985e-04   1.848176e-03   6.436387e-07   47042
  1.945298e-01   1.485464e-04   1.829223e-03   6.729992e-07   49712
  2.008693e-01   1.539280e-04   1.840592e-03   6.736046e-07   53226
  2.072637e-01   1.558727e-04   1.853753e-03   6.491264e-07   57320
  2.136558e-01   1.613851e-04   1.831629e-03   6.613886e-07   60092
  2.200056e-01   1.660353e-04   1.839426e-03   6.585012e-07   63914
  2.263950e-01   1.695801e-04   1.849752e-03   6.468721e-07   68192
  2.327751e-01   1.753344e-04   1.833934e-03   6.573850e-07   71336
  2.391397e-01   1.809126e-04   1.845607e-03   6.571835e-07   75818
  2.455297e-01   1.876794e-04   1.844019e-03   6.660815e-07   79880
  2.518964e-01   1.957298e-04   1.834462e-03   6.753638e-07   83642
  2.582661e-01   2.035444e-04   1.840779e-03   6.833104e-07   88316
  2.646730e-01   2.086506e-04   1.859422e-03   6.845748e-07   93488
  2.710484e-01   2.131621e-04   1.827184e-03   6.859362e-07   96458
  2.773871e-01   2.177242e-04   1.829038e-03   6.935165e-07   101264
  2.837816e-01   2.212967e-04   1.862873e-03   6.727578e-07   107696
  2.901819e-01   2.242072e-04   1.837217e-03   6.726579e-07   111170
  2.965233e-01   2.324317e-04   1.822285e-03   6.835898e-07   115232
  3.028941e-01   2.371141e-04   1.855375e-03   6.782960e-07   122310
  3.093019e-01   2.424703e-04   1.843350e-03   6.808459e-07   126944
  3.156739e-01   2.499626e-04   1.828600e-03   6.905526e-07   131192
  3.220432e-01   2.558812e-04   1.844535e-03   6.938704e-07   137618
  3.284234e-01   2.613274e-04   1.836674e-03   6.916651e-07   142448
  3.347979e-01   2.645766e-04   1.844704e-03   6.849240e-07   148520
  3.411627e-01   2.699182e-04   1.831436e-03   6.947963e-07   153254
  3.475446e-01   2.752331e-04   1.852010e-03   6.889832e-07   160760
  3.539284e-01   2.761360e-04   1.835751e-03   6.746847e-07   165290
  3.603019e-01   2.832244e-04   1.840148e-03   6.842788e-07   171992
  3.666828e-01   2.881599e-04   1.840217e-03   6.861405e-07   177800
  3.730569e-01   2.942117e-04   1.843032e-03   6.877798e-07   184322
  3.794439e-01   2.991717e-04   1.841595e-03   6.878811e-07   190832
  3.858239e-01   3.036956e-04   1.839260e-03   6.898560e-07   196772
  3.921872e-01   3.101608e-04   1.836453e-03   6.905437e-07   202970
  3.985536e-01   3.156641e-04   1.839266e-03   6.893961e-07   210056
  4.049173e-01   3.203786e-04   1.832832e-03   6.891462e-07   216210
  4.112896e-01   3.244515e-04   1.841640e-03   6.838454e-07   224168
  4.176700e-01   3.266390e-04   1.840761e-03   6.832832e-07   230792
  4.240565e-01   3.336237e-04   1.846256e-03   6.843990e-07   238778
  4.304312e-01   3.355543e-04   1.831772e-03   6.785756e-07   243956
  4.367939e-01   3.425390e-04   1.845141e-03   6.813184e-07   252680
  4.431746e-01   3.466884e-04   1.842020e-03   6.808264e-07   260066
  4.495713e-01   3.517986e-04   1.849294e-03   6.786775e-07   268712
  4.559494e-01   3.576877e-04   1.834336e-03   6.831637e-07   274034
  4.623270e-01   3.588182e-04   1.847366e-03   6.745987e-07   283904
  4.687088e-01   3.642113e-04   1.837425e-03   6.754183e-07   290048
  4.750707e-01   3.674629e-04   1.836659e-03   6.762560e-07   297950
  4.814434e-01   3.728071e-04   1.842026e-03   6.776518e-07   306968
  4.878269e-01   3.798159e-04   1.843240e-03   6.780629e-07   315320
  4.942006e-01   3.803087e-04   1.835899e-03   6.696127e-07   322346
  5.005701e-01   3.858621e-04   1.842589e-03   6.687701e-07   331664
  5.069538e-01   3.892949e-04   1.844896e-03   6.656323e-07   340818
  5.133346e-01   3.964585e-04   1.837322e-03   6.719414e-07   348164
  5.197083e-01   3.996195e-04   1.843548e-03   6.683260e-07   357584
  5.260929e-01   4.034985e-04   1.846059e-03   6.643974e-07   367106
  5.324635e-01   4.077506e-04   1.832285e-03   6.656653e-07   373376
  5.388350e-01   4.108586e-04   1.848023e-03   6.600953e-07   385376
  5.452233e-01   4.160224e-04   1.842356e-03   6.629173e-07   393650
  5.516038e-01   4.186317e-04   1.840588e-03   6.590126e-07   402704
  5.579656e-01   4.227409e-04   1.830970e-03   6.607650e-07   409910
  5.643320e-01   4.280856e-04   1.843407e-03   6.614711e-07   422024
  5.707212e-01   4.305782e-04   1.846526e-03   6.534434e-07   432176
  5.771022e-01   4.357491e-04   1.837404e-03   6.586014e-07   440066
  5.834769e-01   4.405605e-04   1.841263e-03   6.552842e-07   450680
  5.898365e-01   4.434424e-04   1.831084e-03   6.557901e-07   457856
  5.962115e-01   4.491537e-04   1.848347e-03   6.508437e-07   472538
  6.026013e-01   4.537005e-04   1.839689e-03   6.560058e-07   480140
  6.089752e-01   4.558026e-04   1.841279e-03   6.519513e-07   490842
  6.153517e-01   4.608078e-04   1.838382e-03   6.515741e-07   500744
  6.217295e-01   4.640699e-04   1.842392e-03   6.489566e-07   511856
  6.281145e-01   4.680439e-04   1.844734e-03   6.477680e-07   523202
  6.344991e-01   4.719185e-04   1.840396e-03   6.481830e-07   532688
  6.408638e-01   4.760520e-04   1.834541e-03   6.511263e-07   541520
  6.472341e-01   4.795216e-04   1.842653e-03   6.454394e-07   555110
  6.536136e-01   4.838378e-04   1.839126e-03   6.430179e-07   564944
  6.599884e-01   4.854028e-04   1.839832e-03   6.414002e-07   576434
  6.663740e-01   4.898646e-04   1.844405e-03   6.392455e-07   588848
  6.727501e-01   4.944231e-04   1.838623e-03   6.405225e-07   597704
  6.791236e-01   4.972035e-04   1.842386e-03   6.370188e-07   610946
  6.855006e-01   5.020895e-04   1.837794e-03   6.378851e-07   620852
  6.918722e-01   5.049989e-04   1.841901e-03   6.361430e-07   633530
  6.982524e-01   5.081393e-04   1.841844e-03   6.339784e-07   645704
  7.046316e-01   5.119996e-04   1.840565e-03   6.342424e-07   656744
  7.110074e-01   5.167499e-04   1.841941e-03   6.315147e-07   669162
  7.173906e-01   5.207019e-04   1.843286e-03   6.302766e-07   681992
  7.237681e-01   5.231348e-04   1.838959e-03   6.308714e-07   692360
  7.301485e-01   5.264683e-04   1.844364e-03   6.278989e-07   707006
  7.365206e-01   5.300696e-04   1.834135e-03   6.276701e-07   714944
  7.428835e-01   5.357386e-04   1.841775e-03   6.268088e-07   730346
  7.492606e-01   5.381774e-04   1.838962e-03   6.261525e-07   742616
  7.556415e-01   5.420812e-04   1.843530e-03   6.230633e-07   756536
  7.620128e-01   5.440800e-04   1.836595e-03   6.226695e-07   766418
  7.683917e-01   5.474065e-04   1.845753e-03   6.185647e-07   783392
  7.747614e-01   5.513542e-04   1.833632e-03   6.221068e-07   790412
  7.811334e-01   5.548662e-04   1.848120e-03   6.166349e-07   810314
  7.875277e-01   5.588526e-04   1.843702e-03   6.164388e-07   821960
  7.938987e-01   5.630702e-04   1.834976e-03   6.168941e-07   831266
  8.002712e-01   5.639379e-04   1.843706e-03   6.129316e-07   848960
  8.066557e-01   5.679380e-04   1.842629e-03   6.128622e-07   861488
  8.130204e-01   5.714248e-04   1.833334e-03   6.142821e-07   871194
  8.193985e-01   5.748060e-04   1.847247e-03   6.084084e-07   891788
  8.257796e-01   5.785779e-04   1.838008e-03   6.102088e-07   900416
  8.321422e-01   5.831983e-04   1.836250e-03   6.093473e-07   914306
  8.385264e-01   5.846773e-04   1.847988e-03   6.054423e-07   933992
  8.449011e-01   5.876559e-04   1.834294e-03   6.065352e-07   940826
  8.512701e-01   5.925172e-04   1.842364e-03   6.073778e-07   960224
  8.576621e-01   5.949607e-04   1.846556e-03   6.024888e-07   976316
  8.640381e-01   5.970050e-04   1.835724e-03   6.005327e-07   985010
  8.704114e-01   6.011791e-04   1.843336e-03   6.006059e-07   1004024
  8.767898e-01   6.024614e-04   1.839706e-03   5.999103e-07   1016288
  8.831639e-01   6.084984e-04   1.840690e-03   5.990231e-07   1032290
  8.895470e-01   6.106819e-04   1.843156e-03   5.971027e-07   1048640
  8.959130e-01   6.124152e-04   1.831919e-03   5.960948e-07   1057250
  9.022937e-01   6.183611e-04   1.849588e-03   5.945783e-07   1083140
  9.086870e-01   6.214683e-04   1.840763e-03   5.962216e-07   1092248
  9.150555e-01   6.228067e-04   1.837510e-03   5.929655e-07   1105914
  9.214310e-01   6.257703e-04   1.841822e-03   5.895013e-07   1124744
  9.278120e-01   6.298341e-04   1.841202e-03   5.910061e-07   1139120
  9.341841e-01   6.334797e-04   1.838536e-03   5.889555e-07   1153490
  9.405650e-01   6.354391e-04   1.844187e-03   5.873831e-07   1172936
  9.469357e-01   6.395676e-04   1.834491e-03   5.892457e-07   1182158
  9.533110e-01   6.412688e-04   1.846126e-03   5.821588e-07   1206392
  9.596894e-01   6.438533e-04   1.835525e-03   5.835725e-07   1215224
  9.660641e-01   6.473841e-04   1.844936e-03   5.810950e-07   1237874
  9.724505e-01   6.512918e-04   1.841050e-03   5.824257e-07   1251800
  9.788233e-01   6.526828e-04   1.838619e-03   5.798529e-07   1265792
  9.851993e-01   6.584899e-04   1.843109e-03   5.818829e-07   1286306
  9.915793e-01   6.598934e-04   1.838809e-03   5.803081e-07   1299764
  9.979438e-01   6.635794e-04   1.836769e-03   5.785676e-07   1314554
  1.004319e+00   6.648338e-04   1.843595e-03   5.753653e-07   1337288
  1.010703e+00   6.686109e-04   1.840912e-03   5.745011e-07   1351304
  1.017077e+00   6.709835e-04   1.841769e-03   5.711469e-07   1369026
  1.023461e+00   6.737666e-04   1.843478e-03   5.716736e-07   1388456
  1.029842e+00   6.777576e-04   1.840406e-03   5.739473e-07   1402700
  1.036211e+00   6.799864e-04   1.837802e-03   5.717347e-07   1418282
  1.042587e+00   6.833960e-04   1.843596e-03   5.697068e-07   1440272
  1.048964e+00   6.862448e-04   1.838705e-03   5.693313e-07   1454114
  1.055341e+00   6.881247e-04   1.842603e-03   5.662737e-07   1475480
  1.061720e+00   6.923432e-04   1.840520e-03   5.666383e-07   1490936
  1.068091e+00   6.934481e-04   1.838519e-03   5.647835e-07   1507826
  1.074472e+00   6.972964e-04   1.844275e-03   5.651797e-07   1530764
  1.080850e+00   6.989834e-04   1.839052e-03   5.619376e-07   1543424
  1.087222e+00   7.036250e-04   1.841688e-03   5.626535e-07   1564946
  1.093594e+00   7.061921e-04   1.835875e-03   5.611685e-07   1578536
  1.099970e+00   7.086099e-04   1.845670e-03   5.588207e-07   1604882
  1.106358e+00   7.115637e-04   1.842454e-03   5.589138e-07   1621304
  1.112736e+00   7.133003e-04   1.839545e-03   5.591290e-07   1637024
  1.119103e+00   7.170693e-04   1.837794e-03   5.586644e-07   1654134
  1.125480e+00   7.196042e-04   1.844256e-03   5.559410e-07   1679168
  1.131864e+00   7.225267e-04   1.841903e-03   5.545675e-07   1695944
  1.138235e+00   7.258818e-04   1.836568e-03   5.548550e-07   1710602
  1.144612e+00   7.286204e-04   1.844777e-03   5.535903e-07   1737056
  1.150994e+00   7.312924e-04   1.840390e-03   5.527062e-07   1752602
  1.157370e+00   7.327220e-04   1.839227e-03   5.508514e-07   1772024
  1.163752e+00   7.360035e-04   1.844090e-03   5.501728e-07   1795364
  1.170126e+00   7.384876e-04   1.836467e-03   5.499483e-07   1807634
  1.176490e+00   7.416376e-04   1.836183e-03   5.486333e-07   1827608
  1.182859e+00   7.438235e-04   1.840789e-03   5.468288e-07   1850984
  1.189240e+00   7.458563e-04   1.844107e-03   5.442825e-07   1874618
  1.195619e+00   7.490929e-04   1.838445e-03   5.451066e-07   1889504
  1.202001e+00   7.520207e-04   1.845373e-03   5.434815e-07   1916870
  1.208383e+00   7.536015e-04   1.838254e-03   5.427041e-07   1929728
  1.214760e+00   7.581624e-04   1.843674e-03   5.423297e-07   1955408
  1.221131e+00   7.597658e-04   1.834427e-03   5.410324e-07   1966842
  1.227503e+00   7.619272e-04   1.843005e-03   5.394326e-07   1996640
  1.233886e+00   7.653001e-04   1.842690e-03   5.402388e-07   2016392
  1.240265e+00   7.680714e-04   1.839730e-03   5.376345e-07   2034722
  1.246641e+00   7.689309e-04   1.840813e-03   5.361082e-07   2056460
  1.253014e+00   7.724504e-04   1.838931e-03   5.364787e-07   2075186
  1.259388e+00   7.749015e-04   1.840566e-03   5.355381e-07   2099096
  1.265761e+00   7.782443e-04   1.837910e-03   5.351685e-07   2116832
  1.272138e+00   7.796445e-04   1.844119e-03   5.322259e-07   2145146
  1.278526e+00   7.815036e-04   1.844128e-03   5.308752e-07   2166776
  1.284904e+00   7.852200e-04   1.838822e-03   5.312458e-07   2181848
  1.291273e+00   7.878025e-04   1.838785e-03   5.311789e-07   2203766
  1.297646e+00   7.897568e-04   1.840619e-03   5.284750e-07   2227664
  1.304025e+00   7.924501e-04   1.842381e-03   5.283183e-07   2252138
  1.310403e+00   7.938159e-04   1.839825e-03   5.271739e-07   2271152
  1.316777e+00   7.973811e-04   1.840536e-03   5.261963e-07   2293256
  1.323154e+00   8.000928e-04   1.842085e-03   5.268734e-07   2318130
  1.329536e+00   8.033614e-04   1.841956e-03   5.256805e-07   2340824
  1.335910e+00   8.044423e-04   1.838342e-03   5.243985e-07   2357990
  1.342292e+00   8.071902e-04   1.846396e-03   5.220904e-07   2391176
  1.348671e+00   8.103402e-04   1.837209e-03   5.224831e-07   2401808
  1.355040e+00   8.133221e-04   1.840258e-03   5.217301e-07   2428442
