# power spectrum of phi
# redshift z=5.988045
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   3.175388e-10   7.667927e-04   6.996949e-11   18
  1.037418e-02   4.651116e-10   1.725047e-03   4.751987e-11   128
  1.616528e-02   3.801956e-10   1.646572e-03   2.020286e-11   314
  2.269071e-02   2.365598e-10   1.954354e-03   8.629657e-12   728
  2.897169e-02   1.751787e-10   1.717946e-03   6.030916e-12   1016
  3.518826e-02   1.123488e-10   1.880676e-03   2.798344e-12   1682
  4.169479e-02   8.423459e-11   1.831736e-03   1.733597e-12   2300
  4.790974e-02   6.157676e-11   1.770731e-03   1.155788e-12   2906
  5.429022e-02   5.020546e-11   1.892687e-03   8.239158e-13   4040
  6.068098e-02   4.166459e-11   1.775551e-03   6.271648e-13   4712
  6.698900e-02   3.569434e-11   1.857705e-03   4.622397e-13   6002
  7.346135e-02   2.923420e-11   1.857594e-03   3.508670e-13   7256
  7.977379e-02   2.483347e-11   1.772571e-03   2.807176e-13   8120
  8.609019e-02   2.002980e-11   1.864951e-03   2.019874e-13   9950
  9.253636e-02   1.649729e-11   1.853578e-03   1.525259e-13   11384
  9.885187e-02   1.348955e-11   1.809244e-03   1.222982e-13   12666
  1.052712e-01   1.154384e-11   1.889168e-03   9.248722e-14   15104
  1.117654e-01   1.001172e-11   1.850532e-03   7.861643e-14   16616
  1.180754e-01   9.137818e-12   1.799489e-03   6.862392e-14   18026
  1.244216e-01   8.109822e-12   1.853405e-03   5.551534e-14   20696
  1.308065e-01   7.215051e-12   1.827918e-03   4.868992e-14   22436
  1.371558e-01   6.541593e-12   1.845873e-03   4.176656e-14   24962
  1.435394e-01   5.720412e-12   1.831283e-03   3.438668e-14   27176
  1.499133e-01   4.953802e-12   1.847268e-03   2.885414e-14   29810
  1.562775e-01   4.366334e-12   1.828450e-03   2.459812e-14   32120
  1.626776e-01   3.861121e-12   1.865216e-03   2.059069e-14   35432
  1.690383e-01   3.516419e-12   1.814577e-03   1.815654e-14   37238
  1.754019e-01   3.209543e-12   1.856016e-03   1.585558e-14   41072
  1.817869e-01   2.928447e-12   1.834293e-03   1.418753e-14   43472
  1.881565e-01   2.732740e-12   1.848176e-03   1.265484e-14   47042
  1.945298e-01   2.542324e-12   1.829223e-03   1.157423e-14   49712
  2.008693e-01   2.329346e-12   1.840592e-03   1.016444e-14   53226
  2.072637e-01   2.076602e-12   1.853753e-03   8.667737e-15   57320
  2.136558e-01   1.905797e-12   1.831629e-03   7.815198e-15   60092
  2.200056e-01   1.746591e-12   1.839426e-03   6.937519e-15   63914
  2.263950e-01   1.592209e-12   1.849752e-03   6.078731e-15   68192
  2.327751e-01   1.473026e-12   1.833934e-03   5.510393e-15   71336
  2.391397e-01   1.366360e-12   1.845607e-03   4.962290e-15   75818
  2.455297e-01   1.277618e-12   1.844019e-03   4.543279e-15   79880
  2.518964e-01   1.198201e-12   1.834462e-03   4.135787e-15   83642
  2.582661e-01   1.131316e-12   1.840779e-03   3.813113e-15   88316
  2.646730e-01   1.050722e-12   1.859422e-03   3.451525e-15   93488
  2.710484e-01   9.762879e-13   1.827184e-03   3.156441e-15   96458
  2.773871e-01   9.085008e-13   1.829038e-03   2.884781e-15   101264
  2.837816e-01   8.429178e-13   1.862873e-03   2.566917e-15   107696
  2.901819e-01   7.853631e-13   1.837217e-03   2.365653e-15   111170
  2.965233e-01   7.443795e-13   1.822285e-03   2.201450e-15   115232
  3.028941e-01   6.987214e-13   1.855375e-03   1.997485e-15   122310
  3.093019e-01   6.561175e-13   1.843350e-03   1.844783e-15   126944
  3.156739e-01   6.225517e-13   1.828600e-03   1.721761e-15   131192
  3.220432e-01   5.873325e-13   1.844535e-03   1.592727e-15   137618
  3.284234e-01   5.566088e-13   1.836674e-03   1.473113e-15   142448
  3.347979e-01   5.222117e-13   1.844704e-03   1.354008e-15   148520
  3.411627e-01   4.925626e-13   1.831436e-03   1.265834e-15   153254
  3.475446e-01   4.671044e-13   1.852010e-03   1.167504e-15   160760
  3.539284e-01   4.376543e-13   1.835751e-03   1.074434e-15   165290
  3.603019e-01   4.191857e-13   1.840148e-03   1.010727e-15   171992
  3.666828e-01   3.962500e-13   1.840217e-03   9.449316e-16   177800
  3.730569e-01   3.773755e-13   1.843032e-03   8.799754e-16   184322
  3.794439e-01   3.593792e-13   1.841595e-03   8.267756e-16   190832
  3.858239e-01   3.407288e-13   1.839260e-03   7.731626e-16   196772
  3.921872e-01   3.271518e-13   1.836453e-03   7.278012e-16   202970
  3.985536e-01   3.114760e-13   1.839266e-03   6.830456e-16   210056
  4.049173e-01   2.966437e-13   1.832832e-03   6.402239e-16   216210
  4.112896e-01   2.817186e-13   1.841640e-03   5.945524e-16   224168
  4.176700e-01   2.668103e-13   1.840761e-03   5.585029e-16   230792
  4.240565e-01   2.573599e-13   1.846256e-03   5.291959e-16   238778
  4.304312e-01   2.441178e-13   1.831772e-03   4.925652e-16   243956
  4.367939e-01   2.345664e-13   1.845141e-03   4.668161e-16   252680
  4.431746e-01   2.249048e-13   1.842020e-03   4.423258e-16   260066
  4.495713e-01   2.148954e-13   1.849294e-03   4.148894e-16   268712
  4.559494e-01   2.058733e-13   1.834336e-03   3.937839e-16   274034
  4.623270e-01   1.963949e-13   1.847366e-03   3.691139e-16   283904
  4.687088e-01   1.884694e-13   1.837425e-03   3.510541e-16   290048
  4.750707e-01   1.802779e-13   1.836659e-03   3.320130e-16   297950
  4.814434e-01   1.735943e-13   1.842026e-03   3.148213e-16   306968
  4.878269e-01   1.678790e-13   1.843240e-03   2.997933e-16   315320
  4.942006e-01   1.595389e-13   1.835899e-03   2.816916e-16   322346
  5.005701e-01   1.539481e-13   1.842589e-03   2.670551e-16   331664
  5.069538e-01   1.477994e-13   1.844896e-03   2.531281e-16   340818
  5.133346e-01   1.428045e-13   1.837322e-03   2.425790e-16   348164
  5.197083e-01   1.374579e-13   1.843548e-03   2.306351e-16   357584
  5.260929e-01   1.324717e-13   1.846059e-03   2.185302e-16   367106
  5.324635e-01   1.267288e-13   1.832285e-03   2.069931e-16   373376
  5.388350e-01   1.221001e-13   1.848023e-03   1.963187e-16   385376
  5.452233e-01   1.178364e-13   1.842356e-03   1.872254e-16   393650
  5.516038e-01   1.135986e-13   1.840588e-03   1.791324e-16   402704
  5.579656e-01   1.092786e-13   1.830970e-03   1.703919e-16   409910
  5.643320e-01   1.057717e-13   1.843407e-03   1.627013e-16   422024
  5.707212e-01   1.016328e-13   1.846526e-03   1.549904e-16   432176
  5.771022e-01   9.842355e-14   1.837404e-03   1.483229e-16   440066
  5.834769e-01   9.484763e-14   1.841263e-03   1.416110e-16   450680
  5.898365e-01   9.194984e-14   1.831084e-03   1.358754e-16   457856
  5.962115e-01   8.874619e-14   1.848347e-03   1.293555e-16   472538
  6.026013e-01   8.605457e-14   1.839689e-03   1.240853e-16   480140
  6.089752e-01   8.297153e-14   1.841279e-03   1.186727e-16   490842
  6.153517e-01   8.055217e-14   1.838382e-03   1.139968e-16   500744
  6.217295e-01   7.765295e-14   1.842392e-03   1.087407e-16   511856
  6.281145e-01   7.534437e-14   1.844734e-03   1.041390e-16   523202
  6.344991e-01   7.311016e-14   1.840396e-03   1.006262e-16   532688
  6.408638e-01   7.072846e-14   1.834541e-03   9.616465e-17   541520
  6.472341e-01   6.853310e-14   1.842653e-03   9.239426e-17   555110
  6.536136e-01   6.616400e-14   1.839126e-03   8.772212e-17   564944
  6.599884e-01   6.418064e-14   1.839832e-03   8.490459e-17   576434
  6.663740e-01   6.224370e-14   1.844405e-03   8.138144e-17   588848
  6.727501e-01   6.029903e-14   1.838623e-03   7.818467e-17   597704
  6.791236e-01   5.871076e-14   1.842386e-03   7.558471e-17   610946
  6.855006e-01   5.698847e-14   1.837794e-03   7.235759e-17   620852
  6.918722e-01   5.510238e-14   1.841901e-03   6.966717e-17   633530
  6.982524e-01   5.352702e-14   1.841844e-03   6.674473e-17   645704
  7.046316e-01   5.208848e-14   1.840565e-03   6.415000e-17   656744
  7.110074e-01   5.045847e-14   1.841941e-03   6.197781e-17   669162
  7.173906e-01   4.910606e-14   1.843286e-03   5.933610e-17   681992
  7.237681e-01   4.759686e-14   1.838959e-03   5.747871e-17   692360
  7.301485e-01   4.640918e-14   1.844364e-03   5.525937e-17   707006
  7.365206e-01   4.509381e-14   1.834135e-03   5.329009e-17   714944
  7.428835e-01   4.390682e-14   1.841775e-03   5.139500e-17   730346
  7.492606e-01   4.269870e-14   1.838962e-03   4.967974e-17   742616
  7.556415e-01   4.148803e-14   1.843530e-03   4.787876e-17   756536
  7.620128e-01   4.040587e-14   1.836595e-03   4.610204e-17   766418
  7.683917e-01   3.925169e-14   1.845753e-03   4.439772e-17   783392
  7.747614e-01   3.833416e-14   1.833632e-03   4.317006e-17   790412
  7.811334e-01   3.719806e-14   1.848120e-03   4.136713e-17   810314
  7.875277e-01   3.620528e-14   1.843702e-03   4.003008e-17   821960
  7.938987e-01   3.531599e-14   1.834976e-03   3.884859e-17   831266
  8.002712e-01   3.426602e-14   1.843706e-03   3.734600e-17   848960
  8.066557e-01   3.343213e-14   1.842629e-03   3.612561e-17   861488
  8.130204e-01   3.259219e-14   1.833334e-03   3.512265e-17   871194
  8.193985e-01   3.173800e-14   1.847247e-03   3.367082e-17   891788
  8.257796e-01   3.087361e-14   1.838008e-03   3.262352e-17   900416
  8.321422e-01   3.018595e-14   1.836250e-03   3.164919e-17   914306
  8.385264e-01   2.942467e-14   1.847988e-03   3.056684e-17   933992
  8.449011e-01   2.867776e-14   1.834294e-03   2.971743e-17   940826
  8.512701e-01   2.800975e-14   1.842364e-03   2.868556e-17   960224
  8.576621e-01   2.727918e-14   1.846556e-03   2.778635e-17   976316
  8.640381e-01   2.663199e-14   1.835724e-03   2.689843e-17   985010
  8.704114e-01   2.604747e-14   1.843336e-03   2.612230e-17   1004024
  8.767898e-01   2.537557e-14   1.839706e-03   2.528376e-17   1016288
  8.831639e-01   2.479051e-14   1.840690e-03   2.455472e-17   1032290
  8.895470e-01   2.416849e-14   1.843156e-03   2.369974e-17   1048640
  8.959130e-01   2.358852e-14   1.831919e-03   2.297447e-17   1057250
  9.022937e-01   2.305353e-14   1.849588e-03   2.227083e-17   1083140
  9.086870e-01   2.250811e-14   1.840763e-03   2.165034e-17   1092248
  9.150555e-01   2.197161e-14   1.837510e-03   2.099928e-17   1105914
  9.214310e-01   2.145071e-14   1.841822e-03   2.034962e-17   1124744
  9.278120e-01   2.099693e-14   1.841202e-03   1.973082e-17   1139120
  9.341841e-01   2.048736e-14   1.838536e-03   1.916133e-17   1153490
  9.405650e-01   2.005079e-14   1.844187e-03   1.861502e-17   1172936
  9.469357e-01   1.962997e-14   1.834491e-03   1.820495e-17   1182158
  9.533110e-01   1.917210e-14   1.846126e-03   1.751607e-17   1206392
  9.596894e-01   1.870585e-14   1.835525e-03   1.703138e-17   1215224
  9.660641e-01   1.830025e-14   1.844936e-03   1.652747e-17   1237874
  9.724505e-01   1.789437e-14   1.841050e-03   1.605250e-17   1251800
  9.788233e-01   1.748529e-14   1.838619e-03   1.563905e-17   1265792
  9.851993e-01   1.710544e-14   1.843109e-03   1.517747e-17   1286306
  9.915793e-01   1.673279e-14   1.838809e-03   1.477970e-17   1299764
  9.979438e-01   1.637433e-14   1.836769e-03   1.436425e-17   1314554
  1.004319e+00   1.600714e-14   1.843595e-03   1.393786e-17   1337288
  1.010703e+00   1.571842e-14   1.840912e-03   1.362202e-17   1351304
  1.017077e+00   1.536076e-14   1.841769e-03   1.320388e-17   1369026
  1.023461e+00   1.503062e-14   1.843478e-03   1.283417e-17   1388456
  1.029842e+00   1.472297e-14   1.840406e-03   1.252999e-17   1402700
  1.036211e+00   1.441203e-14   1.837802e-03   1.217926e-17   1418282
  1.042587e+00   1.414896e-14   1.843596e-03   1.186998e-17   1440272
  1.048964e+00   1.381402e-14   1.838705e-03   1.152243e-17   1454114
  1.055341e+00   1.354322e-14   1.842603e-03   1.124164e-17   1475480
  1.061720e+00   1.330724e-14   1.840520e-03   1.097136e-17   1490936
  1.068091e+00   1.298189e-14   1.838519e-03   1.064064e-17   1507826
  1.074472e+00   1.275330e-14   1.844275e-03   1.039480e-17   1530764
  1.080850e+00   1.246360e-14   1.839052e-03   1.011102e-17   1543424
  1.087222e+00   1.222186e-14   1.841688e-03   9.854141e-18   1564946
  1.093594e+00   1.198247e-14   1.835875e-03   9.631421e-18   1578536
  1.099970e+00   1.171052e-14   1.845670e-03   9.308458e-18   1604882
  1.106358e+00   1.148167e-14   1.842454e-03   9.096906e-18   1621304
  1.112736e+00   1.126666e-14   1.839545e-03   8.884964e-18   1637024
  1.119103e+00   1.107613e-14   1.837794e-03   8.669149e-18   1654134
  1.125480e+00   1.084498e-14   1.844256e-03   8.446411e-18   1679168
  1.131864e+00   1.061535e-14   1.841903e-03   8.221006e-18   1695944
  1.138235e+00   1.040910e-14   1.836568e-03   8.033299e-18   1710602
  1.144612e+00   1.020640e-14   1.844777e-03   7.815191e-18   1737056
  1.150994e+00   1.002698e-14   1.840390e-03   7.649916e-18   1752602
  1.157370e+00   9.826370e-15   1.839227e-03   7.454275e-18   1772024
  1.163752e+00   9.641753e-15   1.844090e-03   7.261785e-18   1795364
  1.170126e+00   9.454569e-15   1.836467e-03   7.107399e-18   1807634
  1.176490e+00   9.266808e-15   1.836183e-03   6.920913e-18   1827608
  1.182859e+00   9.118119e-15   1.840789e-03   6.796619e-18   1850984
  1.189240e+00   8.940471e-15   1.844107e-03   6.604506e-18   1874618
