# power spectrum of phi
# redshift z=-0.011770
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   1.917126e-10   7.667927e-04   4.247473e-11   18
  1.037418e-02   2.726634e-10   1.725047e-03   2.782970e-11   128
  1.616528e-02   2.203793e-10   1.646572e-03   1.173091e-11   314
  2.269071e-02   1.369727e-10   1.954354e-03   5.017723e-12   728
  2.897169e-02   1.004944e-10   1.717946e-03   3.441288e-12   1016
  3.518826e-02   6.432286e-11   1.880676e-03   1.614508e-12   1682
  4.169479e-02   4.792429e-11   1.831736e-03   9.758155e-13   2300
  4.790974e-02   3.520257e-11   1.770731e-03   6.604531e-13   2906
  5.429022e-02   2.819389e-11   1.892687e-03   4.568762e-13   4040
  6.068098e-02   2.361290e-11   1.775551e-03   3.510381e-13   4712
  6.698900e-02   1.998483e-11   1.857705e-03   2.617924e-13   6002
  7.346135e-02   1.632956e-11   1.857594e-03   1.979880e-13   7256
  7.977379e-02   1.402193e-11   1.772571e-03   1.598240e-13   8120
  8.609019e-02   1.131866e-11   1.864951e-03   1.146732e-13   9950
  9.253636e-02   9.479490e-12   1.853578e-03   8.756639e-14   11384
  9.885187e-02   7.829964e-12   1.809244e-03   7.162427e-14   12666
  1.052712e-01   6.848101e-12   1.889168e-03   5.513574e-14   15104
  1.117654e-01   5.906834e-12   1.850532e-03   4.608458e-14   16616
  1.180754e-01   5.369853e-12   1.799489e-03   4.008264e-14   18026
  1.244216e-01   4.765905e-12   1.853405e-03   3.287341e-14   20696
  1.308065e-01   4.239113e-12   1.827918e-03   2.851111e-14   22436
  1.371558e-01   3.812361e-12   1.845873e-03   2.389052e-14   24962
  1.435394e-01   3.438856e-12   1.831283e-03   2.088299e-14   27176
  1.499133e-01   3.025478e-12   1.847268e-03   1.766988e-14   29810
  1.562775e-01   2.726890e-12   1.828450e-03   1.541048e-14   32120
  1.626776e-01   2.488420e-12   1.865216e-03   1.339239e-14   35432
  1.690383e-01   2.291024e-12   1.814577e-03   1.183208e-14   37238
  1.754019e-01   2.093406e-12   1.856016e-03   1.032183e-14   41072
  1.817869e-01   1.929414e-12   1.834293e-03   9.260818e-15   43472
  1.881565e-01   1.775612e-12   1.848176e-03   8.255873e-15   47042
  1.945298e-01   1.670421e-12   1.829223e-03   7.495096e-15   49712
  2.008693e-01   1.553485e-12   1.840592e-03   6.712707e-15   53226
  2.072637e-01   1.407062e-12   1.853753e-03   5.875350e-15   57320
  2.136558e-01   1.329900e-12   1.831629e-03   5.440874e-15   60092
  2.200056e-01   1.239557e-12   1.839426e-03   4.883759e-15   63914
  2.263950e-01   1.149768e-12   1.849752e-03   4.396534e-15   68192
  2.327751e-01   1.077065e-12   1.833934e-03   4.034138e-15   71336
  2.391397e-01   1.014385e-12   1.845607e-03   3.700723e-15   75818
  2.455297e-01   9.607842e-13   1.844019e-03   3.408370e-15   79880
