# power spectrum of delta
# redshift z=78.642623
# k              Pk             sigma(k)       sigma(Pk)      count
  4.487990e-03   1.997109e-08   0.000000e+00   8.049958e-09   6
  6.346976e-03   3.508979e-08   0.000000e+00   7.004600e-09   12
  7.773426e-03   5.347746e-08   8.514949e-11   1.088696e-08   8
  8.975979e-03   2.999965e-07   0.000000e+00   3.228157e-08   6
  1.003545e-02   3.153980e-07   1.605594e-10   1.005462e-07   24
  1.099328e-02   6.345260e-07   1.605594e-10   1.069062e-07   24
  1.269395e-02   4.882331e-07   0.000000e+00   2.197612e-07   12
  1.346397e-02   7.099084e-07   1.816523e-10   1.306565e-07   30
  1.419227e-02   1.089524e-06   0.000000e+00   2.401032e-07   24
  1.488498e-02   1.192765e-06   2.780971e-10   2.956815e-07   24
  1.554685e-02   1.641612e-06   1.702990e-10   3.327250e-07   8
  1.618168e-02   1.625155e-06   2.270653e-10   2.019304e-07   24
  1.679252e-02   1.761853e-06   0.000000e+00   2.476015e-07   48
  1.795196e-02   2.711269e-06   0.000000e+00   1.192116e-06   6
  1.850445e-02   2.427631e-06   2.270653e-10   3.406387e-07   48
  1.904093e-02   2.515135e-06   2.140792e-10   2.618454e-07   36
  1.956269e-02   3.997333e-06   2.270653e-10   8.359637e-07   24
  2.007090e-02   2.597027e-06   3.211188e-10   4.469778e-07   24
  2.056655e-02   2.550539e-06   0.000000e+00   3.467661e-07   48
  2.105054e-02   4.305001e-06   3.211188e-10   6.128296e-07   24
  2.198657e-02   4.056638e-06   3.211188e-10   6.379874e-07   24
  2.243995e-02   2.996734e-06   0.000000e+00   4.904001e-07   30
  2.288435e-02   3.451935e-06   0.000000e+00   3.806025e-07   72
  2.332028e-02   3.633428e-06   3.405980e-10   7.407141e-07   32
  2.416856e-02   5.511862e-06   0.000000e+00   6.382618e-07   72
  2.458173e-02   3.598566e-06   0.000000e+00   5.261738e-07   48
  2.538790e-02   2.149067e-06   0.000000e+00   6.392155e-07   12
  2.578154e-02   4.506526e-06   0.000000e+00   6.756719e-07   48
  2.616925e-02   4.205719e-06   0.000000e+00   4.179381e-07   48
  2.655130e-02   5.906104e-06   3.211188e-10   7.452860e-07   48
  2.692794e-02   7.472059e-06   3.633045e-10   1.308987e-06   30
  2.729937e-02   7.053220e-06   0.000000e+00   1.586403e-06   24
  2.766583e-02   7.584450e-06   6.769780e-10   7.663954e-07   72
  2.838454e-02   4.948776e-06   0.000000e+00   9.393676e-07   24
  2.873715e-02   7.857813e-06   0.000000e+00   7.757412e-07   96
  2.908550e-02   6.316128e-06   0.000000e+00   8.393255e-07   48
