# power spectrum of phi_prime/H (dimensionless)
# redshift z=85.206133
# k              Pk             sigma(k)       sigma(Pk)      count
  4.487990e-03   2.883535e-12   0.000000e+00   1.162531e-12   6
  6.346976e-03   9.563062e-13   0.000000e+00   1.910030e-13   12
  7.773426e-03   4.048232e-13   8.514949e-11   8.082680e-14   8
  8.975979e-03   9.693544e-13   0.000000e+00   1.046144e-13   6
  1.003545e-02   6.788953e-13   1.605594e-10   2.164617e-13   24
  1.099328e-02   1.090524e-12   1.605594e-10   1.823671e-13   24
  1.269395e-02   5.492074e-13   0.000000e+00   2.478744e-13   12
  1.346397e-02   6.631188e-13   1.816523e-10   1.302512e-13   30
  1.419227e-02   6.375697e-13   0.000000e+00   1.408792e-13   24
  1.488498e-02   6.425277e-13   2.780971e-10   1.578323e-13   24
  1.554685e-02   1.008569e-12   1.702990e-10   2.058310e-13   8
  1.618168e-02   7.026466e-13   2.270653e-10   8.582838e-14   24
  1.679252e-02   7.318535e-13   0.000000e+00   1.022825e-13   48
  1.795196e-02   4.429841e-13   0.000000e+00   1.939863e-13   6
  1.850445e-02   6.513853e-13   2.270653e-10   1.076205e-13   48
  1.904093e-02   5.389172e-13   2.140792e-10   5.453596e-14   36
  1.956269e-02   1.172073e-12   2.270653e-10   2.432039e-13   24
  2.007090e-02   4.948004e-13   3.211188e-10   8.736237e-14   24
  2.056655e-02   4.990336e-13   0.000000e+00   6.869093e-14   48
  2.105054e-02   1.206097e-12   3.211188e-10   1.715885e-13   24
  2.198657e-02   7.974761e-13   3.211188e-10   1.262551e-13   24
  2.243995e-02   5.270075e-13   0.000000e+00   8.739237e-14   30
  2.288435e-02   5.209458e-13   0.000000e+00   6.866553e-14   72
  2.332028e-02   3.003488e-13   3.405980e-10   5.579265e-14   32
  2.416856e-02   8.872162e-13   0.000000e+00   1.175841e-13   72
  2.458173e-02   3.146979e-13   0.000000e+00   4.564278e-14   48
  2.538790e-02   2.960418e-13   0.000000e+00   8.894803e-14   12
  2.578154e-02   5.580057e-13   0.000000e+00   8.651933e-14   48
  2.616925e-02   5.678138e-13   0.000000e+00   6.723615e-14   48
  2.655130e-02   6.042420e-13   3.211188e-10   7.573094e-14   48
  2.692794e-02   9.144770e-13   3.633045e-10   1.899575e-13   30
  2.729937e-02   1.537114e-13   0.000000e+00   3.488720e-14   24
  2.766583e-02   5.597799e-13   6.769780e-10   5.615758e-14   72
  2.838454e-02   1.778755e-13   0.000000e+00   3.363077e-14   24
  2.873715e-02   7.485157e-13   0.000000e+00   1.034997e-13   96
  2.908550e-02   6.293149e-13   0.000000e+00   8.234420e-14   48
  2.942972e-02   6.381558e-13   5.561942e-10   1.574937e-13   24
  2.976995e-02   2.187056e-13   5.561942e-10   4.478833e-14   24
  3.010635e-02   9.123796e-13   0.000000e+00   1.215364e-13   72
  3.043903e-02   4.475096e-13   0.000000e+00   6.875195e-14   48
  3.109370e-02   9.792635e-13   3.405980e-10   2.974868e-13   8
  3.141593e-02   6.401395e-13   4.036717e-10   8.024632e-14   54
  3.173488e-02   7.359533e-13   0.000000e+00   1.607209e-13   84
  3.205066e-02   4.727775e-13   0.000000e+00   9.393083e-14   48
  3.236335e-02   3.669920e-13   4.541306e-10   6.589064e-14   24
  3.267306e-02   3.961167e-13   6.055075e-10   6.086938e-14   72
  3.297985e-02   6.232505e-13   0.000000e+00   9.459425e-14   96
  3.358504e-02   1.169175e-12   0.000000e+00   1.271438e-13   48
  3.388358e-02   5.960744e-13   0.000000e+00   8.637923e-14   48
  3.417951e-02   2.216564e-13   0.000000e+00   4.298299e-14   24
  3.447290e-02   4.906027e-13   0.000000e+00   6.547719e-14   72
  3.505232e-02   7.886046e-13   0.000000e+00   9.887621e-14   72
  3.533846e-02   5.391115e-13   0.000000e+00   6.524970e-14   96
  3.590392e-02   1.727137e-14   0.000000e+00   8.292571e-15   6
  3.618333e-02   6.033547e-13   0.000000e+00   7.067671e-14   96
  3.646060e-02   5.908174e-13   4.541306e-10   7.123923e-14   96
  3.673578e-02   4.425158e-13   0.000000e+00   1.050346e-13   24
  3.700891e-02   5.151684e-13   4.541306e-10   1.210059e-13   48
  3.728004e-02   3.267631e-13   0.000000e+00   4.804972e-14   96
  3.754921e-02   1.005009e-12   0.000000e+00   1.344828e-13   48
  3.808185e-02   4.771653e-13   4.281585e-10   1.330094e-13   36
  3.834540e-02   4.726555e-13   7.865773e-10   9.015197e-14   48
  3.860715e-02   5.634157e-13   8.899106e-10   6.333623e-14   120
  3.886713e-02   7.069671e-13   0.000000e+00   1.115990e-13   56
  3.912539e-02   4.600618e-13   4.541306e-10   8.089938e-14   24
  3.938195e-02   5.453184e-13   0.000000e+00   6.573594e-14   96
  3.963685e-02   6.186860e-13   0.000000e+00   8.005177e-14   48
  4.014180e-02   3.384304e-13   6.422377e-10   6.193941e-14   24
  4.039191e-02   7.176503e-13   0.000000e+00   8.806658e-14   102
  4.064047e-02   2.729315e-13   4.541306e-10   6.528079e-14   48
  4.088753e-02   6.413846e-13   0.000000e+00   9.164738e-14   72
  4.113310e-02   4.542782e-13   0.000000e+00   4.633848e-14   48
  4.137722e-02   2.873746e-13   0.000000e+00   1.105463e-13   48
  4.161990e-02   4.831819e-13   1.027580e-09   5.816381e-14   120
  4.210107e-02   1.717895e-12   6.422377e-10   2.890479e-13   24
  4.233961e-02   5.193445e-13   6.055075e-10   5.485926e-14   144
  4.257681e-02   6.159850e-13   7.266090e-10   6.819186e-14   120
  4.281269e-02   8.757526e-14   6.422377e-10   1.227348e-14   48
  4.328060e-02   6.728866e-13   6.422377e-10   8.991895e-14   48
  4.351267e-02   5.433014e-13   6.422377e-10   8.762896e-14   96
  4.412543e-02   1.068472e-12   1.076845e-04   1.805220e-13   72
  4.442883e-02   4.966932e-13   5.708779e-10   5.096128e-14   108
  4.465493e-02   8.238931e-13   0.000000e+00   1.051964e-13   72
  4.487990e-02   2.878180e-13   0.000000e+00   5.632990e-14   30
  4.510374e-02   7.842679e-13   0.000000e+00   9.176637e-14   168
  4.532647e-02   3.920820e-13   0.000000e+00   7.715361e-14   48
  4.576869e-02   4.173540e-13   0.000000e+00   6.477056e-14   72
  4.598821e-02   4.337987e-13   0.000000e+00   8.052757e-14   96
  4.620668e-02   4.419789e-13   1.211015e-09   6.787877e-14   72
  4.642412e-02   6.984248e-13   0.000000e+00   7.954279e-14   72
  4.678970e-02   5.506271e-13   9.942967e-05   5.961196e-14   104
  4.707043e-02   6.300717e-13   8.563169e-10   6.167256e-14   144
  4.770798e-02   3.188331e-13   1.436087e-09   3.997564e-14   96
  4.791862e-02   7.617047e-13   0.000000e+00   8.056760e-14   96
  4.825361e-02   7.860781e-13   1.022910e-04   8.308855e-14   120
  4.854503e-02   5.463043e-13   0.000000e+00   6.485766e-14   120
  4.875204e-02   5.644914e-13   0.000000e+00   7.034338e-14   72
  4.916346e-02   2.763293e-13   0.000000e+00   3.631351e-14   48
  4.936788e-02   9.298281e-13   1.117860e-09   1.018976e-13   78
  4.962939e-02   9.339188e-13   9.159181e-05   1.039234e-13   168
  5.017725e-02   7.696182e-13   1.048770e-09   9.377214e-14   144
  5.037756e-02   4.682998e-13   8.563169e-10   5.517649e-14   144
  5.095853e-02   7.063196e-13   5.274950e-05   7.080416e-14   156
  5.117095e-02   2.412326e-13   1.112388e-09   6.270310e-14   48
  5.136739e-02   6.031933e-13   7.266090e-10   9.153141e-14   120
  5.156307e-02   5.575097e-13   0.000000e+00   7.259748e-14   48
  5.190908e-02   6.987639e-13   8.074274e-05   5.846388e-14   216
  5.233850e-02   1.099858e-12   0.000000e+00   1.778271e-13   48
  5.253057e-02   5.929459e-13   6.422377e-10   7.314879e-14   96
  5.280366e-02   7.865640e-13   9.436050e-05   9.937012e-14   168
  5.310261e-02   5.248792e-13   6.422377e-10   7.451778e-14   48
  5.329192e-02   4.656207e-13   0.000000e+00   6.183909e-14   96
  5.348057e-02   1.254082e-12   0.000000e+00   2.291992e-13   48
  5.385587e-02   1.231265e-12   7.266090e-10   1.844477e-13   30
  5.404255e-02   4.926358e-13   0.000000e+00   5.013497e-14   96
  5.426566e-02   5.409484e-13   7.415896e-05   4.599545e-14   240
  5.455256e-02   5.402545e-13   8.000683e-05   2.058056e-13   32
  5.478289e-02   6.883302e-13   0.000000e+00   7.508702e-14   168
  5.496642e-02   5.977630e-13   0.000000e+00   6.961689e-14   120
  5.533165e-02   3.911405e-13   1.353956e-09   6.147096e-14   72
  5.551336e-02   1.087467e-12   6.055075e-10   1.282479e-13   144
  5.569449e-02   6.539443e-13   0.000000e+00   1.067301e-13   96
  5.587502e-02   1.094608e-12   0.000000e+00   1.095358e-13   96
  5.623435e-02   1.289110e-13   0.000000e+00   2.098810e-14   72
  5.641315e-02   6.683622e-13   9.082613e-10   6.784495e-14   96
  5.676908e-02   6.218959e-14   0.000000e+00   1.160814e-14   24
  5.694620e-02   8.782354e-13   0.000000e+00   9.838470e-14   192
  5.715479e-02   8.607889e-13   6.789523e-05   8.498344e-14   132
  5.747431e-02   7.853855e-13   0.000000e+00   1.286286e-13   96
  5.764927e-02   8.439726e-13   0.000000e+00   8.402814e-14   96
  5.782370e-02   1.319335e-12   7.266090e-10   1.391899e-13   120
  5.817099e-02   1.175081e-12   0.000000e+00   1.614017e-13   48
  5.845566e-02   4.148838e-13   8.228355e-05   5.858801e-14   222
  5.868808e-02   6.880223e-13   0.000000e+00   7.679279e-14   120
  5.885943e-02   1.485377e-12   1.112388e-09   2.989250e-13   24
  5.910891e-02   7.871212e-13   8.492858e-05   5.783881e-14   312
  5.965251e-02   1.101156e-12   7.962394e-05   2.496737e-13   72
  5.987725e-02   6.651262e-13   1.112388e-09   1.545811e-13   96
  6.010802e-02   8.168050e-13   8.108596e-05   9.355296e-14   192
  6.037972e-02   9.820194e-13   1.027580e-09   1.123242e-13   120
  6.054629e-02   8.488847e-13   0.000000e+00   1.164943e-13   144
  6.087805e-02   4.467430e-13   0.000000e+00   6.420939e-14   48
  6.111387e-02   7.408309e-13   8.153477e-05   5.690197e-14   336
  6.137233e-02   1.058223e-12   0.000000e+00   2.425129e-13   48
  6.169965e-02   6.896015e-13   0.000000e+00   7.556490e-14   192
  6.186267e-02   1.356922e-12   0.000000e+00   1.659321e-13   48
  6.232604e-02   1.088161e-12   5.659583e-05   1.476572e-13   56
  6.255643e-02   9.067981e-13   7.268827e-05   7.320349e-14   336
  6.283185e-02   7.204071e-13   8.073433e-10   1.081092e-13   54
  6.307177e-02   8.693628e-13   7.983781e-05   7.594703e-14   240
  6.356985e-02   8.374486e-13   7.644534e-05   7.437116e-14   228
  6.378632e-02   1.035833e-12   8.563169e-10   1.252090e-13   72
  6.399644e-02   8.505502e-13   7.415385e-05   9.364815e-14   144
  6.425823e-02   5.315507e-13   0.000000e+00   7.683993e-14   96
  6.441477e-02   8.685110e-13   1.027580e-09   7.339200e-14   240
  6.472671e-02   7.525444e-13   9.082613e-10   1.476931e-13   24
  6.492641e-02   9.141771e-13   7.003773e-05   7.697839e-14   336
  6.519181e-02   1.469276e-12   0.000000e+00   1.790662e-13   72
  6.543408e-02   1.029888e-12   7.617900e-05   1.213147e-13   168
  6.565363e-02   2.278382e-13   0.000000e+00   2.739278e-14   72
  6.595971e-02   6.588755e-13   0.000000e+00   1.012759e-13   96
  6.619675e-02   1.358577e-12   7.560752e-05   1.022499e-13   216
  6.641618e-02   6.316304e-13   0.000000e+00   5.712526e-14   96
  6.671876e-02   8.579860e-13   9.082613e-10   9.287874e-14   192
  6.686954e-02   6.347771e-13   8.563169e-10   6.590920e-14   144
  6.717008e-02   1.256877e-12   0.000000e+00   1.636610e-13   48
  6.737816e-02   1.063990e-12   7.289453e-05   9.445123e-14   246
  6.766089e-02   1.479707e-12   6.720992e-05   1.686718e-13   168
  6.791561e-02   1.011354e-12   1.779821e-09   1.141458e-13   120
  6.806373e-02   8.861281e-13   0.000000e+00   9.514115e-14   240
  6.835902e-02   1.521446e-13   0.000000e+00   3.052933e-14   24
  6.859430e-02   9.617448e-13   7.194229e-05   8.860362e-14   360
  6.888731e-02   4.380833e-13   7.163615e-05   8.341663e-14   120
  6.909172e-02   1.016578e-12   0.000000e+00   8.912407e-14   144
  6.923733e-02   9.244176e-13   0.000000e+00   1.738753e-13   96
  6.967233e-02   8.490064e-13   0.000000e+00   1.045120e-13   144
  6.981673e-02   9.095167e-13   0.000000e+00   1.227892e-13   132
  7.001966e-02   1.173229e-12   7.070381e-05   1.041371e-13   176
  7.031425e-02   1.067415e-12   7.139661e-05   8.082497e-14   312
  7.067693e-02   1.622393e-12   0.000000e+00   3.037962e-13   96
  7.081928e-02   1.246223e-12   0.000000e+00   1.241547e-13   144
  7.103769e-02   1.001241e-12   7.068048e-05   8.164236e-14   312
  7.138584e-02   1.821066e-12   0.000000e+00   1.809556e-13   48
  7.152678e-02   8.214867e-13   9.082613e-10   8.346210e-14   192
  7.180783e-02   4.754427e-14   0.000000e+00   1.444352e-14   6
  7.199456e-02   1.094550e-12   6.592151e-05   8.146759e-14   288
  7.229701e-02   7.307150e-13   6.965036e-05   7.531260e-14   192
  7.250569e-02   7.356853e-13   2.136030e-09   6.713533e-14   216
  7.264446e-02   1.144945e-12   0.000000e+00   2.787653e-13   72
  7.299019e-02   6.548614e-13   6.898890e-05   7.768805e-14   192
  7.321980e-02   1.299795e-12   5.122797e-05   1.051854e-13   288
  7.347155e-02   9.777653e-13   0.000000e+00   1.870048e-13   24
  7.366606e-02   1.177998e-12   6.748859e-05   6.163304e-14   456
  7.401782e-02   7.749927e-13   0.000000e+00   1.922898e-13   48
  7.423517e-02   1.066981e-12   6.647357e-05   1.169154e-13   240
  7.448497e-02   7.989130e-13   6.717903e-05   6.835899e-14   216
  7.469503e-02   6.084549e-13   0.000000e+00   9.189815e-14   72
  7.482974e-02   1.017960e-12   2.321067e-09   8.590331e-14   168
  7.521008e-02   1.293094e-12   4.993319e-05   9.689245e-14   288
  7.542338e-02   1.071934e-12   6.607016e-05   1.184162e-13   168
  7.576598e-02   1.509961e-12   0.000000e+00   1.324736e-13   192
  7.589879e-02   1.127397e-12   8.563169e-10   9.016218e-14   144
  7.616371e-02   6.644567e-13   8.563169e-10   1.802357e-13   36
  7.638837e-02   9.093349e-13   6.033611e-05   7.001826e-14   342
  7.660318e-02   1.283328e-12   6.195787e-05   1.244435e-13   144
  7.687931e-02   1.059938e-12   6.497828e-05   7.884638e-14   384
  7.721429e-02   8.485674e-13   1.779821e-09   1.087820e-13   120
  7.738009e-02   1.056036e-12   5.794173e-05   9.001952e-14   264
  7.760459e-02   1.186145e-12   2.872174e-09   1.190873e-13   192
  7.781602e-02   1.411136e-12   6.244329e-05   1.494561e-13   152
  7.799294e-02   1.500265e-12   1.712634e-09   1.918406e-13   144
  7.836508e-02   1.020281e-12   4.041391e-05   9.775152e-14   216
  7.853733e-02   1.111353e-12   5.400376e-05   1.114152e-13   312
