### The result of the verage over time 
### d tau = 3.75901e-07
### number of kessence update = 1
### initial time = 0.642703
### 1- tau	 2- pi_k(x)	3-zeta(x)	4-|k|	 5-vec{k} 	 6-|k|^2
 0.642703	        0 0	        0 0	 (1 , 0 , 0) 	1
 0.642703	        0 0	        0 0	 (0 , 1 , 0) 	1
 0.642703	        0 0	        0 0	 (0 , 0 , 1) 	1
 0.642703	4.11693e-05 1.06257e-05	   109.32 27.5232	 (1 , 0 , 0) 	1
 0.642703	2.84513e-06 1.92702e-05	  9.85335 50.4707	 (0 , 1 , 0) 	1
 0.642703	3.36434e-05 -2.41282e-06	  89.5046 -5.47862	 (0 , 0 , 1) 	1
 0.642704	7.18162e+06 1.80809e+06	1.91051e+13 4.81001e+12	 (1 , 0 , 0) 	1
 0.642704	   647300 3.31559e+06	1.72199e+12 8.82038e+12	 (0 , 1 , 0) 	1
 0.642704	5.87986e+06 -359910	1.5642e+13 -9.57457e+11	 (0 , 0 , 1) 	1
 0.642704	1.56689e+18 3.68182e+17	4.16835e+24 9.79464e+23	 (1 , 0 , 0) 	1
 0.642704	2.11223e+17 7.67413e+17	5.6191e+23 2.04153e+24	 (0 , 1 , 0) 	1
 0.642704	1.43431e+18 -7.93454e+16	3.81567e+24 -2.11081e+23	 (0 , 0 , 1) 	1
 0.642704	1.87939e+40 -7.32865e+38	4.99968e+46 -1.94962e+45	 (1 , 0 , 0) 	1
 0.642704	9.98232e+39 1.05684e+40	2.65557e+46 2.81149e+46	 (0 , 1 , 0) 	1
 0.642704	2.42929e+40 -3.5822e+38	6.46258e+46 -9.52962e+44	 (0 , 0 , 1) 	1
 0.642705	2.55867e+85 -3.92035e+84	6.80676e+91 -1.04292e+91	 (1 , 0 , 0) 	1
 0.642705	2.49268e+85 7.96798e+84	6.63121e+91 2.1197e+91	 (0 , 1 , 0) 	1
 0.642705	3.16032e+85 1.53841e+84	8.40732e+91 4.09259e+90	 (0 , 0 , 1) 	1
 0.642705	2.07525e+176 1.28519e+175	5.52072e+182 3.41896e+181	 (1 , 0 , 0) 	1
 0.642705	2.07479e+176 2.03394e+175	5.51951e+182 5.41083e+181	 (0 , 1 , 0) 	1
 0.642705	2.13284e+176 1.19385e+175	5.67394e+182 3.17597e+181	 (0 , 0 , 1) 	1
 0.642705	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642705	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642705	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642706	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642706	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642706	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642706	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642706	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642706	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642707	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642707	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642707	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642707	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642707	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642707	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642707	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642707	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642707	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642708	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642708	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642708	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642708	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642708	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642708	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642708	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642708	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642708	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642709	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642709	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642709	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642709	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642709	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642709	      nan nan	      nan nan	 (0 , 0 , 1) 	1
  0.64271	      nan nan	      nan nan	 (1 , 0 , 0) 	1
  0.64271	      nan nan	      nan nan	 (0 , 1 , 0) 	1
  0.64271	      nan nan	      nan nan	 (0 , 0 , 1) 	1
  0.64271	      nan nan	      nan nan	 (1 , 0 , 0) 	1
  0.64271	      nan nan	      nan nan	 (0 , 1 , 0) 	1
  0.64271	      nan nan	      nan nan	 (0 , 0 , 1) 	1
  0.64271	      nan nan	      nan nan	 (1 , 0 , 0) 	1
  0.64271	      nan nan	      nan nan	 (0 , 1 , 0) 	1
  0.64271	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642711	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642711	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642711	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642711	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642711	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642711	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642711	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642711	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642711	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642712	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642712	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642712	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642712	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642712	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642712	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642713	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642713	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642713	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642713	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642713	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642713	      nan nan	      nan nan	 (0 , 0 , 1) 	1
 0.642713	      nan nan	      nan nan	 (1 , 0 , 0) 	1
 0.642713	      nan nan	      nan nan	 (0 , 1 , 0) 	1
 0.642713	      nan nan	      nan nan	 (0 , 0 , 1) 	1
