### The result of the verage over time 
### d tau = 3.75901e-07
### number of kessence update = 1
### initial time = 0.642703
### 1- tau	2- pi_k(x)	3-zeta(x)	 4-x
 0.642703	        0 0	        0	 (32 , 32 , 32) 
 0.642703	        0 0	0.0149739	 (32 , 32 , 32) 
 0.642704	0.00294196 0.0127499	2.61687e+09	 (32 , 32 , 32) 
 0.642704	  1961.31 8499.93	6.69744e+20	 (32 , 32 , 32) 
 0.642704	-4.50749e+14 -2.29322e+15	1.10653e+43	 (32 , 32 , 32) 
 0.642705	1.15478e+38 3.25459e+37	1.28189e+87	 (32 , 32 , 32) 
 0.642705	-2.8958e+83 3.92825e+82	4.97183e+174	 (32 , 32 , 32) 
 0.642705	3.97228e+174 3.31309e+173	      inf	 (32 , 32 , 32) 
 0.642706	      nan nan	      nan	 (32 , 32 , 32) 
 0.642706	      nan nan	      nan	 (32 , 32 , 32) 
 0.642707	      nan nan	      nan	 (32 , 32 , 32) 
 0.642707	      nan nan	      nan	 (32 , 32 , 32) 
 0.642707	      nan nan	      nan	 (32 , 32 , 32) 
 0.642708	      nan nan	      nan	 (32 , 32 , 32) 
 0.642708	      nan nan	      nan	 (32 , 32 , 32) 
 0.642708	      nan nan	      nan	 (32 , 32 , 32) 
 0.642709	      nan nan	      nan	 (32 , 32 , 32) 
 0.642709	      nan nan	      nan	 (32 , 32 , 32) 
  0.64271	      nan nan	      nan	 (32 , 32 , 32) 
  0.64271	      nan nan	      nan	 (32 , 32 , 32) 
  0.64271	      nan nan	      nan	 (32 , 32 , 32) 
 0.642711	      nan nan	      nan	 (32 , 32 , 32) 
 0.642711	      nan nan	      nan	 (32 , 32 , 32) 
 0.642711	      nan nan	      nan	 (32 , 32 , 32) 
 0.642712	      nan nan	      nan	 (32 , 32 , 32) 
 0.642712	      nan nan	      nan	 (32 , 32 , 32) 
 0.642713	      nan nan	      nan	 (32 , 32 , 32) 
 0.642713	      nan nan	      nan	 (32 , 32 , 32) 
 0.642713	      nan nan	      nan	 (32 , 32 , 32) 
 0.642714	      nan nan	      nan	 (32 , 32 , 32) 
 0.642714	      nan nan	      nan	 (32 , 32 , 32) 
 0.642714	      nan nan	      nan	 (32 , 32 , 32) 
 0.642715	      nan nan	      nan	 (32 , 32 , 32) 
 0.642715	      nan nan	      nan	 (32 , 32 , 32) 
 0.642716	      nan nan	      nan	 (32 , 32 , 32) 
 0.642716	      nan nan	      nan	 (32 , 32 , 32) 
 0.642716	      nan nan	      nan	 (32 , 32 , 32) 
 0.642717	      nan nan	      nan	 (32 , 32 , 32) 
 0.642717	      nan nan	      nan	 (32 , 32 , 32) 
 0.642717	      nan nan	      nan	 (32 , 32 , 32) 
 0.642718	      nan nan	      nan	 (32 , 32 , 32) 
 0.642718	      nan nan	      nan	 (32 , 32 , 32) 
 0.642719	      nan nan	      nan	 (32 , 32 , 32) 
 0.642719	      nan nan	      nan	 (32 , 32 , 32) 
 0.642719	      nan nan	      nan	 (32 , 32 , 32) 
  0.64272	      nan nan	      nan	 (32 , 32 , 32) 
  0.64272	      nan nan	      nan	 (32 , 32 , 32) 
  0.64272	      nan nan	      nan	 (32 , 32 , 32) 
 0.642721	      nan nan	      nan	 (32 , 32 , 32) 
 0.642721	      nan nan	      nan	 (32 , 32 , 32) 
 0.642722	      nan nan	      nan	 (32 , 32 , 32) 
 0.642722	      nan nan	      nan	 (32 , 32 , 32) 
 0.642722	      nan nan	      nan	 (32 , 32 , 32) 
 0.642723	      nan nan	      nan	 (32 , 32 , 32) 
 0.642723	      nan nan	      nan	 (32 , 32 , 32) 
 0.642723	      nan nan	      nan	 (32 , 32 , 32) 
 0.642724	      nan nan	      nan	 (32 , 32 , 32) 
 0.642724	      nan nan	      nan	 (32 , 32 , 32) 
 0.642725	      nan nan	      nan	 (32 , 32 , 32) 
 0.642725	      nan nan	      nan	 (32 , 32 , 32) 
 0.642725	      nan nan	      nan	 (32 , 32 , 32) 
 0.642726	      nan nan	      nan	 (32 , 32 , 32) 
 0.642726	      nan nan	      nan	 (32 , 32 , 32) 
