# power spectrum of pi_k * H (dimensionless)
# redshift z=5.835753
# k              Pk             sigma(k)       sigma(Pk)      count
  4.487990e-03   1.808717e-10   0.000000e+00   7.278765e-11   6
  6.346976e-03   1.082018e-10   0.000000e+00   2.160285e-11   12
  7.773426e-03   8.501596e-11   8.514949e-11   1.811943e-11   8
  8.975979e-03   2.720670e-10   0.000000e+00   3.006545e-11   6
  1.003545e-02   1.886771e-10   1.605594e-10   6.043225e-11   24
  1.099328e-02   2.660880e-10   1.605594e-10   4.429844e-11   24
  1.269395e-02   1.140245e-10   0.000000e+00   5.350990e-11   12
  1.346397e-02   1.375638e-10   1.816523e-10   2.481220e-11   30
  1.419227e-02   1.761275e-10   0.000000e+00   3.827411e-11   24
  1.488498e-02   1.617409e-10   2.780971e-10   3.909204e-11   24
  1.554685e-02   1.746353e-10   1.702990e-10   3.493404e-11   8
  1.618168e-02   1.567148e-10   2.270653e-10   1.859894e-11   24
  1.679252e-02   1.403773e-10   0.000000e+00   1.961772e-11   48
  1.795196e-02   1.875088e-10   0.000000e+00   8.075605e-11   6
  1.850445e-02   1.325709e-10   2.270653e-10   1.848627e-11   48
  1.904093e-02   1.271240e-10   2.140792e-10   1.358990e-11   36
  1.956269e-02   1.728013e-10   2.270653e-10   3.561499e-11   24
  2.007090e-02   1.083721e-10   3.211188e-10   1.953032e-11   24
  2.056655e-02   9.488931e-11   0.000000e+00   1.285618e-11   48
  2.105054e-02   1.369496e-10   3.211188e-10   2.041055e-11   24
  2.198657e-02   1.073383e-10   3.211188e-10   1.633927e-11   24
  2.243995e-02   7.717468e-11   0.000000e+00   1.230895e-11   30
  2.288435e-02   8.504282e-11   0.000000e+00   9.362544e-12   72
  2.332028e-02   8.266397e-11   3.405980e-10   1.726467e-11   32
  2.416856e-02   1.032261e-10   0.000000e+00   1.173418e-11   72
  2.458173e-02   6.245774e-11   0.000000e+00   8.944689e-12   48
  2.538790e-02   3.203406e-11   0.000000e+00   1.071382e-11   12
  2.578154e-02   6.738625e-11   0.000000e+00   9.336590e-12   48
  2.616925e-02   5.902810e-11   0.000000e+00   5.620087e-12   48
  2.655130e-02   7.513616e-11   3.211188e-10   9.794953e-12   48
  2.692794e-02   9.034337e-11   3.633045e-10   1.589444e-11   30
  2.729937e-02   8.948462e-11   0.000000e+00   2.006178e-11   24
  2.766583e-02   8.686768e-11   6.769780e-10   9.527073e-12   72
  2.838454e-02   4.806911e-11   0.000000e+00   9.861047e-12   24
  2.873715e-02   7.369073e-11   0.000000e+00   6.926674e-12   96
  2.908550e-02   5.523771e-11   0.000000e+00   7.857726e-12   48
  2.942972e-02   4.154614e-11   5.561942e-10   9.593516e-12   24
  2.976995e-02   2.859335e-11   5.561942e-10   5.996901e-12   24
  3.010635e-02   7.751164e-11   0.000000e+00   9.352421e-12   72
  3.043903e-02   5.757582e-11   0.000000e+00   8.314218e-12   48
  3.109370e-02   4.130549e-11   3.405980e-10   1.213678e-11   8
  3.141593e-02   7.706711e-11   4.036717e-10   1.010907e-11   54
  3.173488e-02   4.849659e-11   0.000000e+00   8.235750e-12   84
  3.205066e-02   5.752432e-11   0.000000e+00   8.061028e-12   48
  3.236335e-02   3.564925e-11   4.541306e-10   5.880523e-12   24
  3.267306e-02   4.421852e-11   6.055075e-10   4.779259e-12   72
  3.297985e-02   5.685218e-11   0.000000e+00   6.479692e-12   96
  3.358504e-02   7.145676e-11   0.000000e+00   7.724550e-12   48
  3.388358e-02   4.461336e-11   0.000000e+00   4.618395e-12   48
  3.417951e-02   4.381693e-11   0.000000e+00   7.831162e-12   24
  3.447290e-02   4.192655e-11   0.000000e+00   4.513124e-12   72
  3.505232e-02   3.846400e-11   0.000000e+00   4.853902e-12   72
