### The result of the verage over time 
### d tau = 0.015036
### number of kessence update = 10
### initial time = 0.642703
### 1- tau	2- pi_k(x)	3-zeta(x)	 4-x
 0.642703	        0	        0	 (32 , 32 , 32) 
 0.657739	1.92678e-07	-2.47413e-08	 (32 , 32 , 32) 
 0.673084	3.88366e-07	-2.14558e-08	 (32 , 32 , 32) 
 0.688745	5.7697e-07	-1.76637e-08	 (32 , 32 , 32) 
 0.704726	7.61319e-07	-1.30078e-08	 (32 , 32 , 32) 
 0.721036	9.41874e-07	-7.18953e-09	 (32 , 32 , 32) 
  0.73768	1.11896e-06	4.00203e-11	 (32 , 32 , 32) 
 0.754664	1.29287e-06	8.88718e-09	 (32 , 32 , 32) 
 0.771996	1.4639e-06	1.95225e-08	 (32 , 32 , 32) 
 0.789681	1.63232e-06	3.20863e-08	 (32 , 32 , 32) 
 0.807728	1.79839e-06	4.66939e-08	 (32 , 32 , 32) 
 0.826143	1.96237e-06	6.34394e-08	 (32 , 32 , 32) 
 0.844933	2.1245e-06	 8.24e-08	 (32 , 32 , 32) 
 0.864106	2.28502e-06	1.03639e-07	 (32 , 32 , 32) 
 0.883669	2.44418e-06	1.27209e-07	 (32 , 32 , 32) 
 0.903631	2.60218e-06	1.53152e-07	 (32 , 32 , 32) 
 0.923998	2.75926e-06	1.81508e-07	 (32 , 32 , 32) 
 0.944778	2.91563e-06	2.12307e-07	 (32 , 32 , 32) 
 0.965981	3.07151e-06	2.45581e-07	 (32 , 32 , 32) 
 0.987614	3.22709e-06	2.81357e-07	 (32 , 32 , 32) 
  1.00969	3.38258e-06	3.19664e-07	 (32 , 32 , 32) 
   1.0322	3.53819e-06	3.6053e-07	 (32 , 32 , 32) 
  1.05518	3.69411e-06	4.03987e-07	 (32 , 32 , 32) 
  1.07862	3.85055e-06	4.50067e-07	 (32 , 32 , 32) 
  1.10253	4.00769e-06	4.98807e-07	 (32 , 32 , 32) 
  1.12693	4.16573e-06	5.50247e-07	 (32 , 32 , 32) 
  1.15182	4.32488e-06	6.04432e-07	 (32 , 32 , 32) 
  1.17722	4.48532e-06	6.6141e-07	 (32 , 32 , 32) 
  1.20313	4.64726e-06	7.21238e-07	 (32 , 32 , 32) 
  1.22956	4.81089e-06	7.83975e-07	 (32 , 32 , 32) 
  1.25652	4.97642e-06	8.49688e-07	 (32 , 32 , 32) 
  1.28403	5.14406e-06	9.18449e-07	 (32 , 32 , 32) 
   1.3121	5.314e-06	9.90339e-07	 (32 , 32 , 32) 
  1.34073	5.48647e-06	1.06544e-06	 (32 , 32 , 32) 
  1.36993	5.66168e-06	1.14386e-06	 (32 , 32 , 32) 
  1.39973	5.83985e-06	1.22568e-06	 (32 , 32 , 32) 
  1.43012	6.02122e-06	1.31102e-06	 (32 , 32 , 32) 
  1.46113	6.20601e-06	  1.4e-06	 (32 , 32 , 32) 
  1.49276	6.39446e-06	1.49274e-06	 (32 , 32 , 32) 
  1.52503	6.58684e-06	1.58937e-06	 (32 , 32 , 32) 
  1.55795	6.78339e-06	1.69005e-06	 (32 , 32 , 32) 
  1.59153	6.98438e-06	1.79491e-06	 (32 , 32 , 32) 
  1.62578	7.19009e-06	1.90413e-06	 (32 , 32 , 32) 
  1.66072	7.40081e-06	2.01788e-06	 (32 , 32 , 32) 
  1.69637	7.61683e-06	2.13633e-06	 (32 , 32 , 32) 
  1.73273	7.83848e-06	2.25968e-06	 (32 , 32 , 32) 
  1.76982	8.06607e-06	2.38814e-06	 (32 , 32 , 32) 
