# power spectrum of phi
# redshift z=0.344146
# k              Pk             sigma(k)       sigma(Pk)      count
  1.256637e-01   3.048996e-11   0.000000e+00   1.226839e-11   6
  1.777153e-01   7.738164e-12   0.000000e+00   1.618905e-12   12
  2.176559e-01   3.178149e-12   2.384186e-09   8.678395e-13   8
  2.513274e-01   9.139870e-12   0.000000e+00   1.627504e-12   6
  2.809926e-01   4.966212e-12   4.495664e-09   1.409810e-12   24
  3.078120e-01   5.507119e-12   4.495664e-09   1.127600e-12   24
  3.554306e-01   1.720444e-12   0.000000e+00   3.183726e-13   12
  3.769911e-01   2.226420e-12   5.086263e-09   2.814198e-13   30
  3.973835e-01   1.651572e-12   0.000000e+00   2.380894e-13   24
  4.167794e-01   2.205837e-12   7.786718e-09   4.331662e-13   24
  4.353118e-01   6.431712e-13   4.768372e-09   1.375180e-13   8
  4.530869e-01   9.948118e-13   6.357829e-09   2.636293e-13   24
  4.701905e-01   1.425392e-12   0.000000e+00   2.778539e-13   48
  5.026548e-01   1.969222e-13   0.000000e+00   2.973908e-14   6
  5.181247e-01   1.130120e-12   6.357829e-09   1.520786e-13   48
  5.331460e-01   7.229507e-13   5.994218e-09   1.223508e-13   36
  5.477554e-01   1.079501e-12   6.357829e-09   1.866220e-13   24
  5.619852e-01   7.274238e-13   8.991328e-09   1.166724e-13   24
  5.758634e-01   9.905635e-13   0.000000e+00   1.625747e-13   48
  5.894150e-01   7.427235e-13   8.991328e-09   1.237217e-13   24
  6.156239e-01   5.397369e-13   8.991328e-09   1.268666e-13   24
  6.283185e-01   4.591665e-13   0.000000e+00   8.374363e-14   30
  6.407617e-01   6.656790e-13   0.000000e+00   6.241710e-14   72
  6.529678e-01   5.337888e-13   9.536743e-09   1.520040e-13   32
  6.767198e-01   5.071721e-13   0.000000e+00   5.469867e-14   72
  6.882885e-01   4.853285e-13   0.000000e+00   6.124703e-14   48
  7.108613e-01   2.880213e-13   0.000000e+00   7.698775e-14   12
  7.218830e-01   5.022621e-13   0.000000e+00   5.556180e-14   48
  7.327390e-01   3.490823e-13   0.000000e+00   6.209786e-14   48
  7.434365e-01   4.923005e-13   8.991328e-09   6.814457e-14   48
  7.539822e-01   6.117948e-13   1.017253e-08   8.469811e-14   30
  7.643825e-01   4.476141e-13   0.000000e+00   4.903259e-14   24
  7.746431e-01   4.118894e-13   1.895538e-08   5.119010e-14   72
  7.947671e-01   3.135923e-13   0.000000e+00   4.726375e-14   24
  8.046403e-01   3.098750e-13   0.000000e+00   3.127339e-14   96
  8.143939e-01   2.335159e-13   0.000000e+00   3.043516e-14   48
  8.240320e-01   3.152205e-13   1.557344e-08   4.330330e-14   24
  8.335587e-01   4.386397e-13   1.557344e-08   7.111941e-14   24
  8.429778e-01   3.401545e-13   0.000000e+00   3.590042e-14   72
  8.522927e-01   3.046419e-13   0.000000e+00   4.639300e-14   48
  8.706237e-01   1.647390e-13   9.536743e-09   3.110546e-14   8
  8.796459e-01   2.548415e-13   1.130281e-08   2.780220e-14   54
  8.885766e-01   2.648045e-13   0.000000e+00   2.593750e-14   84
  8.974184e-01   2.799047e-13   0.000000e+00   3.697279e-14   48
  9.061739e-01   1.826974e-13   1.271566e-08   2.005200e-14   24
  9.148456e-01   2.780434e-13   1.695421e-08   3.036469e-14   72
  9.234359e-01   2.778419e-13   0.000000e+00   2.521930e-14   96
  9.403811e-01   2.224869e-13   0.000000e+00   2.746910e-14   48
  9.487402e-01   2.806549e-13   0.000000e+00   3.262079e-14   48
  9.570263e-01   2.130028e-13   0.000000e+00   3.672830e-14   24
  9.652412e-01   2.378075e-13   0.000000e+00   2.961047e-14   72
  9.814649e-01   1.847555e-13   0.000000e+00   1.969095e-14   72
  9.894770e-01   2.193852e-13   0.000000e+00   2.129957e-14   96
  1.005310e+00   2.238289e-13   0.000000e+00   5.350099e-14   6
  1.013133e+00   2.241852e-13   0.000000e+00   1.818165e-14   96
  1.020897e+00   2.214302e-13   1.271566e-08   2.113590e-14   96
  1.028602e+00   1.355543e-13   0.000000e+00   2.605312e-14   24
