# power spectrum of pi_k * H (dimensionless)
# redshift z=-0.581556
# k              Pk             sigma(k)       sigma(Pk)      count
  1.256637e-01   5.403138e-12   0.000000e+00   5.312901e-13   6
  1.777153e-01   1.753172e-11   0.000000e+00   2.667843e-12   12
  2.176559e-01   3.639047e-11   2.384186e-09   1.774913e-12   8
  2.513274e-01   4.765985e-11   0.000000e+00   4.296477e-12   6
  2.809926e-01   6.549082e-11   4.495664e-09   1.782932e-12   24
  3.078120e-01   8.839200e-11   4.495664e-09   2.692583e-12   24
  3.554306e-01   1.317164e-10   0.000000e+00   4.131180e-12   12
  3.769911e-01   1.516519e-10   5.086263e-09   1.734309e-12   30
  3.973835e-01   1.748047e-10   0.000000e+00   1.869824e-12   24
  4.167794e-01   1.968723e-10   7.786718e-09   2.640771e-12   24
  4.353118e-01   2.227937e-10   4.768372e-09   2.506486e-12   8
  4.530869e-01   2.419800e-10   6.357829e-09   2.822152e-12   24
  4.701905e-01   2.662954e-10   0.000000e+00   2.687763e-12   48
  5.026548e-01   3.246791e-10   0.000000e+00   3.693400e-12   6
  5.181247e-01   3.368709e-10   6.357829e-09   2.610793e-12   48
  5.331460e-01   3.526409e-10   5.994218e-09   3.213418e-12   36
  5.477554e-01   3.717123e-10   6.357829e-09   5.435944e-12   24
  5.619852e-01   3.995952e-10   8.991328e-09   5.122001e-12   24
  5.758634e-01   4.209839e-10   0.000000e+00   4.767128e-12   48
  5.894150e-01   4.369310e-10   8.991328e-09   7.691659e-12   24
  6.156239e-01   4.794942e-10   8.991328e-09   8.460147e-12   24
  6.283185e-01   5.026090e-10   0.000000e+00   6.457025e-12   30
  6.407617e-01   5.206886e-10   0.000000e+00   4.913612e-12   72
  6.529678e-01   5.382022e-10   9.536743e-09   8.381559e-12   32
  6.767198e-01   5.724884e-10   0.000000e+00   6.372051e-12   72
  6.882885e-01   5.928970e-10   0.000000e+00   8.499726e-12   48
  7.108613e-01   6.136400e-10   0.000000e+00   1.185717e-11   12
  7.218830e-01   6.316007e-10   0.000000e+00   9.387381e-12   48
  7.327390e-01   6.436153e-10   0.000000e+00   8.834120e-12   48
  7.434365e-01   6.727697e-10   8.991328e-09   1.061717e-11   48
  7.539822e-01   6.777263e-10   1.017253e-08   1.331593e-11   30
  7.643825e-01   7.300634e-10   0.000000e+00   2.077093e-11   24
  7.746431e-01   7.164855e-10   1.895538e-08   1.037816e-11   72
  7.947671e-01   7.627844e-10   0.000000e+00   2.433102e-11   24
  8.046403e-01   7.532251e-10   0.000000e+00   1.061663e-11   96
  8.143939e-01   7.613268e-10   0.000000e+00   1.373747e-11   48
  8.240320e-01   7.568135e-10   1.557344e-08   1.851473e-11   24
  8.335587e-01   8.043298e-10   1.557344e-08   2.686632e-11   24
  8.429778e-01   7.912785e-10   0.000000e+00   1.237608e-11   72
  8.522927e-01   8.174729e-10   0.000000e+00   1.879739e-11   48
  8.706237e-01   7.816102e-10   9.536743e-09   2.985849e-11   8
  8.796459e-01   8.416003e-10   1.130281e-08   1.989165e-11   54
  8.885766e-01   8.419383e-10   0.000000e+00   1.499354e-11   84
  8.974184e-01   8.792979e-10   0.000000e+00   2.349030e-11   48
  9.061739e-01   8.620670e-10   1.271566e-08   2.749782e-11   24
  9.148456e-01   8.883582e-10   1.695421e-08   1.914823e-11   72
  9.234359e-01   8.957567e-10   0.000000e+00   1.773250e-11   96
  9.403811e-01   8.726960e-10   0.000000e+00   2.098430e-11   48
  9.487402e-01   8.856004e-10   0.000000e+00   2.333150e-11   48
  9.570263e-01   9.366518e-10   0.000000e+00   4.027523e-11   24
  9.652412e-01   9.157184e-10   0.000000e+00   2.025761e-11   72
  9.814649e-01   8.888394e-10   0.000000e+00   1.670136e-11   72
  9.894770e-01   9.286331e-10   0.000000e+00   1.816691e-11   96
  1.005310e+00   1.038665e-09   0.000000e+00   1.144700e-10   6
