# power spectrum of zeta (dimensionless)
# redshift z=0.961161
# k              Pk             sigma(k)       sigma(Pk)      count
  1.256637e-01   3.308181e-11   0.000000e+00   1.334127e-11   6
  1.777153e-01   8.665403e-12   0.000000e+00   1.784351e-12   12
  2.176559e-01   3.827902e-12   2.384186e-09   1.009088e-12   8
  2.513274e-01   1.012324e-11   0.000000e+00   1.544564e-12   6
  2.809926e-01   5.599897e-12   4.495664e-09   1.664441e-12   24
  3.078120e-01   6.311696e-12   4.495664e-09   1.291462e-12   24
  3.554306e-01   1.618846e-12   0.000000e+00   3.185213e-13   12
  3.769911e-01   2.135667e-12   5.086263e-09   2.347115e-13   30
  3.973835e-01   2.004186e-12   0.000000e+00   2.966871e-13   24
  4.167794e-01   2.458820e-12   7.786718e-09   5.389459e-13   24
  4.353118e-01   9.471751e-13   4.768372e-09   1.013398e-13   8
  4.530869e-01   1.247604e-12   6.357829e-09   2.896690e-13   24
  4.701905e-01   1.372459e-12   0.000000e+00   2.688140e-13   48
  5.026548e-01   4.726606e-13   0.000000e+00   1.752045e-13   6
  5.181247e-01   1.127019e-12   6.357829e-09   1.531232e-13   48
  5.331460e-01   8.091276e-13   5.994218e-09   1.499488e-13   36
  5.477554e-01   1.218381e-12   6.357829e-09   2.492413e-13   24
  5.619852e-01   8.720994e-13   8.991328e-09   1.392178e-13   24
  5.758634e-01   9.510857e-13   0.000000e+00   1.371437e-13   48
  5.894150e-01   7.531224e-13   8.991328e-09   1.358403e-13   24
  6.156239e-01   6.744723e-13   8.991328e-09   1.015224e-13   24
  6.283185e-01   3.933653e-13   0.000000e+00   8.460772e-14   30
  6.407617e-01   6.782555e-13   0.000000e+00   7.387550e-14   72
  6.529678e-01   5.006010e-13   9.536743e-09   1.336631e-13   32
  6.767198e-01   5.876281e-13   0.000000e+00   5.514854e-14   72
  6.882885e-01   3.901093e-13   0.000000e+00   6.618941e-14   48
  7.108613e-01   3.791608e-13   0.000000e+00   1.331222e-13   12
  7.218830e-01   4.844490e-13   0.000000e+00   5.594107e-14   48
  7.327390e-01   3.653478e-13   0.000000e+00   5.584999e-14   48
  7.434365e-01   4.894939e-13   8.991328e-09   5.584631e-14   48
  7.539822e-01   5.832102e-13   1.017253e-08   9.482006e-14   30
  7.643825e-01   4.394841e-13   0.000000e+00   5.068198e-14   24
  7.746431e-01   4.898022e-13   1.895538e-08   6.650149e-14   72
  7.947671e-01   2.308515e-13   0.000000e+00   4.820136e-14   24
  8.046403e-01   3.044728e-13   0.000000e+00   2.718191e-14   96
  8.143939e-01   2.518720e-13   0.000000e+00   4.395203e-14   48
  8.240320e-01   2.410193e-13   1.557344e-08   1.757111e-14   24
  8.335587e-01   4.914660e-13   1.557344e-08   8.328650e-14   24
  8.429778e-01   3.592233e-13   0.000000e+00   3.491129e-14   72
  8.522927e-01   3.147320e-13   0.000000e+00   4.836155e-14   48
  8.706237e-01   2.034313e-13   9.536743e-09   5.204310e-14   8
  8.796459e-01   3.046888e-13   1.130281e-08   3.715302e-14   54
  8.885766e-01   2.978077e-13   0.000000e+00   2.669660e-14   84
  8.974184e-01   3.020755e-13   0.000000e+00   3.436854e-14   48
  9.061739e-01   1.862905e-13   1.271566e-08   2.973898e-14   24
  9.148456e-01   3.045912e-13   1.695421e-08   4.176589e-14   72
  9.234359e-01   2.869994e-13   0.000000e+00   2.892194e-14   96
  9.403811e-01   2.412422e-13   0.000000e+00   2.257288e-14   48
  9.487402e-01   2.907344e-13   0.000000e+00   3.859977e-14   48
  9.570263e-01   2.656355e-13   0.000000e+00   5.359461e-14   24
  9.652412e-01   2.085876e-13   0.000000e+00   2.333691e-14   72
  9.814649e-01   1.970184e-13   0.000000e+00   2.259408e-14   72
  9.894770e-01   2.145506e-13   0.000000e+00   2.008507e-14   96
  1.005310e+00   3.546705e-13   0.000000e+00   8.497378e-14   6
  1.013133e+00   2.028776e-13   0.000000e+00   1.753030e-14   96
  1.020897e+00   2.237345e-13   1.271566e-08   2.150686e-14   96
  1.028602e+00   2.208189e-13   0.000000e+00   4.927977e-14   24
  1.036249e+00   2.814647e-13   1.271566e-08   3.696284e-14   48
  1.043841e+00   1.501423e-13   0.000000e+00   1.613918e-14   96
  1.051378e+00   2.253281e-13   0.000000e+00   3.858389e-14   48
  1.066292e+00   1.372738e-13   1.198844e-08   2.100377e-14   36
  1.073671e+00   2.020262e-13   2.202416e-08   2.641867e-14   48
  1.081000e+00   2.114978e-13   2.491750e-08   1.820164e-14   120
  1.088280e+00   1.654075e-13   0.000000e+00   1.831079e-14   56
  1.095511e+00   1.539442e-13   1.271566e-08   2.751454e-14   24
  1.102695e+00   1.476254e-13   0.000000e+00   1.327240e-14   96
  1.109832e+00   1.824560e-13   0.000000e+00   2.955313e-14   48
  1.123970e+00   2.067452e-13   1.798266e-08   3.884545e-14   24
  1.130973e+00   1.638571e-13   0.000000e+00   1.497998e-14   102
  1.137933e+00   1.539994e-13   1.271566e-08   1.936498e-14   48
  1.144851e+00   1.765052e-13   0.000000e+00   1.988927e-14   72
  1.151727e+00   1.258561e-13   0.000000e+00   1.708315e-14   48
  1.158562e+00   2.357918e-13   0.000000e+00   3.189837e-14   48
  1.165357e+00   1.833656e-13   2.877225e-08   1.514453e-14   120
  1.178830e+00   1.216666e-13   1.798266e-08   2.416393e-14   24
  1.185509e+00   1.375718e-13   1.695421e-08   1.069916e-14   144
  1.192151e+00   1.331354e-13   2.034505e-08   1.255904e-14   120
  1.198755e+00   1.342370e-13   1.798266e-08   1.479168e-14   48
  1.211857e+00   1.542094e-13   1.798266e-08   2.038522e-14   48
  1.218355e+00   1.190121e-13   1.798266e-08   1.327146e-14   96
  1.235512e+00   1.204816e-13   3.015167e-03   1.136308e-14   72
  1.244007e+00   1.362366e-13   1.598458e-08   1.147160e-14   108
  1.250338e+00   1.444426e-13   0.000000e+00   1.351723e-14   72
  1.256637e+00   1.191463e-13   0.000000e+00   2.438868e-14   30
  1.262905e+00   1.042335e-13   0.000000e+00   8.820450e-15   168
  1.269141e+00   1.071202e-13   0.000000e+00   1.558350e-14   48
  1.281523e+00   9.752851e-14   0.000000e+00   1.258784e-14   72
  1.287670e+00   1.218181e-13   0.000000e+00   1.532647e-14   96
  1.293787e+00   8.655334e-14   3.390842e-08   1.131091e-14   72
  1.299875e+00   1.134751e-13   0.000000e+00   1.170928e-14   72
  1.310112e+00   1.085434e-13   2.784031e-03   1.010386e-14   104
  1.317972e+00   1.035720e-13   2.397687e-08   8.742181e-15   144
  1.335824e+00   9.694719e-14   4.021044e-08   8.993750e-15   96
  1.341721e+00   1.081725e-13   0.000000e+00   8.899158e-15   96
  1.351101e+00   1.178861e-13   2.864148e-03   1.294737e-14   120
  1.359261e+00   9.368519e-14   0.000000e+00   1.086347e-14   120
  1.365057e+00   8.806061e-14   0.000000e+00   1.126934e-14   72
  1.376577e+00   9.976818e-14   0.000000e+00   1.654841e-14   48
  1.382301e+00   8.833474e-14   3.130008e-08   1.150511e-14   78
  1.389623e+00   9.931009e-14   2.564571e-03   8.326654e-15   168
  1.404963e+00   1.029067e-13   2.936555e-08   8.736737e-15   144
  1.410572e+00   1.157286e-13   2.397687e-08   1.106332e-14   144
  1.426839e+00   8.627115e-14   1.476986e-03   7.586489e-15   156
  1.432787e+00   9.554398e-14   3.114687e-08   1.157300e-14   48
  1.438287e+00   9.440487e-14   2.034505e-08   8.132624e-15   120
  1.443766e+00   8.067472e-14   0.000000e+00   8.713183e-15   48
  1.453454e+00   8.500610e-14   2.260797e-03   5.701656e-15   216
  1.465478e+00   9.256879e-14   0.000000e+00   1.126581e-14   48
  1.470856e+00   8.083872e-14   1.798266e-08   9.985259e-15   96
  1.478502e+00   9.082394e-14   2.642094e-03   7.045930e-15   168
  1.486873e+00   6.621886e-14   1.798266e-08   7.736341e-15   48
  1.492174e+00   7.441383e-14   0.000000e+00   7.483708e-15   96
  1.497456e+00   6.964773e-14   0.000000e+00   1.029287e-14   48
  1.507964e+00   7.704537e-14   2.034505e-08   9.942946e-15   30
  1.513191e+00   9.997916e-14   0.000000e+00   1.015672e-14   96
  1.519439e+00   7.243049e-14   2.076451e-03   4.883286e-15   240
  1.527472e+00   8.413133e-14   2.240191e-03   1.324751e-14   32
  1.533921e+00   8.670601e-14   0.000000e+00   7.055949e-15   168
  1.539060e+00   8.277802e-14   0.000000e+00   8.133922e-15   120
  1.549286e+00   8.860088e-14   3.791077e-08   1.636036e-14   72
  1.554374e+00   8.675084e-14   1.695421e-08   7.474250e-15   144
  1.559446e+00   6.642977e-14   0.000000e+00   6.376650e-15   96
  1.564501e+00   6.362249e-14   0.000000e+00   5.482660e-15   96
  1.574562e+00   8.414702e-14   0.000000e+00   1.088932e-14   72
  1.579568e+00   7.742279e-14   2.543132e-08   7.290795e-15   96
  1.589534e+00   7.065564e-14   0.000000e+00   1.218494e-14   24
