# power spectrum of zeta (dimensionless)
# redshift z=-0.800725
# k              Pk             sigma(k)       sigma(Pk)      count
  1.256637e-01   1.319835e-12   0.000000e+00   4.129385e-13   6
  1.777153e-01   8.991997e-13   0.000000e+00   1.435631e-13   12
  2.176559e-01   4.704997e-13   2.384186e-09   1.124386e-13   8
  2.513274e-01   1.914358e-12   0.000000e+00   5.138898e-13   6
  2.809926e-01   1.207923e-12   4.495664e-09   1.699443e-13   24
  3.078120e-01   1.239430e-12   4.495664e-09   1.663946e-13   24
  3.554306e-01   1.106214e-12   0.000000e+00   2.747166e-13   12
  3.769911e-01   1.158532e-12   5.086263e-09   1.733457e-13   30
  3.973835e-01   1.420018e-12   0.000000e+00   1.927751e-13   24
  4.167794e-01   1.129230e-12   7.786718e-09   1.845805e-13   24
  4.353118e-01   9.675549e-13   4.768372e-09   2.355854e-13   8
  4.530869e-01   1.206709e-12   6.357829e-09   1.951319e-13   24
  4.701905e-01   1.150797e-12   0.000000e+00   1.421744e-13   48
  5.026548e-01   7.240645e-13   0.000000e+00   2.468347e-13   6
  5.181247e-01   6.281892e-13   6.357829e-09   8.686940e-14   48
  5.331460e-01   7.096049e-13   5.994218e-09   9.685425e-14   36
  5.477554e-01   1.095419e-12   6.357829e-09   2.610235e-13   24
  5.619852e-01   8.479556e-13   8.991328e-09   9.498014e-14   24
  5.758634e-01   7.355086e-13   0.000000e+00   9.752843e-14   48
  5.894150e-01   8.336838e-13   8.991328e-09   1.934668e-13   24
  6.156239e-01   6.356743e-13   8.991328e-09   1.499356e-13   24
  6.283185e-01   6.303796e-13   0.000000e+00   1.252251e-13   30
  6.407617e-01   6.224546e-13   0.000000e+00   6.174979e-14   72
  6.529678e-01   7.052479e-13   9.536743e-09   9.174355e-14   32
  6.767198e-01   6.634560e-13   0.000000e+00   6.441266e-14   72
  6.882885e-01   4.812192e-13   0.000000e+00   6.299153e-14   48
  7.108613e-01   5.928996e-13   0.000000e+00   8.241630e-14   12
  7.218830e-01   4.502175e-13   0.000000e+00   6.726421e-14   48
  7.327390e-01   5.279433e-13   0.000000e+00   7.024002e-14   48
  7.434365e-01   6.091522e-13   8.991328e-09   6.124545e-14   48
  7.539822e-01   4.789122e-13   1.017253e-08   7.009031e-14   30
  7.643825e-01   6.326179e-13   0.000000e+00   9.544074e-14   24
  7.746431e-01   4.903436e-13   1.895538e-08   5.232651e-14   72
  7.947671e-01   6.063743e-13   0.000000e+00   8.990573e-14   24
  8.046403e-01   5.153571e-13   0.000000e+00   4.697545e-14   96
  8.143939e-01   4.856116e-13   0.000000e+00   6.378230e-14   48
  8.240320e-01   2.618791e-13   1.557344e-08   4.509406e-14   24
  8.335587e-01   3.754950e-13   1.557344e-08   7.781539e-14   24
  8.429778e-01   4.689893e-13   0.000000e+00   5.302673e-14   72
  8.522927e-01   6.032081e-13   0.000000e+00   6.400992e-14   48
  8.706237e-01   3.482116e-13   9.536743e-09   8.001997e-14   8
  8.796459e-01   5.163952e-13   1.130281e-08   4.109408e-14   54
  8.885766e-01   3.673301e-13   0.000000e+00   3.130889e-14   84
  8.974184e-01   3.519523e-13   0.000000e+00   5.032354e-14   48
  9.061739e-01   4.173640e-13   1.271566e-08   7.234715e-14   24
  9.148456e-01   4.677442e-13   1.695421e-08   5.812546e-14   72
  9.234359e-01   4.202192e-13   0.000000e+00   4.205123e-14   96
  9.403811e-01   3.205107e-13   0.000000e+00   5.720561e-14   48
  9.487402e-01   3.646221e-13   0.000000e+00   6.465075e-14   48
  9.570263e-01   4.929815e-13   0.000000e+00   6.399795e-14   24
  9.652412e-01   4.203300e-13   0.000000e+00   4.290489e-14   72
  9.814649e-01   3.745544e-13   0.000000e+00   3.408249e-14   72
  9.894770e-01   4.764888e-13   0.000000e+00   3.993500e-14   96
  1.005310e+00   5.895069e-13   0.000000e+00   1.036061e-13   6
  1.013133e+00   3.254786e-13   0.000000e+00   2.565032e-14   96
  1.020897e+00   2.780629e-13   1.271566e-08   2.184487e-14   96
  1.028602e+00   4.718851e-13   0.000000e+00   5.979448e-14   24
  1.036249e+00   3.472513e-13   1.271566e-08   4.106447e-14   48
  1.043841e+00   2.656131e-13   0.000000e+00   3.002641e-14   96
  1.051378e+00   2.804655e-13   0.000000e+00   3.704788e-14   48
  1.066292e+00   2.259574e-13   1.198844e-08   2.821731e-14   36
  1.073671e+00   4.863311e-13   2.202416e-08   5.970431e-14   48
  1.081000e+00   3.163202e-13   2.491750e-08   2.268116e-14   120
  1.088280e+00   3.864565e-13   0.000000e+00   4.993437e-14   56
  1.095511e+00   3.321575e-13   1.271566e-08   3.352164e-14   24
  1.102695e+00   3.032150e-13   0.000000e+00   2.532711e-14   96
  1.109832e+00   3.549056e-13   0.000000e+00   6.014476e-14   48
  1.123970e+00   2.935410e-13   1.798266e-08   3.194341e-14   24
  1.130973e+00   3.315300e-13   0.000000e+00   2.494168e-14   102
  1.137933e+00   3.149885e-13   1.271566e-08   3.655824e-14   48
