# power spectrum of phi
# redshift z=-0.893165
# k              Pk             sigma(k)       sigma(Pk)      count
  1.256637e-01   7.450229e-12   0.000000e+00   9.844935e-13   6
  1.777153e-01   3.125510e-12   0.000000e+00   2.807000e-13   12
  2.176559e-01   2.017484e-12   2.384186e-09   1.955494e-13   8
  2.513274e-01   2.384340e-12   0.000000e+00   3.719968e-13   6
  2.809926e-01   1.435220e-12   4.495664e-09   1.470337e-13   24
  3.078120e-01   1.080531e-12   4.495664e-09   1.201124e-13   24
  3.554306e-01   1.095201e-12   0.000000e+00   1.387905e-13   12
  3.769911e-01   9.970310e-13   5.086263e-09   1.325739e-13   30
  3.973835e-01   9.079361e-13   0.000000e+00   1.141514e-13   24
  4.167794e-01   7.976087e-13   7.786718e-09   6.732224e-14   24
  4.353118e-01   9.306170e-13   4.768372e-09   2.652200e-13   8
  4.530869e-01   6.910278e-13   6.357829e-09   8.088057e-14   24
  4.701905e-01   7.364884e-13   0.000000e+00   6.148885e-14   48
  5.026548e-01   4.829385e-13   0.000000e+00   1.960933e-13   6
  5.181247e-01   6.327864e-13   6.357829e-09   5.798514e-14   48
  5.331460e-01   4.806944e-13   5.994218e-09   4.748085e-14   36
  5.477554e-01   4.863977e-13   6.357829e-09   5.164553e-14   24
  5.619852e-01   5.062969e-13   8.991328e-09   6.570638e-14   24
  5.758634e-01   5.338176e-13   0.000000e+00   5.010656e-14   48
  5.894150e-01   5.574000e-13   8.991328e-09   3.022719e-14   24
  6.156239e-01   5.028414e-13   8.991328e-09   4.776394e-14   24
  6.283185e-01   3.237503e-13   0.000000e+00   4.065585e-14   30
  6.407617e-01   3.694925e-13   0.000000e+00   2.449645e-14   72
  6.529678e-01   3.898916e-13   9.536743e-09   2.722673e-14   32
  6.767198e-01   4.172188e-13   0.000000e+00   2.041256e-14   72
  6.882885e-01   3.879655e-13   0.000000e+00   2.827671e-14   48
  7.108613e-01   2.325618e-13   0.000000e+00   3.807394e-14   12
  7.218830e-01   3.066477e-13   0.000000e+00   2.244694e-14   48
  7.327390e-01   3.262104e-13   0.000000e+00   2.111225e-14   48
  7.434365e-01   2.764670e-13   8.991328e-09   1.761661e-14   48
  7.539822e-01   3.759020e-13   1.017253e-08   3.178712e-14   30
  7.643825e-01   4.362199e-13   0.000000e+00   3.468909e-14   24
  7.746431e-01   3.099862e-13   1.895538e-08   2.007504e-14   72
  7.947671e-01   3.272896e-13   0.000000e+00   4.574378e-14   24
  8.046403e-01   2.930168e-13   0.000000e+00   1.619263e-14   96
  8.143939e-01   2.679029e-13   0.000000e+00   2.000651e-14   48
  8.240320e-01   2.559771e-13   1.557344e-08   3.177917e-14   24
  8.335587e-01   2.490116e-13   1.557344e-08   3.520352e-14   24
  8.429778e-01   2.475029e-13   0.000000e+00   1.903931e-14   72
  8.522927e-01   2.173757e-13   0.000000e+00   2.114361e-14   48
  8.706237e-01   3.522200e-13   9.536743e-09   4.200604e-14   8
  8.796459e-01   2.407919e-13   1.130281e-08   2.279483e-14   54
  8.885766e-01   2.613921e-13   0.000000e+00   1.628823e-14   84
  8.974184e-01   2.322731e-13   0.000000e+00   1.352402e-14   48
  9.061739e-01   1.933582e-13   1.271566e-08   3.394425e-14   24
  9.148456e-01   2.003028e-13   1.695421e-08   1.630018e-14   72
  9.234359e-01   1.755485e-13   0.000000e+00   9.994265e-15   96
  9.403811e-01   1.825553e-13   0.000000e+00   2.049959e-14   48
  9.487402e-01   1.985969e-13   0.000000e+00   1.857320e-14   48
  9.570263e-01   1.640058e-13   0.000000e+00   2.267900e-14   24
  9.652412e-01   1.640775e-13   0.000000e+00   1.314170e-14   72
  9.814649e-01   1.451696e-13   0.000000e+00   1.319854e-14   72
  9.894770e-01   1.685369e-13   0.000000e+00   1.103647e-14   96
  1.005310e+00   2.527932e-13   0.000000e+00   4.155921e-14   6
  1.013133e+00   1.596590e-13   0.000000e+00   1.143800e-14   96
  1.020897e+00   1.576251e-13   1.271566e-08   1.066013e-14   96
  1.028602e+00   1.154761e-13   0.000000e+00   1.233380e-14   24
  1.036249e+00   1.369784e-13   1.271566e-08   1.174715e-14   48
  1.043841e+00   1.504575e-13   0.000000e+00   1.095216e-14   96
  1.051378e+00   1.090353e-13   0.000000e+00   9.665393e-15   48
  1.066292e+00   1.611634e-13   1.198844e-08   1.996593e-14   36
  1.073671e+00   1.714187e-13   2.202416e-08   1.017056e-14   48
  1.081000e+00   1.316092e-13   2.491750e-08   7.065732e-15   120
  1.088280e+00   1.365566e-13   0.000000e+00   1.007380e-14   56
  1.095511e+00   1.379827e-13   1.271566e-08   1.662259e-14   24
  1.102695e+00   1.371607e-13   0.000000e+00   1.027690e-14   96
  1.109832e+00   1.354661e-13   0.000000e+00   1.022321e-14   48
  1.123970e+00   1.287409e-13   1.798266e-08   1.182221e-14   24
  1.130973e+00   1.184308e-13   0.000000e+00   7.764778e-15   102
  1.137933e+00   1.406979e-13   1.271566e-08   1.511328e-14   48
  1.144851e+00   1.121644e-13   0.000000e+00   8.207296e-15   72
  1.151727e+00   1.384511e-13   0.000000e+00   1.525485e-14   48
  1.158562e+00   1.321885e-13   0.000000e+00   1.039374e-14   48
  1.165357e+00   1.337747e-13   2.877225e-08   7.611342e-15   120
  1.178830e+00   8.816462e-14   1.798266e-08   1.124382e-14   24
  1.185509e+00   1.153803e-13   1.695421e-08   5.788593e-15   144
  1.192151e+00   1.078706e-13   2.034505e-08   5.884428e-15   120
  1.198755e+00   1.306784e-13   1.798266e-08   1.155296e-14   48
  1.211857e+00   1.079762e-13   1.798266e-08   9.331281e-15   48
  1.218355e+00   1.101162e-13   1.798266e-08   8.596495e-15   96
  1.235512e+00   9.667077e-14   3.015167e-03   7.099743e-15   72
  1.244007e+00   1.050808e-13   1.598458e-08   6.464010e-15   108
  1.250338e+00   1.163392e-13   0.000000e+00   7.640206e-15   72
  1.256637e+00   1.150659e-13   0.000000e+00   1.223530e-14   30
  1.262905e+00   9.855658e-14   0.000000e+00   6.133825e-15   168
  1.269141e+00   9.044758e-14   0.000000e+00   8.808991e-15   48
  1.281523e+00   9.067591e-14   0.000000e+00   7.458337e-15   72
  1.287670e+00   9.590119e-14   0.000000e+00   6.826319e-15   96
  1.293787e+00   9.234714e-14   3.390842e-08   6.891255e-15   72
  1.299875e+00   8.207145e-14   0.000000e+00   7.175937e-15   72
  1.310112e+00   8.797066e-14   2.784031e-03   6.049236e-15   104
  1.317972e+00   8.449567e-14   2.397687e-08   4.564720e-15   144
  1.335824e+00   1.027210e-13   4.021044e-08   6.937103e-15   96
  1.341721e+00   7.646359e-14   0.000000e+00   5.659282e-15   96
  1.351101e+00   7.377636e-14   2.864148e-03   4.909607e-15   120
