# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
      0   1.193218e+01   9.900990e-03   1.004988e+01   0.000000e+00   9.999998e-01
      1   1.217083e+01   1.030099e-02   9.852819e+00   6.890189e-10   9.999998e-01
      2   1.241424e+01   1.071715e-02   9.659627e+00   1.295920e-09   9.999998e-01
      3   1.266253e+01   1.115012e-02   9.470222e+00   1.828374e-09   9.999998e-01
      4   1.291578e+01   1.160059e-02   9.284532e+00   2.295291e-09   9.999998e-01
      5   1.317410e+01   1.206925e-02   9.102482e+00   2.704670e-09   9.999998e-01
      6   1.343758e+01   1.255685e-02   8.924002e+00   3.063692e-09   9.999998e-01
      7   1.370633e+01   1.306415e-02   8.749022e+00   3.378794e-09   9.999998e-01
      8   1.398046e+01   1.359194e-02   8.577472e+00   3.655751e-09   9.999997e-01
      9   1.426007e+01   1.414105e-02   8.409286e+00   3.899736e-09   9.999997e-01
     10   1.454527e+01   1.471235e-02   8.244398e+00   4.115386e-09   9.999997e-01
     11   1.483617e+01   1.530673e-02   8.082744e+00   4.306853e-09   9.999997e-01
     12   1.513290e+01   1.592512e-02   7.924258e+00   4.477858e-09   9.999997e-01
     13   1.543555e+01   1.656850e-02   7.768881e+00   4.631729e-09   9.999997e-01
     14   1.574426e+01   1.723786e-02   7.616550e+00   4.771451e-09   9.999997e-01
     15   1.605915e+01   1.793427e-02   7.467206e+00   4.899694e-09   9.999997e-01
     16   1.638033e+01   1.865882e-02   7.320790e+00   5.018850e-09   9.999997e-01
     17   1.670794e+01   1.941263e-02   7.177245e+00   5.131066e-09   9.999997e-01
     18   1.704210e+01   2.019690e-02   7.036515e+00   5.238263e-09   9.999997e-01
     19   1.738294e+01   2.101286e-02   6.898544e+00   5.342167e-09   9.999997e-01
     20   1.773060e+01   2.186178e-02   6.763278e+00   5.444332e-09   9.999997e-01
     21   1.808521e+01   2.274499e-02   6.630665e+00   5.546151e-09   9.999997e-01
     22   1.844692e+01   2.366389e-02   6.500652e+00   5.648885e-09   9.999996e-01
     23   1.881585e+01   2.461991e-02   6.373188e+00   5.753670e-09   9.999996e-01
     24   1.919217e+01   2.561456e-02   6.248224e+00   5.861537e-09   9.999996e-01
     25   1.957601e+01   2.664939e-02   6.125709e+00   5.973425e-09   9.999996e-01
     26   1.996753e+01   2.772602e-02   6.005597e+00   6.090188e-09   9.999996e-01
     27   2.036689e+01   2.884615e-02   5.887841e+00   6.212612e-09   9.999996e-01
     28   2.077422e+01   3.001154e-02   5.772393e+00   6.341420e-09   9.999996e-01
     29   2.118971e+01   3.122400e-02   5.659209e+00   6.477283e-09   9.999995e-01
     30   2.161350e+01   3.248545e-02   5.548244e+00   6.620827e-09   9.999995e-01
     31   2.204577e+01   3.379787e-02   5.439455e+00   6.772639e-09   9.999995e-01
     32   2.248669e+01   3.516330e-02   5.332799e+00   6.933277e-09   9.999995e-01
     33   2.293642e+01   3.658390e-02   5.228234e+00   7.103267e-09   9.999995e-01
     34   2.339515e+01   3.806189e-02   5.125720e+00   7.283119e-09   9.999995e-01
     35   2.386305e+01   3.959959e-02   5.025215e+00   7.473324e-09   9.999994e-01
     36   2.434031e+01   4.119941e-02   4.926682e+00   7.674362e-09   9.999994e-01
     37   2.482712e+01   4.286387e-02   4.830080e+00   7.886702e-09   9.999994e-01
     38   2.532366e+01   4.459557e-02   4.735373e+00   8.110814e-09   9.999994e-01
     39   2.583014e+01   4.639723e-02   4.642522e+00   8.347169e-09   9.999993e-01
