### The result of the verage over time 
### d tau = 0.238644
### number of kessence update = 10
### initial time = 11.9322
### 1- tau	2- average(H pi_k)	3- average (zeta)	 4- average (phi)	5-z(redshift)   
  11.9322	-1.67614e-05	  -0.0001	5.61159e-21	      100
  12.1708	-1.96197e-05	-9.42937e-05	5.61159e-21	   96.078
  12.4142	-2.18842e-05	-8.37202e-05	6.89019e-10	  92.3084
  12.6625	-2.36373e-05	-7.43322e-05	1.29592e-09	  88.6851
  12.9158	-2.49511e-05	-6.5997e-05	1.82837e-09	  85.2025
  13.1741	-2.58889e-05	-5.85964e-05	2.29529e-09	  81.8552
  13.4376	-2.6506e-05	-5.20256e-05	2.70467e-09	  78.6378
  13.7063	-2.68509e-05	-4.61917e-05	3.06369e-09	  75.5454
  13.9805	-2.69658e-05	-4.10118e-05	3.37879e-09	   72.573
  14.2601	-2.68874e-05	-3.64128e-05	3.65575e-09	  69.7161
  14.5453	-2.66479e-05	-3.23294e-05	3.89974e-09	  66.9701
  14.8362	-2.62752e-05	-2.87039e-05	4.11539e-09	  64.3307
  15.1329	-2.57933e-05	-2.54849e-05	4.30685e-09	  61.7939
  15.4356	-2.52233e-05	-2.26268e-05	4.47786e-09	  59.3555
  15.7443	-2.45833e-05	-2.00891e-05	4.63173e-09	  57.0118
  16.0591	-2.38887e-05	-1.7836e-05	4.77145e-09	  54.7592
  16.3803	-2.31531e-05	-1.58354e-05	4.89969e-09	   52.594
  16.7079	-2.23878e-05	-1.40591e-05	5.01885e-09	  50.5128
  17.0421	-2.16027e-05	-1.2482e-05	5.13107e-09	  48.5125
  17.3829	-2.0806e-05	-1.10816e-05	5.23826e-09	  46.5899
  17.7306	-2.00049e-05	-9.83817e-06	5.34217e-09	  44.7419
  18.0852	-1.92052e-05	-8.73412e-06	5.44433e-09	  42.9657
  18.4469	-1.84118e-05	-7.7538e-06	5.54615e-09	  41.2585
  18.8159	-1.76289e-05	-6.88333e-06	5.64888e-09	  39.6175
  19.1922	-1.68597e-05	-6.1104e-06	5.75367e-09	  38.0403
   19.576	-1.61071e-05	-5.42406e-06	5.86154e-09	  36.5243
  19.9675	-1.53732e-05	-4.81461e-06	5.97342e-09	  35.0672
  20.3669	-1.46597e-05	-4.27341e-06	6.09019e-09	  33.6667
  20.7742	-1.39678e-05	-3.79281e-06	6.21261e-09	  32.3205
  21.1897	-1.32985e-05	-3.36602e-06	6.34142e-09	  31.0266
  21.6135	-1.26524e-05	-2.98699e-06	6.47728e-09	   29.783
  22.0458	-1.20299e-05	-2.65037e-06	6.62083e-09	  28.5877
  22.4867	-1.14312e-05	-2.35139e-06	6.77264e-09	  27.4387
  22.9364	-1.08563e-05	-2.08584e-06	6.93328e-09	  26.3344
  23.3951	-1.03049e-05	-1.84997e-06	7.10327e-09	   25.273
  23.8631	-9.77686e-06	-1.64043e-06	7.28312e-09	  24.2528
  24.3403	-9.27169e-06	-1.45428e-06	7.47332e-09	  23.2722
  24.8271	-8.78895e-06	-1.28888e-06	7.67436e-09	  22.3297
  25.3237	-8.32809e-06	-1.14192e-06	7.8867e-09	  21.4238
  25.8301	-7.8885e-06	-1.0113e-06	8.11081e-09	   20.553
  26.3467	-7.46955e-06	-8.9521e-07	8.34717e-09	  19.7161
  26.8737	-7.07057e-06	-7.92e-07	8.59622e-09	  18.9117
  27.4111	-6.69087e-06	-7.00225e-07	8.85846e-09	  18.1385
  27.9594	-6.32975e-06	-6.18598e-07	9.13437e-09	  17.3953
  28.5186	-5.98651e-06	-5.45976e-07	9.42444e-09	   16.681
  29.0889	-5.66043e-06	-4.81344e-07	9.72918e-09	  15.9944
  29.6707	-5.35082e-06	-4.23801e-07	1.00491e-08	  15.3345
  30.2641	-5.05697e-06	-3.72545e-07	1.03848e-08	  14.7002
  30.8694	-4.77821e-06	-3.26865e-07	1.07368e-08	  14.0905
  31.4868	-4.51387e-06	-2.86131e-07	1.11057e-08	  13.5046
  32.1165	-4.26328e-06	-2.4978e-07	1.1492e-08	  12.9413
  32.7589	-4.02582e-06	-2.17315e-07	1.18965e-08	     12.4
   33.414	-3.80087e-06	-1.88293e-07	1.23197e-08	  11.8796
  34.0823	-3.58782e-06	-1.6232e-07	1.27625e-08	  11.3795
   34.764	-3.3861e-06	-1.39046e-07	1.32255e-08	  10.8988
  35.4592	-3.19516e-06	-1.18162e-07	1.37095e-08	  10.4367
  36.1684	-3.01445e-06	-9.93909e-08	1.42153e-08	  9.99264
  36.8918	-2.84346e-06	-8.24868e-08	1.47436e-08	  9.56579
  37.6296	-2.6817e-06	-6.72315e-08	1.52955e-08	   9.1555
  38.3796	-2.5292e-06	-5.34756e-08	1.58717e-08	  8.76247
  39.1296	-2.38766e-06	-4.12235e-08	1.64704e-08	  8.39182
  39.8796	-2.25611e-06	-3.02547e-08	1.70777e-08	  8.04189
  40.6296	-2.13371e-06	-2.03838e-08	1.76942e-08	  7.71115
  41.3796	-2.01966e-06	-1.14541e-08	1.83202e-08	  7.39824
  42.1296	-1.91328e-06	-3.33301e-09	1.8956e-08	  7.10188
  42.8796	-1.81391e-06	4.09222e-09	1.9602e-08	  6.82095
  43.6296	-1.72101e-06	1.09175e-08	2.02585e-08	  6.55437
  44.3796	-1.63403e-06	1.7225e-08	2.09258e-08	   6.3012
  45.1296	-1.55252e-06	2.30848e-08	2.16041e-08	  6.06054
  45.8796	-1.47606e-06	2.85574e-08	2.22938e-08	  5.83159
