# power spectrum of zeta (dimensionless)
# redshift z=96.079122
# k              Pk             sigma(k)       sigma(Pk)      count
  1.256637e-02   1.729167e-20   0.000000e+00   6.167406e-22   6
  1.777153e-02   4.104171e-20   0.000000e+00   1.215459e-20   12
  2.176559e-02   4.625906e-20   2.384186e-10   8.516622e-21   8
  2.513274e-02   5.708189e-19   0.000000e+00   1.569100e-19   6
  2.809926e-02   3.947554e-19   4.495664e-10   9.444197e-20   24
  3.078120e-02   7.218405e-19   4.495664e-10   1.376860e-19   24
  3.554306e-02   9.376750e-19   0.000000e+00   1.840945e-19   12
  3.769911e-02   9.636950e-19   5.086263e-10   1.861497e-19   30
  3.973835e-02   1.073715e-18   0.000000e+00   2.262246e-19   24
  4.167794e-02   8.410960e-19   7.786718e-10   1.985568e-19   24
  4.353118e-02   2.048605e-18   4.768372e-10   3.996507e-19   8
  4.530869e-02   1.376163e-18   6.357829e-10   2.911446e-19   24
  4.701905e-02   1.681118e-18   0.000000e+00   2.322162e-19   48
  5.026548e-02   1.025592e-18   0.000000e+00   4.140878e-19   6
  5.181247e-02   2.010932e-18   6.357829e-10   2.066702e-19   48
  5.331460e-02   1.694896e-18   5.994218e-10   2.693658e-19   36
  5.477554e-02   2.515600e-18   6.357829e-10   5.799026e-19   24
  5.619852e-02   1.538082e-18   8.991328e-10   2.109845e-19   24
  5.758634e-02   1.770059e-18   0.000000e+00   2.155792e-19   48
  5.894150e-02   2.598477e-18   8.991328e-10   4.595954e-19   24
  6.156239e-02   2.828743e-18   8.991328e-10   4.161323e-19   24
  6.283185e-02   1.651058e-18   0.000000e+00   2.716646e-19   30
  6.407617e-02   1.903542e-18   0.000000e+00   2.161369e-19   72
  6.529678e-02   1.959614e-18   9.536743e-10   3.294498e-19   32
  6.767198e-02   2.515747e-18   0.000000e+00   2.866740e-19   72
  6.882885e-02   2.680346e-18   0.000000e+00   3.130705e-19   48
  7.108613e-02   1.875582e-18   0.000000e+00   5.368278e-19   12
  7.218830e-02   2.081107e-18   0.000000e+00   3.046836e-19   48
  7.327390e-02   2.085116e-18   0.000000e+00   2.977095e-19   48
  7.434365e-02   3.315414e-18   8.991328e-10   3.922019e-19   48
  7.539822e-02   3.472408e-18   1.017253e-09   5.802326e-19   30
  7.643825e-02   2.877672e-18   0.000000e+00   5.041886e-19   24
  7.746431e-02   3.062313e-18   1.895538e-09   2.815812e-19   72
  7.947671e-02   3.131228e-18   0.000000e+00   4.693442e-19   24
  8.046403e-02   3.307357e-18   0.000000e+00   3.388348e-19   96
