# power spectrum of zeta (dimensionless)
# redshift z=96.079122
# k              Pk             sigma(k)       sigma(Pk)      count
  1.256637e-02   1.870039e-20   0.000000e+00   4.644680e-22   6
  1.777153e-02   4.252288e-20   0.000000e+00   1.264677e-20   12
  2.176559e-02   4.795191e-20   2.384186e-10   9.286671e-21   8
  2.513274e-02   6.239028e-19   0.000000e+00   1.705117e-19   6
  2.809926e-02   4.441935e-19   4.495664e-10   1.084682e-19   24
  3.078120e-02   8.134679e-19   4.495664e-10   1.539068e-19   24
  3.554306e-02   1.029248e-18   0.000000e+00   2.094734e-19   12
  3.769911e-02   1.048563e-18   5.086263e-10   2.022125e-19   30
  3.973835e-02   1.188250e-18   0.000000e+00   2.528670e-19   24
  4.167794e-02   9.394034e-19   7.786718e-10   2.237503e-19   24
  4.353118e-02   2.256203e-18   4.768372e-10   4.436419e-19   8
  4.530869e-02   1.512140e-18   6.357829e-10   3.221985e-19   24
  4.701905e-02   1.852682e-18   0.000000e+00   2.554485e-19   48
  5.026548e-02   1.181621e-18   0.000000e+00   4.891380e-19   6
  5.181247e-02   2.255890e-18   6.357829e-10   2.357808e-19   48
  5.331460e-02   1.904347e-18   5.994218e-10   2.948494e-19   36
  5.477554e-02   2.867835e-18   6.357829e-10   6.639484e-19   24
  5.619852e-02   1.749523e-18   8.991328e-10   2.364951e-19   24
  5.758634e-02   1.964298e-18   0.000000e+00   2.424930e-19   48
  5.894150e-02   2.927908e-18   8.991328e-10   5.065091e-19   24
  6.156239e-02   3.208429e-18   8.991328e-10   4.758539e-19   24
  6.283185e-02   1.854942e-18   0.000000e+00   3.048811e-19   30
  6.407617e-02   2.150645e-18   0.000000e+00   2.427213e-19   72
  6.529678e-02   2.223248e-18   9.536743e-10   3.782446e-19   32
  6.767198e-02   2.879659e-18   0.000000e+00   3.301221e-19   72
  6.882885e-02   3.009130e-18   0.000000e+00   3.566256e-19   48
  7.108613e-02   2.116571e-18   0.000000e+00   6.223727e-19   12
  7.273110e-02   2.377185e-18   5.427997e-04   2.433373e-19   96
  7.434365e-02   3.758452e-18   8.991328e-10   4.397539e-19   48
  7.539822e-02   3.940521e-18   1.017253e-09   6.594737e-19   30
  7.720780e-02   3.482242e-18   4.442982e-04   2.822250e-19   96
  7.947671e-02   3.522760e-18   0.000000e+00   5.254101e-19   24
  8.078915e-02   3.618486e-18   4.597878e-04   3.051583e-19   144
  8.240320e-02   4.036614e-18   1.557344e-09   8.909116e-19   24
  8.406230e-02   4.875045e-18   4.078565e-04   5.001946e-19   96
  8.522927e-02   4.395100e-18   0.000000e+00   7.800340e-19   48
  8.784818e-02   5.361315e-18   3.024579e-04   4.983939e-19   62
  8.917918e-02   4.039773e-18   4.253298e-04   4.279862e-19   132
