# power spectrum of pi_k * H (dimensionless)
# redshift z=48.519767
# k              Pk             sigma(k)       sigma(Pk)      count
  1.256637e-02   1.175210e-10   0.000000e+00   4.737085e-11   6
  1.777153e-02   5.780457e-11   0.000000e+00   1.153938e-11   12
  2.176559e-02   3.764701e-11   2.384186e-10   7.669225e-12   8
  2.513274e-02   1.106030e-10   0.000000e+00   1.190461e-11   6
  2.809926e-02   6.889828e-11   4.495664e-10   2.196486e-11   24
  3.078120e-02   8.927067e-11   4.495664e-10   1.504361e-11   24
  3.554306e-02   3.372047e-11   0.000000e+00   1.518090e-11   12
  3.769911e-02   3.657830e-11   5.086263e-10   6.728785e-12   30
  3.973835e-02   4.315117e-11   0.000000e+00   9.505720e-12   24
  4.167794e-02   3.733809e-11   7.786718e-10   9.254803e-12   24
  4.353118e-02   4.153428e-11   4.768372e-10   8.413010e-12   8
  4.530869e-02   3.384811e-11   6.357829e-10   4.205322e-12   24
  4.701905e-02   3.073217e-11   0.000000e+00   4.320234e-12   48
  5.026548e-02   3.449878e-11   0.000000e+00   1.516768e-11   6
  5.181247e-02   2.692574e-11   6.357829e-10   3.781344e-12   48
  5.331460e-02   2.451065e-11   5.994218e-10   2.552153e-12   36
  5.477554e-02   3.459858e-11   6.357829e-10   7.235256e-12   24
  5.619852e-02   2.004731e-11   8.991328e-10   3.449127e-12   24
  5.758634e-02   1.769872e-11   0.000000e+00   2.404626e-12   48
  5.894150e-02   2.704045e-11   8.991328e-10   3.850977e-12   24
  6.156239e-02   2.113186e-11   8.991328e-10   3.320204e-12   24
  6.283185e-02   1.428612e-11   0.000000e+00   2.338798e-12   30
  6.407617e-02   1.514185e-11   0.000000e+00   1.671077e-12   72
  6.529678e-02   1.465043e-11   9.536743e-10   2.987844e-12   32
  6.767198e-02   1.913991e-11   0.000000e+00   2.218655e-12   72
  6.882885e-02   1.156144e-11   0.000000e+00   1.690798e-12   48
  7.108613e-02   6.013301e-12   0.000000e+00   1.790685e-12   12
  7.273110e-02   1.104748e-11   5.427997e-04   1.023059e-12   96
  7.434365e-02   1.351275e-11   8.991328e-10   1.707363e-12   48
  7.539822e-02   1.606687e-11   1.017253e-09   2.817068e-12   30
  7.720780e-02   1.431801e-11   4.442982e-04   1.347183e-12   96
  7.947671e-02   8.266198e-12   0.000000e+00   1.571843e-12   24
  8.078915e-02   1.146905e-11   4.597878e-04   9.305037e-13   144
  8.240320e-02   7.789152e-12   1.557344e-09   1.910275e-12   24
  8.406230e-02   1.126040e-11   4.078565e-04   1.281697e-12   96
  8.522927e-02   9.720871e-12   0.000000e+00   1.494321e-12   48
  8.784818e-02   1.140747e-11   3.024579e-04   1.289297e-12   62
  8.917918e-02   8.127741e-12   4.253298e-04   9.819752e-13   132
  9.061739e-02   5.239573e-12   1.271566e-09   9.321893e-13   24
  9.197543e-02   8.023038e-12   4.251090e-04   6.798282e-13   168
  9.445606e-02   9.030321e-12   4.179554e-04   7.562958e-13   96
  9.631875e-02   5.930518e-12   3.557186e-04   5.597965e-13   96
  9.860433e-02   6.011825e-12   3.964957e-04   4.960167e-13   168
  1.005310e-01   8.022453e-12   0.000000e+00   3.529881e-12   6
  1.013133e-01   6.464909e-12   0.000000e+00   6.278258e-13   96
  1.022438e-01   6.120724e-12   3.081996e-04   6.044043e-13   120
  1.041311e-01   4.791515e-12   3.578749e-04   3.784856e-13   144
  1.051378e-01   5.480431e-12   0.000000e+00   7.403915e-13   48
  1.070509e-01   4.783039e-12   3.651792e-04   5.144533e-13   84
  1.081000e-01   5.238553e-12   2.491750e-09   4.697139e-13   120
  1.090449e-01   4.029927e-12   3.313740e-04   4.641819e-13   80
  1.105074e-01   3.782420e-12   3.364535e-04   2.774743e-13   144
  1.123970e-01   4.719212e-12   1.798266e-09   8.733564e-13   24
  1.133201e-01   5.137529e-12   3.246628e-04   4.293975e-13   150
  1.147601e-01   4.586051e-12   3.368559e-04   3.342517e-13   120
  1.163416e-01   4.125023e-12   3.069733e-04   3.488962e-13   168
  1.178830e-01   6.076418e-12   1.798266e-09   1.011543e-12   24
  1.188528e-01   3.566892e-12   3.307029e-04   2.266016e-13   264
  1.198755e-01   2.825037e-12   1.798266e-09   3.972084e-13   48
  1.216189e-01   3.639945e-12   3.063158e-04   2.998605e-13   144
  1.235512e-01   4.401510e-12   3.015167e-04   5.378188e-13   72
  1.246540e-01   3.474298e-12   3.101478e-04   2.215373e-13   180
  1.261955e-01   3.632066e-12   2.247234e-04   2.708573e-13   198
  1.269141e-01   3.839463e-12   0.000000e+00   4.205185e-13   48
  1.285036e-01   3.056382e-12   3.041694e-04   2.302682e-13   168
  1.296831e-01   3.574717e-12   3.044222e-04   3.259783e-13   144
  1.314676e-01   3.312776e-12   4.277300e-04   1.732581e-13   248
  1.338772e-01   2.310652e-12   2.948852e-04   1.626178e-13   192
  1.355181e-01   2.975477e-12   4.554933e-04   1.952403e-13   240
  1.365057e-01   3.220248e-12   0.000000e+00   3.496383e-13   72
  1.380120e-01   3.277993e-12   2.779615e-04   2.863107e-13   126
  1.389623e-01   3.433709e-12   2.564571e-04   2.708489e-13   168
  1.407767e-01   3.159202e-12   2.804328e-04   1.760140e-13   288
  1.426839e-01   2.811178e-12   1.476986e-04   2.403157e-13   156
  1.436715e-01   2.376318e-12   2.484720e-04   2.069634e-13   168
  1.451693e-01   2.464057e-12   4.259613e-04   1.511593e-13   264
  1.465478e-01   2.252956e-12   0.000000e+00   2.776627e-13   48
  1.475722e-01   2.255098e-12   4.239347e-04   1.475621e-13   264
  1.490407e-01   2.257742e-12   2.498827e-04   1.871442e-13   144
  1.501498e-01   2.455977e-12   5.112474e-04   2.806830e-13   78
  1.517654e-01   1.965771e-12   3.323319e-04   1.085670e-13   336
  1.532889e-01   1.785802e-12   2.528505e-04   1.209708e-13   200
  1.542895e-01   1.716291e-12   4.950846e-04   1.309128e-13   192
