# power spectrum of pi_k * H (dimensionless)
# redshift z=-0.029885
# k              Pk             sigma(k)       sigma(Pk)      count
  1.256637e-02   1.898372e-10   0.000000e+00   7.657833e-11   6
  1.777153e-02   9.328715e-11   0.000000e+00   1.870237e-11   12
  2.176559e-02   6.071115e-11   2.384186e-10   1.326990e-11   8
  2.513274e-02   1.718490e-10   0.000000e+00   1.902681e-11   6
  2.809926e-02   1.071117e-10   4.495664e-10   3.408843e-11   24
  3.078120e-02   1.363892e-10   4.495664e-10   2.331706e-11   24
  3.554306e-02   4.788370e-11   0.000000e+00   2.178929e-11   12
  3.769911e-02   5.336364e-11   5.086263e-10   9.114260e-12   30
  3.973835e-02   6.493323e-11   0.000000e+00   1.362780e-11   24
  4.167794e-02   5.755029e-11   7.786718e-10   1.389557e-11   24
  4.353118e-02   5.843154e-11   4.768372e-10   1.145793e-11   8
  4.530869e-02   5.022589e-11   6.357829e-10   6.278563e-12   24
  4.701905e-02   4.381291e-11   0.000000e+00   6.348606e-12   48
  5.026548e-02   4.773141e-11   0.000000e+00   2.078444e-11   6
  5.181247e-02   3.720318e-11   6.357829e-10   5.362371e-12   48
  5.331460e-02   3.454223e-11   5.994218e-10   4.018815e-12   36
  5.477554e-02   4.920981e-11   6.357829e-10   1.032546e-11   24
  5.619852e-02   3.072440e-11   8.991328e-10   5.028133e-12   24
  5.758634e-02   2.641644e-11   0.000000e+00   3.394987e-12   48
  5.894150e-02   3.538115e-11   8.991328e-10   5.514795e-12   24
  6.156239e-02   3.035640e-11   8.991328e-10   4.283196e-12   24
  6.283185e-02   1.833715e-11   0.000000e+00   3.151855e-12   30
  6.407617e-02   2.289183e-11   0.000000e+00   2.557856e-12   72
  6.529678e-02   2.007312e-11   9.536743e-10   4.395772e-12   32
  6.767198e-02   2.669492e-11   0.000000e+00   3.141473e-12   72
  6.882885e-02   1.405739e-11   0.000000e+00   2.141464e-12   48
  7.108613e-02   8.661998e-12   0.000000e+00   3.034673e-12   12
  7.273110e-02   1.600268e-11   5.427997e-04   1.281966e-12   96
  7.434365e-02   1.697124e-11   8.991328e-10   2.350270e-12   48
  7.539822e-02   2.112589e-11   1.017253e-09   3.914626e-12   30
  7.720780e-02   2.074408e-11   4.442982e-04   1.978093e-12   96
  7.947671e-02   7.976144e-12   0.000000e+00   2.053751e-12   24
  8.078915e-02   1.477472e-11   4.597878e-04   1.258219e-12   144
  8.240320e-02   9.137485e-12   1.557344e-09   1.804769e-12   24
  8.406230e-02   1.339674e-11   4.078565e-04   1.447499e-12   96
  8.522927e-02   1.171591e-11   0.000000e+00   1.609343e-12   48
