# power spectrum of delta
# redshift z=-0.029885
# k              Pk             sigma(k)       sigma(Pk)      count
  1.256637e-02   1.416411e-03   0.000000e+00   5.722732e-04   6
  1.777153e-02   2.782416e-03   0.000000e+00   5.578967e-04   12
  2.176559e-02   4.036895e-03   2.384186e-10   8.775264e-04   8
  2.513274e-02   2.102081e-02   0.000000e+00   2.313654e-03   6
  2.809926e-02   2.055782e-02   4.495664e-10   6.495885e-03   24
  3.078120e-02   3.761676e-02   4.495664e-10   6.600354e-03   24
  3.554306e-02   2.406859e-02   0.000000e+00   1.054695e-02   12
  3.769911e-02   3.338327e-02   5.086263e-10   5.513968e-03   30
  3.973835e-02   5.102573e-02   0.000000e+00   1.061329e-02   24
  4.167794e-02   5.316121e-02   7.786718e-10   1.307265e-02   24
  4.353118e-02   6.676749e-02   4.768372e-10   1.280544e-02   8
  4.530869e-02   6.612600e-02   6.357829e-10   8.640707e-03   24
  4.701905e-02   6.908757e-02   0.000000e+00   1.012286e-02   48
  5.026548e-02   9.007302e-02   0.000000e+00   3.937064e-02   6
  5.181247e-02   8.568014e-02   6.357829e-10   1.271051e-02   48
  5.331460e-02   9.024422e-02   5.994218e-10   1.083446e-02   36
  5.477554e-02   1.471227e-01   6.357829e-10   3.236673e-02   24
  5.619852e-02   9.970327e-02   8.991328e-10   1.547944e-02   24
  5.758634e-02   9.596269e-02   0.000000e+00   1.189166e-02   48
  5.894150e-02   1.366667e-01   8.991328e-10   2.112126e-02   24
  6.156239e-02   1.531201e-01   8.991328e-10   2.135363e-02   24
  6.283185e-02   9.355297e-02   0.000000e+00   1.686048e-02   30
  6.407617e-02   1.299687e-01   0.000000e+00   1.401835e-02   72
  6.529678e-02   1.257338e-01   9.536743e-10   2.738567e-02   32
  6.767198e-02   1.928626e-01   0.000000e+00   2.285095e-02   72
  6.882885e-02   1.063270e-01   0.000000e+00   1.648337e-02   48
  7.108613e-02   7.967419e-02   0.000000e+00   2.789975e-02   12
  7.273110e-02   1.546473e-01   5.427997e-04   1.244667e-02   96
  7.434365e-02   1.723140e-01   8.991328e-10   2.409839e-02   48
  7.539822e-02   2.316103e-01   1.017253e-09   4.268874e-02   30
  7.720780e-02   2.648911e-01   4.442982e-04   2.456725e-02   96
  7.947671e-02   1.085236e-01   0.000000e+00   3.026932e-02   24
  8.078915e-02   2.191969e-01   4.597878e-04   1.872485e-02   144
  8.240320e-02   1.515208e-01   1.557344e-09   2.771426e-02   24
  8.406230e-02   2.418259e-01   4.078565e-04   2.572884e-02   96
  8.522927e-02   2.249138e-01   0.000000e+00   3.140158e-02   48
  8.784818e-02   3.097018e-01   3.024579e-04   4.019773e-02   62
  8.917918e-02   2.493461e-01   4.253298e-04   2.434136e-02   132
  9.061739e-02   1.985256e-01   1.271566e-09   2.839419e-02   24
  9.197543e-02   2.546344e-01   4.251090e-04   2.175469e-02   168
  9.445606e-02   3.181717e-01   4.179554e-04   2.647173e-02   96
  9.631875e-02   2.590556e-01   3.557186e-04   2.226785e-02   96
  9.860433e-02   2.618174e-01   3.964957e-04   1.988855e-02   168
  1.005310e-01   3.363930e-01   0.000000e+00   1.219069e-01   6
  1.013133e-01   3.150379e-01   0.000000e+00   3.291133e-02   96
  1.022438e-01   2.975551e-01   3.081996e-04   3.041307e-02   120
  1.041311e-01   2.515033e-01   3.578749e-04   2.041032e-02   144
  1.051378e-01   2.872618e-01   0.000000e+00   5.780781e-02   48
  1.070509e-01   2.587627e-01   3.651792e-04   2.962064e-02   84
  1.081000e-01   3.003994e-01   2.491750e-09   2.805103e-02   120
  1.090449e-01   2.991696e-01   3.313740e-04   3.924457e-02   80
  1.105074e-01   2.837378e-01   3.364535e-04   2.335834e-02   144
  1.123970e-01   3.583725e-01   1.798266e-09   6.804599e-02   24
  1.133201e-01   4.154987e-01   3.246628e-04   3.714195e-02   150
  1.147601e-01   3.580697e-01   3.368559e-04   2.349580e-02   120
  1.163416e-01   4.096871e-01   3.069733e-04   3.032976e-02   168
  1.178830e-01   4.689123e-01   1.798266e-09   5.355267e-02   24
  1.188528e-01   3.244288e-01   3.307029e-04   2.258884e-02   264
  1.198755e-01   3.098807e-01   1.798266e-09   4.758018e-02   48
  1.216189e-01   3.918652e-01   3.063158e-04   3.218879e-02   144
  1.235512e-01   3.995236e-01   3.015167e-04   4.480790e-02   72
  1.246540e-01   4.191382e-01   3.101478e-04   2.810690e-02   180
  1.261955e-01   4.141654e-01   2.247234e-04   2.802865e-02   198
  1.269141e-01   5.521550e-01   0.000000e+00   5.968418e-02   48
  1.285036e-01   4.096330e-01   3.041694e-04   3.446005e-02   168
  1.296831e-01   4.311178e-01   3.044222e-04   3.115926e-02   144
  1.314676e-01   4.702630e-01   4.277300e-04   2.688250e-02   248
  1.338772e-01   3.487113e-01   2.948852e-04   2.626116e-02   192
  1.355181e-01   4.567945e-01   4.554933e-04   3.054020e-02   240
  1.365057e-01   5.832865e-01   0.000000e+00   6.233765e-02   72
  1.380120e-01   5.777471e-01   2.779615e-04   5.380667e-02   126
  1.389623e-01   4.649375e-01   2.564571e-04   3.798182e-02   168
  1.407767e-01   5.662590e-01   2.804328e-04   2.959495e-02   288
  1.426839e-01   5.325364e-01   1.476986e-04   4.239261e-02   156
  1.436715e-01   4.617152e-01   2.484720e-04   4.319386e-02   168
  1.451693e-01   5.708819e-01   4.259613e-04   4.109519e-02   264
  1.465478e-01   2.743325e-01   0.000000e+00   3.262049e-02   48
  1.475722e-01   5.187882e-01   4.239347e-04   2.881106e-02   264
  1.490407e-01   4.632692e-01   2.498827e-04   3.223109e-02   144
  1.501498e-01   6.065414e-01   5.112474e-04   6.235460e-02   78
  1.517654e-01   5.158536e-01   3.323319e-04   2.726437e-02   336
  1.532889e-01   4.538166e-01   2.528505e-04   3.098338e-02   200
  1.542895e-01   4.849464e-01   4.950846e-04   3.368003e-02   192
  1.556403e-01   6.167262e-01   2.484459e-04   3.797202e-02   240
  1.568812e-01   6.454810e-01   4.979003e-04   4.120079e-02   168
  1.581561e-01   5.231373e-01   3.986332e-04   4.747658e-02   120
  1.596873e-01   6.170984e-01   3.115666e-04   3.386868e-02   324
  1.611730e-01   4.897931e-01   2.449443e-04   3.134846e-02   192
  1.621842e-01   7.708079e-01   4.392943e-04   5.490249e-02   168
  1.639042e-01   6.040824e-01   3.618152e-04   3.107271e-02   342
  1.654551e-01   5.951885e-01   2.913340e-04   3.402426e-02   336
  1.670270e-01   6.463574e-01   2.229470e-04   6.238626e-02   72
  1.680871e-01   5.834806e-01   3.565739e-04   3.404526e-02   288
  1.693176e-01   6.570489e-01   2.322255e-04   4.010241e-02   264
  1.710363e-01   6.482809e-01   3.054338e-04   3.222559e-02   384
  1.725757e-01   6.648179e-01   3.666000e-04   4.134946e-02   240
  1.732155e-01   4.585182e-01   0.000000e+00   7.929742e-02   48
  1.750659e-01   6.160486e-01   3.000861e-04   3.124864e-02   392
  1.764776e-01   5.807510e-01   3.293295e-04   3.643486e-02   294
  1.779956e-01   6.287194e-01   2.140470e-04   4.073819e-02   228
  1.789939e-01   7.255684e-01   3.250617e-04   4.468677e-02   216
  1.802361e-01   6.827401e-01   1.980050e-04   3.766839e-02   336
  1.817567e-01   7.861855e-01   2.352625e-04   4.345360e-02   360
  1.830119e-01   7.628121e-01   3.584392e-04   5.228415e-02   240
  1.843199e-01   8.348395e-01   4.241157e-04   6.362581e-02   168
  1.855399e-01   6.705453e-01   3.338306e-04   3.591467e-02   312
  1.869935e-01   6.973750e-01   2.089228e-04   3.414674e-02   336
  1.885637e-01   6.819990e-01   2.850095e-04   4.005115e-02   294
  1.897477e-01   7.113722e-01   3.798594e-04   3.846285e-02   288
  1.906536e-01   7.079887e-01   2.376907e-04   4.835214e-02   264
  1.922691e-01   6.955132e-01   4.082916e-04   3.115060e-02   480
  1.936199e-01   8.394640e-01   1.997349e-04   5.348813e-02   240
  1.952759e-01   7.324978e-01   2.019671e-04   4.732630e-02   276
  1.965824e-01   7.700509e-01   4.433576e-04   3.506174e-02   488
  1.981346e-01   7.873182e-01   1.952641e-04   4.425222e-02   240
  1.990355e-01   7.319249e-01   3.791527e-04   4.336530e-02   360
  2.002988e-01   8.632505e-01   1.348968e-04   5.026461e-02   198
  2.019235e-01   7.500790e-01   4.558217e-04   2.871122e-02   480
  2.031131e-01   7.347764e-01   1.682460e-04   4.076789e-02   288
  2.047583e-01   8.382072e-01   3.556337e-04   4.133261e-02   480
  2.062377e-01   8.084563e-01   2.191154e-04   3.469633e-02   480
  2.077570e-01   9.406043e-01   2.833894e-04   4.979628e-02   288
  2.087050e-01   7.932213e-01   3.023242e-04   5.284840e-02   288
  2.101959e-01   9.130523e-01   5.255912e-04   4.091333e-02   456
  2.116971e-01   8.279575e-01   4.949844e-04   4.244400e-02   360
  2.126650e-01   9.215400e-01   2.967082e-04   6.092483e-02   180
  2.140657e-01   8.036683e-01   3.231514e-04   3.491869e-02   486
  2.154854e-01   8.407547e-01   4.298953e-04   4.067520e-02   504
  2.169289e-01   9.433115e-01   3.340070e-04   4.188237e-02   456
  2.181258e-01   9.799359e-01   2.775009e-04   5.896344e-02   296
  2.197072e-01   8.111472e-01   2.738289e-04   3.369495e-02   528
  2.208965e-01   9.351476e-01   2.701981e-04   4.903357e-02   336
  2.226481e-01   8.708848e-01   2.997004e-04   3.414454e-02   600
  2.239302e-01   8.473764e-01   1.755804e-04   5.465269e-02   264
  2.252151e-01   9.301340e-01   1.898694e-04   4.821891e-02   360
  2.265266e-01   9.034286e-01   3.801372e-04   3.980223e-02   630
  2.279717e-01   8.502279e-01   1.962233e-04   4.303526e-02   432
  2.292537e-01   8.942668e-01   3.780726e-04   4.644643e-02   408
  2.308272e-01   8.694416e-01   2.509414e-04   4.939306e-02   324
  2.319978e-01   8.747434e-01   3.576222e-04   3.318986e-02   744
  2.334098e-01   9.847645e-01   2.858952e-04   5.522234e-02   336
  2.347588e-01   9.747758e-01   3.930328e-04   4.213803e-02   528
  2.362382e-01   9.492999e-01   2.005373e-04   5.172238e-02   408
  2.372191e-01   9.090977e-01   3.413147e-04   4.895652e-02   408
  2.388397e-01   8.900113e-01   2.817663e-04   4.036992e-02   470
  2.400201e-01   1.007607e+00   3.384925e-04   4.934961e-02   528
  2.416685e-01   1.047577e+00   2.820560e-04   4.339715e-02   624
  2.428827e-01   1.022884e+00   2.146180e-04   4.048847e-02   504
  2.441353e-01   1.039140e+00   2.989469e-04   4.531824e-02   552
  2.453777e-01   1.031880e+00   1.453231e-04   5.768696e-02   336
  2.469334e-01   9.765652e-01   3.093356e-04   4.331840e-02   528
  2.481386e-01   1.075792e+00   3.521844e-04   4.576742e-02   564
  2.495502e-01   1.046737e+00   3.241487e-04   4.937384e-02   528
  2.510806e-01   1.021551e+00   5.032507e-04   4.323937e-02   582
  2.524724e-01   1.081046e+00   3.874271e-04   4.271431e-02   624
  2.536896e-01   1.066147e+00   4.429036e-04   5.595524e-02   432
  2.551418e-01   1.056815e+00   4.926531e-04   3.737751e-02   816
  2.566361e-01   1.049921e+00   2.245292e-04   5.983577e-02   312
  2.576137e-01   1.069393e+00   3.638994e-04   4.456912e-02   552
  2.591900e-01   1.037278e+00   2.291924e-04   4.082018e-02   744
  2.603321e-01   1.072556e+00   2.141123e-04   5.578221e-02   408
  2.618061e-01   1.075838e+00   3.068323e-04   4.442978e-02   632
  2.633374e-01   1.154904e+00   5.210791e-04   4.497638e-02   750
  2.645831e-01   1.312126e+00   3.584637e-04   7.546562e-02   312
  2.659713e-01   1.173826e+00   5.292216e-04   3.976645e-02   876
  2.673443e-01   1.166039e+00   3.455503e-04   5.150201e-02   552
  2.688914e-01   1.140119e+00   2.857688e-04   4.509474e-02   696
  2.699453e-01   1.310696e+00   3.154346e-04   5.696232e-02   576
  2.713796e-01   1.277908e+00   3.339693e-04   5.698140e-02   576
  2.726037e-01   1.120052e+00   4.475199e-04   4.359010e-02   648
  2.740832e-01   1.145329e+00   4.479393e-04   4.480487e-02   672
  2.757165e-01   1.078129e+00   1.899992e-04   5.283732e-02   480
  2.767620e-01   1.155392e+00   2.942368e-04   4.133883e-02   726
  2.781081e-01   1.276167e+00   3.334085e-04   4.371361e-02   792
  2.795661e-01   1.283468e+00   4.625257e-04   4.250890e-02   768
  2.811027e-01   1.310675e+00   3.780047e-04   4.972499e-02   672
  2.825116e-01   1.179076e+00   2.535576e-04   4.917174e-02   608
  2.835316e-01   1.237840e+00   2.434230e-04   5.122363e-02   624
  2.849867e-01   1.175306e+00   3.163261e-04   4.435576e-02   684
  2.864019e-01   1.224301e+00   4.672505e-04   4.086571e-02   768
  2.877191e-01   1.280630e+00   3.735635e-04   4.560911e-02   744
  2.892886e-01   1.226560e+00   2.352178e-04   4.362442e-02   750
  2.904325e-01   1.258183e+00   3.496199e-04   5.193170e-02   600
  2.916695e-01   1.375237e+00   3.712332e-04   5.378141e-02   600
