# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=2.10937e-07 to 223.611 h/Mpc,
# number of wavenumbers equal to 873
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_cdm                 13:t_fld                 14:t_ur                  15:t_tot              
       2.109370519242e-07      -1.550853342789e+00      -1.163140007092e+00      -1.163140007092e+00      -1.163136586794e-01      -1.550853342789e+00      -1.174303679549e+00       6.122866657291e-01       5.968103530002e-01       6.133098479638e-12       6.133098632717e-12       6.133098634217e-12       6.133098643835e-12       6.133098473341e-12       6.133098628013e-12 
       2.158504070464e-07      -1.550853337440e+00      -1.163140003080e+00      -1.163140003080e+00      -1.163136588936e-01      -1.550853337440e+00      -1.174303675499e+00       6.122866671337e-01       5.968103542919e-01       6.422142562850e-12       6.422142679503e-12       6.422142680713e-12       6.422142690785e-12       6.422142558566e-12       6.422142675981e-12 
       2.208782089115e-07      -1.550853339372e+00      -1.163140004529e+00      -1.163140004529e+00      -1.163136588404e-01      -1.550853339372e+00      -1.174303676961e+00       6.122866667211e-01       5.968103539134e-01       6.724808798639e-12       6.724808935368e-12       6.724808936741e-12       6.724808947287e-12       6.724808793379e-12       6.724808931199e-12 
       2.260231233267e-07      -1.550853340734e+00      -1.163140005550e+00      -1.163140005550e+00      -1.163136588082e-01      -1.550853340734e+00      -1.174303677992e+00       6.122866664544e-01       5.968103536699e-01       7.041739260017e-12       7.041739413692e-12       7.041739415199e-12       7.041739426242e-12       7.041739253973e-12       7.041739408975e-12 
       2.312878781936e-07      -1.550853343678e+00      -1.163140007758e+00      -1.163140007758e+00      -1.163136587185e-01      -1.550853343678e+00      -1.174303680221e+00       6.122866657956e-01       5.968103530687e-01       7.373606174120e-12       7.373606360938e-12       7.373606362723e-12       7.373606374287e-12       7.373606166323e-12       7.373606355159e-12 
       2.366752649550e-07      -1.550853343707e+00      -1.163140007780e+00      -1.163140007780e+00      -1.163136587373e-01      -1.550853343707e+00      -1.174303680244e+00       6.122866658690e-01       5.968103531379e-01       7.721113529198e-12       7.721113723482e-12       7.721113725326e-12       7.721113737435e-12       7.721113521101e-12       7.721113717462e-12 
       2.421881400746e-07      -1.550853345224e+00      -1.163140008918e+00      -1.163140008918e+00      -1.163136587028e-01      -1.550853345224e+00      -1.174303681392e+00       6.122866655746e-01       5.968103528696e-01       8.084998382341e-12       8.084998599188e-12       8.084998601218e-12       8.084998613898e-12       8.084998373099e-12       8.084998592443e-12 
       2.478294265519e-07      -1.550853345526e+00      -1.163140009145e+00      -1.163140009145e+00      -1.163136587127e-01      -1.550853345526e+00      -1.174303681621e+00       6.122866655876e-01       5.968103528857e-01       8.466032615403e-12       8.466032844306e-12       8.466032846442e-12       8.466032859719e-12       8.466032605542e-12       8.466032837178e-12 
       2.536021154715e-07      -1.550853345599e+00      -1.163140009199e+00      -1.163140009199e+00      -1.163136587317e-01      -1.550853345599e+00      -1.174303681676e+00       6.122866656622e-01       5.968103529585e-01       8.865024441933e-12       8.865024680949e-12       8.865024683174e-12       8.865024697077e-12       8.865024431546e-12       8.865024673500e-12 
       2.595092675895e-07      -1.550853347877e+00      -1.163140010908e+00      -1.163140010908e+00      -1.163136586719e-01      -1.550853347877e+00      -1.174303683401e+00       6.122866651898e-01       5.968103525260e-01       9.282820142381e-12       9.282820416263e-12       9.282820418761e-12       9.282820433319e-12       9.282820130252e-12       9.282820407682e-12 
