# Matter power spectrum P(k) at redshift z=0
# for k=2.10937e-07 to 223.611 h/Mpc,
# number of wavenumbers equal to 873
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.109370519242e-07       6.713482087458e-01 
       2.158504070464e-07       6.747478884777e-01 
       2.208782089115e-07       7.195184873428e-01 
       2.260231233267e-07       7.615942941524e-01 
       2.312878781936e-07       8.127182251443e-01 
       2.366752649550e-07       8.483173519098e-01 
       2.421881400746e-07       8.923723604111e-01 
       2.478294265519e-07       9.304353852889e-01 
       2.536021154715e-07       9.678317545906e-01 
       2.595092675895e-07       1.017028358671e+00 
       2.655540149563e-07       1.049414606331e+00 
       2.717395625768e-07       1.107298617507e+00 
       2.780691901103e-07       1.139948146510e+00 
       2.845462536090e-07       1.193016739361e+00 
       2.911741872978e-07       1.233073155484e+00 
       2.979565053949e-07       1.284913738569e+00 
       3.048968039751e-07       1.330730340319e+00 
       3.119987628765e-07       1.362613010079e+00 
       3.192661476518e-07       1.421715905976e+00 
       3.267028115646e-07       1.463935980537e+00 
       3.343126976324e-07       1.516886742994e+00 
       3.420998407177e-07       1.572261585281e+00 
       3.500683696668e-07       1.609236145329e+00 
       3.582225094992e-07       1.663976604445e+00 
       3.665665836478e-07       1.712030490915e+00 
       3.751050162511e-07       1.756446084054e+00 
       3.838423344991e-07       1.817900608331e+00 
       3.927831710336e-07       1.866673823505e+00 
       4.019322664045e-07       1.922047392131e+00 
       4.112944715832e-07       1.976520766800e+00 
       4.208747505349e-07       2.031672762820e+00 
       4.306781828503e-07       2.086691187858e+00 
       4.407099664389e-07       2.147826942842e+00 
       4.509754202852e-07       2.207008558436e+00 
       4.614799872687e-07       2.269438045362e+00 
       4.722292370499e-07       2.331878514001e+00 
       4.832288690233e-07       2.388972583845e+00 
       4.944847153393e-07       2.450679556414e+00 
       5.060027439966e-07       2.519439065463e+00 
       5.177890620066e-07       2.583016883894e+00 
       5.298499186309e-07       2.650199880068e+00 
       5.421917086956e-07       2.712717454124e+00 
       5.548209759809e-07       2.785182132500e+00 
       5.677444166916e-07       2.858489650501e+00 
       5.809688830071e-07       2.926081833891e+00 
       5.945013867143e-07       3.000015854836e+00 
       6.083491029259e-07       3.077881469628e+00 
       6.225193738844e-07       3.152033863981e+00 
       6.370197128549e-07       3.228357141255e+00 
       6.518578081091e-07       3.313760768429e+00 
       6.670415270016e-07       3.393348597330e+00 
       6.825789201410e-07       3.471092056053e+00 
       6.984782256588e-07       3.556479715054e+00 
       7.147478735773e-07       3.645843423365e+00 
       7.313964902793e-07       3.731962738935e+00 
       7.484329030815e-07       3.822150715662e+00 
       7.658661449157e-07       3.911929814851e+00 
       7.837054591173e-07       4.002400936263e+00 
       8.019603043269e-07       4.102366691241e+00 
       8.206403595050e-07       4.196081416343e+00 
       8.397555290643e-07       4.296173107394e+00 
       8.593159481205e-07       4.398733452978e+00 
       8.793319878668e-07       4.501396076577e+00 
       8.998142610724e-07       4.609175636325e+00 
       9.207736277096e-07       4.718894631425e+00 
       9.422212007122e-07       4.825956659122e+00 
       9.641683518672e-07       4.942700173173e+00 
       9.866267178445e-07       5.055161337774e+00 
       1.009608206367e-06       5.174077809557e+00 
       1.033125002525e-06       5.292431356922e+00 
       1.057189575234e-06       5.418238651680e+00 
       1.081814683849e-06       5.543156859209e+00 
       1.107013384929e-06       5.670103086194e+00 
       1.132799039159e-06       5.802070551483e+00 
       1.159185318434e-06       5.934309345950e+00 
       1.186186213108e-06       6.073061050342e+00 
       1.213816039413e-06       6.212275087658e+00 
       1.242089447050e-06       6.354616065769e+00 
       1.271021426952e-06       6.501772483614e+00 
       1.300627319238e-06       6.653321335102e+00 
       1.330922821346e-06       6.803505145704e+00 
       1.361923996349e-06       6.959697145309e+00 
       1.393647281483e-06       7.121094440426e+00 
       1.426109496853e-06       7.281833835961e+00 
       1.459327854355e-06       7.449001541696e+00 
       1.493319966801e-06       7.620491933663e+00 
       1.528103857261e-06       7.792201333867e+00 
       1.563697968612e-06       7.970158086126e+00 
       1.600121173324e-06       8.150883944572e+00 
       1.637392783463e-06       8.337435074912e+00 
       1.675532560929e-06       8.527938400234e+00 
       1.714560727937e-06       8.719687916190e+00 
       1.754497977737e-06       8.919498527238e+00 
       1.795365485589e-06       9.122699618046e+00 
       1.837184919986e-06       9.328705669890e+00 
       1.879978454146e-06       9.539233868429e+00 
       1.923768777766e-06       9.756401581677e+00 
       1.968579109057e-06       9.977197170108e+00 
       2.014433207048e-06       1.020366208893e+01 
       2.061355384190e-06       1.043525896887e+01 
       2.109370519242e-06       1.066922422258e+01 
       2.158504070464e-06       1.091029223213e+01 
       2.208782089115e-06       1.115841569650e+01 
       2.260231233267e-06       1.141073661096e+01 
       2.312878781936e-06       1.166748511312e+01 
       2.366752649550e-06       1.193031017908e+01 
       2.421881400746e-06       1.220052037419e+01 
       2.478294265519e-06       1.247542158147e+01 
       2.536021154715e-06       1.275669649050e+01 
       2.595092675895e-06       1.304450050556e+01 
       2.655540149563e-06       1.334003187252e+01 
       2.717395625768e-06       1.364082920833e+01 
       2.780691901103e-06       1.394686014293e+01 
       2.845462536090e-06       1.426053820646e+01 
       2.911741872978e-06       1.458158269726e+01 
       2.979565053949e-06       1.491071632323e+01 
       3.048968039751e-06       1.524656185861e+01 
       3.119987628765e-06       1.558896285882e+01 
       3.192661476518e-06       1.593909939256e+01 
       3.267028115646e-06       1.629840140964e+01 
       3.343126976324e-06       1.666504661984e+01 
       3.420998407177e-06       1.703953938185e+01 
       3.500683696668e-06       1.742308127479e+01 
       3.582225094992e-06       1.781392925218e+01 
       3.665665836478e-06       1.821436334661e+01 
       3.751050162511e-06       1.862356526814e+01 
       3.838423344991e-06       1.904184681503e+01 
       3.927831710336e-06       1.946965889019e+01 
       4.019322664045e-06       1.990664952778e+01 
       4.112944715832e-06       2.035376620617e+01 
       4.208747505349e-06       2.081082478165e+01 
       4.306781828503e-06       2.127805092051e+01 
       4.407099664389e-06       2.175567306117e+01 
       4.509754202852e-06       2.224391342294e+01 
       4.614799872687e-06       2.274288436799e+01 
       4.722292370499e-06       2.325389907268e+01 
       4.832288690233e-06       2.377554709610e+01 
       4.944847153393e-06       2.430873719804e+01 
       5.060027439966e-06       2.485424208054e+01 
       5.177890620066e-06       2.541168657375e+01 
       5.298499186309e-06       2.598177928086e+01 
       5.421917086956e-06       2.656469340235e+01 
       5.548209759809e-06       2.716007601861e+01 
       5.677444166916e-06       2.776966309427e+01 
       5.809688830071e-06       2.839209607521e+01 
       5.945013867143e-06       2.902892175895e+01 
       6.083491029259e-06       2.967981362208e+01 
       6.225193738844e-06       3.034523713707e+01 
       6.370197128549e-06       3.102549949962e+01 
       6.518578081091e-06       3.172124290048e+01 
       6.670415270016e-06       3.243219823659e+01 
       6.825789201410e-06       3.315951517423e+01 
       6.984782256588e-06       3.390279886843e+01 
       7.147478735773e-06       3.466249550116e+01 
       7.313964902793e-06       3.543972032817e+01 
       7.484329030815e-06       3.623397366643e+01 
       7.658661449157e-06       3.704610855506e+01 
       7.837054591173e-06       3.787646312279e+01 
       8.019603043269e-06       3.872535602044e+01 
       8.206403595050e-06       3.959307687514e+01 
       8.397555290643e-06       4.048062331478e+01 
       8.593159481205e-06       4.138765893803e+01 
       8.793319878668e-06       4.231488391138e+01 
       8.998142610724e-06       4.326335740342e+01 
       9.207736277096e-06       4.423273894589e+01 
       9.422212007122e-06       4.522381066564e+01 
       9.641683518672e-06       4.623703442499e+01 
       9.866267178445e-06       4.727313101896e+01 
       1.009608206367e-05       4.833229075956e+01 
       1.033125002525e-05       4.941518224014e+01 
       1.057189575234e-05       5.052249606242e+01 
       1.081814683849e-05       5.165414809858e+01 
       1.107013384929e-05       5.281164382913e+01 
       1.132799039159e-05       5.399454798469e+01 
       1.159185318434e-05       5.520439672707e+01 
       1.186186213108e-05       5.644108022616e+01 
       1.213816039413e-05       5.770560585605e+01 
       1.242089447050e-05       5.899805167615e+01 
       1.271021426952e-05       6.031989566554e+01 
       1.300627319238e-05       6.167108273053e+01 
       1.330922821346e-05       6.305269735094e+01 
       1.361923996349e-05       6.446510829744e+01 
       1.393647281483e-05       6.590912299406e+01 
       1.426109496853e-05       6.738534627128e+01 
       1.459327854355e-05       6.889497412722e+01 
       1.493319966801e-05       7.043820158280e+01 
       1.528103857261e-05       7.201592265322e+01 
       1.563697968612e-05       7.362913488763e+01 
       1.600121173324e-05       7.527823671778e+01 
       1.637392783463e-05       7.696452288329e+01 
       1.675532560929e-05       7.868835678291e+01 
       1.714560727937e-05       8.045097730022e+01 
       1.754497977737e-05       8.225303902696e+01 
       1.795365485589e-05       8.409524529304e+01 
       1.837184919986e-05       8.597897366810e+01 
       1.879978454146e-05       8.790462188021e+01 
       1.923768777766e-05       8.987345273068e+01 
       1.968579109057e-05       9.188647099043e+01 
       2.014433207048e-05       9.394458856777e+01 
       2.061355384190e-05       9.604864033211e+01 
       2.109370519242e-05       9.819983594584e+01 
       2.158504070464e-05       1.003993703552e+02 
       2.208782089115e-05       1.026480113201e+02 
       2.260231233266e-05       1.049470592916e+02 
       2.312878781936e-05       1.072975531415e+02 
       2.366752649550e-05       1.097006400753e+02 
       2.421881400746e-05       1.121575876076e+02 
       2.478294265519e-05       1.146695528864e+02 
       2.536021154715e-05       1.172377376374e+02 
       2.595092675895e-05       1.198634668063e+02 
       2.655540149563e-05       1.225479292670e+02 
       2.717395625768e-05       1.252925847467e+02 
       2.780691901103e-05       1.280986445912e+02 
       2.845462536090e-05       1.309675128477e+02 
       2.911741872978e-05       1.339006526053e+02 
       2.979565053949e-05       1.368994928652e+02 
       3.048968039751e-05       1.399654555096e+02 
       3.119987628765e-05       1.431000620059e+02 
       3.192661476518e-05       1.463048936561e+02 
       3.267028115646e-05       1.495813906140e+02 
       3.343126976324e-05       1.529313405165e+02 
       3.420998407177e-05       1.563562103046e+02 
       3.500683696668e-05       1.598578692039e+02 
       3.582225094992e-05       1.634378741188e+02 
       3.665665836478e-05       1.670980486501e+02 
       3.751050162511e-05       1.708401839258e+02 
       3.838423344991e-05       1.746660898034e+02 
       3.927831710336e-05       1.785776837879e+02 
       4.019322664045e-05       1.825767827948e+02 
       4.112944715832e-05       1.866654702387e+02 
       4.208747505349e-05       1.908457372075e+02 
       4.306781828503e-05       1.951195151785e+02 
       4.407099664389e-05       1.994890509990e+02 
       4.509754202852e-05       2.039563829143e+02 
       4.614799872687e-05       2.085236624354e+02 
       4.722292370499e-05       2.131933055505e+02 
       4.832288690233e-05       2.179674136362e+02 
       4.944847153393e-05       2.228484223740e+02 
       5.060027439966e-05       2.278386552118e+02 
       5.177890620066e-05       2.329406644600e+02 
       5.298499186309e-05       2.381568884614e+02 
       5.421917086956e-05       2.434898297119e+02 
       5.548209759809e-05       2.489421956600e+02 
       5.677444166916e-05       2.545165404763e+02 
       5.809688830071e-05       2.602157250946e+02 
       5.945013867143e-05       2.660424433109e+02 
