# Matter power spectrum P(k) at redshift z=100
# for k=2.10937e-07 to 223.611 h/Mpc,
# number of wavenumbers equal to 873
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.109370519242e-07       4.954846189699e-03 
       2.158504070464e-07       2.612464665141e-03 
       2.208782089115e-07       3.003940092602e-03 
       2.260231233267e-07       3.197322626273e-03 
       2.312878781936e-07       3.904990812387e-03 
       2.366752649550e-07       3.612434473386e-03 
       2.421881400746e-07       3.800223477620e-03 
       2.478294265519e-07       3.596458393254e-03 
       2.536021154715e-07       3.337227810899e-03 
       2.595092675895e-07       3.693656093854e-03 
       2.655540149563e-07       3.120888256433e-03 
       2.717395625768e-07       3.849960473287e-03 
       2.780691901103e-07       3.235199892014e-03 
       2.845462536090e-07       3.628649460006e-03 
       2.911741872978e-07       3.343470200177e-03 
       2.979565053949e-07       3.600994310686e-03 
       3.048968039751e-07       3.534378544763e-03 
       3.119987628765e-07       2.827164968118e-03 
       3.192661476518e-07       3.288285068243e-03 
       3.267028115646e-07       2.991607617696e-03 
       3.343126976324e-07       3.120873233676e-03 
       3.420998407177e-07       3.319162312551e-03 
       3.500683696668e-07       2.743535137044e-03 
       3.582225094992e-07       2.846426840783e-03 
       3.665665836478e-07       2.669327651309e-03 
       3.751050162511e-07       2.350551476083e-03 
       3.838423344991e-07       2.592682356304e-03 
       3.927831710336e-07       2.374769854317e-03 
       4.019322664045e-07       2.351995560613e-03 
       4.112944715832e-07       2.273348094056e-03 
       4.208747505349e-07       2.190199487910e-03 
       4.306781828503e-07       2.079130422940e-03 
       4.407099664389e-07       2.119351121886e-03 
       4.509754202852e-07       2.074538511898e-03 
       4.614799872687e-07       2.092524455366e-03 
       4.722292370499e-07       2.081082256131e-03 
       4.832288690233e-07       1.899442765097e-03 
       4.944847153393e-07       1.816651468934e-03 
       5.060027439966e-07       1.883479039897e-03 
       5.177890620066e-07       1.792262792812e-03 
       5.298499186309e-07       1.761619870366e-03 
       5.421917086956e-07       1.597859438126e-03 
       5.548209759809e-07       1.633090758870e-03 
       5.677444166916e-07       1.656897350096e-03 
       5.809688830071e-07       1.529076356851e-03 
       5.945013867143e-07       1.510034115123e-03 
       6.083491029259e-07       1.542500595759e-03 
       6.225193738844e-07       1.470459741136e-03 
       6.370197128549e-07       1.414884534979e-03 
       6.518578081091e-07       1.506470466980e-03 
       6.670415270016e-07       1.454651858232e-03 
       6.825789201410e-07       1.341845731478e-03 
       6.984782256588e-07       1.341406350291e-03 
       7.147478735773e-07       1.381498927578e-03 
       7.313964902793e-07       1.333557242751e-03 
       7.484329030815e-07       1.326769277929e-03 
       7.658661449157e-07       1.282929151597e-03 
       7.837054591173e-07       1.222137103501e-03 
       8.019603043269e-07       1.284937021450e-03 
       8.206403595050e-07       1.216040869521e-03 
       8.397555290643e-07       1.217512902924e-03 
       8.593159481205e-07       1.225476228644e-03 
       8.793319878668e-07       1.203167836824e-03 
       8.998142610724e-07       1.225935769257e-03 
       9.207736277096e-07       1.244487358914e-03 
       9.422212007122e-07       1.190925440084e-03 
       9.641683518672e-07       1.245188829139e-03 
       9.866267178445e-07       1.203485238776e-03 
       1.009608206367e-06       1.219903822451e-03 
       1.033125002525e-06       1.193826936560e-03 
       1.057189575234e-06       1.236133429341e-03 
       1.081814683849e-06       1.230179898305e-03 
       1.107013384929e-06       1.216094391079e-03 
       1.132799039159e-06       1.233229889102e-03 
       1.159185318434e-06       1.216953227425e-03 
       1.186186213108e-06       1.249163589144e-03 
       1.213816039413e-06       1.249085031024e-03 
       1.242089447050e-06       1.251063638413e-03 
       1.271021426952e-06       1.275775989614e-03 
       1.300627319238e-06       1.316705424009e-03 
       1.330922821346e-06       1.298984645422e-03 
       1.361923996349e-06       1.316313347823e-03 
       1.393647281483e-06       1.357102786483e-03 
       1.426109496853e-06       1.346303994520e-03 
       1.459327854355e-06       1.372251814705e-03 
       1.493319966801e-06       1.407299846550e-03 
       1.528103857261e-06       1.399411813654e-03 
       1.563697968612e-06       1.422460224520e-03 
       1.600121173324e-06       1.432390254313e-03 
       1.637392783463e-06       1.465413366749e-03 
       1.675532560929e-06       1.497532291160e-03 
       1.714560727937e-06       1.494924056130e-03 
       1.754497977737e-06       1.538856018453e-03 
       1.795365485589e-06       1.571740983291e-03 
       1.837184919986e-06       1.585406862676e-03 
       1.879978454146e-06       1.599404644896e-03 
       1.923768777766e-06       1.637637614474e-03 
       1.968579109057e-06       1.662976193019e-03 
       2.014433207048e-06       1.698390244946e-03 
       2.061355384190e-06       1.736189844249e-03 
       2.109370519242e-06       1.742508652345e-03 
       2.158504070464e-06       1.771770394343e-03 
       2.208782089115e-06       1.821942579053e-03 
       2.260231233267e-06       1.858079728530e-03 
       2.312878781936e-06       1.881553530587e-03 
       2.366752649550e-06       1.910157887099e-03 
       2.421881400746e-06       1.957577021032e-03 
       2.478294265519e-06       1.990952821540e-03 
       2.536021154715e-06       2.028359566463e-03 
       2.595092675895e-06       2.069939319621e-03 
       2.655540149563e-06       2.127972015711e-03 
       2.717395625768e-06       2.172267563551e-03 
       2.780691901103e-06       2.200792230084e-03 
       2.845462536090e-06       2.239810717773e-03 
       2.911741872978e-06       2.284242939365e-03 
       2.979565053949e-06       2.340616800362e-03 
       3.048968039751e-06       2.391243246706e-03 
       3.119987628765e-06       2.432459887559e-03 
       3.192661476518e-06       2.475938284732e-03 
       3.267028115646e-06       2.536106198802e-03 
       3.343126976324e-06       2.590088888230e-03 
       3.420998407177e-06       2.641616079453e-03 
       3.500683696668e-06       2.702362372477e-03 
       3.582225094992e-06       2.750283803162e-03 
       3.665665836478e-06       2.809282175688e-03 
       3.751050162511e-06       2.867770051255e-03 
       3.838423344991e-06       2.927056637494e-03 
       3.927831710336e-06       2.989973900992e-03 
       4.019322664045e-06       3.050137707335e-03 
       4.112944715832e-06       3.115931368917e-03 
       4.208747505349e-06       3.182796138479e-03 
       4.306781828503e-06       3.250779424900e-03 
       4.407099664389e-06       3.319902486196e-03 
       4.509754202852e-06       3.390062066864e-03 
       4.614799872687e-06       3.459851438462e-03 
       4.722292370499e-06       3.541412175369e-03 
       4.832288690233e-06       3.615963099492e-03 
       4.944847153393e-06       3.690934870581e-03 
       5.060027439966e-06       3.772162724200e-03 
       5.177890620066e-06       3.852388610693e-03 
       5.298499186309e-06       3.936595029665e-03 
       5.421917086956e-06       4.023598234371e-03 
       5.548209759809e-06       4.106232460115e-03 
       5.677444166916e-06       4.200857483433e-03 
       5.809688830071e-06       4.288778330787e-03 
       5.945013867143e-06       4.384067561598e-03 
       6.083491029259e-06       4.479557367007e-03 
       6.225193738844e-06       4.576941415776e-03 
       6.370197128549e-06       4.676050531503e-03 
       6.518578081091e-06       4.780420399858e-03 
       6.670415270016e-06       4.883205504384e-03 
       6.825789201410e-06       4.993496062977e-03 
       6.984782256588e-06       5.102849415130e-03 
       7.147478735773e-06       5.212275415077e-03 
       7.313964902793e-06       5.330182096290e-03 
       7.484329030815e-06       5.446675254839e-03 
       7.658661449157e-06       5.567052266115e-03 
       7.837054591173e-06       5.690711281790e-03 
       8.019603043269e-06       5.816683347591e-03 
       8.206403595050e-06       5.943615002475e-03 
       8.397555290643e-06       6.078007243527e-03 
       8.593159481205e-06       6.211227725301e-03 
       8.793319878668e-06       6.346230893576e-03 
       8.998142610724e-06       6.489874782254e-03 
       9.207736277096e-06       6.633164964025e-03 
       9.422212007122e-06       6.779621107332e-03 
       9.641683518672e-06       6.929035532038e-03 
       9.866267178445e-06       7.084000124143e-03 
       1.009608206367e-05       7.241025240549e-03 
       1.033125002525e-05       7.401851109504e-03 
       1.057189575234e-05       7.568356838114e-03 
       1.081814683849e-05       7.733558008473e-03 
       1.107013384929e-05       7.908231871112e-03 
       1.132799039159e-05       8.081185617836e-03 
       1.159185318434e-05       8.263248197580e-03 
       1.186186213108e-05       8.446600544930e-03 
       1.213816039413e-05       8.635841981007e-03 
       1.242089447050e-05       8.824963675216e-03 
       1.271021426952e-05       9.023552762313e-03 
       1.300627319238e-05       9.223793111195e-03 
       1.330922821346e-05       9.430524345105e-03 
       1.361923996349e-05       9.640374676786e-03 
       1.393647281483e-05       9.854734797833e-03 
       1.426109496853e-05       1.007254643794e-02 
       1.459327854355e-05       1.029922201131e-02 
       1.493319966801e-05       1.052873862501e-02 
       1.528103857261e-05       1.076275265557e-02 
       1.563697968612e-05       1.100389189444e-02 
       1.600121173324e-05       1.124785025972e-02 
       1.637392783463e-05       1.150022176408e-02 
       1.675532560929e-05       1.175591158300e-02 
       1.714560727937e-05       1.201946732316e-02 
       1.754497977737e-05       1.228865681874e-02 
       1.795365485589e-05       1.256158091815e-02 
       1.837184919986e-05       1.284370593323e-02 
       1.879978454146e-05       1.312925000965e-02 
       1.923768777766e-05       1.342193592072e-02 
       1.968579109057e-05       1.372234575774e-02 
       2.014433207048e-05       1.402977770648e-02 
       2.061355384190e-05       1.434242318478e-02 
       2.109370519242e-05       1.466243065112e-02 
       2.158504070464e-05       1.499153199289e-02 
       2.208782089115e-05       1.532639036241e-02 
       2.260231233266e-05       1.566939434522e-02 
       2.312878781936e-05       1.601971485470e-02 
       2.366752649550e-05       1.637746087908e-02 
       2.421881400746e-05       1.674381004048e-02 
       2.478294265519e-05       1.711840418172e-02 
       2.536021154715e-05       1.750108974208e-02 
       2.595092675895e-05       1.789278989215e-02 
       2.655540149563e-05       1.829258888378e-02 
       2.717395625768e-05       1.870229186089e-02 
       2.780691901103e-05       1.912058971424e-02 
       2.845462536090e-05       1.954800072888e-02 
       2.911741872978e-05       1.998537281438e-02 
       2.979565053949e-05       2.043281700508e-02 
       3.048968039751e-05       2.089000659992e-02 
       3.119987628765e-05       2.135736888222e-02 
       3.192661476518e-05       2.183563729240e-02 
       3.267028115646e-05       2.232356859330e-02 
       3.343126976324e-05       2.282344412173e-02 
       3.420998407177e-05       2.333353474218e-02 
       3.500683696668e-05       2.385623530580e-02 
       3.582225094992e-05       2.439000253001e-02 
       3.665665836478e-05       2.493587430964e-02 
       3.751050162511e-05       2.549408389141e-02 
       3.838423344991e-05       2.606463152394e-02 
       3.927831710336e-05       2.664827425706e-02 
       4.019322664045e-05       2.724416914077e-02 
       4.112944715832e-05       2.785400080132e-02 
       4.208747505349e-05       2.847792627873e-02 
       4.306781828503e-05       2.911493443052e-02 
       4.407099664389e-05       2.976705769013e-02 
       4.509754202852e-05       3.043345515418e-02 
       4.614799872687e-05       3.111403744173e-02 
       4.722292370499e-05       3.181114823712e-02 
       4.832288690233e-05       3.252303028972e-02 
       4.944847153393e-05       3.325112650370e-02 
       5.060027439966e-05       3.399503360512e-02 
       5.177890620066e-05       3.475633766336e-02 
       5.298499186309e-05       3.553473112530e-02 
       5.421917086956e-05       3.633000918373e-02 
       5.548209759809e-05       3.714364519874e-02 
       5.677444166916e-05       3.797473465473e-02 
       5.809688830071e-05       3.882517609676e-02 
       5.945013867143e-05       3.969429655623e-02 
       6.083491029259e-05       4.058340409658e-02 
       6.225193738844e-05       4.149186904866e-02 
       6.370197128549e-05       4.242079572426e-02 
       6.518578081091e-05       4.337073875163e-02 
       6.670415270016e-05       4.434184366950e-02 
       6.825789201410e-05       4.533453275841e-02 
       6.984782256588e-05       4.634960837689e-02 
       7.147478735773e-05       4.738740013862e-02 
       7.313964902793e-05       4.844833760325e-02 
       7.484329030815e-05       4.953334680485e-02 
       7.658661449157e-05       5.064228057721e-02 
       7.837054591173e-05       5.177644699607e-02 
       8.019603043269e-05       5.293563718026e-02 
       8.206403595050e-05       5.412098246830e-02 
       8.397555290643e-05       5.533293410253e-02 
       8.593159481205e-05       5.657169559486e-02 
       8.793319878668e-05       5.783850833475e-02 
       8.998142610724e-05       5.913366861836e-02 
       9.207736277096e-05       6.045777951891e-02 
       9.422212007122e-05       6.181123087959e-02 
       9.641683518671e-05       6.319537853218e-02 
       9.866267178445e-05       6.461058101321e-02 
       1.009608206367e-04       6.605727920368e-02 
       1.033125002525e-04       6.753650934415e-02 
       1.057189575234e-04       6.904865145586e-02 
       1.081814683849e-04       7.059475478049e-02 
       1.107013384929e-04       7.217555603844e-02 
       1.132799039159e-04       7.379158607298e-02 
       1.159185318434e-04       7.544385490205e-02 
       1.186186213108e-04       7.713313007354e-02 
       1.213816039413e-04       7.886022502147e-02 
       1.242089447050e-04       8.062608222650e-02 
       1.271021426952e-04       8.243127098297e-02 
       1.300627319238e-04       8.427690191706e-02 
       1.330922821346e-04       8.616407319845e-02 
       1.361923996349e-04       8.809335096355e-02 
       1.393647281483e-04       9.006561960638e-02 
       1.426109496853e-04       9.208223786521e-02 
       1.459327854355e-04       9.414400984839e-02 
       1.493319966801e-04       9.625187121105e-02 
       1.528103857261e-04       9.840686350225e-02 
       1.563697968612e-04       1.006101745644e-01 
       1.600121173324e-04       1.028628409329e-01 
       1.637392783463e-04       1.051658377227e-01 
       1.675532560929e-04       1.075203213739e-01 
       1.714560727937e-04       1.099276789585e-01 
       1.754497977737e-04       1.123886948053e-01 
       1.795365485589e-04       1.149048533558e-01 
       1.837184919986e-04       1.174773223053e-01 
       1.879978454146e-04       1.201072257788e-01 
       1.923768777766e-04       1.227960520937e-01 
       1.968579109057e-04       1.255450842648e-01 
       2.014433207048e-04       1.283555912900e-01 
       2.061355384190e-04       1.312288805263e-01 
       2.109370519242e-04       1.341665020732e-01 
       2.158504070464e-04       1.371698044165e-01 
       2.208782089115e-04       1.402403148246e-01 
       2.260231233266e-04       1.433794230863e-01 
       2.312878781936e-04       1.465887221736e-01 
       2.366752649550e-04       1.498698007590e-01 
       2.421881400746e-04       1.532242586485e-01 
       2.478294265519e-04       1.566537115508e-01 
       2.536021154715e-04       1.601597755583e-01 
       2.595092675895e-04       1.637442056134e-01 
       2.655540149563e-04       1.674087680022e-01 
       2.717395625768e-04       1.711552698453e-01 
       2.780691901103e-04       1.749854176966e-01 
       2.845462536090e-04       1.789011466236e-01 
       2.911741872978e-04       1.829043164172e-01 
       2.979565053949e-04       1.869969984820e-01 
       3.048968039751e-04       1.911810429759e-01 
       3.119987628765e-04       1.954585329859e-01 
       3.192661476518e-04       1.998314859534e-01 
       3.267028115645e-04       2.043020998283e-01 
       3.343126976324e-04       2.088724933239e-01 
       3.420998407177e-04       2.135449028851e-01 
       3.500683696668e-04       2.183215736696e-01 
       3.582225094992e-04       2.232048001339e-01 
       3.665665836478e-04       2.281969650929e-01 
       3.751050162511e-04       2.333004488549e-01 
       3.838423344991e-04       2.385177381320e-01 
       3.927831710336e-04       2.438513303356e-01 
       4.019322664045e-04       2.493038164912e-01 
       4.112944715832e-04       2.548777916080e-01 
       4.208747505349e-04       2.605759705353e-01 
       4.306781828503e-04       2.664010222388e-01 
       4.407099664389e-04       2.723557469785e-01 
       4.509754202852e-04       2.784430932662e-01 
       4.614799872687e-04       2.846658879036e-01 
       4.722292370499e-04       2.910271370442e-01 
       4.832288690233e-04       2.975298413224e-01 
       4.944847153393e-04       3.041771043858e-01 
       5.060027439966e-04       3.109721498765e-01 
       5.177890620066e-04       3.179181448054e-01 
       5.298499186309e-04       3.250183965094e-01 
       5.421917086956e-04       3.322762939162e-01 
       5.548209759809e-04       3.396952419120e-01 
       5.677444166916e-04       3.472787366338e-01 
       5.809688830071e-04       3.550303639144e-01 
       5.945013867143e-04       3.629538145356e-01 
       6.083491029259e-04       3.710527505134e-01 
       6.225193738844e-04       3.793309571266e-01 
       6.370197128549e-04       3.877923534108e-01 
       6.518578081091e-04       3.964408592653e-01 
       6.670415270016e-04       4.052804911701e-01 
       6.825789201409e-04       4.143153660795e-01 
       6.984782256588e-04       4.235496641220e-01 
       7.147478735773e-04       4.329876415462e-01 
       7.313964902793e-04       4.426336077203e-01 
       7.484329030815e-04       4.524920237146e-01 
       7.658661449157e-04       4.625673943857e-01 
       7.837054591173e-04       4.728643068973e-01 
       8.019603043269e-04       4.833874266163e-01 
       8.206403595050e-04       4.941415320770e-01 
       8.397555290642e-04       5.051314331099e-01 
       8.593159481205e-04       5.163620828857e-01 
       8.793319878668e-04       5.278385082667e-01 
       8.998142610724e-04       5.395657897658e-01 
       9.207736277096e-04       5.515491255439e-01 
       9.422212007122e-04       5.637937825304e-01 
       9.641683518671e-04       5.763051345206e-01 
       9.866267178445e-04       5.890886155569e-01 
       1.009608206367e-03       6.021497835275e-01 
       1.033125002525e-03       6.154942301888e-01 
       1.057189575234e-03       6.291276637053e-01 
       1.081814683849e-03       6.430558834553e-01 
       1.107013384929e-03       6.572847458311e-01 
       1.132799039159e-03       6.718202019456e-01 
       1.159185318434e-03       6.866682849875e-01 
       1.186186213108e-03       7.018351105064e-01 
       1.213816039413e-03       7.173268493596e-01 
       1.242089447050e-03       7.331497659036e-01 
       1.271021426952e-03       7.493101917620e-01 
       1.300627319238e-03       7.658145176678e-01 
       1.330922821346e-03       7.826692049355e-01 
       1.361923996349e-03       7.998807661958e-01 
       1.393647281483e-03       8.174557966239e-01 
       1.426109496853e-03       8.354009151308e-01 
       1.459327854355e-03       8.537227910211e-01 
       1.493319966801e-03       8.724281560523e-01 
       1.528103857261e-03       8.915237479126e-01 
       1.563697968612e-03       9.110163573228e-01 
       1.600121173324e-03       9.309127828914e-01 
       1.637392783463e-03       9.512198377939e-01 
