# Matter power spectrum P(k) at redshift z=5.98804
# for k=2.10937e-07 to 223.611 h/Mpc,
# number of wavenumbers equal to 873
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.109370519242e-07       7.250272799394e-02 
       2.158504070464e-07       6.262497625763e-02 
       2.208782089115e-07       6.559635847937e-02 
       2.260231233267e-07       6.754863153130e-02 
       2.312878781936e-07       7.197278299691e-02 
       2.366752649550e-07       7.164327682369e-02 
       2.421881400746e-07       7.362013390168e-02 
       2.478294265519e-07       7.374164036899e-02 
       2.536021154715e-07       7.357084256019e-02 
       2.595092675895e-07       7.649720223241e-02 
       2.655540149563e-07       7.474011307685e-02 
       2.717395625768e-07       7.965349903474e-02 
       2.780691901103e-07       7.774338613653e-02 
       2.845462536090e-07       8.104217503672e-02 
       2.911741872978e-07       8.083636697570e-02 
       2.979565053949e-07       8.350147762007e-02 
       3.048968039751e-07       8.449199542195e-02 
       3.119987628765e-07       8.192589890174e-02 
       3.192661476518e-07       8.591763427435e-02 
       3.267028115646e-07       8.565082037424e-02 
       3.343126976324e-07       8.783518862798e-02 
       3.420998407177e-07       9.044045286304e-02 
       3.500683696668e-07       8.855217915201e-02 
       3.582225094992e-07       9.070325237845e-02 
       3.665665836478e-07       9.115519878481e-02 
       3.751050162511e-07       9.065062400260e-02 
       3.838423344991e-07       9.385581182285e-02 
       3.927831710336e-07       9.404353937890e-02 
       4.019322664045e-07       9.555546059223e-02 
       4.112944715832e-07       9.670638984871e-02 
       4.208747505349e-07       9.784511382865e-02 
       4.306781828503e-07       9.879207886733e-02 
       4.407099664389e-07       1.008914281386e-01 
       4.509754202852e-07       1.023909672734e-01 
       4.614799872687e-07       1.044044276521e-01 
       4.722292370499e-07       1.062330744659e-01 
       4.832288690233e-07       1.067466887835e-01 
       4.944847153393e-07       1.080494697551e-01 
       5.060027439966e-07       1.106288028117e-01 
       5.177890620066e-07       1.119281701726e-01 
       5.298499186309e-07       1.137721601434e-01 
       5.421917086956e-07       1.144541133282e-01 
       5.548209759809e-07       1.169609006700e-01 
       5.677444166916e-07       1.194179860273e-01 
       5.809688830071e-07       1.204943684493e-01 
       5.945013867143e-07       1.226281747055e-01 
       6.083491029259e-07       1.253180372451e-01 
       6.225193738844e-07       1.270253899748e-01 
       6.370197128549e-07       1.289264786828e-01 
       6.518578081091e-07       1.323831939886e-01 
       6.670415270016e-07       1.344286910668e-01 
       6.825789201410e-07       1.358547465212e-01 
       6.984782256588e-07       1.385233757007e-01 
       7.147478735773e-07       1.416991807041e-01 
       7.313964902793e-07       1.439610429409e-01 
       7.484329030815e-07       1.467345460239e-01 
       7.658661449157e-07       1.491389361412e-01 
       7.837054591173e-07       1.513841079185e-01 
       8.019603043269e-07       1.551635044969e-01 
       8.206403595050e-07       1.574251337596e-01 
       8.397555290643e-07       1.606003682102e-01 
       8.593159481205e-07       1.639258576814e-01 
       8.793319878668e-07       1.669398850706e-01 
       8.998142610724e-07       1.705952205749e-01 
       9.207736277096e-07       1.742742268046e-01 
       9.422212007122e-07       1.770923224059e-01 
       9.641683518672e-07       1.813937104022e-01 
       9.866267178445e-07       1.845094302924e-01 
       1.009608206367e-06       1.884739040700e-01 
       1.033125002525e-06       1.919448842454e-01 
       1.057189575234e-06       1.964321228880e-01 
       1.081814683849e-06       2.003460096771e-01 
       1.107013384929e-06       2.042300534310e-01 
       1.132799039159e-06       2.086390480872e-01 
       1.159185318434e-06       2.126670489832e-01 
