# power spectrum of phi
# redshift z=96.079122
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   3.369424e-10   7.667927e-04   7.466457e-11   18
  1.037418e-02   4.827453e-10   1.725047e-03   4.932001e-11   128
  1.616528e-02   3.946111e-10   1.646572e-03   2.096285e-11   314
  2.269071e-02   2.454110e-10   1.954354e-03   8.944300e-12   728
  2.897169e-02   1.820713e-10   1.717946e-03   6.273432e-12   1016
  3.518826e-02   1.168167e-10   1.880676e-03   2.904717e-12   1682
  4.169479e-02   8.769467e-11   1.831736e-03   1.809748e-12   2300
  4.790974e-02   6.404884e-11   1.770731e-03   1.202449e-12   2906
  5.429022e-02   5.241446e-11   1.892687e-03   8.621157e-13   4040
  6.068098e-02   4.333498e-11   1.775551e-03   6.536727e-13   4712
  6.698900e-02   3.725140e-11   1.857705e-03   4.805059e-13   6002
  7.346135e-02   3.050011e-11   1.857594e-03   3.652976e-13   7256
  7.977379e-02   2.586406e-11   1.772571e-03   2.917518e-13   8120
  8.609019e-02   2.089261e-11   1.864951e-03   2.108098e-13   9950
  9.253636e-02   1.719212e-11   1.853578e-03   1.588414e-13   11384
  9.885187e-02   1.405418e-11   1.809244e-03   1.271459e-13   12666
  1.052712e-01   1.200229e-11   1.889168e-03   9.601977e-14   15104
  1.117654e-01   1.042971e-11   1.850532e-03   8.187307e-14   16616
  1.180754e-01   9.522005e-12   1.799489e-03   7.157546e-14   18026
  1.244216e-01   8.462472e-12   1.853405e-03   5.790500e-14   20696
  1.308065e-01   7.529373e-12   1.827918e-03   5.080208e-14   22436
  1.371558e-01   6.836185e-12   1.845873e-03   4.382341e-14   24962
  1.435394e-01   5.964838e-12   1.831283e-03   3.590153e-14   27176
  1.499133e-01   5.163985e-12   1.847268e-03   3.009213e-14   29810
  1.562775e-01   4.542087e-12   1.828450e-03   2.563161e-14   32120
  1.626776e-01   4.001362e-12   1.865216e-03   2.131978e-14   35432
  1.690383e-01   3.653149e-12   1.814577e-03   1.894239e-14   37238
  1.754019e-01   3.335886e-12   1.856016e-03   1.645322e-14   41072
  1.817869e-01   3.042098e-12   1.834293e-03   1.473839e-14   43472
  1.881565e-01   2.840077e-12   1.848176e-03   1.314019e-14   47042
  1.945298e-01   2.652991e-12   1.829223e-03   1.203643e-14   49712
  2.008693e-01   2.418109e-12   1.840592e-03   1.059196e-14   53226
  2.072637e-01   2.160391e-12   1.853753e-03   9.003327e-15   57320
  2.136558e-01   1.981150e-12   1.831629e-03   8.125338e-15   60092
  2.200056e-01   1.812671e-12   1.839426e-03   7.196320e-15   63914
  2.263950e-01   1.651115e-12   1.849752e-03   6.307474e-15   68192
  2.327751e-01   1.527545e-12   1.833934e-03   5.732698e-15   71336
  2.391397e-01   1.414469e-12   1.845607e-03   5.140675e-15   75818
  2.455297e-01   1.320856e-12   1.844019e-03   4.687451e-15   79880
  2.518964e-01   1.243517e-12   1.834462e-03   4.293033e-15   83642
  2.582661e-01   1.169970e-12   1.840779e-03   3.927816e-15   88316
  2.646730e-01   1.087510e-12   1.859422e-03   3.568193e-15   93488
  2.710484e-01   1.010346e-12   1.827184e-03   3.253158e-15   96458
  2.773871e-01   9.406782e-13   1.829038e-03   2.996559e-15   101264
  2.837816e-01   8.728199e-13   1.862873e-03   2.653322e-15   107696
  2.901819e-01   8.089427e-13   1.837217e-03   2.428220e-15   111170
  2.965233e-01   7.691570e-13   1.822285e-03   2.262636e-15   115232
  3.028941e-01   7.207856e-13   1.855375e-03   2.063362e-15   122310
