# power spectrum of delta
# redshift z=9.863284
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   6.823058e-07   7.667927e-04   1.327800e-07   18
  1.037418e-02   1.900066e-05   1.725047e-03   2.195132e-06   128
  1.616528e-02   8.429783e-05   1.646572e-03   4.759776e-06   314
  2.269071e-02   2.020047e-04   1.954354e-03   7.830426e-06   728
  2.897169e-02   3.862250e-04   1.717946e-03   1.297050e-05   1016
  3.518826e-02   5.362690e-04   1.880676e-03   1.323904e-05   1682
  4.169479e-02   8.036291e-04   1.831736e-03   1.690156e-05   2300
  4.790974e-02   1.021404e-03   1.770731e-03   1.918803e-05   2906
  5.429022e-02   1.372590e-03   1.892687e-03   2.260358e-05   4040
  6.068098e-02   1.769206e-03   1.775551e-03   2.668889e-05   4712
  6.698900e-02   2.252010e-03   1.857705e-03   2.902388e-05   6002
  7.346135e-02   2.660406e-03   1.857594e-03   3.164420e-05   7256
  7.977379e-02   3.153001e-03   1.772571e-03   3.564256e-05   8120
  8.609019e-02   3.448011e-03   1.864951e-03   3.458743e-05   9950
  9.253636e-02   3.792414e-03   1.853578e-03   3.507646e-05   11384
  9.885187e-02   4.032548e-03   1.809244e-03   3.626968e-05   12666
  1.052712e-01   4.440553e-03   1.889168e-03   3.563545e-05   15104
  1.117654e-01   4.894865e-03   1.850532e-03   3.844993e-05   16616
  1.180754e-01   5.561798e-03   1.799489e-03   4.173385e-05   18026
  1.244216e-01   6.098349e-03   1.853405e-03   4.179957e-05   20696
  1.308065e-01   6.616619e-03   1.827918e-03   4.451662e-05   22436
  1.371558e-01   7.254697e-03   1.845873e-03   4.622289e-05   24962
  1.435394e-01   7.601027e-03   1.831283e-03   4.555923e-05   27176
  1.499133e-01   7.829572e-03   1.847268e-03   4.555267e-05   29810
  1.562775e-01   8.143783e-03   1.828450e-03   4.595184e-05   32120
  1.626776e-01   8.440495e-03   1.865216e-03   4.498476e-05   35432
  1.690383e-01   8.973215e-03   1.814577e-03   4.643992e-05   37238
  1.754019e-01   9.488102e-03   1.856016e-03   4.687744e-05   41072
  1.817869e-01   9.986742e-03   1.834293e-03   4.840199e-05   43472
  1.881565e-01   1.069339e-02   1.848176e-03   4.945071e-05   47042
  1.945298e-01   1.137949e-02   1.829223e-03   5.169480e-05   49712
  2.008693e-01   1.182752e-02   1.840592e-03   5.163131e-05   53226
  2.072637e-01   1.195401e-02   1.853753e-03   4.982545e-05   57320
  2.136558e-01   1.237674e-02   1.831629e-03   5.070381e-05   60092
  2.200056e-01   1.274327e-02   1.839426e-03   5.056502e-05   63914
  2.263950e-01   1.301852e-02   1.849752e-03   4.963419e-05   68192
  2.327751e-01   1.345144e-02   1.833934e-03   5.035520e-05   71336
  2.391397e-01   1.388997e-02   1.845607e-03   5.044972e-05   75818
  2.455297e-01   1.441935e-02   1.844019e-03   5.125871e-05   79880
  2.518964e-01   1.499893e-02   1.834462e-03   5.175672e-05   83642
  2.582661e-01   1.563014e-02   1.840779e-03   5.260907e-05   88316
  2.646730e-01   1.600686e-02   1.859422e-03   5.255275e-05   93488
  2.710484e-01   1.634461e-02   1.827184e-03   5.273473e-05   96458
  2.773871e-01   1.667969e-02   1.829038e-03   5.302525e-05   101264
  2.837816e-01   1.693960e-02   1.862873e-03   5.155853e-05   107696
  2.901819e-01   1.721448e-02   1.837217e-03   5.175487e-05   111170
  2.965233e-01   1.780289e-02   1.822285e-03   5.254177e-05   115232
  3.028941e-01   1.817797e-02   1.855375e-03   5.194738e-05   122310
  3.093019e-01   1.856275e-02   1.843350e-03   5.216147e-05   126944
  3.156739e-01   1.911729e-02   1.828600e-03   5.286542e-05   131192
  3.220432e-01   1.953687e-02   1.844535e-03   5.297973e-05   137618
  3.284234e-01   2.000195e-02   1.836674e-03   5.291460e-05   142448
  3.347979e-01   2.022874e-02   1.844704e-03   5.240638e-05   148520
  3.411627e-01   2.058450e-02   1.831436e-03   5.294606e-05   153254
  3.475446e-01   2.100624e-02   1.852010e-03   5.250319e-05   160760
  3.539284e-01   2.111702e-02   1.835751e-03   5.169633e-05   165290
  3.603019e-01   2.169212e-02   1.840148e-03   5.236570e-05   171992
  3.666828e-01   2.201804e-02   1.840217e-03   5.249873e-05   177800
  3.730569e-01   2.245540e-02   1.843032e-03   5.237556e-05   184322
  3.794439e-01   2.284606e-02   1.841595e-03   5.250776e-05   190832
  3.858239e-01   2.316332e-02   1.839260e-03   5.259863e-05   196772
  3.921872e-01   2.370250e-02   1.836453e-03   5.275423e-05   202970
  3.985536e-01   2.407060e-02   1.839266e-03   5.271519e-05   210056
  4.049173e-01   2.442571e-02   1.832832e-03   5.267569e-05   216210
  4.112896e-01   2.467926e-02   1.841640e-03   5.205341e-05   224168
  4.176700e-01   2.483759e-02   1.840761e-03   5.196575e-05   230792
  4.240565e-01   2.542006e-02   1.846256e-03   5.221573e-05   238778
  4.304312e-01   2.554972e-02   1.831772e-03   5.161718e-05   243956
  4.367939e-01   2.604669e-02   1.845141e-03   5.182784e-05   252680
  4.431746e-01   2.642174e-02   1.842020e-03   5.195722e-05   260066
  4.495713e-01   2.675882e-02   1.849294e-03   5.165202e-05   268712
  4.559494e-01   2.712305e-02   1.834336e-03   5.180623e-05   274034
  4.623270e-01   2.727431e-02   1.847366e-03   5.126905e-05   283904
  4.687088e-01   2.764698e-02   1.837425e-03   5.142548e-05   290048
  4.750707e-01   2.788273e-02   1.836659e-03   5.132450e-05   297950
  4.814434e-01   2.828397e-02   1.842026e-03   5.135963e-05   306968
  4.878269e-01   2.882498e-02   1.843240e-03   5.148793e-05   315320
  4.942006e-01   2.883246e-02   1.835899e-03   5.084937e-05   322346
  5.005701e-01   2.924826e-02   1.842589e-03   5.071734e-05   331664
  5.069538e-01   2.950007e-02   1.844896e-03   5.048114e-05   340818
  5.133346e-01   2.999532e-02   1.837322e-03   5.089043e-05   348164
  5.197083e-01   3.027643e-02   1.843548e-03   5.070327e-05   357584
  5.260929e-01   3.060124e-02   1.846059e-03   5.041676e-05   367106
