# power spectrum of pi_k * H (dimensionless)
# redshift z=5.988045
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   1.426668e-10   7.667927e-04   3.143564e-11   18
  1.037418e-02   2.090330e-10   1.725047e-03   2.136011e-11   128
  1.616528e-02   1.708596e-10   1.646572e-03   9.078100e-12   314
  2.269071e-02   1.062432e-10   1.954354e-03   3.874345e-12   728
  2.897169e-02   7.870061e-11   1.717946e-03   2.710554e-12   1016
  3.518826e-02   5.045783e-11   1.880676e-03   1.255930e-12   1682
  4.169479e-02   3.782872e-11   1.831736e-03   7.794192e-13   2300
  4.790974e-02   2.762550e-11   1.770731e-03   5.185871e-13   2906
  5.429022e-02   2.254346e-11   1.892687e-03   3.703327e-13   4040
  6.068098e-02   1.866542e-11   1.775551e-03   2.812235e-13   4712
  6.698900e-02   1.600021e-11   1.857705e-03   2.068698e-13   6002
  7.346135e-02   1.309087e-11   1.857594e-03   1.569830e-13   7256
  7.977379e-02   1.110067e-11   1.772571e-03   1.253732e-13   8120
  8.609019e-02   8.948962e-12   1.864951e-03   9.027098e-14   9950
  9.253636e-02   7.358594e-12   1.853578e-03   6.801889e-14   11384
  9.885187e-02   6.008417e-12   1.809244e-03   5.442537e-14   12666
  1.052712e-01   5.129660e-12   1.889168e-03   4.107190e-14   15104
  1.117654e-01   4.446040e-12   1.850532e-03   3.491293e-14   16616
  1.180754e-01   4.052325e-12   1.799489e-03   3.044823e-14   18026
  1.244216e-01   3.592874e-12   1.853405e-03   2.458848e-14   20696
  1.308065e-01   3.191461e-12   1.827918e-03   2.153874e-14   22436
  1.371558e-01   2.890141e-12   1.845873e-03   1.848462e-14   24962
  1.435394e-01   2.519884e-12   1.831283e-03   1.515318e-14   27176
  1.499133e-01   2.177471e-12   1.847268e-03   1.268725e-14   29810
  1.562775e-01   1.913081e-12   1.828450e-03   1.078533e-14   32120
  1.626776e-01   1.685165e-12   1.865216e-03   8.982801e-15   35432
  1.690383e-01   1.532627e-12   1.814577e-03   7.927493e-15   37238
  1.754019e-01   1.396061e-12   1.856016e-03   6.892033e-15   41072
  1.817869e-01   1.270466e-12   1.834293e-03   6.155980e-15   43472
