# power spectrum of phi
# redshift z=-0.011770
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   1.822025e-10   7.667927e-04   4.013305e-11   18
  1.037418e-02   2.662777e-10   1.725047e-03   2.716272e-11   128
  1.616528e-02   2.172472e-10   1.646572e-03   1.155981e-11   314
  2.269071e-02   1.355329e-10   1.954354e-03   4.964537e-12   728
  2.897169e-02   9.959541e-11   1.717946e-03   3.410212e-12   1016
  3.518826e-02   6.380088e-11   1.880676e-03   1.601326e-12   1682
  4.169479e-02   4.756130e-11   1.831736e-03   9.684167e-13   2300
  4.790974e-02   3.494724e-11   1.770731e-03   6.556596e-13   2906
  5.429022e-02   2.799684e-11   1.892687e-03   4.536892e-13   4040
  6.068098e-02   2.345219e-11   1.775551e-03   3.486501e-13   4712
  6.698900e-02   1.985180e-11   1.857705e-03   2.600484e-13   6002
  7.346135e-02   1.622290e-11   1.857594e-03   1.966936e-13   7256
  7.977379e-02   1.393132e-11   1.772571e-03   1.587891e-13   8120
  8.609019e-02   1.124636e-11   1.864951e-03   1.139392e-13   9950
  9.253636e-02   9.419318e-12   1.853578e-03   8.701082e-14   11384
  9.885187e-02   7.780760e-12   1.809244e-03   7.117348e-14   12666
  1.052712e-01   6.805365e-12   1.889168e-03   5.479167e-14   15104
  1.117654e-01   5.870528e-12   1.850532e-03   4.580136e-14   16616
  1.180754e-01   5.337372e-12   1.799489e-03   3.984000e-14   18026
  1.244216e-01   4.737435e-12   1.853405e-03   3.267673e-14   20696
  1.308065e-01   4.213991e-12   1.827918e-03   2.834232e-14   22436
  1.371558e-01   3.790086e-12   1.845873e-03   2.375160e-14   24962
  1.435394e-01   3.418725e-12   1.831283e-03   2.076063e-14   27176
  1.499133e-01   3.007854e-12   1.847268e-03   1.756682e-14   29810
  1.562775e-01   2.711155e-12   1.828450e-03   1.532141e-14   32120
  1.626776e-01   2.474129e-12   1.865216e-03   1.331550e-14   35432
  1.690383e-01   2.278003e-12   1.814577e-03   1.176502e-14   37238
  1.754019e-01   2.081669e-12   1.856016e-03   1.026396e-14   41072
  1.817869e-01   1.918680e-12   1.834293e-03   9.209408e-15   43472
  1.881565e-01   1.765885e-12   1.848176e-03   8.210776e-15   47042
  1.945298e-01   1.661337e-12   1.829223e-03   7.454353e-15   49712
  2.008693e-01   1.545119e-12   1.840592e-03   6.676576e-15   53226
  2.072637e-01   1.399516e-12   1.853753e-03   5.843819e-15   57320
  2.136558e-01   1.322779e-12   1.831629e-03   5.411664e-15   60092
  2.200056e-01   1.232984e-12   1.839426e-03   4.857930e-15   63914
  2.263950e-01   1.143698e-12   1.849752e-03   4.373427e-15   68192
  2.327751e-01   1.071443e-12   1.833934e-03   4.013078e-15   71336
  2.391397e-01   1.009151e-12   1.845607e-03   3.681738e-15   75818
  2.455297e-01   9.558517e-13   1.844019e-03   3.390872e-15   79880
  2.518964e-01   8.987726e-13   1.834462e-03   3.103452e-15   83642
  2.582661e-01   8.578051e-13   1.840779e-03   2.894363e-15   88316
  2.646730e-01   8.015369e-13   1.859422e-03   2.650160e-15   93488
  2.710484e-01   7.578863e-13   1.827184e-03   2.446773e-15   96458
  2.773871e-01   7.260855e-13   1.829038e-03   2.275124e-15   101264
  2.837816e-01   6.864616e-13   1.862873e-03   2.095112e-15   107696
  2.901819e-01   6.531079e-13   1.837217e-03   1.953986e-15   111170
  2.965233e-01   6.218294e-13   1.822285e-03   1.843485e-15   115232
  3.028941e-01   5.951614e-13   1.855375e-03   1.713850e-15   122310
  3.093019e-01   5.642620e-13   1.843350e-03   1.584451e-15   126944
  3.156739e-01   5.436438e-13   1.828600e-03   1.504260e-15   131192
  3.220432e-01   5.167520e-13   1.844535e-03   1.403537e-15   137618
  3.284234e-01   4.949275e-13   1.836674e-03   1.315321e-15   142448
  3.347979e-01   4.771330e-13   1.844704e-03   1.230843e-15   148520
  3.411627e-01   4.536791e-13   1.831436e-03   1.155914e-15   153254
  3.475446e-01   4.375589e-13   1.852010e-03   1.092400e-15   160760
  3.539284e-01   4.190404e-13   1.835751e-03   1.031034e-15   165290
